Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male3
Locus_390891	0	0	0	0	0	0	6.03
ENSMODG00000011674	78.39	13.7	12.26	9.81	20.84	11.99	16.8
ENSMODG00000003297	0.73	0.95	0.85	0.06	0	0	9.65
ENSMODG00000023452	0.36	0.02	0.02	0.04	0	0	1.71
Locus_229949	0	0.1	0.39	0	0	0	0
ENSMODG00000012847	0	0	0	0	0	0	0
ENSMODG00000007926	6.03	2.12	8.55	3.94	11.08	10.19	3.82
ENSMODG00000013593	4.13	0.67	1.05	0.27	1.3	0.4	0.28
Locus_317045	0	0.85	0.05	0	3.76	0	2.28
blastnMouse.Locus_3279	0	0	0	0	0	0	0
ENSMODG00000013796	39.15	4.19	0.37	12.62	34.14	1.6	0.16
Locus_228275	0.87	0.08	0	0	0	0	0.59
Locus_35319	0	0.18	0	0	0	0	1.17
ENSMODG00000000167	40.77	87.8	30.89	45.9	21.42	27.89	57.72
ENSMODG00000008866	9.1	3.12	2.82	2.38	1.13	3.64	2.92
ENSMODG00000012763	56.95	32.33	34.94	51.66	32.86	52.46	135.07
ENSMODG00000013337	1.79	0.69	0.95	0.96	0.67	0.44	0.08
ENSMODG00000005511	70.34	1.83	1.12	0.07	0	0.33	82.32
ENSMODG00000012511	8.62	1.16	2.68	0.15	0.12	0.21	0.06
ENSMODG00000019183	82.54	53.23	34.99	118.85	83.33	66.77	57.59
ENSMODG00000009553	0.51	6.21	5.55	5.68	14.08	22.67	0.08
ENSMODG00000020081	4.6	0.03	0	0	0	0	0
ENSMODG00000001213	57.18	0.77	0.69	0	0.07	0.12	0.14
ENSMODG00000014855	6.06	6.18	17.25	4.32	9.84	13.56	7.07
Locus_391856	0	0	0	0	0	0	2.44
ENSMODG00000002138	10.6	5.92	8.55	5.22	6.32	6.6	2.65
ENSMODG00000019409	1.01	3.22	7.71	2.87	3.47	3.49	3.31
ENSMODG00000018936	60.2	143.54	104.24	328.85	239.74	413.27	11.55
ENSMODG00000000969	119.01	380.5	1058.78	242.98	963.99	764.13	147.55
ENSMODG00000019857	10.33	75.6	18.43	6.73	3.27	1.63	318.36
ENSMODG00000004971	24.89	29.9	16.72	39.5	10.35	16.6	80.95
ENSMODG00000003469	1.14	1.54	1.89	0.8	1.7	0.4	0.03
ENSMODG00000013212	1.22	0.54	0.14	2.55	0.2	0.22	0.14
ENSMODG00000017969	0	0.08	0.23	0	0	0	41.72
ENSMODG00000009719	14.01	6.42	6.46	11.1	6.04	13.54	7.62
ENSMODG00000008747	0.06	0.5	0.49	0.26	0.39	0.14	0.12
Locus_316948	0	0	0	0	0	0	3.44
ENSMODG00000003349	10.36	3.61	4.77	4.45	9.71	4.98	1.18
ENSMODG00000008968	135.36	22.28	13.91	13.67	10.93	11.54	601.16
Locus_372750	0.08	0	0.03	0.07	1.4	0.1	0
ENSMODG00000006034	26.75	31.79	56.34	17.97	96.81	55.67	120.35
Locus_230442	0	0	0	0	0	0	1.85
ENSMODG00000014711	0	0.09	0.22	0.08	0.1	0.35	0
ENSMODG00000015178	8.47	3.82	6.81	13.61	24.15	29.14	2.8
blastnHuman.ENSG00000253205	0	0	0	0	0	0	0
ENSMODG00000025697	13.38	29.41	9.66	15.16	5.92	7.61	91.95
ENSMODG00000024763	0	0.04	0.17	0	0.08	0.37	0
ENSMODG00000016457	0.5	0.4	0.64	0.57	0	12	0.04
ENSMODG00000017395	0	0	0	0.28	3.52	0.39	0.16
ENSMODG00000004518	11.59	12.53	5.23	12.03	6.54	5.66	17.21
ENSMODG00000025366	5.75	4.09	4.06	0.87	2.02	2.76	0.2
Locus_419568	8.43	0.51	1.36	0.15	0.5	0.32	0.07
ENSMODG00000012361	7.66	22.32	10.32	8.78	0.35	4.44	10.02
Locus_231581	0	0	0	0	0	0	2.55
Locus_232246	0.28	0.09	0.07	0.47	0.58	0.65	12.62
ENSMODG00000002207	1.01	0.96	1.36	4.12	15.12	4.32	208.07
ENSMODG00000016991	327.02	400.11	148.11	553.66	194.22	153.04	163
Locus_232257	0	0	0	0	0	0	0.74
ENSMODG00000013463	22.87	2.6	5.07	1.17	3.76	1.86	0.3
ENSMODG00000021241	3.44	0.09	0.1	0	0.29	0.11	30.51
ENSMODG00000003576	14.41	0.04	0.04	0	0	0	0.03
ENSMODG00000000109	7.38	5.36	7.22	2.12	6.93	2.23	12.18
ENSMODG00000005464	6.48	16.4	17.59	31.79	28.34	47.94	4.8
ENSMODG00000002127	0	0	0	0	0	0	0
Locus_187806	0	0	0	0	0	0	2.46
Locus_89020	0	0.29	0.11	0.39	0.32	0.18	0.6
ENSMODG00000012418	31.76	3.14	2.96	1.97	0.41	0.92	0.56
blastnPlatypus.Locus_162020	0	0	0	0	0	0	0
Locus_318877	20.45	10.74	8.04	21.98	39.4	16.53	5.76
ENSMODG00000016864	7.72	11.48	8.3	8.99	7.16	6.94	12.32
ENSMODG00000006377	7.62	3.32	1.72	0.67	0.65	0.89	19.46
ENSMODG00000006978	339.34	72.9	164.06	23.46	129.32	52.77	2.81
ENSMODG00000006436	52.01	0.3	0.49	0.29	0.07	0.12	0.03
ENSMODG00000012546	8.42	3.96	2.19	0.53	0.15	0.39	1.34
ENSMODG00000009881	0	0.28	0.16	0.06	0.31	0.09	1.02
Locus_90243	0	0.22	0	0	0	0	0
ENSMODG00000021170	8.3	13.21	6.64	8.84	2.02	8.38	60.21
Locus_122365	0	0.68	0	0	0	0	1.16
ENSMODG00000013681	5.75	3.68	3.94	2.61	4.01	3.28	2.77
ENSMODG00000013322	8.29	9.58	4.41	11.91	3.74	4.43	63.31
ENSMODG00000006107	0	0.04	0.14	0.13	0.16	0.18	0.04
ENSMODG00000022564	0	0	0	0	0	0	0
ENSMODG00000017687	28.12	8.4	8.18	7.08	2.49	5	30.36
Locus_373841	0.51	0.24	0.11	0	0	0.24	1.38
Locus_377910	0.14	0.6	0.25	0.47	0.73	0.66	2.62
Locus_320123	0	2.21	0.64	0.25	0.41	0.12	0.09
ENSMODG00000014721	4.62	7.33	4.38	5.35	5.73	3.42	3.83
Locus_193277	0	0	0	0	0	0.16	1.15
Locus_391501	0	0	0	0	0	0	5.44
ENSMODG00000025051	7.53	7.4	5.64	4.14	0.93	2.62	273.45
Locus_320068	0	0	0	0	0	0	2.65
Locus_99211	0.44	0.53	1.08	0.34	0.65	0.57	0.21
Locus_121603	0	0	0	0.28	0.17	0	0
ENSMODG00000009460	4.45	0.42	0.07	0.38	0	0.15	0
blastnPan.Locus_94166	0	0	0	0	0	0	0
ENSMODG00000006743	1.57	2.14	3.3	1.02	4.25	1.08	12.97
ENSMODG00000020538	20.77	4.87	2.51	0.75	0.32	0.57	22.74
blastnMacaque.Locus_474184	0	0	0	0	0	0	0
ENSMODG00000001504	26.49	29.66	44.76	122.32	125.63	105.2	39.1
ENSMODG00000010161	55.41	27.14	9.72	33.28	11.77	21.94	11.53
ENSMODG00000011261	19.37	42.37	33	49.38	75.21	48.5	45.28
ENSMODG00000022735	0	0.01	0.14	0	0	0	0
ENSMODG00000013948	7.91	8.44	7.23	6.72	1.67	4.59	46.93
ENSMODG00000010763	0	0	0	0	0	0	0
ENSMODG00000007057	128.71	1.95	3.43	0	0	0	0.16
ENSMODG00000015566	10.78	8.21	12.51	13.48	6.79	27.43	1.38
Locus_187477	0	0	0	0	0	0	2.05
Locus_372121	0	0	0	5.47	0.4	0	0
ENSMODG00000004201	26.84	9.1	34.18	14.57	121.82	84.44	9.7
Locus_191100	0	0	0	0	0	0	1.34
ENSMODG00000023488	0.53	0.59	0.83	0.74	1.02	5.28	5.48
ENSMODG00000017663	0.53	0.13	0.15	0.13	0.42	0.22	491.16
ENSMODG00000005491	0	2.2	2.57	0	0.65	0	3.57
blastnHuman.Locus_159237	0	0	0	0	0	0	0
ENSMODG00000007419	2.39	8.05	8.43	8.76	18.16	5.8	5.37
ENSMODG00000016022	19.4	39.91	15.54	72.46	31.25	24.89	26.87
ENSMODG00000016619	2.03	3.47	7.15	9.39	21.86	9.62	4.53
ENSMODG00000021047	2.57	3.16	19.02	1.88	24.68	10	4.52
ENSMODG00000014988	2.84	1.64	4.28	0.34	10.03	2.39	0.69
Locus_188569	0	0	0	0	0	0	1.95
ENSMODG00000008062	1.63	1.22	2.45	0.08	0.29	0.44	0.32
ENSMODG00000021070	20.39	0.13	0.55	0	0	0	0.03
ENSMODG00000025101	5.46	0.1	0.19	0.09	0	0.24	0
ENSMODG00000008958	0.26	1.34	3.16	0.65	0.54	9.04	0
blastnHuman.ENSG00000254010	0	0	0	0	0.21	0.24	0
ENSMODG00000002637	2.32	8.29	4.11	2.05	0.42	0.58	0.82
Locus_89213	0	0	0	0	0	0	3.46
ENSMODG00000001445	39.73	31.96	13.44	36.23	30.7	19.01	131.66
ENSMODG00000000198	5.26	2.98	2.57	12.88	20.85	8.76	0.71
ENSMODG00000009964	43.09	69.61	22.42	30.24	26.08	13.21	77.05
ENSMODG00000017600	1.71	2.35	1.7	2.68	0.7	3.76	5.61
ENSMODG00000022889	0	0	0	0	0	0	0
ENSMODG00000001177	68.97	47.12	11.16	20.26	13.81	8.12	47.44
ENSMODG00000015690	0.46	1.19	0.44	4.72	10.15	5.69	0.76
blastnGorilla.Locus_338665	0	0	0	0	0	0	2.84
ENSMODG00000024698	5.17	11.53	7.14	4.45	4.23	3.7	40.81
ENSMODG00000014627	0.8	6.36	48.56	0	0.32	0	0
ENSMODG00000009637	13.92	0.02	0.03	0.07	0	0.05	1.9
ENSMODG00000018836	4.86	9.39	3.7	8.59	2.42	2.53	7
ENSMODG00000024225	53.33	91.34	201.03	76.48	250.64	166.93	20.47
ENSMODG00000015632	9.86	9.3	7.22	14.79	11.08	12.49	32.08
CUFF.174153	0.07	0.75	1.09	0	0.07	0	0
ENSMODG00000017509	40.97	10.56	16.93	360.19	306.79	348.88	11.93
ENSMODG00000004710	17.89	15.65	10.95	62.55	38.56	15.1	24.07
ENSMODG00000017317	0.34	0	0.25	0.14	0.36	1.6	0.9
Locus_192145	0	0.84	0.39	0.08	0.1	0	15.11
ENSMODG00000006324	4.72	2.17	3.49	4.09	9.8	8.68	2.65
ENSMODG00000011701	2.89	0.96	0.64	9.09	9.43	7.36	0.43
ENSMODG00000012331	13.35	3.01	1.23	3.84	1.93	2.54	0.78
ENSMODG00000006572	2.31	4.48	16.2	5.82	40.46	12.64	2.01
blastnGorilla.Locus_226342	0	0	0.35	0	0	0	0
ENSMODG00000005480	5.42	3.43	5.51	47.76	18.48	33.24	7.79
ENSMODG00000006347	16.01	47.51	42.79	14.79	21.84	21.14	8.06
Locus_318178	0	0	0	0	0	0	1.94
ENSMODG00000008817	112.76	87.29	101.45	161.9	270.05	239.89	77
blastnHuman.ENSG00000232586	0	0	0.44	0	0	0	0
Locus_120873	0	0	0	0	0	0	0.4
Locus_375809	0	0	0	0.14	0	0	1.63
Locus_314328	0	0	0	0	0	0	2.22
CUFF.346220	1.59	0.35	0.18	0.21	0.13	0	0.12
Locus_419027	0	0	0	0	0	0	0.67
ENSMODG00000011305	2.59	0.95	3.92	1.36	2.31	1.88	1.06
ENSMODG00000014039	0.54	13.21	17.14	19.08	38.84	45.74	10.11
ENSMODG00000007260	0	0	0	0.29	0.12	0	0
Locus_193352	0	0.16	0.3	0.14	0	0	0
Locus_230307	0	0	0	0	0	0	0.12
ENSMODG00000013171	0.09	28.34	16.63	56.57	24.72	33.94	2.98
blastnMouse.Locus_82502	0	0	0	0	0	0	0
ENSMODG00000014584	0	0.12	0.61	0	0	0	2.84
ENSMODG00000018172	2.29	4.76	3.16	1.94	0.6	2.32	3.13
ENSMODG00000010180	91.42	193.73	103.4	285.53	94.42	247.89	12.12
ENSMODG00000007528	0.2	3.11	4.37	0	0	0	6.58
ENSMODG00000018849	0.08	9.14	7.46	6.27	2.15	9.92	0.57
ENSMODG00000002914	36.26	30.38	10.73	25.75	9.26	16.25	29.25
ENSMODG00000017434	21.66	18.22	10.84	32.09	33.33	22.45	7.32
Locus_372985	0	0	0	0	0	0	1.54
ENSMODG00000004622	22.47	11.4	8.18	9.38	6.88	10.59	14.79
ENSMODG00000003818	29.77	20.95	18.93	16.81	26.75	18.27	6.7
ENSMODG00000020895	19.56	13.6	9.25	5.88	4.05	3.69	0.87
ENSMODG00000017157	57.48	57.62	67.57	74.48	95.65	89.91	86.74
ENSMODG00000014172	11.42	11.54	54.08	30.92	110.29	40.49	66.97
ENSMODG00000018955	0.35	14.45	8.91	1.98	2.75	15.57	10.29
blastnPan.CUFF.266292	0	0	0	0	0	1.37	0.28
ENSMODG00000013713	2.61	8.93	10.43	33.84	52.56	25.65	10.59
ENSMODG00000014370	4.98	7.78	6.69	1.36	1.09	1.34	6.11
ENSMODG00000002229	0.25	0.04	0.09	0.21	0.62	0.1	0
ENSMODG00000011561	34.93	48.1	84.04	90.32	227.87	190.13	236.33
ENSMODG00000000829	0	0	0	0	0	0	0.23
ENSMODG00000006364	3.22	3.98	6.61	68.87	21.28	314.31	24.4
Locus_317485	0	0.22	1.11	0	0	0	1.71
ENSMODG00000010405	7.74	8.82	5.34	5.7	5.8	4.95	0.85
Locus_34415	0.18	0.21	0	0	0	0.21	4.13
ENSMODG00000001730	0	4.08	5.14	3.45	0.98	1.34	0.51
ENSMODG00000015785	9.2	14.16	17.48	23.38	80.16	25.97	41.75
ENSMODG00000025035	0	0	0	0	0	0	0
ENSMODG00000017113	7.44	14.79	12.04	10.43	11.07	10.99	7.66
ENSMODG00000015728	2.2	0.68	0.7	0.97	0.06	0.11	0.67
ENSMODG00000004933	0.11	0	0	0	0	0	15.97
ENSMODG00000001642	90.75	61.85	27.3	55.73	52.93	22.28	111.37
Locus_320871	0	0	0	2.73	0	1.08	0
ENSMODG00000007858	16.52	13.53	19.49	23.74	54.26	23.01	9.15
ENSMODG00000013434	148.39	382.64	1441.18	378.45	2180.21	1259.79	141.16
Locus_228386	0.2	0	0	0	0	0	14.75
ENSMODG00000016241	0	0	0	0	0	0	0
ENSMODG00000011979	4.44	9.02	7.07	11.7	18.6	13.04	64.84
ENSMODG00000023460	0	0	0	0	0	0	0
ENSMODG00000019191	0	0.09	0	0.33	0.4	0	0.56
ENSMODG00000016829	0	0.15	0.23	0.09	1	0.25	0.05
ENSMODG00000002921	0	0	0.03	0	0	0	0
ENSMODG00000008475	34.11	38.54	28.2	23.61	23.96	17.31	35.89
ENSMODG00000005635	21.49	27.37	8.5	44.85	20.68	31.01	29.45
blastnPan.Locus_177320	0	0	0	0	0	0	0
ENSMODG00000022930	0	0	0	0	0	0	0
ENSMODG00000012771	0	0.09	0.07	0.31	0.2	0	0
ENSMODG00000014398	2.95	6.5	4.63	3.92	2.85	8.26	4.21
ENSMODG00000009618	23.98	10.81	8.16	1.58	0.76	2.37	2.71
ENSMODG00000016742	9.7	9.4	19.2	5.31	59.88	15.88	2.08
Locus_228942	0.83	0	0	0	0	0	0
Locus_231252	0	0	0	0	0	0	4.4
ENSMODG00000018252	0.04	1.06	0.45	2.01	2.77	0.66	14.08
Locus_419205	0.05	0.73	0.76	0	0	0	20.13
ENSMODG00000015294	10.38	5.6	13.69	7	31.28	20.81	0.88
ENSMODG00000003631	0	0.03	0	0	0	0	0.21
Locus_418909	0	0	0	0	0	0	0
ENSMODG00000006383	2.1	6.85	1.87	51.54	2.76	10.11	1.37
ENSMODG00000013570	130.88	85.41	59.65	85.02	129.48	73.4	172.03
Locus_420047	0	0	0	0	0	0	1.28
ENSMODG00000004599	2.11	4.92	1.45	1.69	2.62	0.44	2.05
ENSMODG00000008059	0	0	0.11	0	0	0	0.02
Locus_421208	0	0	0	3.02	0	3.06	0
ENSMODG00000024739	1.81	0.6	0.26	0.47	0.17	0.19	0.73
ENSMODG00000014350	23.81	48.05	16.68	26.38	6.33	10.61	266.12
Locus_319871	0.78	0	0.09	0	0	0	0.04
ENSMODG00000005252	34.31	50.28	16.29	19.78	12.53	10.95	36.37
ENSMODG00000019157	0	2.12	6.36	0.71	22.2	3.6	0
Locus_189308	0	0	0	0	0	0	1.14
ENSMODG00000019785	3.23	4.77	3.37	1.42	0.88	0.86	4.48
ENSMODG00000017730	137.73	0.1	0.53	17.63	4.81	18.87	0
ENSMODG00000025253	6.9	7.71	5.25	8.24	1.77	5.83	14.79
ENSMODG00000024403	9.64	7.27	6.38	13.91	9.83	12.49	4.27
ENSMODG00000009430	44.31	0.89	2.38	1.43	6.7	2.21	1.54
ENSMODG00000016498	22.73	4.51	3.73	6.39	1.69	3.22	13.89
ENSMODG00000015548	5.44	12.38	7.37	12.72	3.93	7.28	11
Locus_186108	0	0	0.09	0.21	0.26	0.45	0
ENSMODG00000015191	0.78	2.24	5.42	1.33	8.46	2.78	0.19
ENSMODG00000014740	158.5	86.75	126.78	128.78	140.41	220.06	66.71
ENSMODG00000025439	0	2.05	0.54	0	0	0	5.49
Locus_391897	23.17	70.99	38.16	45.03	58.21	17.69	24.97
Locus_372779	0	0	0	2.54	2.05	5.37	0
ENSMODG00000017225	0	6.09	5.69	5.61	6.49	4.71	2.87
CUFF.331343	0	0	0	0	0	0	1.47
ENSMODG00000006279	20.67	1.07	1.1	0.09	0.57	0	0.23
Locus_420554	0	0	0	0	0	0	0
Locus_376681	0	0	0	0	0	0	0.31
ENSMODG00000004917	27.38	30.61	6.79	32.88	5.77	9.3	47.64
Locus_187972	0	0.57	0.08	0	0	0	1.92
ENSMODG00000014731	2.93	1.19	1.96	0.48	1.91	0.97	0.56
Locus_186266	0	1.11	0	0.28	0	0	1.6
Locus_33158	0.68	0	0.74	0	0.36	0.4	0
Locus_392563	1.25	0	0	0	0	0	0.88
ENSMODG00000005024	40.6	14.98	37	30.4	142.23	89.21	21.07
ENSMODG00000023932	25.01	13.4	20.6	40.39	111.43	73.49	13.21
ENSMODG00000004537	3.11	6.11	4.53	4.24	2.97	2.73	3.26
Locus_232059	0	0.38	0.14	0	0	0	0
ENSMODG00000017288	133.54	330.98	2507.74	268.19	3063.57	1872.45	92.36
ENSMODG00000007564	0	0	0	0	0	0	0
ENSMODG00000006443	10.26	5.98	7.85	8.57	14.3	13.98	86.18
ENSMODG00000023691	2.75	4.59	5.61	8.81	5.95	6.85	3.81
ENSMODG00000013325	20.51	9.87	18.01	12.05	60.55	20.62	19.3
Locus_376972	1.07	0	0	0	0	0	0
ENSMODG00000003931	14.81	10.47	17.81	19.86	17.2	36.71	20.99
ENSMODG00000006706	28.41	16.22	30.18	16.21	24.51	25.21	2.83
ENSMODG00000016504	0	0.03	0.27	0	0	0	0
Locus_376234	0	0	0	0	0	0	1.38
Locus_315257	0	0	0	0	0	0	1.48
ENSMODG00000005792	9.04	3.91	3.58	2.25	3.89	2.79	51.77
ENSMODG00000016526	0	0.04	0	0	0	0	0
ENSMODG00000011471	30.22	1.89	4.23	2.31	22.91	5.74	40.96
ENSMODG00000013534	0.89	3.23	1.98	7.87	1.78	5.89	1.51
ENSMODG00000007865	0	40.59	49.3	0	16.49	20.9	5.5
Locus_87427	0	0	0	0	0	0	0.59
ENSMODG00000006145	5	9.36	10.44	9.8	3.45	10.63	8.92
ENSMODG00000025190	0	0	0	0	0	0	2.28
Locus_32294	0	0	0	0	0	0	2.18
ENSMODG00000005030	8.48	7.74	15.03	12.06	34.18	16.55	5.72
ENSMODG00000005872	1.44	2.11	3.79	1.2	2.53	1.76	1.82
ENSMODG00000007993	0.13	1.06	0.72	0	0	0	1.59
ENSMODG00000011347	36.63	59.27	34.86	28.89	34.72	21.11	39.79
ENSMODG00000023150	30.44	25.78	25.22	55.06	38.7	55.84	39.8
Locus_228446	0	0	0	0	0	0	3.06
ENSMODG00000002323	0.23	1.23	1.79	0.2	0	0	9.74
Locus_375986	0	0	0	0	0	0	0.63
ENSMODG00000002895	14.56	14.23	28.57	9.17	25.09	20.85	7.31
ENSMODG00000008489	4.92	4.81	8.21	8.61	7.38	17.23	40.01
ENSMODG00000024850	16.61	0.16	0.15	0	0	0	0.06
ENSMODG00000024263	0	0	0	0	0	0	0
Locus_89095	0	0	0	0	0	0	5.76
Locus_230155	0	0.22	0	0	0.48	0	0.88
ENSMODG00000020658	4.2	2.71	1.36	0.21	0.11	0.13	52.69
ENSMODG00000016176	19.67	114.29	68.22	108.07	83.78	62.93	7.4
ENSMODG00000008667	95.15	12.78	13.66	26.4	16.22	6.45	3.64
ENSMODG00000010697	13.89	12.59	13.18	9.66	10.05	9.78	11.56
blastnPlatypus.Locus_164829	0	0	0	0	0	0	0
ENSMODG00000008577	1.06	2.84	2.74	2.19	3.12	1.35	1.62
ENSMODG00000006676	13.36	29.24	15.1	32.1	30.58	25.59	123.51
ENSMODG00000009351	1.5	6.58	4.29	5.01	17.7	7.4	0.91
ENSMODG00000008947	17.89	19.82	19.12	16.19	21.5	16.09	21.08
ENSMODG00000023381	70.68	91.21	132.99	78.66	450.52	173.7	30.98
ENSMODG00000002193	118.72	14.4	9.3	11.56	5.95	10.6	9.13
ENSMODG00000022951	33.07	24.39	34.64	23.75	59.76	31.59	14.16
ENSMODG00000017497	19.23	9.91	8.96	12.54	6.17	11.69	38.55
Locus_319198	0	0	0	0	0	0	2.25
ENSMODG00000023532	1.12	6.27	5.24	0.47	0.59	0.5	31.43
CUFF.121510	2.22	2.64	0.67	2.2	0.78	1.31	1.43
ENSMODG00000014002	1.03	8.58	10.64	15.23	16.9	13.22	0.33
Locus_372654	0	0	0	0	0	0	0.31
ENSMODG00000004823	7.33	4.59	9.27	4.78	3.2	7.96	2.48
ENSMODG00000012682	23.27	11.82	9.5	18.8	20.16	13.64	20.63
ENSMODG00000019045	40.5	14.27	6.57	23.48	17.29	15.58	8.68
blastnPlatypus.Locus_150950	0	0	0	0	0	0	0
Locus_419795	0	0	0	1.35	0.42	3.28	2.98
Locus_229473	0	0.06	0.23	0	0.13	0.15	4.57
Locus_375647	0	0	0	0	0	0	0.9
ENSMODG00000016639	6.3	3.03	3.34	0.83	1.9	0.58	2.41
ENSMODG00000005804	0	0.15	0.15	13.72	1.85	10.15	0
ENSMODG00000008371	25.57	15.83	44.67	35.89	132.49	102.11	16.16
ENSMODG00000024339	0	0	0	0	0	0	0
ENSMODG00000017903	2.45	14.26	10.75	26.65	23.75	14.08	5.04
ENSMODG00000022651	0	0.11	0.04	0	0	0	0
ENSMODG00000018283	104.83	31.95	37.59	99.36	160.55	139.87	44.92
ENSMODG00000013553	8.25	12.93	9.45	17.24	9.71	21.02	135.5
ENSMODG00000019753	140.51	843.06	2595.05	528.46	2614.47	1445.93	212.03
ENSMODG00000019845	17.69	10.62	33.34	30.64	75.28	137.32	4.87
Locus_313275	0	0	0	0	0	0	0.61
ENSMODG00000020617	2.12	7.85	3.21	4.03	2.31	2.39	0.51
Locus_418824	0	0	0	0	0	0	0.66
ENSMODG00000006399	9.09	12.54	8.35	16.4	11.17	18.13	7.44
ENSMODG00000017375	27.07	8.45	5.61	6.93	11.33	9.91	25.29
Locus_376293	0	0	0	0	0	0	65.82
ENSMODG00000007894	1.85	23.48	6.76	3.78	0.57	1.54	6.17
ENSMODG00000023640	0.94	1.26	1.47	0.76	0.82	0.99	0.6
ENSMODG00000008937	51.6	34.79	25.11	35.66	27.36	34.58	65.67
ENSMODG00000018969	55.8	26.33	29.49	4.01	17.35	7.19	78.31
ENSMODG00000009368	4.56	14.22	18.55	9.45	26.86	17.02	1.49
ENSMODG00000008766	7.82	11.58	9.04	13.77	27.51	12.36	8.67
ENSMODG00000024050	20.72	12.74	4.71	68.67	16.06	96.36	56.32
ENSMODG00000022793	1.46	4.87	4.38	4.3	2.57	2.77	2.04
ENSMODG00000020626	1.37	6.03	4.16	3.16	2.59	3.36	34.21
Locus_98973	0.06	0	0	0	0	0	21.68
blastnHuman.ENSG00000241754	0	0	0	0	0	0	0
Locus_121151	1.3	0.16	0	0	0	0	0
Locus_231974	0	0	0	0	0	0	3.84
Locus_121083	0	0	0	0	0	0	1.69
ENSMODG00000023504	0	0	0	0	0	0	0
