Gene	Brain_Male3	Brain_Male4	EmbryonicKidney_Indiv1	Liver_Male3	Ovary_Female1	Ovary_Female2	Ovary_Female3	Placenta_Female1	Placenta_Indiv3	Placenta_Indiv4	Placenta_Male1	Testis_Male3	Testis_Male4
Locus_52818	0	0	0	0	0	0	0	0.14	0	0	0	5.37	7.27
ENSMUSG00000030472	0	0	0.02	0	0	0.02	0.02	0.12	0	0.31	0.19	0.22	0.13
ENSMUSG00000022900	0.06	0.02	1.45	0.06	0.78	1.31	1.08	4.37	4.76	7.24	3.28	0.01	0.07
ENSMUSG00000038459	13.01	9.04	14.43	74.59	7.51	9.91	9.26	10.89	7.7	13.1	6.67	10.16	7.34
Locus_71363	0	0	0	0.24	0	0	0	0	0	0	0	0	0.47
ENSMUSG00000089634	0	0	0	0.04	0	0	0	0	0	0	0	0.04	0
ENSMUSG00000039395	2.94	1.33	0.57	27.68	0.73	0.96	0.79	6.41	3.04	5.37	4.01	6.76	5.7
ENSMUSG00000033186	35.5	12.94	12.59	15.31	9.05	22.11	20.8	12.32	7.33	5.71	10.76	11.34	3.28
ENSMUSG00000034639	3.01	3.67	3.89	3.37	1.45	3.07	3.01	2.48	1.65	2.06	1.65	0.99	0.83
ENSMUSG00000030888	3.08	2.08	11.24	6.22	5.69	6.98	7.36	7.24	13.03	9.21	10.11	2.22	2.78
ENSMUSG00000000544	0	0	0.19	0	0.03	0.15	0.11	0.06	0.12	0.03	0.05	0.13	0.03
Locus_33933	0	0	0	0	0	0	0	0	0	0	0	0.52	0.35
ENSMUSG00000015247	5.38	5.66	16.61	67.54	11.74	14.99	15.92	18.83	13.66	14.88	17.67	4.62	4.15
ENSMUSG00000086919	0	0	0	0	0	0	0	0	0	0	0	0.88	0.11
ENSMUSG00000033147	0.92	1.08	0.69	1.48	1.21	2.04	1.65	3.13	1.28	1.98	2.12	12.76	6.53
ENSMUSG00000062154	0.81	0.03	0	0	0.07	0	0	0	0.03	0	0.07	1704.9	2824.51
ENSMUSG00000061195	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037266	87.75	74.94	63.3	188.98	90.96	155.41	131.79	96.42	77.89	132.42	63.01	56.84	43.5
ENSMUSG00000000766	0.09	0.29	0	0	0	0	0	0	0.01	0	0	0.01	0.04
ENSMUSG00000090518	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006782	82.11	40.3	4.33	3.78	3.8	6.28	6.37	0.87	1.06	1.51	0.69	1.16	1.05
ENSMUSG00000091497	0	0	0	0	0	0	0	0	0	0	0	0.45	0.16
ENSMUSG00000020705	22.84	34.14	20.68	20.03	36.67	28.41	26.86	31.98	25.91	22.51	41.28	23.18	83.82
ENSMUSG00000022551	52.9	26.85	178.3	94.83	17.91	45.52	50.13	8.58	94.69	39.06	24.44	18.38	10.42
ENSMUSG00000039218	36.06	134.57	83.92	47.23	142.34	158.19	158.55	68.27	76.51	83.99	77.02	28.08	85.44
ENSMUSG00000027940	10.65	8.72	4.64	6.5	6.81	10.89	11.49	12.14	13.07	17.89	15.12	5.98	6.05
Locus_2863	0	0	0.1	0	0	0.05	0	0.31	0.04	0	0.1	0.17	0.27
ENSMUSG00000064243	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028034	20.33	15.48	48.66	18.8	28.2	34.05	36.15	19.3	29.29	19.66	36.69	15.1	22.26
ENSMUSG00000029754	2.56	4.53	0	0	0	0.09	0.03	0	0	0	0	6.98	5.08
ENSMUSG00000063488	0.62	3.39	1.44	6.45	5.59	8.78	8.8	2.75	1.01	3.31	0.93	7.27	15.84
Locus_61344	0	0	0	0	0	0	0	0	0	0.08	0	1.11	2.85
Locus_80332	0	0	0	0	0	0	0	0	0	0	0	11.39	2.19
ENSMUSG00000063821	0	0.06	0	0	0.27	0.08	0.08	0.64	0	0.21	0	5.79	6.76
ENSMUSG00000086470	0	0	0.03	0	0	0.02	0.02	0.14	0	0.05	0	0.12	0.09
ENSMUSG00000002477	66	33.93	44.95	36.31	51.21	20.5	17.45	70.51	45.95	16	188.61	88.49	121.95
Locus_6793	0	0	0	0	0	0	0	0	0	0	0	0.73	9.02
ENSMUSG00000026102	7.29	4.41	2.63	4.26	3.2	3.87	3.99	1.41	0.8	0.92	0.53	17.09	27.44
ENSMUSG00000041845	0.69	0.35	9.19	23.46	9.28	11.6	8.54	5.14	2.21	4.73	1.57	4.72	1.8
Locus_61088	0.32	0.67	0.22	0	0.02	0.07	0.05	0.06	0	0.03	0	0.25	0.81
CUFF.137817	0.02	0.01	0.11	0	0.02	0.06	0.06	0.02	0.01	0.03	0.01	0.02	0
ENSMUSG00000062201	0	0	0	0	0	0	0	0.19	15.03	0	12.79	0	0
ENSMUSG00000025877	0.23	0.23	0.24	1.4	1.06	0.59	0.54	0.3	0.1	0.8	0.05	0.27	0.68
ENSMUSG00000037784	2.94	4.19	2.55	0.29	4.47	4.63	4.38	0.7	1.56	1.06	1.53	0.21	0.54
ENSMUSG00000024381	69.25	59.25	18.29	6.61	12.28	11.7	12.49	3.01	32.46	6.54	17.8	1.02	1.33
ENSMUSG00000036867	0.36	0.35	1.71	1.65	1.49	0.88	1.11	3.37	2.22	5.49	0.84	6.81	1.34
ENSMUSG00000024900	5.11	5.49	17.1	80.66	56.32	63.94	56.24	11.64	5.84	9.44	5.25	6.51	14.07
ENSMUSG00000040254	0.91	0.93	8.48	0.49	4.26	6.61	35.93	0.07	0.04	0.06	0.02	0.03	0.02
ENSMUSG00000047953	0.4	0.22	0.11	0.03	0.04	0.04	0.02	0.07	0.97	0.39	0.65	0.49	0.04
ENSMUSG00000037822	12.66	10.53	3.78	13.32	8.77	17.64	15.91	5.06	2.84	7.87	2.02	12.64	6.11
CUFF.194632	0.15	0.75	0	0	0	0	0	0	0	0	0	0	0
Locus_47238	0	0	0	0	0	0	0	0	0	0.06	0	5.97	2.9
ENSMUSG00000029578	17.32	19.85	11.97	22.15	11.43	9.68	9.18	20.14	7.96	12.57	11.62	29.16	17.1
ENSMUSG00000022221	0	0.12	7.85	1.12	1.3	1.69	1.14	1.78	2.14	2.49	2.24	2.04	1.57
CUFF.203631	0.27	0.12	0	0	0	0	0	0	0	0.04	0	0.03	0
ENSMUSG00000032815	0.08	0.16	7.84	0.08	1.75	1.14	1.07	0.93	2.51	0.96	2.25	2.34	3.04
Locus_105523	0	0	0	0	0	0	0	0.28	0	0.61	0	0.53	0.87
ENSMUSG00000046748	0	0.04	0	0	0.05	0.03	0	0.31	0.07	0.13	0.1	2	0.93
ENSMUSG00000033096	14.39	15.4	12.89	18.59	10.95	20.1	22.01	12.27	18.34	20.27	17.02	3.71	5.06
Locus_112389	0	0	0	0	0	0	0	0	0	0	0	0.29	12.02
ENSMUSG00000047710	11.07	16.03	17.19	5.9	16.85	8.84	8.74	8.34	9.12	5.13	17.83	5.14	16.15
ENSMUSG00000026849	16.5	9.6	9.61	32.44	9.98	11.05	10.89	14.64	13.56	15.76	11.19	6.64	3.78
blastnHuman.ENSG00000235533	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078462	0	0	0	0	0	0	0	0	0	0	0	0	0
CUFF.153221	0	0	0	0	0	0	0	0	0	0	0	0.65	0.22
ENSMUSG00000027194	4.29	6.61	2.52	8.17	5.82	5.29	5.47	9.02	4.05	6.1	5.47	1.51	4.91
blastnPan.Locus_26366	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_82187	0	0	0	0	0	0	0	0	0	0	0	2.19	0.77
Locus_66447	0	0	0	0	0	0	0	0.14	0	0	0	0.26	0.29
ENSMUSG00000021086	0.26	0.02	0	0	0.01	0	0	0	0.01	0	0	301.15	333.69
ENSMUSG00000087346	0	0	0	0	0.03	0.03	0.09	0	0	0	0	2.12	0
ENSMUSG00000030495	15.22	8.12	0.19	0	1.93	5.23	9.08	0.52	0.08	0.9	0.11	0.32	0
ENSMUSG00000029268	0	0	0	0	0	0	0.01	0	0	0	0	0	0
ENSMUSG00000040505	0.02	0.01	0.99	76.21	0.16	0.19	0.15	0	0.07	0	0.03	0.26	1.78
ENSMUSG00000002897	5.84	4.97	1.41	8.61	8.48	6.79	5.3	4.64	4.08	5.25	3.29	2.18	2.36
ENSMUSG00000040711	1.52	1.16	8.19	0.18	2.93	6.19	5.5	1.09	2.21	3.16	0.74	0.07	0.09
ENSMUSG00000078893	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040225	10.68	44.08	22.44	10.69	44.35	26.06	27.91	28.47	35.31	23.53	59.13	5.98	58.75
Locus_105613	0.19	0.83	0	0	0	0	0	0	0	0	0	0.06	0
ENSMUSG00000044066	2.53	3.93	11.14	2.53	4.87	8.64	8.41	2.17	4.84	6.42	2.41	1.73	2.72
ENSMUSG00000031523	6.2	5.12	5.47	6.61	5.94	6.26	8.21	16.62	4.07	16.17	5.89	0.49	0.41
ENSMUSG00000003380	51.33	22.5	25.05	33.97	19.29	21.69	24.69	27.14	35.79	82.98	11.85	59.67	13.39
ENSMUSG00000039239	3.71	3.34	1.75	0.34	1.91	3.36	2.93	8.74	3.93	10.55	4.79	0.2	0.07
ENSMUSG00000006542	0.02	0.35	0.05	0	0.07	0.14	0.05	0.38	0.02	0.28	0.01	0.13	0.26
CUFF.187615	0	0.03	0	0.13	0.06	0.19	0.16	0.74	0.02	0.64	0.06	0.06	0.54
Locus_99926	0	0	0	1.89	0	0	0	0	0	0	0	0	0
ENSMUSG00000042784	0.23	0.08	2.43	0.43	1.4	5.94	2.83	39.11	22.65	44.1	11.08	12.34	6.86
Locus_52783	0	0	0.22	0	0	0	0	0	0.16	0.41	0	0.28	0
ENSMUSG00000091387	1.59	2.2	1.08	2.34	2.16	3.81	2.96	1.05	2.66	2.1	1.43	0.46	0.52
ENSMUSG00000039968	5.64	9.63	5.86	7.13	10.59	8.49	8.18	7.27	3.9	3.58	7.1	8.96	15.18
ENSMUSG00000020935	16.01	12.43	23	14.68	19.38	8.27	8.71	49.48	65.17	30.39	83.68	12.43	5.95
Locus_81833	0	0	0	0	0	0	0	0	0	0	0	0.39	3.89
ENSMUSG00000028060	15.53	14.27	38.06	23.63	20.79	27.63	26.53	16.54	22.46	20.55	19.09	13.54	15.21
ENSMUSG00000051136	0.16	0.1	0.01	0	0	0	0	0	0	0	0	0	0
Locus_112066	0.21	0	0	0	0.06	0.32	0.21	0	0	0	0	0.12	0.5
ENSMUSG00000078794	34.44	25.87	3.63	0.08	3.44	2.5	2.75	0.73	0.6	1.01	0.32	10.82	5.67
ENSMUSG00000026443	29.68	26.13	0.22	0.01	2.25	1.23	1.2	1.83	0.59	3.56	1.16	0.32	0.02
ENSMUSG00000024233	0.04	0	0	0	0.07	0.02	0.02	0.12	0	0.06	0.1	136.7	257.88
ENSMUSG00000029885	0	0	0	0	0	0	0	0	0	0	0	0.29	0.48
CUFF.189473	0	0.1	0	0.07	0.04	0.24	0.13	0	0	0.06	0	0.12	0.21
ENSMUSG00000045306	0	0	0	0	0	0	0	0	0	0	0	0.03	0
ENSMUSG00000079842	0	0	0	0	0	0.07	0	0	0	0	0	0.14	0.19
Locus_12962	0	0	0	0	0	0	0	0	0	0	0	2.09	0
ENSMUSG00000073982	11.76	3.52	11.76	7.51	6.94	12.38	13.59	8.14	24	21.55	6.92	3.95	1.56
ENSMUSG00000022471	5.42	4.96	4.99	10.83	8.6	7.74	7.52	3.37	6.94	2.23	11.44	11.99	15.12
ENSMUSG00000029468	0.99	0.96	0.3	0.71	1.9	4.06	3.26	0.18	0.08	0.43	0.09	1.23	3.84
ENSMUSG00000066704	0	0	0	0	0.01	0.05	0.02	0	0	0.03	0	0.23	0.12
ENSMUSG00000045684	0	0	0	0	0	0	0	0	0	0	0	0	4.03
ENSMUSG00000064036	2.36	1.42	0.13	0	5.76	6.71	6.04	0.06	0.03	0.01	0.03	5.93	8.65
Locus_105629	0	0	0	0	0	0	0	0	0	0	0	3.14	4.11
Locus_6866	0	0	0	0	0	0	0	0	0.03	0	0	5.11	3.15
Locus_80573	0	0	0	0	0.08	0	0	2.64	0.85	3.48	0.37	0.92	1.13
Locus_65751	0	0	0	0	0	0	0	0	0	0	0	1.2	7.03
Locus_21872	0	0	0	0	0	0	0	0	0	0	0	2.79	4.11
ENSMUSG00000049577	3.18	2.91	0.96	8.55	1.33	0.78	0.99	10.18	6.84	27.62	2.3	5.53	3.81
ENSMUSG00000042401	20.09	20.39	1.01	0	0.54	0.23	0.48	0.3	0.51	0.63	0.15	3.4	2.33
ENSMUSG00000021767	4.85	14.76	4.34	2.94	11.64	7.37	7.13	5.43	5.24	3.75	8.99	2.98	14.05
ENSMUSG00000061376	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_74523	0	0	0	0	0	0	0	0	0	0	0	4.18	2.32
ENSMUSG00000020471	4.64	3.94	22	6.16	8.53	6.7	7.81	2.51	13.92	6.4	6.44	15.6	8.41
CUFF.206651	0.07	0.08	0	0	0	0.02	0	0	0	0	0	0.02	0
ENSMUSG00000046180	0.02	0	0	0	0.02	0.04	0.06	0	0.02	0	0.05	17.35	8.84
ENSMUSG00000031163	0.34	0.65	0.07	0	0	0	0	0.47	0.25	0.32	0	0.04	0
ENSMUSG00000019564	0.72	1.13	5.06	0.34	1.75	1.27	1.53	32.61	43.56	33.29	46.1	6.76	26.35
Locus_103790	0	0	0	0	0	0.06	0	0	0	0	0	0.38	0.15
Locus_34968	0	0	0	0	0	0	0	0	0	0	0	0.89	1.94
ENSMUSG00000049168	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_61151	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_40158	0	0	0	0	0	0	0	0	0	0	0	4.85	12.35
ENSMUSG00000054582	0.22	0.07	0.19	0.04	1.77	0.89	0.62	0.29	0.36	0.4	0.58	3.22	2.21
ENSMUSG00000089854	0.03	0.1	0	0	0.04	0	0	0	0	0	0	0	0
ENSMUSG00000025383	0.34	0.12	0.07	0.31	0.56	0.28	0.15	0.64	0.45	0.41	1.02	0.31	0.72
ENSMUSG00000045350	0	0.03	0	0	0.01	0.04	0.02	0	0.01	0.02	0	10.82	9.44
blastnHuman.CUFF.186867	0	0.47	0	0	0	0	0	0	0	0	0	0	0
Locus_99211	0.01	0	0	0	0	0.02	0	0	0	0	0	6.73	6.36
ENSMUSG00000074882	0	0	0	319.12	0.16	0	0	0.05	0.18	0	0	0.07	0
Locus_104004	0.02	0.06	0	0	0	0	0	0	0	0	0	1.22	5.21
ENSMUSG00000007944	44.98	28.5	0	0.03	0	0	0	0	0.04	0.24	0	0.43	0
ENSMUSG00000091703	0	0	0	0	0	0	0	0	0	0	0	0.07	0
ENSMUSG00000079022	0.12	0.28	0.08	0	0.2	0.17	0.16	0.01	0.13	0.03	0.24	25.55	46.98
ENSMUSG00000024053	1.59	1.02	0.91	0.73	6.85	4.13	4.12	2.87	1.19	3.94	4.37	5.16	13.47
Locus_17148	0	0	0	0	0	0	0	0	0	0	0	1.72	2.57
ENSMUSG00000086125	0.13	0	0	0	0	0	0.04	0.1	0	0	0	0	0
ENSMUSG00000032387	0.83	0.45	3.95	19.04	3.56	6.17	5.31	0.85	3.17	2.23	2.06	2.1	0.8
ENSMUSG00000051721	1.48	1.35	2.84	2.39	1.52	1.44	1.66	0.91	1.76	2.16	1.05	0.34	0.36
ENSMUSG00000055862	10.47	19.55	4.31	6.11	6.59	9.53	9.12	6.35	5.36	9.47	2.25	91.24	43.27
ENSMUSG00000037108	3.61	4.13	5.74	4.32	1.87	1.23	1.26	1.16	1.29	0.65	2.61	19.34	29.48
Locus_2760	0.25	0.38	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078554	0.2	0.12	0	0.04	0	0	0	0.12	0.38	0.07	0	314.85	62.69
ENSMUSG00000062753	12.43	3.64	2.22	0.9	1.39	2.51	2.56	4.2	14.89	8.56	4.56	5.05	1.63
ENSMUSG00000075172	0	0	0	0	0	0	0	0	0.04	0	0	0.06	0
ENSMUSG00000039824	50.72	40.01	1.01	3.09	4.39	0.92	1.12	7.2	2.37	1.31	10.63	69.64	61.44
ENSMUSG00000040584	5.92	7.32	0.18	0.62	7.14	7.41	8.39	20.08	2.5	11.36	4.21	0.72	2.18
ENSMUSG00000035329	13.32	9.59	3.47	8.11	4.37	8.27	7.49	6.12	5.93	6.08	6.61	8.97	4.43
ENSMUSG00000092090	0.42	1.37	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059995	49.9	98.92	17.87	15.42	23.52	12.7	14.04	30.05	19.72	20.37	32.51	9.27	16.82
ENSMUSG00000086145	0.07	0.04	0.04	0.07	0	0.03	0	0	0	0	0	1.01	2.8
Locus_81017	0	0	0	0	0.22	0.15	0.25	0	0	0	0	0.15	0.4
ENSMUSG00000053742	0	0	0	0	0	0	0	0	0	0	0	2.28	3.66
ENSMUSG00000024513	24.91	16.91	13.53	65.6	29.83	22.71	20.23	91.76	26.15	48.63	54.8	69.2	63.52
Locus_93865	0	0	0	0	0	0.08	0.08	0	0	0	0	0.58	0
ENSMUSG00000028989	0.2	0.53	0.13	0.31	1.69	1.74	0.89	0.41	0.08	1.15	0.25	4.31	5.17
ENSMUSG00000066058	0.14	0.03	3.62	0	0.01	0.01	0	0.06	0	0.02	0	0	0
ENSMUSG00000026761	8.22	5.18	6.14	6.18	3.65	7.57	7.34	6.21	7.72	6.22	6.15	3.72	1.91
ENSMUSG00000036437	7.45	5.87	0.11	0.15	1.07	1.65	1.18	0.02	0.06	0.03	0	0.18	0.17
ENSMUSG00000026922	0.46	0.19	15.17	135.46	5.66	11.09	26.32	15.7	13.39	20.8	7.42	63.45	26.65
Locus_59335	0	0.07	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028518	4.91	8.12	3.95	24.29	2.17	2.71	2.54	2.47	0.75	1.79	0.51	0.44	0.64
ENSMUSG00000028970	0.7	0.39	0.11	1.91	56.86	58.26	53.29	33.77	9.2	18.99	8.8	0.19	0.32
Locus_75109	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091395	0.7	0.5	0.9	0.97	0.88	1.58	0.95	0.44	0.29	0.67	0.06	3.82	1.86
ENSMUSG00000034931	9.2	15.26	14.12	11.07	16.77	7.77	7.96	30.55	14.72	12.76	29.91	28.42	62.75
ENSMUSG00000085701	0	0	0	0	0	0	0	0	0.02	0	0.09	0.02	0
ENSMUSG00000029657	138.91	91.52	12.11	119.32	64.73	13.34	15.67	24.96	42.88	10.91	128.36	24.87	36.89
ENSMUSG00000062844	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074764	0.08	0	0	0	0.04	0.12	0.08	0	0	0	0	58.93	53.32
ENSMUSG00000041380	6.87	6.81	0	0	0	0	0	0	0	0	0	0.07	0.03
ENSMUSG00000042055	4.48	4.41	8.45	6.15	4.85	6.86	6.53	3.93	5.56	4.7	4.67	8.26	9.83
ENSMUSG00000047544	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0
ENSMUSG00000079698	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074300	0.04	0	0.07	0	0.09	0.14	0.05	0	0.05	0.2	0	0.09	0.37
ENSMUSG00000022159	9.25	7.75	9.35	1.15	3.35	9.61	10.02	3.69	4.13	9.38	1.55	9.09	12.28
Locus_39748	0.06	0	0	0	0	0	0	0	0	0	0	0	3.15
ENSMUSG00000032086	16.43	15.18	8.38	7.37	11.24	11.1	11.65	9.54	12.38	9.71	12.98	0.42	0.41
CUFF.200750	0	0	0	0	0	0	0	0	0	0	0	0	5.1
Locus_74596	0	0	0	0	0	0	0	0	0	0	0	0.12	0
ENSMUSG00000001288	2.39	3.78	4.62	2.42	12.45	6.78	6.48	6.38	2.3	5.04	2.87	1.34	3.11
ENSMUSG00000086186	0	0	0	0.03	0	0	0	0	0	0	0	22.79	30.13
ENSMUSG00000046814	0.64	0.16	1.54	62.08	0.21	0.16	0.13	2.53	7.44	4.09	2.72	0.96	1.46
ENSMUSG00000019054	65.92	51.91	41.87	47.01	28.24	19.38	20.38	26.79	25.47	23.75	25.09	33.59	23.01
ENSMUSG00000025505	4.43	4.36	5.18	2.76	3.15	5.71	5.38	1.13	1.53	2.42	1.14	5.79	4.3
ENSMUSG00000020059	0.91	4	0.04	0.02	0.24	1.14	1.82	0.25	0.38	0.17	0.21	250.59	164.92
ENSMUSG00000039155	0.25	0.2	0.15	0.02	0.01	0.03	0.02	0.47	0.04	0.21	0.12	2.96	3.72
ENSMUSG00000001943	0.94	0.31	1.09	0.71	1.33	3.65	4.19	2.65	5.41	7.3	2.11	0.08	0
ENSMUSG00000035310	3.73	4.32	5.21	6.36	4.21	2.99	3	6.14	6.33	3.68	12	8.96	9.64
ENSMUSG00000092104	0.07	0	0.13	0	0	0.04	0	0	0.05	0.17	0	5.68	1.42
blastnGorilla.Locus_226342	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058486	6.43	9.68	5.84	13.37	6.64	4.04	4.35	7.7	5.99	8.51	4.02	1.46	1.44
Locus_26196	0	0.05	0	0	0	0	0	0	0	0	0	9.33	11.87
Locus_81155	0	0	0	0	0	0	0	0	0	0	0	1.05	5.58
blastnOpossum.Locus_92598	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029392	36.29	32.65	4.45	2.77	12.76	5.34	6.76	15.17	8.28	14.31	9.31	1.38	2.35
Locus_27084	0	0	0	0	0	0	0.17	0	0	0	0	1.03	0
Locus_39870	0	0	0	0	0	0	0	0	0	0	0	2.74	1.79
ENSMUSG00000054252	19.88	25.24	5.25	10.17	2.24	1.29	1.82	1.14	1.39	0.72	0.76	0.87	0.93
blastnHuman.ENSG00000225882	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000232586	0	0	0	0	0	0	0.3	0	0	0	0	0	0.73
ENSMUSG00000049506	0.01	0	0	0	0.01	0	0	0	0	0	0	86	101.91
Locus_71945	0	0	0	0	0	0	0	0	0	0	0	0	3.2
ENSMUSG00000025373	17.3	13.08	9.79	3.47	10.03	6.26	7.08	10.19	12.12	13.11	10.83	31.09	43.72
blastnPan.Locus_86263	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_40288	0.01	0.01	0	0	0.01	0.03	0.05	0	0	0	0.01	9.1	6.83
ENSMUSG00000034435	0.02	0.05	1.49	22.44	1.24	3.29	2.34	11.01	4.2	7.33	1.63	0.32	0.3
ENSMUSG00000089892	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070999	0.15	0	0.05	0	0.12	0	0.02	0	0.05	0.02	0.09	224.07	166.92
ENSMUSG00000044227	0	0	0	0	0	0	0	0	0	0	0	1.3	3.53
ENSMUSG00000078802	0	0	0	0	0	0	0	0	0.01	0	0	0	0
ENSMUSG00000066241	0	0	0	0	0	0	0	0	0	0	0	0.03	0
ENSMUSG00000069189	0.02	0	0	0	0	0	0	0	0	0	0	26.5	8.52
ENSMUSG00000059070	1.49	1	3.71	3.84	4.11	3.16	3.3	2.02	4.82	2.42	2.47	4.24	2.07
ENSMUSG00000091781	0	0	0	0	0	0	0	1.47	2.22	1.2	0.42	0	0
Locus_41330	0	0	0	0	0	0	0	0	0	0	0	0.29	0.16
ENSMUSG00000019558	16.46	16.76	7.86	1.59	6.49	7.27	6.67	26.93	13.63	52.19	8.26	0.79	0.97
ENSMUSG00000090854	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_105592	0	0	0	0	0	0	0	0	0	0	0	0	0.58
ENSMUSG00000039886	14.98	9.87	12.37	75.35	15.63	10.66	16.72	44.99	38.49	22.69	63	175.48	101.42
ENSMUSG00000022613	0	0.02	0.88	0.05	1.81	4.03	2.6	0	0.04	0	0	0.11	0.05
Locus_104651	0	0	0.16	0	0	0	0	0	0.24	0	0.31	1.04	1.12
ENSMUSG00000091528	0	0	0	0	0	0	0	0	0	0	0	0	0
CUFF.237579	0	0	0.15	0	0	0	0	0	0	0	0	1.65	0.52
Locus_72073	0	0	0	0	0	0	0	0	0	0.07	0	1.84	0.83
ENSMUSG00000079828	0	0	0.04	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087388	0	0.01	0	0	0	0	0	0	0	0	0	1.02	1.06
Locus_3147	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068739	82.27	74.18	13.59	50.82	40.1	18.52	18.6	69.89	45.43	37.51	88.15	15.9	38.54
ENSMUSG00000028550	12.89	8.76	2.84	10.6	4.09	5.79	5.48	8.79	5.13	5.77	7.48	12.59	12.68
ENSMUSG00000024313	0	0	7.63	0.3	0	0	0.01	0.03	0	0	0	0.11	0
Locus_111861	0	0	0	0	0	0	0	0	0	0	0	0.2	12.08
ENSMUSG00000029528	1.98	1.82	10.84	3.55	3.57	5.76	6.12	13.83	37.79	35.24	13.34	9.65	6.77
ENSMUSG00000022442	7.82	8.38	1.17	0.96	2.24	1.84	1.65	1.26	1.7	0.92	1.61	8.04	15.96
ENSMUSG00000041958	14.02	13.23	12.1	8.73	10.22	8.92	9.33	19.88	18.45	20.35	11.18	15.57	10.63
ENSMUSG00000032352	7.28	4.14	10.47	0.62	17.17	10.59	10.66	40.47	17.23	22.99	35.55	183.56	91.42
Locus_52571	0.96	0.4	0.02	0.03	0.13	0.12	0.06	0.08	0.05	0.02	0	0.03	0
