Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male1	Testis_Male2	Testis_Male3
ENSMODG00000008866	4.83	4.28	8.97	2.36	2.94	12.94	34.14	1.8	2.53	5.42	4	3.27	2.87	2.46	1.58	3.3	2.49	1.71	3.07
ENSMODG00000012763	69.52	69.13	56.71	84.47	78.31	124.24	98.03	66.68	57.3	65.86	66.14	33.71	40.6	53.23	32.3	53.63	133.78	160.36	145.03
ENSMODG00000013337	4.99	3.35	2.16	4.38	3.11	0.18	0.12	0.16	0.32	0	0	0.9	1.03	1.15	0.7	0.43	0.07	0.27	0.11
ENSMODG00000005511	43.82	24.53	69.33	43.23	41.41	0.3	0.17	0.35	0.87	0	0	1.92	1.14	0.07	0	0.3	45.8	56.18	86.67
ENSMODG00000012511	20.3	14.44	8.81	23.72	25.6	6.67	2.18	1.81	0.26	11.8	0	1.27	2.84	0.15	0.11	0.19	0	0.17	0.06
ENSMODG00000019183	46.65	53.02	83.24	47.03	52.87	71.67	57	50.62	44.14	74.37	96.53	57.18	36.32	121.76	73.84	61.93	36.81	51.52	62.29
ENSMODG00000009553	3.16	4.39	1.86	10.47	7.2	1.26	2.96	2.2	1.11	1.81	2	6.95	6.09	6.27	12.82	21.49	1.3	0	0.35
ENSMODG00000020081	10.63	7.99	4.8	0.5	0.74	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0
ENSMODG00000001213	46.38	45.72	53.93	6.19	6.15	0	0.29	0.07	0.11	0	0	0.72	0.81	0	0.09	0.16	0.28	0.51	0.2
ENSMODG00000014855	22.33	14.35	5.98	13.3	11.1	47.43	31.92	17.57	18.1	17.74	12.78	6.49	17.55	4.33	8.53	12.83	13.1	10	7.53
Locus_391856	0	0	0	0	0	0	0	0	0	2.66	3.93	0	0	0	0	0	0	0.95	2.57
ENSMODG00000002138	17.34	15.15	11.18	4.92	3.74	3.18	3.82	1.43	2.44	1.51	1.82	6.49	9.3	5.43	5.95	6.36	5.7	6.44	2.96
ENSMODG00000019409	1.69	1.08	1	1.79	2.36	17.38	11.93	29.55	27.41	3.12	2.96	3.47	7.94	2.87	3	3.17	7.07	6.26	3.75
ENSMODG00000018936	33.13	44.37	61.9	54.01	50.82	124.24	108.51	102.71	112.09	124.29	101.36	157.5	111.27	343.13	218	393.38	11.37	12.53	12.71
ENSMODG00000000969	158.84	290.58	149.96	141.76	143.1	336.9	419.59	750.37	879.91	821.02	803.06	513.88	1414.87	323.84	1219.25	956.2	236.63	291.02	188.48
ENSMODG00000019857	3.33	12.13	8	1.91	0	0	0	0	0	0	0	59.39	19.55	2.76	3.7	3.48	134.4	197.31	252.32
ENSMODG00000004971	17.31	11.33	25.39	14.76	13	3.49	7.55	8.88	19.62	10.59	13.62	36.07	24.36	47.08	10.51	23.05	40.9	42.77	103.09
ENSMODG00000003469	2.75	2.19	1.35	0.4	0.3	59.62	42.69	6.1	6.46	0.23	0	1.8	2.31	0.94	1.63	0.37	0.16	0	0.04
ENSMODG00000013212	1.03	1.29	1.29	0.47	0.24	0	0	0	0	0.27	0.39	0.61	0.15	2.66	0.18	0.22	0.19	0.09	0.15
ENSMODG00000017969	0	0	0	0.05	0.05	0	0	0	0	0	0	0.1	0.25	0	0	0	47.01	36.85	48.71
ENSMODG00000009719	13.38	10.65	13.81	11.07	11.95	5.11	6.17	9.68	7.14	9.73	7.78	6.74	6.56	11.12	5.19	12.24	6.85	9.57	8.02
ENSMODG00000008747	0.13	0.13	0.06	0	0.07	0	0	0	0	0	0	0.52	0.5	0.26	0.33	0.13	0	0.52	0.12
Locus_316948	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	4.66	9.41	4
ENSMODG00000003349	10.66	8.82	10.77	16.62	14.28	4.15	3.6	31.39	24.16	22.41	34.39	3.83	5.14	4.48	9.08	4.81	1.71	1.01	1.22
ENSMODG00000008968	89.24	112.6	197.94	115	123.01	8.5	6.82	12.21	11.26	4.25	8.2	34.25	18.07	19.82	11.53	13.81	394.25	341.77	943.61
Locus_372750	0.04	0.18	0.08	0	0	0	0.2	11.76	15.65	0	0	0	0.03	0.07	1.21	0.09	0	0	0
ENSMODG00000006034	82.69	78.92	57.08	137.63	155.36	329.4	224.79	318.83	301.52	211.39	230.52	64.22	147.45	51.42	284.49	145.36	379.92	359.66	270.46
Locus_230442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95
ENSMODG00000014711	0.25	0	0	0.12	0	0	0.08	0	0	0.78	0.77	0.1	0.22	0.08	0.09	0.32	0	0	0
ENSMODG00000015178	8.39	7.05	8.52	3.3	2.57	10.22	8.89	6.59	6.18	64.02	25.53	4.35	7.14	13.97	21.37	27.17	2.84	2.93	3.25
blastnHuman.ENSG00000253205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000025697	5.27	5.65	13.24	5.99	6.75	27.18	27.72	26.77	26.97	21.22	23.69	31.64	10.5	15.28	5.28	7.57	54.68	101.69	98.75
ENSMODG00000024763	0.36	0.5	0.23	0.37	0.55	0	0.13	0.11	0	1.24	0.61	0.12	0.2	0	0.07	0.34	0.9	0.74	0.92
ENSMODG00000016457	0.98	2.13	1.23	3.52	7.97	0.61	0.07	0.12	0.18	0.22	0	0.42	0.65	0.57	0	10.98	0	0.08	0.04
ENSMODG00000017395	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	3.05	0.36	0	0	0.17
ENSMODG00000004518	2.57	3.32	11.65	2.81	2.89	2.99	3.52	2.25	3.95	3.21	3.27	13.52	5.87	12.28	6.21	5.4	9.31	10.38	19.72
ENSMODG00000025366	5.31	3.3	6.03	2.27	1.58	0.95	1.54	1.93	0.56	5.95	0.5	4.59	4.39	0.88	1.88	2.7	0.37	0.18	0.23
Locus_419568	7.71	11.3	8.33	4.68	3.96	0.1	0.21	0.14	0.34	0.26	0.23	0.53	1.38	0.15	0.43	0.29	0.11	0.07	0.07
ENSMODG00000012361	7.55	2.78	6.67	4.18	3.28	1.6	1.98	4.09	4.78	21.7	18.56	20.58	10.68	8.2	0.32	4.14	6.97	6.02	9.37
Locus_231581	0	0	0	0	0	0	0	0.58	1.75	0	0	0	0.15	0	0	0.43	4.62	4.17	2.68
Locus_232246	0.24	0	0.27	0.11	0	0.45	0.08	0	0	0.49	0	0.09	0.07	0.47	0.51	0.59	4.22	6.84	13.29
ENSMODG00000002207	0.51	1.76	0.99	1.72	1.17	1.12	4.88	1.31	3.17	1.45	1.78	1.05	1.46	4.2	13.09	3.92	314.5	246.62	218.29
ENSMODG00000016991	245.56	249.78	87.11	473.56	450.07	1137.51	344.47	356.19	189.57	211.05	318.22	111.99	179.62	154.12	187.81	172.42	112.95	108.63	44.04
Locus_232257	0.07	0	0	0.16	0	0	0	0	0.6	0	0	0	0	0	0.13	0	1.31	1.42	0.77
ENSMODG00000013463	30.45	43.55	32.08	65.3	79.73	4.1	3.59	9.09	4	1.88	0.83	7.94	5.46	3.96	3.44	1.87	4.13	7.9	5.13
ENSMODG00000003576	14.01	9.08	13.26	11.12	10.96	0.27	0.43	0.03	0.04	0.39	0.07	0.06	0.06	0.03	0.03	0	0	0	0.04
ENSMODG00000000109	5.42	4.94	6.94	2.85	4.18	1.24	1.69	4.54	5.87	0.67	0.56	5.41	6.81	2.03	5.74	1.9	13.34	10.04	13.02
ENSMODG00000005464	10.51	11.64	4.38	18.05	16.75	518.54	314.6	149.9	148.16	57.16	96.71	11.57	22.58	25.41	31.28	53.69	7.64	9.02	3.88
ENSMODG00000002127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.08	0
Locus_187806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01	2.97	2.59
Locus_89020	0.47	1.31	0	0.18	1.08	0	0.63	0.22	0.33	0.81	0.6	0.31	0.11	0.52	0.42	0.16	0	0.58	0.63
ENSMODG00000012418	29.77	31.43	31.31	0.46	0	0	0	0	0	0	0	3.3	3.01	1.98	0.35	0.83	0.74	0.36	0.59
blastnPlatypus.Locus_162020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_318877	5.7	4.19	20.36	1.54	1.42	2.75	9.37	4.28	6.28	4.44	7.29	12.18	9	24.6	39.07	18.25	1.96	1.23	5.96
ENSMODG00000016864	6.03	5.99	7.64	12.03	11.41	12.13	9.6	9.96	6.83	14.88	13.97	12.06	8.48	9.06	6.2	6.33	7.92	8.14	13
ENSMODG00000006377	8.15	5.92	5.89	5.35	6.09	72.28	71.92	0.24	0.57	0.61	0.39	2.6	1.87	0.65	0.63	0.88	29.02	22.98	15.7
ENSMODG00000006978	292.01	496.95	434.53	257.22	306.01	792.84	912.58	75.01	156.47	7.63	3.47	99.49	217.78	31.05	146.08	62.23	3.81	2.71	5.33
ENSMODG00000006436	42.78	19.52	49.83	6.68	5.46	0	0.03	0.08	0	0	0.07	0.31	0.51	0.31	0.05	0.12	0.07	0.08	0.05
ENSMODG00000012546	7.75	4.63	8.3	5.46	5.24	0.99	0.62	0.74	0.81	0.11	0	4.16	2.22	0.53	0.13	0.39	0.55	1.07	1.43
ENSMODG00000009881	0	0	0	0	0	0	0	0	0	0	0	0.29	0.16	0.06	0.26	0.08	0.41	0.07	1.07
Locus_90243	0	0	0	0	0	1.73	2.89	0	0	0	0	0.24	0	0	0	0	0	0	0
ENSMODG00000021170	6.57	8.71	8.26	6.88	8.39	0.68	0.39	0.28	0.78	0.07	0.32	14	6.86	8.84	1.8	7.56	36.12	26.85	64.26
Locus_122365	0	0	0	0	0	0	0	0	0	0	0	0.72	0	0	0	0	0	0	1.22
ENSMODG00000013681	7.07	5.83	5.77	6.48	6.49	7.77	6.61	4.67	5.81	5.66	6.08	3.89	4.05	2.62	3.47	3.03	4.92	5.9	2.91
ENSMODG00000013322	5.23	3.55	8.26	6.96	5.63	17.17	11.95	6.86	6.44	6.61	4.84	10.2	4.5	11.98	3.29	4.04	93.72	97.04	63.65
ENSMODG00000006107	0	0	0	0	0	0	0	13.16	6.75	0	0	0.04	0.14	0.13	0.14	0.16	0	0	0.04
ENSMODG00000022564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000017687	16.49	12.38	24.2	9.23	8.98	3.73	5.34	8.7	9.26	2.93	2.88	7.09	6.96	5.92	2.18	4.15	13.31	19.76	28.23
Locus_373841	0.31	0.65	0.5	0.36	0.47	0.75	0.5	0.29	0.22	0.8	0	0.25	0.11	0	0	0.22	1.35	1.43	1.5
Locus_377910	1.21	0.3	0.14	1.79	0.97	2.72	1.82	1.19	0.6	0.37	1.08	1.39	0.36	0.47	0.76	0.6	1.85	2.47	4.75
Locus_320123	0.02	0	0	0	0	0.24	0.32	0.07	0.42	4.76	4.18	2.35	0.65	0.25	0.36	0.1	0	0	0.17
ENSMODG00000014721	3.6	1.93	4.55	3.6	3.07	2.65	4.15	2.84	2.43	3.99	2.19	7.7	4.48	5.37	5.12	3.1	1.97	1.82	4.03
Locus_193277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	1	2.6	1.21
Locus_391501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	1.12	5.73
Locus_320068	0	0	0.31	0	0	0	0	0.22	0	0	0	0	0	0.13	0	0	1.49	0.59	2.79
Locus_99211	1.27	0.75	0.44	1.61	1.91	0.76	0.91	1.01	1.34	0.93	0.34	0.55	1.11	0.34	0.73	0.52	0.67	0.29	0.23
Locus_121603	0	0	0	0.39	0.58	0	0	2.35	0.71	0.43	1.28	0	0	0.28	0.15	0	0	0	0
ENSMODG00000009460	6.38	1.76	4.39	0.3	0.22	0	0	0.27	0	0	0	0.51	0.07	0.38	0	0.14	0	0	0
blastnPan.Locus_94166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000006743	2.07	1.29	1.14	2.3	2.06	0.36	0.62	1.66	1.99	1.85	1.51	1.57	3.24	0.82	3.48	0.88	9.33	9.23	11.27
ENSMODG00000020538	11.89	10.38	19.75	4.88	4.81	0.95	1.07	13.03	7.16	0.09	0.25	5.18	2.53	0.69	0.3	0.52	18.33	27.76	23.54
blastnMacaque.Locus_474184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000001504	45.7	68.2	26.11	48.56	55.04	67.84	46.74	40.94	75.93	61.7	69.85	31.14	45.61	122.6	108.97	95.89	94.92	58.87	46.93
ENSMODG00000010161	24	22.84	44.49	18.11	22.23	19.94	27.25	17.74	19	13.55	10.84	25.84	10.94	30.43	11.52	21.11	8.96	13.66	11.36
ENSMODG00000011261	17.33	23	24.04	28.45	33.32	159.49	87.77	43.51	22.92	34.93	36.84	49.17	50.21	60.53	95.57	64.47	60.09	90.13	57.13
ENSMODG00000022735	0	0	0	0	0	0	0	0	0	0	0	0.01	0.14	0	0	0	0	0	0
ENSMODG00000013948	12.62	8.37	8.5	23.79	19.78	9.23	6.57	12.33	7.81	12.01	11.62	9.67	8.02	7.35	1.57	4.54	62.99	61.39	53.57
ENSMODG00000010763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
ENSMODG00000007057	128.64	105.25	125.97	188.36	175.71	0	4.86	0	0.77	0	0	2.07	3.55	0	0	0	0.68	2.55	0.54
ENSMODG00000015566	23.77	23.04	10.94	47.37	47.84	92.87	52.42	63.44	28.26	136.8	106.05	8.8	13.25	13.96	6.22	25.72	2.81	2.82	1.51
Locus_187477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61	1.19	2.16
Locus_372121	0	0	0	0	0	0	0	0	0	0	0	0	0	5.48	0.35	0	0	0	0
ENSMODG00000004201	59.35	87.88	54.37	66.86	61.93	81.18	137.05	65.52	91.9	85.12	89.31	21.05	80.81	31.44	248.24	173.39	31.5	19.52	23.18
Locus_191100	0	0.14	0	0.15	0	0	0	0	0.14	0	0	0	0	0	0	0.07	2.2	1.87	1.41
ENSMODG00000023488	1.3	0.94	0.52	0.72	1.13	39.12	19.66	2	1.71	9.71	8.2	0.61	0.84	0.75	0.88	4.79	15.18	12.91	5.77
ENSMODG00000017663	2.51	1.69	1.4	0.27	0.24	0.33	0.22	0	0.05	0.06	0	0.31	0.48	0.19	0.39	0.29	543.41	364.11	539.76
ENSMODG00000005491	0.31	0	0	0.36	0.36	0	0	0	0	0	0	2.31	2.62	0.26	0.56	0	1.75	3.46	4.08
blastnHuman.Locus_159237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000007419	1.42	2.95	2.36	0.74	1.03	0.62	1.96	2.7	2.45	4.65	4.9	8.45	8.57	8.78	15.73	5.26	1.68	2.48	5.65
ENSMODG00000016022	14.6	14.99	22.93	20.39	19.6	47.26	46.94	46.44	47.99	43.23	46.67	51.87	22.13	91.9	38.06	31.74	17.55	24.55	35.2
ENSMODG00000016619	7.35	11.55	10.05	17.06	20.97	46.93	19.21	24.22	20.55	10.35	10.09	9.16	14.47	15.76	39.51	14.38	16.12	11.26	11.25
ENSMODG00000021047	10.62	20.16	2.66	12.4	17.18	33.68	20.66	50.49	33.46	76.06	89.37	3.32	19.4	1.88	21.37	9.07	18.44	13.7	4.76
ENSMODG00000014988	10.58	13.4	2.79	7.86	9.22	7.95	3.16	2.61	0	11.76	26.05	1.73	4.35	0.34	8.69	2.17	3.08	3.23	0.72
Locus_188569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82	3.58	2.05
ENSMODG00000008062	4.37	2.69	1.61	4.5	2.29	2.97	2.72	0.2	0.1	0.49	0.18	1.29	2.49	0.08	0.26	0.4	0.8	1.31	0.33
ENSMODG00000021070	50.73	57.89	20.09	23.82	19.64	0.16	0	0	0	0	0	0.13	0.56	0	0	0	0	0	0.03
ENSMODG00000025101	8.68	3.64	4.08	1.86	1.14	0	0	0	0	0	0	0.12	0.23	0.1	0	0.26	0	0	0.19
ENSMODG00000008958	0.26	0	0.25	1.2	0.3	0	0	0.36	1.1	0	0	1.41	3.21	0.65	0.47	8.21	0	0	0
ENSMODG00000002637	3.26	2.08	2.23	6.3	4.27	7.34	2.93	6.9	4.34	2.5	2.53	8.46	4.07	1.98	0.33	0.51	0.81	1.15	0.86
Locus_89213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	3.64
ENSMODG00000001445	8.32	12.34	31.25	2.9	3.05	1.81	5.78	3.53	7.34	4.96	3.01	26.82	13.68	31.36	26.32	16.86	29.58	62.74	122.59
ENSMODG00000000198	3.77	6.36	5.48	1.11	2.27	40.41	23.88	9.6	16.2	11.63	11.97	3.29	2.77	13.33	19.73	8.61	0.52	0.66	0.9
ENSMODG00000009964	9.19	10.31	44.75	7.71	6.31	7.95	15.22	5.56	8.9	9.32	14.05	77.18	24.22	31.67	24.07	12.68	19.62	32.13	85.24
ENSMODG00000017600	3.14	1.41	1.58	3.69	2.58	3.11	3.82	2.89	1.84	4.29	5.08	2.5	1.88	2.67	0.62	3.71	8.88	6.33	6.53
ENSMODG00000022889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000001177	19.26	25.37	81.58	12.23	12.54	11.22	18.29	10.37	12.2	14.21	10.98	59.32	13.07	24.28	14.51	8.71	20.28	38.75	59.03
