Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male1	Testis_Male2	Testis_Male3	Testis_Male4
ENSOANG00000004966	48.64	44.35	132.75	28.34	29.99	0	1.15	2.69	1.41	0	0	3.04	0.17	0.23	8.61	6.32	8.12	25.64
ENSOANG00000003960	9.85	8.41	9.4	7.89	11.49	45.46	78.68	16.43	22.15	17.34	34.62	9.42	15.69	16.2	20.65	20.94	22.03	31.01
Locus_172095	1.66	3.41	18.54	3.33	2.94	6	1.03	1.94	0	2.4	1.02	92.81	10.31	11.84	24.84	21.69	19.69	86.25
ENSOANG00000003502	3.71	4.6	3.24	10.04	7.16	9.33	6.4	8.58	5.15	2.12	3.02	8.46	10	11.35	43.59	39.91	49.82	35.54
ENSOANG00000008530	42.42	31.63	40.06	32.31	22.98	11.75	11.81	21.11	16.2	1.21	1.14	40.73	42.53	31.97	18.13	18.12	22.62	19.25
blastnHuman.ENSG00000235533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000004928	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	2.32	2.4	4.64	5.44
ENSOANG00000006296	14.86	10.47	11.66	36.01	9.99	25.74	17.76	17.45	12.34	23.15	15.99	62.09	24.86	24.39	14.55	11.52	26.22	14.76
ENSOANG00000007757	11.17	8.27	3.6	11.23	15.87	18.67	9.9	17.57	10	9.13	12.37	11.78	11.15	13.99	64.8	52.72	46.69	28.06
Locus_84600	0.57	0.14	0.98	0.53	0.96	0.49	0.3	0	0	0	0	0.06	0	0.08	0.59	0.32	0.29	0.32
Locus_77376	0.18	0.52	0.37	0	0.22	0	0	1.03	0.6	0	0	0	0.48	0	1.65	0.36	0.27	0.26
ENSOANG00000007243	0.24	0	0.42	0.09	0	0.83	0.25	0.47	0.55	3.3	0.74	15.16	2.21	3.07	8.79	6.4	11.63	58.88
ENSOANG00000003275	70.81	63.73	62.78	42.73	50.28	43.35	47.63	39.66	54.43	60.8	45.77	68.75	199.84	235.95	36.27	47.05	27.46	22.9
CUFF.80889	0.45	0.66	0.92	0	0	0	0	0	0	0	0	0.15	0	0	0	0.15	0	0
ENSOANG00000003770	9.85	17.8	18.89	25.25	19.15	14.18	8.87	8.92	7.69	7.26	6.76	23.21	10.37	7.2	26.27	19.17	40.36	34.38
Locus_109587	0	0.75	0	0.57	0.32	0.66	0	0	0	0	0.79	0.34	0.23	0.64	11.17	4.14	10.51	1.61
ENSOANG00000000798	0.11	0	0.11	0.12	0.2	0.41	0.82	0	0	59	193.28	0.03	0.05	0.04	2.3	2.41	1.76	1.76
ENSOANG00000021817	33.71	18.87	33.55	24.14	30.74	15.69	54.75	53.42	54.03	182.77	225.14	141.16	126.59	116.03	242.35	106.54	126.46	187.06
ENSOANG00000006469	0.91	1.01	2.25	0.38	0.14	0.3	2.5	2.68	3.51	1.38	2.12	9.84	1.78	3.52	33.22	26.86	33.81	82.13
ENSOANG00000010448	20.62	7.53	24.94	7.46	6.63	4.83	24.33	2.38	11.48	34.24	8.86	25.55	76.42	68.64	9.15	11.61	12.92	24.71
ENSOANG00000010149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.19	0
ENSOANG00000008410	0.04	0	0.27	0.43	0.22	0	0	20.07	15.84	0	0	2.19	6.07	0.72	0.13	0.06	0.2	0.13
ENSOANG00000008165	0.51	0.37	0.18	0.28	0.11	0.44	0.79	131.54	42.83	1.02	13.86	19.39	29.44	22.22	17.45	33.81	31.47	19.93
blastnMacaque.Locus_100049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_52783	1.13	0.96	1.01	0	0	0	0	0	0	0	0	0.32	0	0.13	0	0	0	0.08
ENSOANG00000022644	0	0	0.24	0	0	0.59	0	0.67	0	0.55	0	0.76	0.42	0.19	0	0	0	0
ENSOANG00000001079	32.4	27.56	17.67	0.19	0	0	0	0	0	0	0	1.77	4.28	1.25	1.04	0.56	0.25	1.06
ENSOANG00000020565	5.67	2.99	13.12	4.02	4.55	3.9	4.39	9.17	11.81	21.55	19	101.38	41.25	63.37	25.39	51.65	34.7	115.41
ENSOANG00000021124	5.34	6.99	13.53	9.95	3.01	1.53	1.85	0	7.08	2.87	11	5.5	0	0	3.71	5.21	12.66	7.21
Locus_17208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	1.52	1.88	2.39
ENSOANG00000021742	16.05	13.93	24.37	50.34	49	0	0	0	0	0	0	2.28	2.89	0	0.9	0.58	0.44	1.81
ENSOANG00000000552	64.78	43.59	146.15	43	42.06	43.75	38.26	25.95	34.23	44.77	35.92	120.69	66.16	74	47.72	39.49	52.56	129.65
ENSOANG00000005026	1.87	0.49	6.28	2.53	1.6	3.56	7.23	5.82	3.95	4.13	2.04	54.61	18.92	24.14	6.37	8.71	7.48	26.05
ENSOANG00000001002	2.2	2.16	0.76	1.49	2.62	6.9	3.33	5.09	3.53	26.64	58.98	4.91	4.46	14.36	7.71	5.18	4.48	2.07
ENSOANG00000019950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0
ENSOANG00000004141	3.5	0.36	2.73	1.85	0.47	0.48	0	0.18	0.42	4.01	1.14	11.7	5.11	10.25	0	0	0.28	0.12
ENSOANG00000015632	0.18	0.09	1.06	0.37	0.4	54.22	68.26	0.89	1.34	0.22	0.56	0.18	0.21	0.04	1.04	1.01	1.5	1.81
ENSOANG00000000365	52.72	49.54	71.48	62	70.06	22.9	28.59	23.65	27.48	28.65	40.6	201.83	98.32	187.67	90.8	218.21	106.35	311.89
ENSOANG00000006826	0.75	1.39	0.98	0.84	0.48	10.71	8.23	0	0	0	0	0.12	0.17	0.16	0	0.25	0	0
ENSOANG00000002485	15.41	14.07	24.61	13.21	12.1	12.09	18.69	6.86	7.91	6.71	5.76	29.9	13.83	13.11	18.83	15.09	13.84	18.93
ENSOANG00000014051	43.05	29.63	181.08	31.2	21.6	18.1	30.02	25.76	42.82	49.21	45.52	188.37	68.03	51.08	34.03	30.09	34.73	143.68
ENSOANG00000003834	62.83	29.36	45.35	39.48	23.23	130.8	143.34	53.71	31.02	70.43	25.32	29.13	35.4	39.47	9.91	9.79	10.71	20.76
ENSOANG00000009139	62.16	86.12	28.67	55.64	83.44	201.1	252.13	166.63	124.04	64.68	95.25	26.19	87.7	117.25	149.08	141.86	155.65	83.95
ENSOANG00000003705	11.45	10.29	5.03	65.02	53.57	0.5	0.61	0.57	0.17	0	0	0.19	0.36	1.13	38.51	22.54	27.37	14.66
ENSOANG00000011937	29.25	27.15	99.29	29.37	16.75	2.98	4.07	1.47	1.45	0.85	0.46	19.81	6.15	3.66	33.82	21.75	27.27	86.57
Locus_136212	0	0	0	0	0	0	0	0	0	0	0	1.93	0	1.21	0	0.49	0	0.18
Locus_66155	7.02	4.2	29.83	4.7	3.03	2.09	5.42	4.19	7.83	6.44	2.86	33.17	16.67	13.24	25.68	19.87	38.93	111.42
ENSOANG00000001396	11.69	10.99	3.13	16.24	23.48	90.17	79.31	96.4	61.51	49.76	94.09	7.21	19.94	24.46	81.26	45.19	56.55	7.44
ENSOANG00000009141	12.67	17.01	9.15	35.2	39.85	40.98	18.38	21.26	20.07	7.67	12.6	10.65	21.15	9.22	7.08	13.15	8.63	5.61
ENSOANG00000001081	0	0	0	0	0	0	0	0	0	0.15	0	14.52	2.82	4.37	15.1	8.07	11.69	30.98
Locus_900	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95
ENSOANG00000008055	146.69	199.4	49.92	162.44	348.81	346.92	231.7	208.8	76.42	59.36	130.6	21.67	19.55	52.23	391.84	264.81	203.63	86.81
ENSOANG00000006604	33.76	42.3	107.96	98.37	46.5	2.76	3.33	2.29	3.15	6.11	3.3	12.5	9.83	5.32	3.33	4.44	4.34	9.2
ENSOANG00000022158	6.81	2.51	8.03	3.81	0.89	1.21	0.73	1.72	0.7	0.43	0.36	3.73	3.71	0.63	0.73	0.28	0.45	0.43
ENSOANG00000002658	6.22	3.64	19.71	6.1	4.05	2.76	3.06	1.88	4.65	4.44	2.5	31.79	10.54	7.12	15.32	9.18	15.6	36.24
ENSOANG00000007467	2.97	0.12	0.57	0.7	0.49	1.01	2.2	1.15	0.13	4.16	1.93	5.9	18.54	29.24	0.73	1.69	1.79	2.01
ENSOANG00000010728	0	0	0	0	0	0	0	0	0	0	0	0	0.97	0.22	0	0	0	0
ENSOANG00000010926	15.27	15.44	41.44	4.69	15.17	0.39	4.21	0	0.26	0	0	3.37	2.19	2.12	287.78	135.78	187.66	654.82
ENSOANG00000004795	1.26	1.75	2.54	2.08	1.69	8.06	5.79	8.27	2.91	7.54	6.42	24.58	15.97	16.16	4.17	3.66	3.06	2.52
ENSOANG00000001310	3.19	6.43	1.57	2.82	1.7	0.87	0.52	0.49	0.86	1.22	1.04	0.11	5.54	1.54	1.05	0.23	1.28	0.33
blastnPan.Locus_94166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000013841	0	0	0	0	0.15	0	0	1.02	0.39	0.28	0.36	1.3	2.65	4.14	7.59	6.09	4.23	2.92
ENSOANG00000007510	3.01	2.33	10.09	3.17	2.29	1.96	1.46	0.85	1.71	1.29	1.03	15.02	6.26	2.69	2.09	1.59	1.9	4.97
ENSOANG00000019964	116.62	94.08	30.56	98.93	100.67	178.52	263.98	137.87	114.91	170.12	114.89	41.39	379.79	479.72	117.33	141.72	260.66	65.43
ENSOANG00000011400	22.7	17.62	28.94	18.02	15.15	46.02	26.35	38.26	18.31	15.22	11.38	28.96	22.06	15.3	13.42	12.02	7.48	10.58
Locus_54754	0.16	0	0.34	0.18	0	0	0	0.48	0	0	0	0.43	0	0.14	0.51	0.11	0	0.08
ENSOANG00000012488	10.13	11.42	42.03	33.48	17.82	7.71	11.17	33.24	15.25	36.07	12.53	39.58	12.45	3.67	2.24	2.58	1.09	5.68
ENSOANG00000003905	12.65	14.93	6.19	12.38	10.98	11.33	9.4	11.3	14.49	11.99	13	2.9	5.23	6.18	6.64	8.31	9.18	5.8
ENSOANG00000014310	1.98	1.72	3.64	1.01	0.91	0.7	0.84	0.79	0.92	0.87	1.95	8.7	5.35	15.48	0	0.85	0.14	0.35
ENSOANG00000014095	18.05	12.09	27.23	15.19	12.47	17.75	23.3	89.77	48.35	19.87	17.53	65.26	61.37	36.23	8.4	7.46	5.69	7.54
ENSOANG00000012812	1.69	3.32	0.88	3.78	3.74	26.93	15.38	54.09	9.36	143.73	264.09	10.91	30.29	12.17	15.39	10.55	6.01	2.05
ENSOANG00000003913	20.12	15.8	26.47	15.08	15.95	15.59	18	8.33	9.83	9.87	9.32	36.89	51.89	52.33	20.51	21.67	17.44	20.2
blastnOpossum.Locus_377146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000009824	64.3	70.01	60.8	56.53	66.46	74.75	79.51	76.33	62.56	28.39	35.4	64.56	78.25	72.5	15.29	26.31	21.87	18.12
Locus_177735	0	0	0	0	0	0	0	0	0	0	0	2.42	0.72	0.65	0	0	0	0
Locus_60680	0	0	0	0	0	0	0	0	0	0	0	2.96	0.63	2.57	0	0	0	0.33
Locus_66510	0	0	1.94	0	0	0	0	0	0	0	0	4.35	1.03	0.62	0	0.13	0.86	0.36
ENSOANG00000010466	11.12	15.21	4.94	12.44	15.09	16.43	14.88	37.29	31.15	1.92	9.82	7.37	26.19	19.15	7.45	21.45	9.69	7.33
ENSOANG00000006219	27.78	41.56	26.51	60.92	53.83	25.62	16.46	47.42	20.14	2.74	3.14	23.22	22.25	8.46	20.3	15.45	10.22	6.39
ENSOANG00000008959	20.91	11.51	32.11	13.92	16.43	137.28	124.03	52.82	39.27	17.3	24.15	66.21	56.86	30.59	35.58	28.69	46.43	58.66
ENSOANG00000006018	1.15	1.78	6.15	0.06	0.29	0	0	0	0	0.14	0	0.19	0.11	0	0	0.04	0	0.03
Locus_137200	0	0.56	3.92	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000012764	1.19	0	4.78	2	3.58	0	0.46	0	0	0	0	17.44	2.86	3.22	5.11	3.52	4.31	47.2
Locus_53695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	2.04
ENSOANG00000008719	5.98	2.77	3.9	2.68	3.46	5.74	7.47	6.52	6.41	4.55	5.28	6.96	8.45	10.65	8.28	7.96	10.81	10.17
ENSOANG00000004585	7.19	10.37	6.68	6.47	6.29	38.7	40.26	10.65	6.57	93.42	59.33	40.69	29.45	40.53	15.28	16.66	19.21	10.04
ENSOANG00000006273	48.31	658.96	809.58	28.56	68.63	0	0	18.81	12.03	0	0	12.17	11.44	18.49	5.05	5.35	8.05	8.61
ENSOANG00000005685	3.94	1.93	1.55	2.52	4.51	0.48	2.34	1.1	0.96	3.18	2.32	2.86	2.23	2.34	1.17	1.9	1.14	3.73
Locus_36525	0.47	0	0.16	0.35	0	0	0	0	0.27	0	0	0	0.58	0.13	5.4	0.95	1.92	1.91
Locus_15626	0.54	0.94	1.58	6.99	9.4	0	0	0	0	0	0	2.31	0.27	0.12	0	0.1	0	0.17
ENSOANG00000019878	25.01	20.7	55.21	20.67	15.93	7.09	19.09	1.65	8.15	17.68	9.99	43.94	12.93	21.84	8.78	11.53	18.86	38.85
ENSOANG00000021886	0	0	0	0	0	0	0	9.65	2.18	3.98	1.13	27.96	20.58	18.07	0	0	0	0.18
ENSOANG00000011598	0.75	4.3	12.88	3.34	3.35	8.43	7.21	1.99	0.93	0.66	0	4.9	1.55	0.34	4.88	1.15	1.45	1.98
ENSOANG00000011710	4.34	3.9	6.89	9.33	15.63	0.35	0	1.19	0.46	0	0	4.49	3.91	3.78	1.27	0.87	1.45	0.82
Locus_119391	0	0	0	0.76	0	0	0	0	0	0	0	0	0	0	4.26	0.69	0.52	1.82
ENSOANG00000002379	30.08	39.71	23.31	36.84	32.05	7.88	4.53	0.26	0	0	0	0.06	0.08	0.19	0.45	0.25	0.35	0.08
ENSOANG00000013423	72.89	51.53	61.89	33.29	33.13	34.6	69.52	14.79	33.04	34.27	30.61	67.18	41.38	64.14	47.63	58.67	51.05	106.87
ENSOANG00000000948	2.49	2.51	13.97	5.85	3.61	3.05	1.76	2.97	2.78	2.22	2.61	20.35	7.97	1.82	7.67	5.48	9.06	18.6
ENSOANG00000013240	44.74	31.66	160.9	33.9	33.02	65.15	106.74	14.47	17.72	34.54	22.33	72.01	20.33	33.39	24.23	56.86	61.79	174.95
ENSOANG00000021041	9.43	8.81	21.64	16.81	12.85	5.89	3.05	7.06	6.54	4.09	4.02	26.5	14.12	6.16	40.86	32.32	49.79	66.9
ENSOANG00000020713	8.15	5.24	38.43	6.8	5.82	2.3	3.71	7.83	6.83	12.2	12.38	123.4	24.31	4.68	38.01	17.52	26.46	80.26
ENSOANG00000000642	10.64	14.7	12.51	14.16	13.7	5.85	2.36	9.84	3	20.49	35.51	32.1	36.39	19.65	26.2	18.4	14.06	12.91
Locus_141286	0	0	0.4	0	0	0	0	0	0	0	0	0.77	0	0	0	0	0	0.38
ENSOANG00000014708	3.96	4.83	11.15	3.78	3.06	1.64	3.25	1.12	2.73	2.52	2.44	45.87	9.57	12.21	15.81	14.4	15.27	40.72
ENSOANG00000008077	2.52	11.72	16.97	1.19	0.67	60.34	97.91	8.56	5.54	4.65	1.23	5.05	2.31	4.13	4.14	1.84	3.74	4.15
ENSOANG00000006550	169.32	188.37	100.07	147.76	163	191.3	225.25	204.14	228.89	172.24	183.39	38.75	75.97	89.62	105.74	106.57	104.63	66.86
ENSOANG00000001293	23.22	32.09	83.61	14.35	10.88	9.99	9.11	30.51	11.92	44.37	50.07	32.73	10.96	8.3	14	9.66	13.6	16.92
ENSOANG00000003482	8.8	14.91	5.02	13.29	15.05	0	0	0	0	0	0	0	0	0	0	0	0.67	0
ENSOANG00000009525	7.59	9.73	12.82	0.1	0.17	0	0	0	0.08	0	0	2.54	1.47	2.86	2.37	1.03	10.01	0.54
ENSOANG00000001104	0.74	1.23	1.05	0.52	0.23	1.67	1.44	6.51	4.57	1.79	2.86	8.14	11.17	5.84	1.16	1	1.41	0.85
ENSOANG00000006233	0.02	0.05	0.15	0.03	0.01	0.05	0.8	0.03	0.06	0.04	0.05	0.53	0.14	0.1	0.03	0.02	0	0.02
ENSOANG00000006000	0	0	0	0	0	0	0	0	0	0.52	0	0.14	1.18	1.42	0.67	1.44	2.61	0.73
ENSOANG00000008649	7.01	5.21	19.84	11.15	7.95	2.88	3.48	3.63	5.46	6.5	4.73	72.9	15.04	14.47	24.53	15.69	24.26	70.32
ENSOANG00000008186	26.37	22.84	72.52	22.68	27.42	10.63	9.89	58.38	37.96	45.98	38.43	180.83	70.21	61.45	50.52	40.12	27.75	77.48
ENSOANG00000019859	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0
ENSOANG00000014963	33.73	19.69	20.78	18.23	15.28	8.85	3.56	55.96	15.29	16.96	14.61	20.19	42.54	15.58	9.68	7.04	4.47	6.41
ENSOANG00000005990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000014218	0	0	0	0	0	0	0	0.83	1.45	0	0	11.8	4.01	2.7	2.21	0.95	1.94	4.74
Locus_67087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38	0.95	1.91	2.2
Locus_131337	0.51	0	0.45	1.54	1.28	0	0	0.64	0.25	0	0	0	0	0	0.23	0.29	0.44	0.11
Locus_89496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0.97	0.94	2.59
ENSOANG00000014907	1147.61	1029.57	1040.17	742.74	1017.69	5467.11	5356.43	2578.97	1717.93	2048.15	2212.96	671.94	752.67	773.13	722.56	838.39	522.57	978.99
ENSOANG00000000909	6.66	4.05	14.66	5.91	5.43	6.55	4.56	4.69	5.21	4.67	3.37	40.19	18.29	11.19	138.22	91.64	124.67	279.67
CUFF.161684	0	0	0	0.26	0	0	0	0	0	0	0	0	0	0	1.46	0.95	0.36	0.57
Locus_173301	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0.53	0.12	0.26	0.42
ENSOANG00000003513	1.49	0.55	0.13	0	0.16	1.93	107	28.05	42.54	0	0	54.69	66.28	44.27	3.49	1.84	2.27	3.38
Locus_188670	0	0	0.46	0.25	0.28	0	1.38	0	0	1.07	3.42	0	0.2	0.92	0	0.15	0.34	0.21
ENSOANG00000007997	19.81	19.14	15.24	3.1	1.89	2.75	0	0	0	0	0	3.53	7.22	6.2	0	0.14	0	0
ENSOANG00000002530	24.79	25.59	30.79	27.58	30.62	7.51	7.73	28.63	22.72	11.75	14.42	24.03	18.66	10.84	61.89	28.9	39.56	38.9
ENSOANG00000019728	0	0	0	0.34	0	3.13	0	4.44	1.03	0	0	0.2	0.55	0.25	0	0.2	0	0.88
ENSOANG00000014513	30.85	28.01	19.11	26.27	29.98	77.28	56.96	13.09	5.29	7.98	4.2	21.47	18.66	23.23	42.45	44.03	26.33	19.14
Locus_26036	0.34	0	0	0	0	0	0	0	0	0.82	0	3.82	0.93	3.95	0	0	0.52	0.16
ENSOANG00000001138	35.8	34.02	6.59	39.44	46.35	24.33	19.46	44.28	22.92	31.05	30.41	6.07	12.25	23.72	6.49	4.87	4.84	1.42
Locus_193352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0.32	0.37	1.87
ENSOANG00000012913	4.09	2.06	3.1	3.01	1.77	15.99	8.41	23.99	16.83	1.21	1.54	5.48	5.75	18.9	13.09	8.69	10.34	5.09
ENSOANG00000020444	2.47	0.94	2.15	2.59	3.13	1.86	1.74	3.51	2.04	3.67	3.45	27.58	12.64	13.59	17.7	16.05	16.54	14.26
ENSOANG00000022441	0	0	1	0	0	2.5	0	0	0	0	0	3.2	0	0.8	0	0	0	0.47
ENSOANG00000014432	45.44	31.9	64.2	39.36	29.01	42.83	53.87	27.03	37.33	46.15	33.72	121	82.43	72.1	41.29	43.92	40.16	86.36
ENSOANG00000014323	11.66	11.7	13.99	6.73	6.77	11.02	10.56	2.38	2.77	3.19	5.12	5.42	4.8	2.42	15.11	10.27	10.26	11.96
