Gene	Brain_Male2ss	Brain_Male7	EmbryonicBrain_Indiv1	EmbryonicBrain_Indiv2	EmbryonicLiver_Indiv1	Ovary_Female3	Placenta_Indiv3	Placenta_Indiv4	Placenta_Male1	Testis_Male3
XLOC_013714	0	0	0	0	0	0	0	0	0	0.72
blastnMacaque.CUFF.183373	0	0	0	0	0	0	0	0	0	0.18
blastnMacaque.Locus_313737	0	0	0	0	0	0	0	0	0	0.47
ENSG00000119688	1.92	3.19	5.25	5.36	1.82	5.18	4.81	5.17	4.21	3.74
XLOC_010713	0	0	0	0	0	0.05	0	0	0	0.05
ENSG00000155622	0	0	0	0	0	0	0.52	0.46	0.13	0
ENSG00000139168	42.23	46.09	4.35	3.34	16.63	13.83	14.97	14.7	43.98	101.89
blastnGorilla.Locus_464291	0	0	0	0	0	0	0	0	0	0
ENSG00000124164	15.76	22.5	7.54	6.63	5.77	5.9	5.14	4.21	6.64	4.83
XLOC_010448	0	0	0	0	0	0	0	0	0	2.52
ENSG00000187003	0	0	0	0	0	0	0	0	0	119.09
blastnPan.CUFF.171495	0	1.21	0	0	0	0	0	0	0	0
blastnMacaque.Locus_115177	0	0	0	0	0	0	0	0	0	0.05
ENSG00000253339	0	0	0	0	0	0	0	0	0	0
ENSG00000162704	30.09	38.18	28.39	24.45	43.77	37.1	94.19	87.13	115.01	28.77
ENSG00000096006	0	0	0	0	1.73	0.68	0.37	0.06	0.05	0.02
ENSG00000171396	0	0	0	0	0	0	0	0	0	0
ENSG00000204764	0.24	0.23	3.52	6.13	4.19	0.34	0.26	0.36	0.33	2.26
ENSG00000107566	3.5	2.99	3.09	2.95	33.74	10	16.32	14.95	14.99	11.08
ENSG00000184792	3.75	6.55	4.62	4.35	19.97	0.61	1.38	1.07	1.49	8.74
blastnMacaque.Locus_473951	0	0	9.29	9.87	0	0	0	0	0	0
ENSG00000163125	5.81	8.02	11.68	14.02	7.49	6.82	3.88	3.59	3.76	7.56
ENSG00000065613	16.94	31.49	9.74	8.44	22.16	11.78	8.73	5.83	33.62	29.1
blastnGorilla.Locus_338295	0	0	0	0	0	0	0	0	0	0
ENSG00000228295	0	0	0	0	0	0	0	0	0	0.32
ENSG00000178665	0.97	2.25	7.01	8.13	1.15	0.72	0.25	0.15	0.47	2.25
blastnMacaque.Locus_115061	0	0	0	0	0	0	0	0	0	0
ENSG00000141371	0.08	0	0	0	0	0	0	0	0	92.77
ENSG00000014914	1.07	1.17	2.27	1.96	1.06	8.69	2.45	2.26	1.18	2.66
XLOC_013702	0	0	0.48	0.65	0	0	0	0	0	0
Locus_17208	0	0.17	0	0	0	0	0	0	0	0
blastnMacaque.Locus_500478	0	0	0	0	0	0	0	0	0	0.12
blastnMacaque.Locus_341841	0	0	0	0	0	0	0	0	0	0.13
blastnPan.Locus_152433	0	0	0	0	0	0	0	0	0	0.14
blastnGorilla.Locus_60761	0	0	0	0	4.23	0	0	0	0	0
Locus_23559	0.11	0.48	0.77	0.59	0	0	0	0	0	0
ENSG00000151718	2.08	4.74	2.66	3.16	10.9	2.94	3.23	2.61	7.8	13.4
ENSG00000163331	0.38	0.16	0	0	0	5.09	0	0	0	0.13
Locus_157260	0	0	0	0	0	0.2	0	0	0	0.31
blastnGorilla.Locus_293422	0	0	0	0	0	0	0	0	0	0.21
ENSG00000135476	0.03	0.01	0.91	0.68	2.18	1.14	0.56	0.61	1.54	7.62
ENSG00000011143	1.66	2.37	4.39	3.49	3.83	5.02	2.48	3.83	2.34	5.58
ENSG00000164035	1.33	0.8	0.4	0.28	4.32	2.95	0.38	0.04	0.41	0.85
ENSG00000129595	0.5	1.12	1.87	2.04	1.62	0.95	3.57	2.87	2.17	2
XLOC_004826	0	0	0	0	0	0	0	0	0	0.1
ENSG00000225127	0.38	0.55	0.64	0.76	0	0.06	0	0	0	0.26
ENSG00000168918	1.25	1.32	0.57	0.89	3.25	2.21	8.91	7.88	2.86	0.66
ENSG00000125355	0.77	0.42	2.08	2.23	0.06	6.15	0.18	0.16	0.07	0.01
blastnMouse.Locus_97956	0	0	0	0	0	0	0	0	0	0
ENSG00000136098	3.9	5.51	3.09	3.31	0.66	7.16	5.09	4.02	2.95	19.3
Locus_159243	0	0.16	0	0	0	0.13	0	0	0	0.13
ENSG00000180305	0	0.06	0	0	0	0	0	0	0	0.25
blastnMacaque.Locus_140040	0	0	0	0	0	0	0	0	0	0
blastnMouse.CUFF.170449	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_273141	0	0	0	0	0	0	0	0	0	0
Locus_158397	0	0	0	0	0	0	0	0	0	0.82
blastnMacaque.Locus_189194	0.44	0	28.91	36.54	13.46	0.14	0	0	0.34	0.15
ENSG00000047188	3.97	6.19	5.16	5.1	7.43	3.06	1.33	0.99	1.63	10.09
ENSG00000092421	3.41	4.51	5.76	8.22	3	3.12	9.69	9.3	13.9	0.61
ENSG00000111652	21.38	18.69	6.58	7.21	4.6	14.74	21.55	25.77	12.34	6.11
ENSG00000158864	42.62	38.53	13.6	19.53	31.17	19.91	18	21.62	24.26	13.7
ENSG00000168268	2.11	1.48	14.79	16.4	0.87	8.27	11.08	13.67	7.65	5.81
ENSG00000166710	89.53	45.72	21.85	16.5	906.79	1003.08	1763.68	1523.7	698.23	52.9
ENSG00000078142	6.73	11.99	5.49	5.8	8.32	3.04	3.52	3.22	5.6	7.53
ENSG00000048740	20.06	19.42	69.81	79.56	2.64	8.46	2.95	1.89	1.94	1.28
blastnGorilla.Locus_392952	0	0	0	0	0	0	0	0	0	0.25
ENSG00000139874	5.12	4.65	4.54	5.31	0.28	0.51	2.26	0.41	0.67	0.02
blastnPlatypus.Locus_100731	0	0	0	0	0	0	0	0	0	0
ENSG00000232679	0	0	0	0	0	0	0	0	0	0.13
ENSG00000119714	0.83	1.01	0.65	0.64	0	0.24	2.47	2.73	0.99	0.41
ENSG00000165655	2.27	1.33	1.13	0.88	0.63	8.65	3.21	1.89	2.41	0.48
ENSG00000125875	6.61	6.05	6.12	8.75	4.38	8.51	9.28	10.02	5.84	5.39
Locus_193277	0	0	0	0	0	0	0	0	0	4.26
blastnMacaque.Locus_61151	0	0	0	0	0	0	0	0	0	0
ENSG00000249231	0	0	0	0	0	0	0.07	0	0	17.47
ENSG00000101439	152.91	34.1	7.44	4.35	19.83	97.33	144.85	152.7	32.64	35.25
ENSG00000163521	0.75	0.71	1.07	0.49	0.64	2.71	3.77	5.4	4.41	30.09
ENSG00000135090	14.95	24.83	4.58	4.88	3.48	2.78	3.6	2.75	10.53	7.13
ENSG00000198049	0	0.02	0	0	0	0	0	0	0	0.02
Locus_126994	0	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.49303	0	0	0	0	0	0	0	0	0	1.67
ENSG00000168828	0	0	0	0	0	0	0	0	0	0
ENSG00000091831	0.01	0.02	0.08	0.05	0.21	1.67	0.22	0.07	0.31	0.52
blastnMacaque.Locus_115008	0	0	0	0	0	0	0	0	0	0
ENSG00000181781	0.06	0	0	0	0	0.04	0.36	0.75	0	1.37
blastnPan.Locus_94166	0	0	0	0	0	0	0	0	0	0
ENSG00000224509	0.87	0.36	0	0	0	0.14	0.14	0	0	0.45
blastnMacaque.Locus_474184	0	0	0	0	0	0	0	0	0	0
ENSG00000177186	0	0	0	0	0	0	0	0	0	0
blastnPan.Locus_160146	0	0	0	0	0	0	0	0	0	0.19
ENSG00000197079	0	0	0	0	0	0.02	0	0	0	0.02
ENSG00000228188	0	0	0	0	0	0	0	0	0	0
ENSG00000206531	0	0.05	0	0	0	0	0	0.04	0	1.59
ENSG00000213934	0	0	26.73	20.37	3001.17	0	148.99	118.02	262.61	0
Locus_103041	0	0	0	0	0	0	0	0	0	0
ENSG00000172531	20.16	15.33	9.32	5.4	7.18	16.56	59.57	75.09	50.65	9.38
CUFF.205271	0	0	0	0	0	0	0	0	0	0.48
ENSG00000166321	0.38	0.53	0.5	0.44	3.69	0.56	0.34	0.46	0.48	1.72
Locus_103010	0.71	0.1	0	0	0	0	0	0	0	2.13
ENSG00000124588	9.26	14.48	6.85	6.31	4.01	9.66	10.1	14.81	8.45	3.84
ENSG00000165891	0.02	0.02	0.97	1.27	3.6	0.24	0.15	0.22	0.59	1.91
ENSG00000254201	0	0	0	0	0	0	0	0	0	1.21
ENSG00000076258	0.53	0.22	0.07	0.07	12.38	1.86	1.69	0.7	0.9	1
ENSG00000255103	0.1	1.37	9.61	10.22	4.23	0.31	1.35	1.07	1.48	1.16
blastnOpossum.Locus_377146	0	0	0	0	0	0	0	0	0	0
ENSG00000197329	4.64	4.03	15.16	16.16	12.93	8.01	6.75	5.66	3.86	5.23
ENSG00000197312	4.17	5.56	2.42	3.5	17.63	4.28	3.27	2.29	5.24	3.14
ENSG00000086288	0	0.18	0	0	0	0.07	0.05	0.21	0.03	17.26
blastnPan.CUFF.153639	0	0.11	0	0	0	0.09	0	0.18	0	0.27
blastnPan.Locus_137625	0	0	0	0	0	0	0	0	0	0.15
ENSG00000185792	0	0	0	0	0	0.02	0	0	0	0.13
ENSG00000129472	4.35	3.64	15.44	13.25	22.24	6.22	4.49	4.79	1.65	3.55
blastnMouse.ENSMUSG00000090664	0	0	1.53	0	0	0	0	0	0	0.31
ENSG00000244694	0.12	0.17	1.88	1.6	0.05	0.08	0.45	0.11	0.14	0.1
ENSG00000173699	0.03	0.02	0	0	0	0	0	0.02	0.01	5.08
ENSG00000096088	0	0	0	0	0	0.12	0.38	0.1	0.04	0.05
ENSG00000101255	0.73	0.77	2.36	2.57	1.9	7.39	6.59	7.9	2.89	0.35
Locus_24786	0	0	0	0	0	0	0	0.33	0.18	0
ENSG00000171735	29.15	35.53	14	12.76	1.02	2.16	2.4	2.16	0.95	2.81
blastnGorilla.Locus_135170	0	0	0	0	0	0	0	0	0	0.07
ENSG00000238078	0	0	0	0	0	0	0	0	0	0
ENSG00000138115	0.81	0.92	1.6	3.28	1.67	0.39	0.08	0.07	0.01	1.67
blastnMacaque.Locus_246242	0	0	0	0	0	0	0	0	0	0.64
ENSG00000183960	3.26	3.64	6	7.08	0.31	0.05	0.01	0.01	0.01	0.73
ENSG00000125531	0	0	1.45	2.22	0	0.65	0.21	0.06	0.07	10.69
ENSG00000215529	0	0.06	0	0	0	0.01	0	0	0	1.39
Locus_69522	0	0	0	0	0	0	0	0	0	3.96
blastnMacaque.Locus_60601	0	0	0	0	0	0.08	0	0	0	0
ENSG00000185272	4.27	2.88	1.11	0.58	0	1.79	0.05	0.09	0.14	1.34
ENSG00000088782	0	0	0	0	0	0	0	0	0	0
Locus_62216	0	0	0	0	0	0	0	0	0	0.7
ENSG00000231294	0	0	0	0	0	0	0	0	0	0.07
ENSG00000129353	13.66	11.1	13.63	14	8.39	24.48	193.42	185.19	69.64	24.22
ENSG00000135776	3.03	3.26	5.61	5.64	107.48	3.55	4.1	2.99	3.33	1.03
blastnMacaque.Locus_474330	0	0	0	0	0	0	0	0	0	0
ENSG00000228408	1.66	0.66	0	0	0	0	0	0	0	0
ENSG00000232458	0	0	0	0	0	0	0	0	0	0.02
ENSG00000076356	3.81	7.14	36.26	42.46	2.15	3.25	5.97	6.88	2.71	0.2
ENSG00000117154	9.94	7.28	3.61	3.28	0	0.09	1.57	1.28	0.1	0.1
ENSG00000255940	0	0	0	0	0	0	0	0	0	0
Locus_146649	0	0	0	0	0	0	0	0	0	0.82
blastnGorilla.Locus_391441	0	0	0	0	0	0	0	0	0	0
ENSG00000151881	2.42	2.3	1.75	3.73	3.84	3.9	1.24	1.12	1.54	2.37
ENSG00000161807	0	0	0	0	0	0	0	0	0	0
ENSG00000205089	0.28	0.28	0	0.2	0	0.53	0.07	0.07	0.11	0.49
blastnGorilla.Locus_57717	0	0	0	0.19	0	0	0	0	0	0
ENSG00000132383	19.05	18.36	5.36	6.97	23.15	14.34	15.1	18.52	32.79	20.08
ENSG00000129003	3.89	5.87	20.16	24.3	42.7	4.78	1.8	1.03	2.32	3.89
ENSG00000248713	0.09	0.1	0	0	0.12	0.03	0.01	0	0	0.13
blastnOpossum.Locus_92598	0	0	0	1.57	0	0	0	0	0	0
ENSG00000091844	1.63	3.23	14.59	11.76	0	0.29	0.08	0.04	0.07	0.43
ENSG00000189252	0	0	0	0	0	0.98	0	0	0	65.27
ENSG00000111845	14.44	21.76	5.61	4.08	19.33	7.7	5.76	5.65	23.2	17.79
ENSG00000139572	0	0	0	0	0	0.13	2.31	1.97	0.56	0.07
Locus_120873	0	0	0	0	0	0	0	0	0	0.47
ENSG00000198657	0	0	0	0	0	0	0	0	0	0
ENSG00000205277	0.05	0.05	0.02	0.01	0	0.25	0.05	0.03	0.01	0.03
CUFF.383757	0.29	0.57	0	0.11	0	0.26	0	0	0	0.94
ENSG00000132744	1.34	0.96	0.27	0	3.93	1.67	0.2	0.43	0	0.08
blastnPan.Locus_86263	0	0	0	0	0	0.06	0	0	0	0.06
blastnPan.Locus_65590	0	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_82502	0	0	0	0	0	0	0	0	0	0
ENSG00000118217	5.98	6.34	9.38	8.86	27.08	6.01	15.7	14.49	13.79	7.23
ENSG00000184056	9.02	8.98	10.32	6.08	2.9	4.27	5.7	7.09	8.56	7.84
ENSG00000226180	0.04	0	1	0.5	0	0.08	0.12	0.08	0.09	0.15
ENSG00000154975	19.97	17.99	3.35	4.28	0.06	0.17	1.42	0.07	0.08	0.96
XLOC_007958	0	0	0	0	0	0	0.13	0	0	0
ENSG00000173262	0.1	0.02	0.03	0.03	2.03	0.78	0.24	0.28	0.07	27.57
ENSG00000231671	0	0	0	0	0	0	0	0	0.06	0
blastnGorilla.Locus_464869	0	0	0	0	0	0	0	0	0	0
ENSG00000188051	2.02	1.98	0	0.34	0	1.79	0.03	0	0.12	0.22
Locus_117433	0	0	0	0.43	0	0	0	0	0	1.91
ENSG00000151239	4.35	3.03	2.97	2.77	14.8	9.66	7.35	4.76	4.06	2.94
ENSG00000256960	0	0	0	0	0	0	0	0	0	0
ENSG00000164619	3.97	3.97	0.44	0.46	3.94	0.62	4.09	3.34	1.49	0.2
ENSG00000087087	8.06	15.46	4.86	4.85	2.49	19.19	13.86	15.63	20.87	84.44
ENSG00000147488	1.76	3.64	1.4	1.07	0.05	0	0.2	0.04	0.05	0.07
ENSG00000187601	66.52	39.55	31.59	30.07	30.15	15.81	13.56	14.06	12.16	19.78
blastnMouse.Locus_92698	0	0	0	0	0	0	0	0	0	0
ENSG00000254999	45.43	30.8	23.75	27.87	50.99	89.62	99.89	103.76	27.93	30.68
blastnPan.CUFF.266292	0	0	0.34	0.12	0.24	0	0	0	0	0
ENSG00000099999	5.32	6.16	5.08	3.73	0.24	2.82	2.87	3.03	3.31	3.65
ENSG00000161091	6.6	4.93	1.79	1.22	0.52	4.76	27.62	18.19	8.66	2.13
ENSG00000248730	0	0	0	0	0	0	0	0	0	0.09
blastnMacaque.Locus_60422	0	0	0	0	0	0	0	0	0	0
ENSG00000112029	1.16	1.08	1.59	1.47	14.89	2.6	1.77	1.66	3.54	2.19
ENSG00000105467	0.06	0.02	0	0	0	0	0	0	0	6.98
ENSG00000108518	22.12	11.76	9.44	10.05	51.08	166.03	615.33	623.2	156.38	17.88
ENSG00000172967	0	0	0	0	0	0	0	0	0	2.54
ENSG00000205846	0	0	0	0	0	0	0.15	0	0.02	0
ENSG00000004455	2.83	2.95	6.42	7.73	16.78	11.82	12.84	15.86	7.8	4.86
ENSG00000138964	0.34	0.28	0.12	0.02	1.32	0.91	1.35	2.22	1.07	0.48
blastnGorilla.Locus_135167	0	0	0	0	0	0	0	0	0	0
ENSG00000105136	2.04	2.75	1.56	2.22	0.66	1.01	0.86	0.67	0.54	1.34
blastnMacaque.Locus_340865	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_499266	0	0	0	0	0	0	0	0	0	0
ENSG00000151466	2.03	3.58	6.5	5.48	5.94	1.24	0.55	0.4	2.58	7
ENSG00000129480	6.02	6.11	5.71	4.8	5.98	4.85	3.19	3.53	4.91	3.5
ENSG00000160883	0.06	0.03	0	0	4.66	0.51	2.56	2.9	1.08	1.4
blastnMacaque.Locus_39469	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_114914	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_116147	0	0	0	0	0	0	0	0	0	0
ENSG00000185950	29.84	18.51	4.55	4.41	8.77	7.82	10.31	8.29	14.54	2.91
ENSG00000213214	0	0	0.29	0.15	0.5	0.81	2.01	1.92	0.44	0.03
blastnMacaque.Locus_40756	0	0	0	0.14	0	0	0	0	0	0
ENSG00000214046	5.74	5.82	7.3	9.23	12.84	10.12	12.59	14.86	6.31	4.34
Locus_158576	0	0	0	0.64	0	0	0	0	0	0.77
blastnMouse.ENSMUSG00000085954	0	0	0	0	0	0	0	0	0	0
ENSG00000108759	0	0	0	0	0	0.04	0	0	0	0.1
Locus_146520	0	0	0	0	0	0	0	0	0	2.46
ENSG00000006047	1.23	1.58	0	0	0	1.82	0.12	0.04	0.1	466.46
Locus_184474	0	0	0	0	0	0	0	0	0	0.19
blastnMacaque.Locus_372566	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_448574	0	0	0	0	0	0	0	0	0	0
ENSG00000038945	0.29	0.12	0	0	14.5	1.62	6.11	3.52	4.49	0.34
ENSG00000158079	2.89	4.37	4.95	4.9	3.01	1.8	0.43	0.39	0.56	4.73
ENSG00000184012	0	0.01	0	0	0.16	4.99	0.16	0.06	0.12	0.77
ENSG00000253334	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_294731	0	0	0	0	0	0	0	0	0	0.29
Locus_17460	0	0	0	0	0	0	0	0	0	0.67
CUFF.121918	0	0.46	1.85	5.02	0	0.48	0	0	0	1
blastnMacaque.Locus_72774	0	0	0	0	0	0	0	0	0	0.42
ENSG00000134443	1.57	0.96	10.03	12.11	0	0.08	0.15	0	0	1.17
ENSG00000108691	0.84	0.23	0	0	5.98	37.34	35.86	22.56	14.78	1.11
ENSG00000170619	3.59	2.02	4.48	1.9	2.25	4.43	6.24	9.34	2.99	1.63
blastnOrangutan.Locus_265186	0	0	0	0	0	0	0	0	0	0
ENSG00000151632	1.24	0.67	3.22	3.08	31.94	0.86	0.11	0.09	0.07	0.87
ENSG00000126259	0.41	0.4	0.06	0.08	0	0.32	0.04	0.02	0.04	0.24
blastnPan.Locus_177320	0	0	0	0	0	0	0	0	0	0
ENSG00000159527	0	0	0	0	0	0.3	0	0	0	0.17
ENSG00000124226	14.32	6.17	7.74	8.54	11.11	23.66	28.08	33.37	11.18	23.15
ENSG00000184677	2.14	3.8	6.38	5.38	5.39	3.56	1.75	1.47	2.62	3.91
ENSG00000175928	7.64	4.65	17.69	19.61	0.51	2.68	0.51	0.23	0.24	1.99
blastnPan.CUFF.442366	0	0	0	0	0	0	0	0	0	0.1
ENSG00000204954	5.51	1.73	4.39	1.62	4.18	3.13	1.31	1.82	0.77	1.88
blastnGorilla.Locus_61664	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_61645	0	0	0	0	0	0	0	0	0	0.06
ENSG00000146918	0.93	1.32	4.16	4.1	9.57	2.3	1.84	2.1	3.57	9
blastnMouse.ENSMUSG00000072828	0	0	0	0	0	0	0	0	0	0.33
ENSG00000226602	0	0	0	0	0	0	0	0	0.12	0
blastnPan.Locus_8051	0	0	0.84	0.43	0	0	0	0	0	0
ENSG00000177688	0	0.69	1.28	4.94	1.43	0.2	0.38	0.31	0.41	0.83
ENSG00000173918	0.45	0.44	0.16	0.1	0.57	15.94	40.54	48.1	15.86	0.48
blastnMacaque.Locus_221692	0	0	0	0	0	0	0	0	0	0
ENSG00000197142	1.88	1.44	0.32	0.52	9.81	20.24	8.17	7.44	7.81	9.33
ENSG00000239306	3.52	3.45	14.91	13.28	5.53	8.84	11.94	13.37	3.6	6.81
Locus_17639	0	0	0	0.15	0	0	0	0	0	0.26
ENSG00000117697	6.53	5.17	6.09	6.56	10.23	5.51	5.44	6.54	6.31	6.36
ENSG00000163064	0.03	0	0	0	0	0	0	0	0.04	0.11
ENSG00000160785	13.78	13.86	5.29	5.35	5.65	3.14	3.33	3.7	3.47	5.13
ENSG00000106560	0.98	0.76	0.17	0.03	9.4	4.99	5.83	5.45	6.07	0.54
blastnPan.CUFF.167073	0	0	0	0	0	0	0	0	0	0.56
XLOC_003601	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_195309	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_95094	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_463636	0	0.19	0	0	0	0.12	0.06	0	0.11	0.19
ENSG00000115616	0.74	0.62	0.7	0.51	0	0	0.01	0	0.01	3.99
CUFF.313933	0	0	0	0	4.21	0.33	0	0	0.08	0.07
ENSG00000137656	6.13	6.99	4.65	5.6	4.11	7.78	5.98	6.51	14.45	39.52
XLOC_011610	0	0	0	0	0	0	0	0	0	0
ENSG00000105339	2.12	4.03	1.94	1.42	1.26	1.11	2.42	2.88	1.3	0.8
ENSG00000104848	0	0.01	0	0	0	0	0	0	0	0.07
ENSG00000204681	75.29	100.89	28.51	28.96	0.66	9.31	0.69	0.77	0.64	3.87
