Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000010030	1.87	1.78	18.69	12.13	5.67	7.53	9.9	9.71	4.14	13.58	2.37	7.34
ENSXETG00000008629	2.25	2.35	8.64	7.53	6.75	7.86	9.24	14.22	4.68	1.49	4.77	4.1
ENSXETG00000016403	0.75	0.73	0.36	0.36	0.45	0.73	0.83	0.43	0.4	1.89	1.02	3.18
ENSXETG00000007364	1.35	0.28	13.88	6.45	19.19	18.47	26.27	11.47	0.65	0.47	0.1	0.29
ENSXETG00000001850	6.27	6.4	5.79	4.21	12.84	8.94	9.37	7.46	8.22	6.15	13.95	12.45
ENSXETG00000030877	0.59	0.75	1	0.84	1.91	2.1	25.57	14.78	0.04	0.02	0.15	0.44
ENSXETG00000019498	1.04	1.81	17.13	12.43	9.45	10.88	6.13	8.1	0.04	0.07	0.24	1.08
ENSXETG00000002097	0.18	0.1	0	0	0.1	0	0.15	0	0	0	0.06	0.05
ENSXETG00000022083	11.29	11.85	13.19	10.13	9.96	8.97	7.94	7.18	9.88	6.11	12.56	9.73
ENSXETG00000031541	0.06	0	0.41	0.18	70.55	59.66	6.57	18.19	2.85	7.26	0.09	0.14
ENSXETG00000017957	43.93	38.77	15.7	14.26	27.76	24.97	22.4	20.48	0.58	0.28	1.91	1.87
ENSXETG00000020457	30.45	27.05	77.39	66.91	164.36	210.62	295.88	348.13	40.15	72.45	68.98	53.71
ENSXETG00000027221	4.08	4.09	13.07	19.73	3.33	2.6	3.45	3.46	0.35	0.53	3.06	5.27
ENSXETG00000016943	0.1	0.13	0.19	0.13	0.16	0.27	0	0	0	0	0.05	0.15
Locus_114409	1.47	0.92	3.34	2.42	2.36	1.15	1.87	0.46	0	0	13.15	20.95
ENSXETG00000013330	0.05	0	0.92	1.05	0.03	0.06	0.2	0.15	0	0	0.62	0.88
ENSXETG00000003421	9.05	6.12	6.85	5.91	3.93	5.77	3.49	5.67	29.97	21.29	12.62	6.82
ENSXETG00000032170	13.34	18.98	0	0	0.11	0	0	0.18	0	0	0	0.06
ENSXETG00000003183	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000009512	0.37	0.04	0	0	0.02	0.02	0	0	0	0	0.06	0.1
ENSXETG00000019998	5.94	5.52	15.37	15.9	12.41	14.54	5.88	8.98	8.26	12.75	5.91	7.42
ENSXETG00000033286	2.6	1.06	6.24	7.28	7.94	6.42	13.44	10.83	13.62	24.17	14.16	20.92
ENSXETG00000013983	13.5	12.04	9.22	10.12	5.21	5.84	5.25	5.9	16.57	16.45	8.06	9.12
ENSXETG00000015865	5.62	6.32	6.2	6.44	6.38	7.56	7.36	7.81	23.07	18.4	12.22	7.5
Locus_121697	0.85	0.17	10.66	4.99	5.2	2.03	5.45	6.33	0.03	0	0	0
ENSXETG00000015309	119.27	121.97	357.56	285.14	402.88	307.18	565.66	456.66	146.59	431.12	167.62	241.46
ENSXETG00000014344	37.58	38.23	0.12	0.11	0.42	0.54	0.69	1.62	0.01	0.05	0.94	2.56
Locus_117676	11.15	14.4	9.56	18.3	8.34	17.34	11.42	20.72	0.06	0.12	9.03	6.27
ENSXETG00000018852	21.55	19.38	40.21	26.24	36.31	29.06	4.16	5.98	9.4	5.32	21.34	10.25
ENSXETG00000027983	81.33	107.52	0.34	0.23	0.29	0.17	0.07	0.34	0	0	0.12	0.07
ENSXETG00000020089	43.62	41.94	66.92	60.91	55.5	53.83	49.51	46.84	30.03	34.6	23.21	18.22
ENSXETG00000030711	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000021305	0.98	2.44	1.9	1.28	4.25	4.07	4.17	5.47	1.47	0.27	0.31	0.7
ENSXETG00000008719	1.9	0.49	17.27	11.59	12.01	8.13	11.74	11.46	0	0.05	0.66	0.72
CUFF.106602	0	0	0	0	0	0	0	1.42	0.05	0	0	0
ENSXETG00000021546	1.9	0.39	9.99	12.09	1.12	1.87	3.37	4.98	0	0	34.26	27.18
ENSXETG00000017998	25.68	26.85	20.26	29.61	21.64	16.04	16.71	13.61	14.4	30.41	10.84	18.12
ENSXETG00000031687	3.14	3.8	3.49	4.24	3.61	3.7	3.57	3.89	27.88	44.84	14.28	21.79
Locus_24195	2.35	1.82	1.58	0	0.37	0.6	0	0	0.06	0.27	0.38	0.4
ENSXETG00000010789	0.54	0.61	0.8	0.45	0.96	0.86	1.17	1.3	2.7	1.18	2.84	5.61
Locus_120851	0	0.46	0.95	0.95	0	0.19	0	0	0	0	1.23	0.21
ENSXETG00000011291	31.74	25.73	22.48	16.85	20.88	18.19	22.31	17.4	65.66	35.26	55.86	31.88
ENSXETG00000019537	1.73	0.95	0.93	0.78	9.05	9.45	0.14	0.05	0.16	0.29	2.91	2.09
ENSXETG00000009131	15.09	13.87	10.7	10.88	32.03	25.81	12.14	8.88	22.64	10.51	10.33	7.57
ENSXETG00000008702	34.37	34.47	46.51	72.69	29.03	31.96	46.92	59.85	31.22	28.46	21.63	16.49
ENSXETG00000024565	0	0	0	0	0.27	0	0	0	48.11	103.27	0.11	0.45
ENSXETG00000026140	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000021451	5.82	5.39	7.15	9.49	7.48	7.64	8.14	11.47	55.82	41.27	10.89	8.12
ENSXETG00000032860	0	0	0	0	0	0	0	0	0	0	0	0.01
ENSXETG00000033380	4.7	3.23	0	0.05	3.74	11.28	0.19	0.24	0.07	0.4	0.07	0.06
ENSXETG00000015611	0.1	0.05	1.04	0.09	0.06	0.17	1.3	0.29	0	0.03	0.04	0.1
ENSXETG00000003130	9.73	9.33	8.96	8.32	9.9	8.56	9.56	9.3	25.01	5.92	10.45	5.72
Locus_100028	0	0	0	0	0	0	6.51	6.4	0	0	1.66	3.02
ENSXETG00000033245	2.42	1.79	10.73	12.19	10.81	16.7	1.48	2.43	0.02	0.1	2.28	1.99
Locus_63502	0	0	0	0	0	0	0	0	0	0.06	1.79	11.45
Locus_118524	5.94	3.41	4.85	4.96	3.19	3.98	3.37	4.49	0.35	0.04	3.95	1.7
ENSXETG00000007710	0.99	1.65	0	0	0	0	0	0	0.01	0.01	0.24	0.51
ENSXETG00000026585	4.47	7.45	10.64	7.89	10.3	12.2	8.15	7.85	19.5	30.82	5.48	6.87
ENSXETG00000015084	4.25	2.8	0	0.02	0.04	0.01	0.03	0.02	0.01	0	0.17	0.15
Locus_76196	0	0	0.31	0.31	0.2	0.38	0	0.32	0.26	1.79	0.12	0.11
ENSXETG00000009728	12.61	12.77	4.83	5.46	6.79	7.68	5.88	5.76	30.19	42.43	51.29	78.54
ENSXETG00000009449	2.08	2.85	1.01	1	1.82	1.54	2.05	1.17	12.18	3.7	3.46	3.99
ENSXETG00000030388	2.29	1.3	4.38	0.64	1.39	0.55	5.15	2.82	0.03	0.04	1.45	1.64
ENSXETG00000000517	5.43	5.36	12.65	10.44	20.23	16.05	22.09	27.66	0.05	0.08	5.25	4.24
ENSXETG00000010771	4.13	2.96	8.42	11.96	9.08	5.31	8.54	6.53	7.7	32.88	16.12	52.36
ENSXETG00000033439	0.33	0.24	6.08	7.12	1.84	1.56	6.41	12.73	0	0.04	1.83	3.13
ENSXETG00000013343	5.63	5.29	7.22	7.21	7.3	7.96	6.74	6.98	21.71	17.36	3.76	2.57
ENSXETG00000027269	0	0	0	0	0	0	0	0	0	0	0.04	0.01
ENSXETG00000002258	1.45	2.58	4.06	5.65	0.44	0.82	0.12	0.39	0	0.01	0.77	1.28
ENSXETG00000030610	0.14	0.61	0.13	0	0.04	0	0	0	0	0.02	0.02	0.23
Locus_51798	0	0.14	0	0	0.17	0	0	0.28	0	0	0.98	0.28
ENSXETG00000007868	10.7	16.45	31.99	27.32	0.94	2.92	0.29	0.29	2.19	1.4	2.34	3.4
ENSXETG00000027965	0	0	0	0	0	0	0	0	0.07	0	0	0.08
ENSXETG00000031871	6.01	6.31	13.1	10.87	6.96	9	7.46	7.8	3.81	19.38	9.58	24.52
CUFF.66248	0.78	0.21	0.87	0.29	0.27	0.09	0	0	0	0.35	1.34	2.59
ENSXETG00000030949	260.32	186.96	863.62	821.16	651.2	603.81	779.04	788.21	148.84	75.3	338.46	81.93
Locus_175354	0.4	0	0	0	0	0	0	0	0	0	1.56	1.97
ENSXETG00000003671	33.66	37.01	16.05	13.59	16.51	18.78	24.77	26.46	29.19	22.12	17.73	17.57
ENSXETG00000022908	13.45	13.42	27.07	19.51	37.28	56.24	36.1	26.72	42.25	19.31	6.41	3.99
ENSXETG00000005650	2.77	1.24	6.76	1.52	22.73	21.56	35.8	19.22	5.84	5.17	3.85	2.44
Locus_131879	1.78	0.27	20.38	2.35	17.28	1.87	72.19	11.64	0.15	0	0.71	0.43
ENSXETG00000007895	70.25	48.89	80.11	79.66	120.56	77.58	155.38	77.45	17.43	32.75	71.82	75.95
Locus_161292	0	0	0	0	1.88	0.79	0	0	0.36	0.47	0	0.88
Locus_105613	0	0	0	0	0	0	0	0	0	0	7.53	2.65
ENSXETG00000006155	0	0	0.07	0	54.47	46.47	44.26	69.74	0	0	0.08	0.1
ENSXETG00000010235	13.81	15.99	3.65	6.88	2.38	3.92	2.1	3.43	4.49	3.09	15.26	26.72
ENSXETG00000031702	0.13	0	0	0	0	0.14	0.33	0.72	0	0	0	0.08
ENSXETG00000013902	0.95	0.55	31.41	42.19	26.24	40.45	13.93	12.71	4.15	15.2	6.05	9.95
ENSXETG00000022467	0.18	0.05	0.22	0.11	0.05	0.07	0	0.11	0.01	0.1	0.48	1.3
Locus_189686	0	0	0	0	0	0	0	0	0	0	1.37	2.38
ENSXETG00000003545	129.4	124.83	0.59	1.44	0.14	0.58	0	0	0	0	0.14	0.21
ENSXETG00000019946	1.35	2.15	2.07	2.88	2.4	2.09	2.86	2.95	1.01	5.21	2.95	7.29
ENSXETG00000027277	0	0	0.09	0	0	0	0.95	0.09	0	0	0.64	1.72
ENSXETG00000005920	42.45	44.83	1.44	0.42	0.11	0.29	4.06	4.22	0.35	0.18	5.46	5.67
ENSXETG00000026753	0	0	0	0	0	0	0	0	0	0	0	0.01
ENSXETG00000004252	7.5	4.1	11.89	7.79	12.7	9.28	11.33	9.19	26.89	44.38	22.31	36.32
ENSXETG00000008514	16.47	17.05	35.47	34.79	26.19	25.33	28.9	32.61	23.2	33.78	51.2	69.98
CUFF.156224	0.38	0.79	0.23	1.84	0.14	0.28	1.28	0.24	0	0	0.18	0
ENSXETG00000011232	0.95	0.04	0.33	0.41	2.07	1.92	2.41	1.44	0.12	0	3.46	3.1
ENSXETG00000034331	0	0	0	0	1.61	0.29	0	0	0	0	2.57	1.76
ENSXETG00000010315	29.45	37.77	0.65	0.34	3.93	4.22	0.47	1.03	0.19	0.08	10.95	7.83
Locus_184807	0	0	2.4	2.54	0.89	1.74	0.88	4.38	0	0.04	0.06	0.22
ENSXETG00000032164	0.11	0.05	0	0.31	14.07	6.07	8.2	5.73	0	0	0.08	0.07
ENSXETG00000003217	2.81	3.1	0.04	0	0.08	0.22	0	0.18	0	0.02	0.52	0.29
ENSXETG00000032948	0	0	0	0.23	0	0	0.32	0	0	0	1.08	0.43
Locus_148337	0.13	0.12	0.24	0.24	0	0.15	0	0	0.14	0.07	1.23	0.49
ENSXETG00000021437	0.52	0.34	0.15	0.22	0.14	0.53	0.25	0.45	0.02	0.01	0.27	0.2
ENSXETG00000013837	2.33	2.04	1.43	2.25	1.62	1.75	2.23	2.91	10.28	3.11	5.4	2.76
ENSXETG00000020636	14.94	16.29	17.17	20.43	16.25	15.93	22.48	17.81	31.33	79.8	12.19	21.51
ENSXETG00000002126	2.09	1.32	1.26	1.41	9.18	9.15	46.01	39.43	2.4	10.01	2.37	14.59
ENSXETG00000014976	47.91	36.23	41.71	35.04	17.35	19.03	16.9	18.34	38.16	15.17	51.11	23.87
ENSXETG00000027350	0	0.03	0	0	9.1	7.93	0.07	0	0	0.04	1.33	0.77
ENSXETG00000019675	8.53	1.49	0	0.09	0	0	0	0	0	0	0.37	0.24
ENSXETG00000031751	0	0	0	0	0	0	0	0	0	0	0.03	0.02
ENSXETG00000029937	25.01	26.03	37.51	35.57	34.28	28.46	32.62	30.72	21.56	42.55	23.51	24.16
CUFF.163357	0	0.14	0.3	0	0	0	0	0	0	0	30.29	3.41
ENSXETG00000019180	0.07	0	0	0	0	0	0	0	0	0	0.05	1
ENSXETG00000021274	0.1	0.09	0.92	0	0.6	0.17	2.72	0.23	0	0	0	0.06
ENSXETG00000000521	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000021355	75.19	76.45	109.23	145.65	88.37	81.71	78.67	70.69	64.07	73.83	36.38	26.06
Locus_185540	0.78	0.61	1.08	0.18	0.89	1.31	0	0	0	0.05	6	2.8
ENSXETG00000027075	6.75	6.08	12.71	6.84	13.47	11.12	18.7	16.41	7.07	6.93	2.55	2.38
ENSXETG00000004470	105.59	69.72	83.4	82.63	59.56	48.27	47.17	40.44	15.52	0.27	688.64	264.35
Locus_61292	0	0	0	0	0.24	0.12	0	0	6.59	2.34	0	0.06
ENSXETG00000020868	86.25	69.94	90.74	93.84	77.6	75.87	109.1	84.01	77.1	17.81	185.16	55.99
ENSXETG00000019084	14.64	15.98	15.23	12.83	19.95	18.92	22.26	14.23	10.12	10.97	17.19	17.48
Locus_32382	1.13	3.73	3.95	9.22	1.59	3.66	54.71	156.11	1.49	0.5	0	0.08
ENSXETG00000020309	15.75	17.81	7.09	7.34	4.7	5.47	2.73	2.78	0.95	1.89	3.46	4.55
ENSXETG00000008349	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000000715	0	0	0.15	0.15	0.15	0.18	0.14	0.86	0	0.04	0.37	1.16
ENSXETG00000011624	2.09	2.11	1.26	1.05	1.69	1.57	1.74	1.01	5.22	4.15	1.31	1.18
ENSXETG00000026031	20.72	16.28	0.8	0.23	0.14	0.83	9.95	5.82	0	0	0.18	0.04
ENSXETG00000021567	42.63	34.08	13.5	11.43	40.88	30.71	31.89	21.14	12.86	7.8	57.67	21.58
Locus_163590	0	0	0	0	0	0	14.39	13.9	0	0	0	0.12
ENSXETG00000023413	183.6	153.67	5.37	5.47	3.07	3.25	0	0.04	0.16	0.37	19.29	13.8
ENSXETG00000013548	0	0	0	0	0	0	0	0	0	0	0	0
Locus_7098	0.66	0.1	0.4	0.1	1.94	1.89	1.53	1.43	0.03	0	4.57	1.8
Locus_103100	1.42	1.88	1.47	0.92	0.19	0.37	0.11	0.24	0	0.02	0.21	1.15
ENSXETG00000034035	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000021149	7.18	9.56	0.19	0.11	1.46	2.89	0.05	0.59	9.27	16.67	5.18	10.14
ENSXETG00000014730	4.58	2.43	64.49	53.11	276.1	102.56	65.73	34.26	10.99	26.2	18.06	25.75
ENSXETG00000023424	0.59	0.4	10.32	8.62	16.69	16.61	19.46	18.75	0.35	0.52	4.5	6
ENSXETG00000011170	3.01	3.65	5.07	7.28	5.96	8.71	7.43	15.44	13.35	6.99	2.06	2.52
Locus_186763	5.57	7.02	0	0	0	0	0	0	0	0	0.15	0.26
ENSXETG00000016354	1.07	0.26	0.92	0	6.57	0.72	4.44	1.47	718.44	781.97	167.54	234.29
ENSXETG00000027617	4.56	6.2	7.42	7.05	6.07	5.79	6.37	8.66	4.94	2.19	3.52	3.6
ENSXETG00000001248	21.06	18.61	21.97	20.25	101.12	53.58	138.92	67.15	33.66	35.04	13.55	6.95
ENSXETG00000031727	6.39	5.94	3.06	2.94	9.15	7.61	3.04	4.38	5.5	6.76	11.3	11.76
ENSXETG00000013792	0.02	0	0.04	0.04	0.03	0.11	0.25	1.51	0.19	1.89	0.05	0.33
ENSXETG00000007424	0.05	0.03	0.08	0.03	0.18	0.47	0.07	0.14	0.44	0.13	0.62	1.13
ENSXETG00000022994	5.67	8.04	0	0	0.07	0	0	0	0	0	0.12	0.12
ENSXETG00000016761	4.52	3.53	5.89	5.56	8.01	7.7	3.11	2.68	0.03	0.03	1.68	1
ENSXETG00000025410	0	0.03	0	0	0	0	0	0	0	0	0	0
Locus_104415	1.31	0	2.01	0	0.5	0	0	0	25.75	3.05	0	0.27
ENSXETG00000022556	30.11	41.42	17.93	17.95	12.68	11.61	3.59	5.29	1.08	1.65	7.61	12.16
ENSXETG00000011850	7.54	8.92	2.66	2.38	2.45	2.74	2.42	2.98	5.64	5.69	7.82	15.49
ENSXETG00000011742	30.74	23.35	18.95	17.13	14.22	14.55	7.79	11.8	49.11	2.9	26.97	6.03
ENSXETG00000024038	16.86	16.53	3.49	2.7	3.61	3.42	3.18	3.41	3.2	2	1.42	1.3
ENSXETG00000000453	27.95	25.18	22.21	21.25	15.95	14.41	13.26	13.1	44.77	35.24	19.87	16.57
ENSXETG00000009125	125.97	133.12	97.88	113.77	47.38	54.82	50.35	61.06	10.32	9.37	53.41	27.76
ENSXETG00000010555	0.61	0.55	0.7	0.83	0	0.17	0.19	0.28	0.59	0	1.79	0.05
ENSXETG00000033302	11.53	10.97	10.43	10.08	10.09	12.49	10.76	17.31	24.27	7.89	12.26	11.53
ENSXETG00000019014	4.66	5.07	14.93	14.61	5.08	3.72	8.73	4.98	2.52	4.66	5.16	8.78
ENSXETG00000011663	0	0	0.22	0	0.91	1.07	0.05	0.15	0	0.01	0.03	0
ENSXETG00000021365	115.87	130.54	119.08	109.21	82.8	71.82	78.41	59.13	13.4	5.14	47.75	21.79
ENSXETG00000034316	2.09	3.37	2.56	2.29	4.74	3.96	3.89	1.95	0.45	1.04	2.39	3.97
ENSXETG00000019924	8.74	7.92	0.03	0.06	0.02	0.02	0.53	0.19	0.01	0.01	0.22	0.46
ENSXETG00000027060	11.46	11.44	15.84	22.11	16.28	14.84	14.92	14.51	15.49	26.05	23.11	20.65
ENSXETG00000004178	6.63	9.15	12.22	11.94	15.53	12.34	10.96	10.64	12.54	25.81	7.98	12.79
ENSXETG00000019503	21.75	9.89	253.58	330	60.79	50.97	19.23	16.77	0.4	0.32	53.38	29.25
ENSXETG00000023866	4.49	3.5	13.53	18.79	11.89	10.75	8.87	10.6	24.08	78.49	17.98	30.63
Locus_27610	0	0	0.42	0.42	0.53	1.54	0	0	0.36	0.12	0.16	0
ENSXETG00000013235	1.13	0.13	3.65	0.52	0.81	0.79	7.19	3.18	0	0	1.01	3.7
ENSXETG00000019722	2.7	2.48	2.7	1.11	2.1	1.81	1.59	1.82	12.12	6.7	27.33	22.58
Locus_175389	0	0.08	0.5	0.33	0.41	0.7	0.23	1.01	0	0	0.39	0.22
ENSXETG00000031064	0	0	0	0	0	0	0	0	0	0	0.04	0.77
ENSXETG00000011762	0.24	0.05	0.17	0	1.31	0.07	5.2	0.06	0.12	0.06	0.02	0.09
ENSXETG00000019354	3.84	2.19	32.8	28.14	15.22	4.55	2.19	1.61	0.01	0	0.31	0.46
ENSXETG00000032435	1.98	0.87	2.69	2.31	9.17	12.03	23.65	9.35	7.28	1.95	9.1	2.63
ENSXETG00000012839	17.29	13.55	55.93	62.23	39.98	29.22	34.35	23.05	11.91	16	24.88	21.35
ENSXETG00000020412	0	0	0	0	0	0	0	0	0	0	0.07	0.06
ENSXETG00000029923	3.75	2.68	17.28	14.46	46.56	58.04	32.23	40.16	6.33	2.46	3.45	1.65
Locus_156740	30.78	23.76	0	0.3	0	0	0	0	0	0	0	0.2
Locus_110173	0.7	1.26	1.3	0	1.74	0.26	3.87	0.44	0.36	0	0.5	3.58
ENSXETG00000006901	0.1	0.13	1.4	0	1.17	0	0.84	0	90.53	81.35	0.17	0.12
Locus_178587	3.23	2.4	0.09	0.09	0.23	0.11	0	0	0	0	0.14	0.43
ENSXETG00000024451	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000012244	0.43	0.49	34.34	24.43	1.51	6.11	0.69	2.18	0	0	0.14	0.02
ENSXETG00000033145	0.15	0.07	1.39	0.6	0.66	0.08	0.77	0.33	0.12	0.19	0.47	0.13
ENSXETG00000001996	3.82	3.7	4.34	4.7	3.96	5.1	4.84	4.93	7	0.99	5.02	3.93
Locus_170379	0.17	0.19	0	0.06	0.13	0.15	4.23	8.45	0.13	0.53	2.04	3.97
ENSXETG00000016077	0	0	0	0	0	0	0	0	0	0	0	0.12
Locus_151935	17.28	16.79	9.63	13.58	4.72	8.39	6.17	10.44	3.15	4.1	13.07	12.56
ENSXETG00000005087	3.45	3.38	2.67	1.85	4	3.24	4.44	2	2.83	2.29	2.86	3.14
ENSXETG00000031637	1.37	0.9	2.44	1.42	4.71	5.16	3.37	1.97	1.79	1.49	1.21	1.8
ENSXETG00000027164	0	0	0	0.58	0	0	0	0	0.49	0.4	0	0.39
Locus_142809	2.06	0.21	2.53	2.51	4.98	3.84	13.96	14.58	0.12	0	1.97	0.71
ENSXETG00000001061	7.5	8.72	0	0	0	0	0	0	0	0.02	13.94	36.7
Locus_22140	0.25	0.15	0.15	0	0.19	0	0	0	0.09	0.04	2.26	24.12
ENSXETG00000009464	0.85	1.12	0.49	0.15	1.37	1.73	0.47	0.2	1.42	1.47	1.99	3.04
ENSXETG00000015273	0.48	0.38	0.81	0.71	0.66	0.87	0	0.05	0.03	0.01	0.35	0.72
ENSXETG00000012738	15.4	11.51	158.19	193.71	46.03	43.67	21.16	19.27	4.55	11.21	13.82	18.65
ENSXETG00000025476	11.43	9.16	7.99	5.83	7.07	5.1	4.21	4.93	25.03	18.42	6.12	12.47
ENSXETG00000021746	22.52	17.65	8.45	7.32	7.97	7.37	7.87	11.53	12.5	3.98	7.65	4.17
ENSXETG00000031976	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000022533	3.3	3.14	1.48	1.57	2.34	2.22	1	0.61	10.73	6.91	5.25	6.14
ENSXETG00000005416	5.86	9.71	0.42	0.26	0.45	0.37	0.52	0.53	0.73	1.82	0.91	1.47
ENSXETG00000000531	3.25	5.8	3.49	2.59	5.87	4.95	7.76	4.72	7.61	1.13	6.28	6.61
Locus_97884	8.78	6.13	0	0	3.91	1.96	0.23	0	0	0	0.46	0.75
ENSXETG00000000054	8.06	8.31	6.69	6.58	8.93	7.36	8.65	9.31	25.51	10.77	11	7.77
ENSXETG00000003504	19.72	18.15	20.89	20.51	22.21	18.46	19.51	17.34	4.54	7.48	16.67	13.49
Locus_4818	0.49	0.15	0	0	0	0	0.41	0.3	0	0	0.46	0.1
Locus_141020	0.18	0.33	0.5	0.66	0.21	0.1	1.15	0.17	0.47	0.64	8	31.2
ENSXETG00000019277	7.3	6.53	7.2	5.5	15.56	10.81	11.6	9.13	12.3	3.07	5.93	4.38
ENSXETG00000017304	1.48	1.84	1.67	1.91	2.01	1.68	1.67	2.46	5.59	5.79	4.04	7.64
ENSXETG00000024087	16.89	14.33	23.29	15.95	25.03	20.68	14.93	20.9	39.09	40.01	58.77	34.17
ENSXETG00000023236	0.06	0.08	0	0	0.58	0.36	346.51	268.06	0	0	1.97	1.44
blastnMacaque.Locus_289498	0	0.32	0	0	0	0	0	0	0	0	0	0
ENSXETG00000026496	4.18	5.57	0.07	0	0	0	0	0	0	0	0.11	0.38
ENSXETG00000004078	8.47	9.23	8.06	7.75	7.06	6.85	9.18	8.17	21.11	25.19	20.12	30.34
