Brain_Indiv1	Cerebellum_Indiv1	Heart_Indiv1	Kidney_Indiv1	Testis_Indiv1
ENSGALG00000025684	1273	457	4955	2956	23
ENSGALG00000018330	2382	989	174	164	27
ENSGALG00000025208	3	2	0	0	0
ENSGALG00000021770	2	0	0	55	3
ENSGALG00000018255	2189	2125	509	872	43
ENSGALG00000025150	1	0	0	0	0
ENSGALG00000021920	3	0	0	0	0
ENSGALG00000025496	1	2	1	1	0
ENSGALG00000021952	92	2943	96762	991349	7709
ENSGALG00000021785	76	29	9	2	0
ENSGALG00000021809	2	0	0	0	1
ENSGALG00000025268	1	0	0	0	0
ENSGALG00000018352	697	197	91	97	46
ENSGALG00000021724	3091	1154	509	1081	52
ENSGALG00000025647	1	4	0	0	0
ENSGALG00000025187	5	7	2	3	1
ENSGALG00000018339	27	2	91	436	297
ENSGALG00000025533	1917	500	151	260	30
ENSGALG00000025553	5	13	1	1	4
ENSGALG00000018248	18821	15553	12814	20397	2727
ENSGALG00000018276	407587	110925	528473	475589	8771
ENSGALG00000025177	6	1	0	0	0
ENSGALG00000025357	4	9	5	15	0
ENSGALG00000025179	0	0	0	0	0
ENSGALG00000025578	8127	126	35	18	32
ENSGALG00000025510	847	1844	926	1539	96
ENSGALG00000025248	10	20	13	31	0
ENSGALG00000025271	439	319	71	70	5
ENSGALG00000025476	193	13	0	0	1
ENSGALG00000025245	16	24	22	13	0
ENSGALG00000021777	5	10	0	1	1
ENSGALG00000025367	13	8	1	1	0
ENSGALG00000025214	1	2	0	0	9
ENSGALG00000025380	48	3	0	0	0
ENSGALG00000018348	0	0	0	0	0
ENSGALG00000018267	16364	8265	46409	36432	2163
ENSGALG00000021774	457	216	1082380	1053	471
ENSGALG00000018288	2	0	236	0	0
ENSGALG00000025265	0	0	0	0	0
ENSGALG00000025406	1	0	0	0	9
ENSGALG00000025452	53	25	13	27	0
ENSGALG00000018290	93369	184472	25214	883608	6762
ENSGALG00000025209	1	1	1	0	33
ENSGALG00000018340	0	0	0	0	0
ENSGALG00000025523	1	0	0	0	0
ENSGALG00000025181	2	1	3	0	2
ENSGALG00000025441	9	0	1	0	0
ENSGALG00000024502	803	759	627	932	41
ENSGALG00000025625	0	0	0	0	0
ENSGALG00000025300	2	1	0	1	0
ENSGALG00000018322	231	15	18	25	294
ENSGALG00000018343	0	0	0	0	0
ENSGALG00000018250	54513	24373	9548	23945	3014
ENSGALG00000018281	145507	90800	54774	146487	20843
ENSGALG00000025152	5	1	0	0	0
ENSGALG00000025552	2	0	1	0	0
ENSGALG00000018295	25	28	137	68544	34
ENSGALG00000018319	212186	175502	313691	827172	11428
ENSGALG00000025651	0	0	0	0	0
ENSGALG00000018254	141	237	60	77	6
ENSGALG00000025293	1	0	0	0	0
ENSGALG00000025395	1	0	0	0	0
ENSGALG00000018313	0	0	1	3450	7
ENSGALG00000025580	12	36	0	9	2
ENSGALG00000025170	5	0	2	0	0
ENSGALG00000025364	1	0	0	0	1
ENSGALG00000021778	28	11	30	24828	7
ENSGALG00000018328	56	84	9	6	2
ENSGALG00000025545	19	41	9	21	1
ENSGALG00000018336	77574	198	1900	101	55
ENSGALG00000025188	10101	103	325	5937	93
ENSGALG00000025276	2	1	0	0	0
ENSGALG00000018271	6681	2103	3629	2067	144
ENSGALG00000025549	1	0	4	34	3
ENSGALG00000025222	2	2	2	1	1
ENSGALG00000018262	110420	66215	44038	62050	8178
ENSGALG00000025385	14	1	0	0	0
ENSGALG00000025289	0	0	0	0	0
ENSGALG00000025374	15275	5801	248	30052	316
ENSGALG00000025266	9	1	1	2	0
ENSGALG00000025206	12	3	0	3	0
ENSGALG00000018287	0	0	5	0	0
ENSGALG00000021723	2050	35	5	91	8
ENSGALG00000025577	1	0	0	1	0
ENSGALG00000018270	2	4	0	0	2
ENSGALG00000018327	12	9	5	17	2
ENSGALG00000025576	3	5	0	0	0
ENSGALG00000025483	72	27	16	22	1
ENSGALG00000025422	188	107	159	427	20
ENSGALG00000018300	8	0	458	2	0
ENSGALG00000018246	0	0	0	0	0
ENSGALG00000025322	1	0	0	0	0
ENSGALG00000018282	0	0	0	140	0
ENSGALG00000025638	0	0	0	0	0
ENSGALG00000021798	3289	703	372	25002	138
ENSGALG00000025229	1	0	0	0	3
ENSGALG00000025250	15	1	0	0	0
ENSGALG00000018245	1092	319	178	1418	34
ENSGALG00000018274	75	43	23	16	1
ENSGALG00000025495	2	0	0	0	0
ENSGALG00000021951	23	0	0	1	2
ENSGALG00000025415	0	0	0	0	0
ENSGALG00000025213	2	0	0	0	0
ENSGALG00000021783	96	1	9	469	3
ENSGALG00000018253	22984	13619	5080	13189	1924
ENSGALG00000021800	1684	762	311	1038	21
ENSGALG00000025318	11	14	2	4	1
ENSGALG00000025538	3	0	0	0	0
ENSGALG00000025307	3	0	0	0	0
ENSGALG00000025572	3	17	2	23	0
ENSGALG00000025281	3	4	0	0	0
ENSGALG00000025565	1	1	0	0	0
ENSGALG00000018314	132	38	5	4	7
ENSGALG00000018291	7853	1978	1371	8060	185
ENSGALG00000021775	14309	8381	3998	11078	704
ENSGALG00000025642	0	0	0	0	0
ENSGALG00000025243	3	2	1	0	0
ENSGALG00000025252	2	0	0	0	0
ENSGALG00000025157	26	6	0	0	0
ENSGALG00000025526	4914	2897	162	422	16
ENSGALG00000025174	1	0	0	1	0
ENSGALG00000025269	3	3	2	0	0
ENSGALG00000025301	49	14	5	11	0
ENSGALG00000025260	1	0	0	3	1
ENSGALG00000025463	0	0	0	0	0
ENSGALG00000025158	2	0	0	0	1
ENSGALG00000025551	1001	904	505	128	27
ENSGALG00000025690	364	95	56	379	118
ENSGALG00000025340	0	0	0	0	5
ENSGALG00000021908	0	0	0	0	0
ENSGALG00000025492	1	0	0	0	0
ENSGALG00000018353	6326	3712	4976	6099	108
ENSGALG00000025477	4	0	0	0	0
ENSGALG00000021910	0	0	0	0	0
ENSGALG00000025381	3	2	1	1	0
ENSGALG00000025524	0	0	0	0	0
ENSGALG00000018277	0	0	3	0	0
ENSGALG00000025539	4	6	2	3	0
ENSGALG00000025338	3	1	0	5	1
ENSGALG00000025194	1	1	1	0	2
ENSGALG00000021730	12941	10543	2714	1779	26
ENSGALG00000025428	0	0	0	0	0
ENSGALG00000025440	4	2	1	1	0
ENSGALG00000025343	1	0	0	2	0
ENSGALG00000025225	2	4	0	2	0
ENSGALG00000025312	8	6	2	2	1
ENSGALG00000025487	15	6	6	7	0
ENSGALG00000018332	1273	375	132	60	10
ENSGALG00000021727	25559	3061	170	249	74
ENSGALG00000025275	4	0	0	0	0
ENSGALG00000025287	4	0	0	22	0
ENSGALG00000021802	1980	518	142	225	43
ENSGALG00000021729	175	78	929	816	2
ENSGALG00000018344	27135	6821	5662	51906	714
ENSGALG00000021722	109712	31465	57	64	31
ENSGALG00000018283	3401	593	154	11	109
ENSGALG00000018324	599	90	71	240	70
ENSGALG00000018312	31	33	41	14	67
ENSGALG00000025191	1	0	0	1	0
ENSGALG00000018306	9471	2937	2211	21673	1552
ENSGALG00000018263	903	149	0	1	4
ENSGALG00000025219	19	3	0	0	0
ENSGALG00000025295	3	3	1	0	0
ENSGALG00000025410	2	0	0	0	1
ENSGALG00000025227	1	0	0	0	0
ENSGALG00000018242	91037	46907	21508	11387	1528
ENSGALG00000024504	296	199	321	1027	39
ENSGALG00000018329	633	104	208	509	2019
ENSGALG00000018294	41	18	70	69503	52
ENSGALG00000025520	3	6	1	0	0
ENSGALG00000018321	0	0	13	1	0
ENSGALG00000025288	4	4	0	0	16
ENSGALG00000025433	3	2	0	0	0
ENSGALG00000025400	711	1	0	48	1
ENSGALG00000018303	492452	283926	37590	178256	12791
ENSGALG00000018346	82170	41232	1995	32	28
ENSGALG00000025369	6	0	1	3	0
ENSGALG00000018275	1659	1067	1689	416	131
ENSGALG00000024500	9	8	1	0	0
ENSGALG00000018310	397	221	82	100	5
ENSGALG00000025404	3	3	3	11	1
ENSGALG00000025332	27	7	0	0	0
ENSGALG00000021725	6661	2239	888	4867	1318
ENSGALG00000025360	47	47	10	1	3
ENSGALG00000025344	1	1	0	2	0
ENSGALG00000025396	4	3	2	2	0
ENSGALG00000018269	40	52	7	2	0
ENSGALG00000025294	60	21	1	0	1
ENSGALG00000021731	2	9	21	20	0
ENSGALG00000025443	4	1	0	0	0
ENSGALG00000025544	641	272	131	170	47
ENSGALG00000025554	25	9	0	0	0
ENSGALG00000025425	0	0	0	3	0
ENSGALG00000021799	1	0	0	1	0
ENSGALG00000025155	0	1	0	0	0
ENSGALG00000025363	1	0	0	0	0
ENSGALG00000021771	2	0	0	0	0
ENSGALG00000025167	0	0	0	0	0
ENSGALG00000018235	663	300	134	236	24
ENSGALG00000025324	0	0	0	0	0
ENSGALG00000025579	3	5	4	1	0
ENSGALG00000018315	117	158	3	76	74
ENSGALG00000025521	5	0	0	0	0
ENSGALG00000025632	91	62	99	45	25
ENSGALG00000025235	17	2	0	1	4
ENSGALG00000025151	1	1	0	0	0
ENSGALG00000018259	35316	2730	2034	664	1263
ENSGALG00000021782	29990	19228	129011	41376	9963
ENSGALG00000025378	1802	242	0	1	0
ENSGALG00000025525	3	0	0	0	0
ENSGALG00000018354	54296	50554	17615	15305	492
ENSGALG00000018278	61372	38529	4126	4575	517
ENSGALG00000025149	330	121	12	146	3
ENSGALG00000018311	496	504	249	270	3
ENSGALG00000025326	69	24	8	6	0
ENSGALG00000025491	2	0	3	2	0
ENSGALG00000018286	6102	1860	652	4048	598
ENSGALG00000025189	56	33	36	6	12
ENSGALG00000025379	10	3	1	3	4
ENSGALG00000025160	5	1	0	0	0
ENSGALG00000021726	940	844	141	245	2
ENSGALG00000025636	0	0	0	0	0
ENSGALG00000018299	6215	3049	114693	440	37
ENSGALG00000025548	1373	50	0	0	0
ENSGALG00000025159	0	0	0	0	0
ENSGALG00000018252	5711	1446	256	781	201
ENSGALG00000018331	164	1474	2123	997646	696
ENSGALG00000025673	8	4	0	3	0
ENSGALG00000025659	4	5	1	1	0
ENSGALG00000025371	0	0	0	0	3
ENSGALG00000025184	20	16	3	1	0
ENSGALG00000025354	10	10	4	10	2
ENSGALG00000025450	3	3	6	3	0
ENSGALG00000018350	5262	11602	12695	9977	778
ENSGALG00000018239	11159	5178	486	7096	113
ENSGALG00000018284	5241	3528	10	5	11
ENSGALG00000025508	565	68	8	8	3
ENSGALG00000025480	1	0	0	0	0
ENSGALG00000018279	246039	266169	41149	124900	4624
ENSGALG00000025570	0	2	0	1	1
ENSGALG00000025350	0	1	2	23	0
ENSGALG00000025298	0	4	0	23	1
ENSGALG00000025514	0	0	0	0	0
ENSGALG00000025176	0	2	0	0	0
ENSGALG00000025230	0	2	0	0	6
ENSGALG00000025505	0	6	0	1	0
ENSGALG00000021773	0	1	0	0	0
ENSGALG00000025465	0	1	1	2	0
ENSGALG00000025138	0	0	0	0	0
ENSGALG00000025201	0	1	0	0	0
ENSGALG00000025359	0	1	1	3	17
ENSGALG00000025488	0	1	0	0	0
ENSGALG00000025195	0	0	0	0	0
ENSGALG00000025247	0	1	0	0	0
ENSGALG00000025310	0	2	0	0	0
ENSGALG00000025217	0	1	0	0	0
ENSGALG00000025439	0	0	0	0	0
ENSGALG00000025588	0	1	0	0	0
ENSGALG00000025386	0	1	0	0	1
ENSGALG00000025180	0	1	0	0	0
ENSGALG00000025145	0	0	0	0	0
ENSGALG00000025437	0	1	0	0	0
ENSGALG00000025347	0	0	0	0	0
ENSGALG00000025223	0	0	1	2	0
ENSGALG00000025123	0	0	1	0	0
ENSGALG00000025447	0	0	1	0	0
ENSGALG00000025511	0	0	0	0	0
ENSGALG00000025547	0	0	1	0	0
ENSGALG00000025239	0	0	3	1	1
ENSGALG00000025383	0	0	1	0	0
ENSGALG00000025258	0	0	0	0	0
ENSGALG00000025162	0	0	1	0	0
ENSGALG00000025555	0	0	1	0	0
ENSGALG00000025232	0	0	0	0	0
ENSGALG00000025512	0	0	1	0	0
ENSGALG00000025163	0	0	1	0	0
ENSGALG00000025226	0	0	0	0	0
ENSGALG00000024498	0	0	1	2	2
ENSGALG00000025352	0	0	0	0	0
ENSGALG00000025414	0	0	1	0	0
ENSGALG00000025634	0	0	0	0	1
ENSGALG00000025118	0	0	0	0	0
ENSGALG00000021772	0	0	0	14	476
ENSGALG00000025481	0	0	0	1	0
ENSGALG00000025445	0	0	0	0	1
ENSGALG00000025173	0	0	0	2	0
ENSGALG00000025348	0	0	0	1	0
ENSGALG00000025335	0	0	0	0	2
ENSGALG00000025278	0	0	0	14	1
ENSGALG00000025112	0	0	0	0	0
ENSGALG00000025231	0	0	0	4	0
ENSGALG00000025408	0	0	0	0	0
ENSGALG00000025131	0	0	0	1	1
ENSGALG00000025146	0	0	0	0	0
ENSGALG00000025500	0	0	0	2	0
ENSGALG00000025221	0	0	0	2	3
ENSGALG00000025140	0	0	0	0	0
ENSGALG00000025507	0	0	0	0	5
ENSGALG00000025299	0	0	0	215	1
ENSGALG00000025224	0	0	0	1	0
ENSGALG00000025228	0	0	0	0	113
ENSGALG00000025133	0	0	0	0	0
ENSGALG00000025113	0	0	0	0	2
ENSGALG00000025471	0	0	0	0	0
ENSGALG00000025516	0	0	0	0	0
ENSGALG00000025391	0	0	0	0	0
ENSGALG00000025323	0	0	0	0	1
ENSGALG00000025272	0	0	0	0	2
ENSGALG00000025241	0	0	0	0	1
ENSGALG00000025316	0	0	0	0	0
ENSGALG00000025567	0	0	0	0	1
ENSGALG00000025236	0	0	0	0	0
ENSGALG00000025540	0	0	0	0	0
ENSGALG00000025411	0	0	0	0	0
ENSGALG00000025382	0	0	0	0	1
ENSGALG00000025430	0	0	0	0	2
ENSGALG00000025558	0	0	0	0	0
ENSGALG00000025290	0	0	0	0	1
