Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Testis_Male3
blastnGorilla.CUFF.217954	0	0	0	0
CUFF.12048	0	0	0	0.19
Locus_28942	1.43	0.51	0.2	2.91
ENSGALG00000002527	11.23	4.9	7.19	5.37
ENSGALG00000014837	7.88	3.63	4.63	0.62
ENSGALG00000004888	8.56	3.45	5.13	0.99
ENSGALG00000004594	203.31	693.32	1970.1	60.45
Locus_102722	1.66	0.42	0	0.51
ENSGALG00000003720	1.74	1.55	1.56	28.89
ENSGALG00000005192	0.23	0.67	9.43	0.15
ENSGALG00000015617	249.96	210.51	515.44	391.91
Locus_110013	0	0	0	2.79
CUFF.236513	0	0	0.11	0.25
ENSGALG00000022605	0	0	0	0
ENSGALG00000016187	29.51	21.87	12.11	43.32
ENSGALG00000006160	12.42	19.6	40.58	42.63
ENSGALG00000003625	137.99	53.49	85.65	50.32
ENSGALG00000011393	9.88	8.19	5.32	12.84
ENSGALG00000004244	8.69	13.86	10.47	13.68
ENSGALG00000000430	6.12	7.83	4.47	26.15
ENSGALG00000015485	8.35	17.37	15.78	17.22
ENSGALG00000023000	0	0	0	7.67
ENSGALG00000004304	23.8	22.74	25.78	15.69
ENSGALG00000010598	3.26	0.34	0.34	4.66
ENSGALG00000024182	0	0	0	0
ENSGALG00000010502	6.58	21.49	12.76	52.9
CUFF.68561	0	0.05	0.07	1.34
Locus_66209	0	0.08	0.07	10.04
Locus_119186	0	1.25	0.65	0
ENSGALG00000011387	41.78	45.9	32.89	50.45
ENSGALG00000013175	10.88	7.88	17.41	11.38
ENSGALG00000007015	1.86	10.77	15.33	3.61
ENSGALG00000017004	13.92	11.49	6.51	114.39
Locus_50448	0	0.06	0.07	1.53
ENSGALG00000016843	22.46	14.08	16.63	4.84
ENSGALG00000008291	24.53	31.06	46.95	8.86
Locus_118116	0.13	0.57	0.21	3.79
Locus_99171	0.17	0.04	0.14	0.04
ENSGALG00000001664	10.84	4.03	8.01	5.08
ENSGALG00000002318	0.27	50.66	141.32	1.79
ENSGALG00000002155	18.3	8.41	4.42	8.82
ENSGALG00000008058	110.39	24.83	11.79	23.63
ENSGALG00000001233	3.16	2.08	2.07	4.44
ENSGALG00000001006	0.27	7.52	5.16	3.7
blastnMouse.Locus_3279	0	0	0	0
ENSGALG00000014226	9.43	15.09	7.63	37.8
ENSGALG00000009332	104.83	121.83	28.72	124.8
ENSGALG00000001848	19.12	32.39	34.99	32.64
ENSGALG00000012921	3.53	24.34	22.17	6.21
ENSGALG00000012222	170.58	33.63	33.63	11.64
ENSGALG00000001737	228.83	160.24	28.19	233.4
ENSGALG00000002988	32.38	0.49	0.55	0.27
ENSGALG00000016049	20.93	21.03	11.43	34.65
ENSGALG00000002522	0.18	0.03	0.12	0.2
ENSGALG00000004165	0	0	0	0
ENSGALG00000000166	2.85	5.75	35.56	0.67
ENSGALG00000008043	59.91	3.54	4.44	0.18
ENSGALG00000022384	0	0	0	0
Locus_104893	0	0	0	2.06
Locus_109982	0	0	0	1.71
ENSGALG00000013754	9.09	12.67	19.01	5
ENSGALG00000009123	5.17	0.95	0.59	2.54
CUFF.143704	0	0.03	0	0.45
Locus_117237	3.27	0.78	0.56	0.85
ENSGALG00000010827	34.7	26.08	17.32	13.83
ENSGALG00000021232	0	0	0	0.14
ENSGALG00000012953	23.63	13.74	5.38	75.18
ENSGALG00000010241	14.02	33.3	31.5	9.13
Locus_20501	0	0	0	0.48
Locus_102269	0	0	0	0.34
ENSGALG00000024240	0	0	0	0
ENSGALG00000014303	17.9	25.39	18.64	16.89
Locus_73583	0.34	1.3	0.21	0.31
ENSGALG00000015295	0.13	6.54	2.4	0.04
ENSGALG00000015653	36.48	5.47	4.61	26.49
CUFF.37501	0	0.04	0	0.53
ENSGALG00000012550	4.05	15.56	68.03	0.52
ENSGALG00000004001	140.12	130.7	29.89	70.82
Locus_49657	0	0.03	0.12	2.05
blastnMouse.CUFF.110475	0	0	0	0
ENSGALG00000009932	4.29	12.93	11.98	3.72
ENSGALG00000011574	15.04	7.49	10.66	5.24
ENSGALG00000018565	74.85	19.85	45.15	19.37
ENSGALG00000011990	20.74	24	6.31	27.13
ENSGALG00000003894	1.05	0.21	1.41	13.47
ENSGALG00000007806	1.71	0.19	0.23	7.04
ENSGALG00000005770	10.11	11.72	10.25	7.54
ENSGALG00000004554	179.52	103.88	69.4	119.98
ENSGALG00000004660	3.63	2.34	2.55	10.57
ENSGALG00000002646	58.85	4.6	2.48	52.89
ENSGALG00000019142	170.69	56.45	49.97	176.83
Locus_99536	0	0	0	2.87
ENSGALG00000008544	48.75	3.48	1.9	1.19
CUFF.187615	0	0	0	0.55
ENSGALG00000023231	0	0.08	0	0
ENSGALG00000016631	5.39	2.43	6.62	10.82
ENSGALG00000010486	20.46	0.26	0.08	0.21
blastnHuman.ENSG00000253205	0	0	0	0.46
Locus_97703	0.15	0.16	0.08	0.88
ENSGALG00000006680	5.13	3.78	2.67	8.73
Locus_66061	0	4.64	0	1.19
ENSGALG00000022497	38.08	67.7	9.47	138.11
CUFF.139693	0	0	0	1.02
ENSGALG00000015579	11.7	2.74	4.37	25.86
ENSGALG00000010716	5.4	18.47	17.13	9.29
ENSGALG00000024485	6.05	5.9	10.03	6.33
blastnMouse.ENSMUSG00000091106	0	0	0	0.32
ENSGALG00000013922	1.64	1.28	35.86	0.2
ENSGALG00000023225	0.38	1.21	9.19	7.01
ENSGALG00000003414	26.71	18.61	52.34	6.31
ENSGALG00000010892	6.43	24.74	41.88	8.75
CUFF.139810	0	0	0	0.07
Locus_46224	0	0	0	1.09
Locus_127620	0	0.06	0	1.45
ENSGALG00000006034	36.19	5.61	5.95	8.89
Locus_117772	0	0.04	0	1.13
ENSGALG00000001334	277.55	96.66	116.08	62.26
ENSGALG00000024381	0	0.05	0	0.57
ENSGALG00000004394	3.94	1	1.35	1.89
ENSGALG00000005791	56.67	2.38	2.3	0.38
ENSGALG00000016807	6.84	5.03	9.95	3.17
blastnOpossum.Locus_421117	0	0	0	0
ENSGALG00000012303	0	0.01	0	0.25
ENSGALG00000005733	0	0	0	0.21
ENSGALG00000000639	33.64	0.01	0	0
ENSGALG00000005049	2.62	4.62	6.44	0.82
Locus_65751	0	0	0	2.12
ENSGALG00000002797	53.35	55.27	50.71	44.45
ENSGALG00000000766	348.86	238.47	78.1	279.83
Locus_21872	0	0	0	0.98
CUFF.236466	0	0	0	0
ENSGALG00000017604	0	0	0	0.08
ENSGALG00000005087	0.12	3.33	2.95	0.25
ENSGALG00000022533	0	0	0	0
ENSGALG00000006358	6.7	3.17	2.67	0.93
ENSGALG00000016931	0.79	0.87	0.77	21.22
Locus_18993	0	0	0	1.49
ENSGALG00000023217	0	0.55	1.22	0.11
ENSGALG00000014729	0.45	1.13	0.58	9.87
Locus_7098	0	0.54	1.57	0
ENSGALG00000015305	6.25	0	0	0.64
ENSGALG00000000362	17.29	1.98	3.22	2.29
Locus_63587	2.35	6.97	5.28	20.52
ENSGALG00000016919	1.3	0.22	0.96	1.28
ENSGALG00000007539	0.89	2.26	2.73	1.04
ENSGALG00000003490	2.99	1.91	3.48	0.49
CUFF.95779	0	0.1	0	0.6
Locus_118796	0.4	0	0	0
CUFF.128078	0.35	0.16	0.19	0.23
ENSGALG00000022447	4.65	6.76	87.58	3.46
blastnPlatypus.Locus_41980	0	0	0	0
ENSGALG00000005958	2.35	2.56	1.05	3.62
CUFF.72857	0.09	0	0	0.37
ENSGALG00000003265	39.69	52.19	63.92	152.67
ENSGALG00000013647	6.19	15.54	12.99	32.15
ENSGALG00000007449	5.37	5.94	4.47	7.8
ENSGALG00000011335	4.07	2.45	1.8	7.2
ENSGALG00000006342	7.1	28.45	15.38	7.8
ENSGALG00000006277	6.14	7.71	10.83	29.03
ENSGALG00000008857	9.41	15.91	22.05	12.55
ENSGALG00000006723	61.3	3.85	3.7	148.86
ENSGALG00000004999	157.01	55.3	28.77	35.47
Locus_77394	0.14	1.53	0.43	7.33
ENSGALG00000022047	0	0.02	0.11	0.06
ENSGALG00000023040	0	0	0	0.1
ENSGALG00000016891	0	0	0	0.1
CUFF.139664	0	0.5	0.5	0.1
ENSGALG00000014936	4.09	8.42	5.28	44.17
ENSGALG00000003251	66.59	153.72	69.04	174.7
ENSGALG00000005150	15.11	23.21	33.84	34.69
ENSGALG00000015424	69.74	5.35	5	18.63
ENSGALG00000018700	0	0	0	0
ENSGALG00000008354	3.37	1.51	3.35	5.18
Locus_118666	0	0	0	0.1
ENSGALG00000016463	51.78	10.87	18.01	7.54
ENSGALG00000006669	0.18	0.4	0.35	0.19
ENSGALG00000015025	5.86	22.54	13.31	6.26
ENSGALG00000006188	9.18	19.11	23.85	25.78
ENSGALG00000007821	79.35	51.51	36.05	92.49
ENSGALG00000019026	0	0	0.22	0
ENSGALG00000016554	0.46	0.08	0.03	4.65
ENSGALG00000022382	67.21	202.6	172.43	11.44
ENSGALG00000014687	0.1	6.14	3.54	7.91
CUFF.248538	0.33	0.37	0.78	1.05
ENSGALG00000004280	0	3.24	2.5	4.22
ENSGALG00000008602	25.73	0.19	0.18	1.87
ENSGALG00000012338	9.16	71.26	38.75	8.48
ENSGALG00000002199	2.46	0.91	1.75	0.61
ENSGALG00000008527	90.81	30.04	19.1	60.91
ENSGALG00000004482	0.56	0.42	1.49	0.11
Locus_127348	6.21	0.13	0	0
ENSGALG00000023308	1.45	0.72	8.44	1.07
ENSGALG00000016238	8.71	8.77	13.59	11.58
Locus_64840	0	0.3	7.28	0.2
ENSGALG00000008135	52.64	0.11	0.12	8.93
ENSGALG00000015775	53.66	30.93	32.95	171.62
Locus_104940	0.28	0.49	0.23	3.39
ENSGALG00000004881	0	0.78	0	0
CUFF.95880	1.04	0.56	0.11	2.51
ENSGALG00000012909	5.18	5.17	8.79	15.65
Locus_105116	0	0	0	1.91
ENSGALG00000001791	8.34	8.27	6.71	24.06
ENSGALG00000006101	11.5	16.01	15.78	29.01
ENSGALG00000019213	7.25	11.16	10.29	2.86
ENSGALG00000013552	12.15	22.34	13.4	101.71
ENSGALG00000004687	0.91	0.86	1.23	9.6
Locus_80374	9.7	2.07	1.14	0.94
ENSGALG00000015810	4.24	44.93	14.58	283.75
CUFF.71848	0	0	0	0.32
ENSGALG00000023866	0.23	0.23	0.64	0.22
blastnMacaque.Locus_289498	0.82	0	0	0
ENSGALG00000022348	0	0	0.05	0
ENSGALG00000007684	0	0.02	0	0
ENSGALG00000008087	0	0.01	0	0.89
ENSGALG00000015189	1.22	3.37	16.67	34.34
ENSGALG00000016426	0.3	0.56	0.37	1.51
blastnHuman.Locus_159237	0	0	0	0
Locus_117474	0	0.06	0.05	1.01
ENSGALG00000009415	6.47	4.67	2.43	8.96
blastnOpossum.Locus_317445	0	0	0	0
Locus_50303	0	0	0	0.82
ENSGALG00000005269	22.27	22.51	18.61	12.11
ENSGALG00000024321	0.19	0.06	0.14	1.94
ENSGALG00000001505	293.47	0.85	0.47	18.28
ENSGALG00000016881	1.03	2.37	13.86	0.33
ENSGALG00000020253	90.44	259.38	8.72	1163.4
ENSGALG00000009917	46.05	23.04	58.29	104.86
ENSGALG00000017041	2.18	0.49	0.31	1.17
ENSGALG00000011660	113.13	108.69	69.42	95.91
ENSGALG00000014943	57.35	27	2.2	29.35
ENSGALG00000009384	17.11	19.5	23.61	18.47
Locus_19104	0	0	0	0.69
blastnHuman.ENSG00000254010	0	0	0	0
ENSGALG00000006705	1.51	77.65	35.4	5.59
ENSGALG00000004197	6.77	10.22	10.02	25.4
Locus_127781	6.02	0.01	0	0.16
ENSGALG00000002639	133.15	31.54	20.72	34.33
ENSGALG00000013677	10.27	6.67	9.24	16.17
ENSGALG00000017053	13.49	9.14	5.66	5.77
Locus_69153	0	0.36	0.11	0.57
ENSGALG00000008735	0.37	1.19	0.42	10.52
ENSGALG00000013452	75.8	143.49	81.94	103.77
ENSGALG00000017426	1.15	2.93	14.86	4.46
Locus_99826	0.76	0	0	0.11
ENSGALG00000006978	10.61	41.27	19.52	21.49
ENSGALG00000023446	7.87	6.14	6.84	4.56
Locus_49043	0	0	0	2.51
ENSGALG00000005596	10.65	21.51	7.71	22.31
ENSGALG00000004717	20.59	7.8	47.89	16.93
CUFF.183456	0	0.05	0	0.09
Locus_49412	2.82	2.49	0.47	0.03
ENSGALG00000012204	0.54	1.91	2.19	4.12
Locus_46850	0.88	0	0	0.08
ENSGALG00000001640	0.31	4.06	14.46	1.86
ENSGALG00000004623	5.42	7.69	11.53	10.2
Locus_104964	0	0	0	4.69
Locus_118757	0	0	0	0.89
ENSGALG00000006479	0.88	0.17	1.25	0.18
ENSGALG00000016354	10.6	8.23	9.24	16.17
CUFF.204335	0	0.04	0.06	0.51
blastnMouse.Locus_92890	0	0	0	0.6
ENSGALG00000016740	0.03	0.04	0	0.46
ENSGALG00000008987	1.09	0.53	0.94	3.58
ENSGALG00000013962	21.27	16.38	9.55	36.35
ENSGALG00000009262	2.41	0.46	0.36	22.48
ENSGALG00000008839	56.73	87.53	28.25	239.24
ENSGALG00000016206	23.35	4.27	2.22	5.1
ENSGALG00000016574	6.4	8.06	4.35	14.72
ENSGALG00000004018	1.33	4.5	5.62	5.25
ENSGALG00000014124	5.29	15.04	6.1	6.17
blastnOpossum.Locus_92598	0	0	0	0
ENSGALG00000007729	5.89	5.71	6.1	6.35
Locus_4981	0	0	0	5.65
Locus_127063	13.75	45	39.39	40.31
ENSGALG00000017182	4.58	6.99	16.96	3.3
ENSGALG00000001615	5.2	10.43	9.77	9.78
ENSGALG00000015167	14.8	14.92	2.98	29.79
blastnHuman.ENSG00000232586	0	0	0	0
CUFF.60573	0	0.2	0	0.19
Locus_1036	0	0	0	0.86
Locus_99872	0	0	0	0.67
ENSGALG00000018828	0.49	3.9	5.92	1.67
ENSGALG00000005667	11.85	9.27	7.54	12.21
blastnMouse.Locus_82502	0	0	0	0
Locus_87718	0	0.47	0.47	0.78
ENSGALG00000013529	0.07	1.95	5.96	51.82
CUFF.62369	0	0	0.04	2.57
ENSGALG00000001182	18.41	23.57	20.79	18.47
ENSGALG00000016314	13.08	18.52	12.99	27.51
ENSGALG00000015783	92.43	39.59	27.98	72.03
Locus_29216	0	0.01	0	1.16
ENSGALG00000000044	0.09	0.64	2.55	0.2
ENSGALG00000004107	186.28	291	648.23	255.09
Locus_66857	0.19	0	0	5.91
ENSGALG00000013857	0	5.63	16.28	0.04
ENSGALG00000010309	4.52	30.39	7.8	143.92
Locus_63820	0	0.21	0.3	1.62
ENSGALG00000000904	9.25	10.22	26.89	4.16
Locus_49721	0	0	0	2.45
ENSGALG00000022227	0	0	0	0
ENSGALG00000003017	7.64	4.16	9.29	3.71
Locus_28752	0	0	0	1.2
Locus_20223	0	0	0	1.44
ENSGALG00000011803	0.69	6.17	8.81	0.96
ENSGALG00000023132	0	0.1	8.63	1.87
ENSGALG00000007547	41.02	20.79	19.81	10.08
Locus_117882	0	0	0	8.03
ENSGALG00000007004	1.83	0	0	0.25
ENSGALG00000005871	0.42	3.12	4.83	0
ENSGALG00000003558	58.38	55.62	22.57	12.66
ENSGALG00000008433	0.87	1.14	8.17	2.46
ENSGALG00000001065	1.43	66.32	11.2	192.96
CUFF.8175	0	0	0	1.16
ENSGALG00000014244	0.04	1.42	3.45	1.52
ENSGALG00000017444	38.56	9.66	4.47	2.85
ENSGALG00000013785	46.79	15.88	8.08	15.82
ENSGALG00000008309	1.56	64.53	8.91	308.92
ENSGALG00000016501	57.97	46.44	65.24	74.79
ENSGALG00000011626	2.79	2.01	3.84	6.09
Locus_21266	0	0	0	1.37
CUFF.116817	0.11	0.09	0.17	0.14
ENSGALG00000004222	352.8	87.15	23.86	15.01
Locus_29222	0	0	0	2.61
CUFF.63769	0	0	0	0.66
ENSGALG00000001607	14.47	20.85	12.94	12.72
ENSGALG00000010434	0.55	1.25	1.46	0.78
ENSGALG00000022788	0	42.3	14.54	0.57
Locus_47687	0	0	0	2.36
Locus_127816	0	0.71	0.16	0
ENSGALG00000009148	0.73	0	0	56.85
ENSGALG00000013762	0	0	0	0.16
ENSGALG00000013009	23.5	0	0.04	0.19
ENSGALG00000009841	4.23	5.68	4.6	32.67
Locus_117940	0	0	0	8.03
ENSGALG00000016760	24.45	26.02	50.78	17.71
ENSGALG00000007559	3.94	3.94	7.82	3.44
ENSGALG00000000808	0.02	0.03	0.01	0.58
CUFF.180707	0.11	0.01	0.02	0.34
ENSGALG00000015244	0.24	0.47	0.31	0.63
ENSGALG00000010483	0.67	1.01	4.52	0.91
ENSGALG00000001624	14.71	25.28	11.87	24.91
ENSGALG00000008127	4.79	12.9	59.57	1.28
Locus_88340	0	0	0	3.21
Locus_99047	0	0.11	0	3.89
CUFF.229065	0	0	0	0.08
ENSGALG00000022518	0.73	0.57	1.4	1.3
Locus_98130	0	0	0	1
Locus_46729	0.49	0	0	0.73
Locus_80176	0	0.34	0.95	0
ENSGALG00000006900	0.59	2.66	5.55	0.21
ENSGALG00000020592	0.86	0.11	0.31	2.08
ENSGALG00000006241	0	0.01	0	3.48
ENSGALG00000023703	46.84	25.84	35.3	9.04
ENSGALG00000005852	0.26	0.22	0.57	0.18
Locus_48009	0	0.03	0	1.62
ENSGALG00000015344	12.39	4.42	5.01	3.94
ENSGALG00000008787	7.87	9.97	9.41	12.24
ENSGALG00000015933	46.35	53.42	22.29	52.33
ENSGALG00000019229	3.18	5.19	15.9	1.09
ENSGALG00000003331	56.96	58.68	26.17	53.98
ENSGALG00000013775	11.29	0.3	0.15	0.35
Locus_48251	0.26	0.09	0.51	2.38
ENSGALG00000006753	224.62	90.96	57.69	293.72
ENSGALG00000012613	1.63	22.78	18.27	0.57
ENSGALG00000022364	0	0.14	0	1.08
Locus_4840	0.07	0.28	0.45	2.86
ENSGALG00000022475	0	0	0	0
ENSGALG00000016164	9.15	1.84	3.02	5.17
Locus_63664	0	0	0	12.32
ENSGALG00000008888	10.27	0.16	0.12	9.88
ENSGALG00000011438	66.96	22.72	8.98	74.03
CUFF.38987	0	0.04	0	2.28
ENSGALG00000015216	0.95	1.27	1.8	1.33
ENSGALG00000002513	0.12	19.98	21.18	0.16
ENSGALG00000000847	0	0.07	0	0
Locus_126805	0	0	0	1.08
ENSGALG00000011670	0	0.01	0.5	0
ENSGALG00000003739	23.8	106.8	143.09	4.5
ENSGALG00000010476	70.43	58.56	86.59	9.19
ENSGALG00000003780	0	0	0	0
Locus_102341	0	0	0	1.97
ENSGALG00000009719	23.02	0.08	0.09	3.05
Locus_48309	0	0	0	1.34
ENSGALG00000007130	100.28	38.38	108.76	28.19
CUFF.176027	0	0	0	0.54
ENSGALG00000005967	42.06	0.67	2.01	2.43
ENSGALG00000003563	58.74	25.71	18.09	32.94
ENSGALG00000022087	11.56	16.38	10.98	2.59
ENSGALG00000015602	0.33	0.02	0	157.56
ENSGALG00000009050	0.54	0.63	0.45	0.93
ENSGALG00000010621	17.38	16.35	16.24	30.48
ENSGALG00000006749	13.78	9.36	6.38	12.59
blastnPan.Locus_17597	0	0	0	0
ENSGALG00000001806	0.07	0	0	1.45
blastnHuman.ENSG00000249102	0	0	0	0
Locus_104811	0.49	0.05	0.13	0.52
ENSGALG00000013817	54.66	8.88	6.48	16.92
Locus_5083	0	0	0	3.31
ENSGALG00000000863	5.98	15.38	9.97	146.18
ENSGALG00000012836	4.08	7.38	4.94	118.75
blastnXenopus.Locus_148221	0	0	0	6.41
ENSGALG00000022174	6.79	62.76	204.66	6.57
Locus_20041	0	0	0	1.08
ENSGALG00000011202	1.62	0.34	0.07	1.04
blastnPlatypus.Locus_173478	0	0	0	2.82
ENSGALG00000006225	27.68	63.2	16.6	41.87
ENSGALG00000007471	1.43	1.68	2.68	4.48
ENSGALG00000015433	4.52	38.01	24.35	5.54
ENSGALG00000013135	36.08	16.62	22.58	7.54
CUFF.57972	0	0	0	1.07
ENSGALG00000009483	43.76	59.7	24.29	28.26
ENSGALG00000004533	6.89	12.52	16.48	20.94
ENSGALG00000007753	5.15	5.97	6.24	6.61
ENSGALG00000010983	63.46	3.04	20.23	7.84
Locus_65608	0	1.65	0	0.77
ENSGALG00000013280	0	0	0	0.19
ENSGALG00000006601	9.77	5.04	8.57	23.06
ENSGALG00000012696	42.8	53.52	43.31	112.98
ENSGALG00000014283	12.49	6.58	3.26	8.67
Locus_20092	0	0	0	0.49
Locus_29004	0	0	0	5.83
ENSGALG00000012097	1.68	8.13	3.91	0.17
ENSGALG00000008794	10.83	27.67	9.9	74.26
Locus_77119	0	0	0	1.01
ENSGALG00000023919	21.98	0.61	0.41	8.61
ENSGALG00000002111	14.29	0.84	1.27	8.86
ENSGALG00000011184	152.93	125.92	96.15	149.2
ENSGALG00000015333	8.05	13.93	29.06	7.46
ENSGALG00000021535	0	0	0	0
ENSGALG00000003123	32.08	0.55	2.04	0.22
ENSGALG00000000589	0.85	5.43	8.51	0.3
Locus_98106	0	0	0	2.64
ENSGALG00000011643	6.85	16.75	9.94	11.26
ENSGALG00000013261	48.59	23.36	16.4	26.62
Locus_87431	0	0.77	1.08	3.6
Locus_29337	0	0.54	0	2.25
ENSGALG00000016829	30.62	68.85	142.21	19.81
ENSGALG00000000264	71.79	21.53	8.77	129.48
ENSGALG00000020722	2.49	0.63	1.85	0.98
CUFF.18230	0	0	0	0.78
ENSGALG00000023613	0	0.33	2.86	0
ENSGALG00000006776	6.63	3.37	10.74	0.61
ENSGALG00000015548	197.37	114.12	31.24	460.84
ENSGALG00000013594	5.66	5.28	4.48	11.51
ENSGALG00000019837	27.46	36.84	34.42	92.63
ENSGALG00000004543	0.05	0.33	0.85	0
ENSGALG00000022036	0	0	0	4.57
ENSGALG00000020777	7.67	4.27	7.27	17.02
ENSGALG00000005470	15.58	1.84	2.19	4.94
Locus_29174	0	0.03	0	0.51
ENSGALG00000010116	0.26	0.01	0.01	138.52
ENSGALG00000010542	77.04	44.85	38.09	41.28
ENSGALG00000003745	6.01	18.13	37.7	27.25
ENSGALG00000003243	32.58	34.98	23.03	42.61
Locus_28142	0	0	0	1.22
ENSGALG00000023411	0.86	0.36	1.51	0.16
Locus_21405	0	0	0	0.76
Locus_84207	0	0	0	4.52
ENSGALG00000006260	0	0	0	0.04
ENSGALG00000009117	0	0	0	0
ENSGALG00000009370	0.7	0.22	0.65	0.47
ENSGALG00000006141	14.63	17.02	11.8	42.47
ENSGALG00000013885	19.11	11.25	22.72	19.25
ENSGALG00000010906	0	0.08	0	0
ENSGALG00000015276	0.11	15.89	16.74	0.05
ENSGALG00000006026	19.51	32.27	22.97	14.38
ENSGALG00000015505	17.29	10.21	10.91	7.58
ENSGALG00000016866	17.81	0.09	0	0.56
ENSGALG00000000976	13.16	19.5	16.27	27.39
ENSGALG00000012046	618.48	10.23	23.66	4.6
Locus_18842	0	0	0	0.82
ENSGALG00000016804	0.31	0	0	1.47
ENSGALG00000009435	0	0	0	0.84
Locus_79959	0.28	0.06	0	0.48
Locus_21603	0	0	0	8.83
ENSGALG00000004689	0	0.01	0	0
ENSGALG00000002745	107.02	109.9	31.18	26.13
ENSGALG00000022163	0	0	0	0
ENSGALG00000012958	2.07	0.31	1.1	7.4
ENSGALG00000022757	0	0	0	1.34
ENSGALG00000019759	72.56	93.28	41.59	107.43
ENSGALG00000005503	0.3	2.59	12.49	0.69
ENSGALG00000015632	0.22	0.32	0.54	7.77
ENSGALG00000005558	11.93	21.06	15.79	17.34
ENSGALG00000008285	36.4	29.69	21.57	181.83
ENSGALG00000012193	24.5	19.89	18.69	35.45
ENSGALG00000003197	0	0.57	0	0
Locus_117855	0	0	0	1.49
CUFF.58395	0	0	0	1.13
ENSGALG00000009240	48.79	185.25	64.2	52.13
ENSGALG00000024085	0	0.03	0.07	0.09
ENSGALG00000003399	0.47	11.12	7.51	5.01
ENSGALG00000001903	61.27	40.74	72.24	12.67
ENSGALG00000023676	25.56	38.84	11.23	61.71
Locus_20598	0.19	0.21	0	0.73
Locus_47447	0.34	0	0	1.43
ENSGALG00000003774	12.7	31.89	46.5	3.3
Locus_20692	0	0	0	3.05
ENSGALG00000014176	0	0	0	0
Locus_48628	0	0.61	0.24	2.2
ENSGALG00000011530	20.67	6.47	9.37	2.08
ENSGALG00000005745	26.55	24.89	20.81	19.84
ENSGALG00000013941	17.06	15.63	3.73	3.4
ENSGALG00000001108	9.52	7.03	4.35	20.66
ENSGALG00000003713	0	0.32	2.57	7.02
ENSGALG00000022750	0.14	0.73	3.03	0.03
Locus_47544	0	0	0	3.14
Locus_88295	1.15	0.17	1.26	0.33
ENSGALG00000009442	12.48	17.59	11.2	28.39
ENSGALG00000007430	58.3	61.79	48.56	57.35
Locus_21768	0.14	0.67	0.15	1.75
blastnPlatypus.Locus_164829	0	0	0	0
Locus_20760	0	0.15	0	0.44
ENSGALG00000014714	1.17	1.15	1	6.52
ENSGALG00000016285	55.13	16.53	3.94	1418.15
ENSGALG00000012495	0.15	0.1	0.11	4.72
