Gene	Gene description
CDH18	Cadherin 18, type 2
GABRB2	Gamma-aminobutyric acid (GABA) A receptor, beta 2
GLRA2	Glycine receptor, alpha 2
HRH3	Histamine receptor H3
OPCML	Opioid binding protein/cell adhesion molecule-like
PPEF1	Protein phosphatase, EF-hand calcium binding domain 1
RBFOX1	RNA binding protein, fox-1 homolog (C. elegans) 1
SLC1A2	Solute carrier family 1 (glial high affinity glutamate transporter), member 2
APC2	Adenomatosis polyposis coli 2
CASKIN1	CASK interacting protein 1
DIRAS2	DIRAS family, GTP-binding RAS-like 2
DKFZP761K2322	HCG1990367; Putative uncharacterized protein DKFZp761K2322; Putative uncharacterized protein FLJ30594; Uncharacterized protein; cDNA FLJ30594 fis, clone BRAWH2008903 
FRMPD4	FERM and PDZ domain containing 4
GABBR2	Gamma-aminobutyric acid (GABA) B receptor, 2
GABRB1	Gamma-aminobutyric acid (GABA) A receptor, beta 1
GABRG1	Gamma-aminobutyric acid (GABA) A receptor, gamma 1
GDAP1L1	Ganglioside induced differentiation associated protein 1-like 1
HAPLN2	Hyaluronan and proteoglycan link protein 2
INA	Internexin neuronal intermediate filament protein, alpha
JPH3	Junctophilin 3
KCNQ2	Potassium voltage-gated channel, KQT-like subfamily, member 2
KIAA1549L	KIAA1549-like
LHFPL3	Lipoma HMGIC fusion partner-like 3
MCHR2	Melanin-concentrating hormone receptor 2
OLFM1	Olfactomedin 1
PDYN	Prodynorphin
SLC5A11	Solute carrier family 5 (sodium/inositol cotransporter), member 11
TMEM132D	Transmembrane protein 132D
TMEM233	Transmembrane protein 233
AK5	Adenylate kinase 5
BTBD17	BTB (POZ) domain containing 17
CAMK2A	Calcium/calmodulin-dependent protein kinase II alpha
CPLX2	Complexin 2
CSMD1	CUB and Sushi multiple domains 1
DDX25	DEAD (Asp-Glu-Ala-Asp) box helicase 25
DLGAP3	Discs, large (Drosophila) homolog-associated protein 3
FABP7	Fatty acid binding protein 7, brain
NXPH2	Neurexophilin 2
PPP1R17	Protein phosphatase 1, regulatory subunit 17
PTPN5	Protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)
SH3GL3	SH3-domain GRB2-like 3
SV2B	Synaptic vesicle glycoprotein 2B
SYT14	Synaptotagmin XIV
TUBB2B	Tubulin, beta 2B class IIb
UNC5A	Unc-5 homolog A (C. elegans)
ZIC2	Zic family member 2
ADD2	Adducin 2 (beta)
BAALC	Brain and acute leukemia, cytoplasmic
C1QL2	Complement component 1, q subcomponent-like 2
CHRNB2	Cholinergic receptor, nicotinic, beta 2 (neuronal)
ELMOD1	ELMO/CED-12 domain containing 1
FAM181B	Family with sequence similarity 181, member B
GNG3	Guanine nucleotide binding protein (G protein), gamma 3
GPR62	G protein-coupled receptor 62
KCNC1	Potassium voltage-gated channel, Shaw-related subfamily, member 1
KCNK12	Potassium channel, subfamily K, member 12
NETO1	Neuropilin (NRP) and tolloid (TLL)-like 1
PCDHA5	Protocadherin alpha 5
PTCHD2	Patched domain containing 2
RASGRF1	Ras protein-specific guanine nucleotide-releasing factor 1
RPH3A	Rabphilin 3A homolog (mouse)
SYT11	Synaptotagmin XI
TMEM59L	Transmembrane protein 59-like
TRIM9	Tripartite motif containing 9
ACTL6B	Actin-like 6B
B3GAT2	Beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)
C1QL3	Complement component 1, q subcomponent-like 3
CADM2	Cell adhesion molecule 2
CHN1	Chimerin 1
DSCAM	Down syndrome cell adhesion molecule
ELFN2	Extracellular leucine-rich repeat and fibronectin type III domain containing 2
ENC1	Ectodermal-neural cortex 1 (with BTB domain)
ERC2	ELKS/RAB6-interacting/CAST family member 2
FAM131B	Family with sequence similarity 131, member B
FAM163B	Family with sequence similarity 163, member B
HS3ST2	Heparan sulfate (glucosamine) 3-O-sulfotransferase 2
HTR1A	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled
KCNH1	Potassium voltage-gated channel, subfamily H (eag-related), member 1
KCNQ3	Potassium voltage-gated channel, KQT-like subfamily, member 3
KIF3C	Kinesin family member 3C
LECT1	Leukocyte cell derived chemotaxin 1
LRRTM3	Leucine rich repeat transmembrane neuronal 3
NAT8L	N-acetyltransferase 8-like (GCN5-related, putative)
NKAIN4	Na+/K+ transporting ATPase interacting 4
OLFM3	Olfactomedin 3
PABPC1L2A	Poly(A) binding protein, cytoplasmic 1-like 2A
PCDHGB1	Protocadherin gamma subfamily B, 1
RASL10A	RAS-like, family 10, member A
SLC1A3	Solute carrier family 1 (glial high affinity glutamate transporter), member 3
SLC35F1	Solute carrier family 35, member F1
SLC6A1	Solute carrier family 6 (neurotransmitter transporter), member 1
SOX11	SRY (sex determining region Y)-box 11
SPP1	Secreted phosphoprotein 1
SV2A	Synaptic vesicle glycoprotein 2A
TMEM257	Transmembrane protein 257
TMOD2	Tropomodulin 2 (neuronal)
VGF	VGF nerve growth factor inducible
AQP4	Aquaporin 4
ASIC1	Acid-sensing (proton-gated) ion channel 1
ATCAY	Ataxia, cerebellar, Cayman type
CACNG4	Calcium channel, voltage-dependent, gamma subunit 4
CBLN2	Cerebellin 2 precursor
CDH20	Cadherin 20, type 2
CEND1	Cell cycle exit and neuronal differentiation 1
DLGAP2	Discs, large (Drosophila) homolog-associated protein 2
ENHO	Energy homeostasis associated
GPR158	G protein-coupled receptor 158
HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled
IGFL4	IGF-like family member 4
KCNC2	Potassium voltage-gated channel, Shaw-related subfamily, member 2
KCNN1	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1
LPPR4	Lipid phosphate phosphatase-related protein type 4 
LRRTM2	Leucine rich repeat transmembrane neuronal 2
MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2
MEGF11	Multiple EGF-like-domains 11
NCDN	Neurochondrin
NRGN	Neurogranin (protein kinase C substrate, RC3)
PABPC1L2B	Poly(A) binding protein, cytoplasmic 1-like 2B
PCDH9	Protocadherin 9
PDZD4	PDZ domain containing 4
PNMA2	Paraneoplastic Ma antigen 2
PRKCG	Protein kinase C, gamma
RLBP1	Retinaldehyde binding protein 1
SHISA7	Shisa family member 7
SLC25A18	Solute carrier family 25 (glutamate carrier), member 18
TMEM130	Transmembrane protein 130
TMEM88B	Transmembrane protein 88B
AMPH	Amphiphysin
ASIC4	Acid-sensing (proton-gated) ion channel family member 4
B3GAT1	Beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)
BAI2	Brain-specific angiogenesis inhibitor 2
BRINP1	Bone morphogenetic protein/retinoic acid inducible neural-specific 1
C10orf90	Chromosome 10 open reading frame 90
C14orf23	Chromosome 14 open reading frame 23
C1QTNF4	C1q and tumor necrosis factor related protein 4
CACNG2	Calcium channel, voltage-dependent, gamma subunit 2
CDH8	Cadherin 8, type 2
CHRM1	Cholinergic receptor, muscarinic 1
CHRM5	Cholinergic receptor, muscarinic 5
CMTM5	CKLF-like MARVEL transmembrane domain containing 5
CNKSR2	Connector enhancer of kinase suppressor of Ras 2
COL20A1	Collagen, type XX, alpha 1
CYP46A1	Cytochrome P450, family 46, subfamily A, polypeptide 1
DPF1	D4, zinc and double PHD fingers family 1
DRD5	Dopamine receptor D5
FBLL1	Fibrillarin-like 1
FUT9	Fucosyltransferase 9 (alpha (1,3) fucosyltransferase)
GAD1	Glutamate decarboxylase 1 (brain, 67kDa)
GRM5	Glutamate receptor, metabotropic 5
HPCAL4	Hippocalcin like 4
HRK	Harakiri, BCL2 interacting protein (contains only BH3 domain)
IL1RAPL1	Interleukin 1 receptor accessory protein-like 1
KIF1A	Kinesin family member 1A
LHFPL5	Lipoma HMGIC fusion partner-like 5
LHX2	LIM homeobox 2
LINGO1	Leucine rich repeat and Ig domain containing 1
LPPR1	Lipid phosphate phosphatase-related protein type 1 
LY6H	Lymphocyte antigen 6 complex, locus H
MAP2	Microtubule-associated protein 2
NEUROD1	Neuronal differentiation 1
NKAIN1	Na+/K+ transporting ATPase interacting 1
NRSN1	Neurensin 1
OR14I1	Olfactory receptor, family 14, subfamily I, member 1
PCDHGC4	Protocadherin gamma subfamily C, 4
PGM2L1	Phosphoglucomutase 2-like 1
PRMT8	Protein arginine methyltransferase 8
PRR18	Proline rich 18
SCG3	Secretogranin III
SCN3B	Sodium channel, voltage-gated, type III, beta subunit
SERPINI1	Serpin peptidase inhibitor, clade I (neuroserpin), member 1
SERTM1	Serine-rich and transmembrane domain containing 1
SH3GL2	SH3-domain GRB2-like 2
SLIT1	Slit homolog 1 (Drosophila)
SMIM17	Small integral membrane protein 17
SMIM18	Small integral membrane protein 18
SPHKAP	SPHK1 interactor, AKAP domain containing
SVOP	SV2 related protein homolog (rat)
SYT3	Synaptotagmin III
SYT4	Synaptotagmin IV
TMCC2	Transmembrane and coiled-coil domain family 2
TMEFF2	Transmembrane protein with EGF-like and two follistatin-like domains 2
ZFR2	Zinc finger RNA binding protein 2
AMER3	APC membrane recruitment protein 3
B4GALNT1	Beta-1,4-N-acetyl-galactosaminyl transferase 1
BSN	Bassoon presynaptic cytomatrix protein
C1orf173	Chromosome 1 open reading frame 173
C1QL1	Complement component 1, q subcomponent-like 1
C4orf50	Chromosome 4 open reading frame 50
C8orf46	Chromosome 8 open reading frame 46
CACNA1B	Calcium channel, voltage-dependent, N type, alpha 1B subunit
CACNA1E	Calcium channel, voltage-dependent, R type, alpha 1E subunit
CDK5R2	Cyclin-dependent kinase 5, regulatory subunit 2 (p39)
CHD5	Chromodomain helicase DNA binding protein 5
CLEC2L	C-type lectin domain family 2, member L
CNDP1	Carnosine dipeptidase 1 (metallopeptidase M20 family)
CNP	2',3'-cyclic nucleotide 3' phosphodiesterase
CPNE6	Copine VI (neuronal)
CSMD3	CUB and Sushi multiple domains 3
CTNNA2	Catenin (cadherin-associated protein), alpha 2
DACH2	Dachshund homolog 2 (Drosophila)
DNAJC6	DnaJ (Hsp40) homolog, subfamily C, member 6
DNM1	Dynamin 1
DOC2A	Double C2-like domains, alpha
ELOVL2	ELOVL fatty acid elongase 2
ETNPPL	Ethanolamine-phosphate phospho-lyase
FAM155A	Family with sequence similarity 155, member A
FGF1	Fibroblast growth factor 1 (acidic)
FRRS1L	Ferric-chelate reductase 1-like
GABRA2	Gamma-aminobutyric acid (GABA) A receptor, alpha 2
GABRD	Gamma-aminobutyric acid (GABA) A receptor, delta
GALNT9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)
GRIN3A	Glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
GRM2	Glutamate receptor, metabotropic 2
ICAM5	Intercellular adhesion molecule 5, telencephalin
ITPKA	Inositol-trisphosphate 3-kinase A
LHFPL4	Lipoma HMGIC fusion partner-like 4
LPPR5	Lipid phosphate phosphatase-related protein type 5 
MAG	Myelin associated glycoprotein
MAP1A	Microtubule-associated protein 1A
MC4R	Melanocortin 4 receptor
MPPED1	Metallophosphoesterase domain containing 1
MT3	Metallothionein 3
MYT1	Myelin transcription factor 1
NECAB1	N-terminal EF-hand calcium binding protein 1
NGB	Neuroglobin
NPTXR	Neuronal pentraxin receptor
PAQR6	Progestin and adipoQ receptor family member VI
PEX5L	Peroxisomal biogenesis factor 5-like
RALYL	RALY RNA binding protein-like
RPRML	Reprimo-like
S100B	S100 calcium binding protein B
SLC6A17	Solute carrier family 6 (neutral amino acid transporter), member 17
SLC7A14	Solute carrier family 7, member 14
SLC8A2	Solute carrier family 8 (sodium/calcium exchanger), member 2
SPOCK3	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3
SRRM4	Serine/arginine repetitive matrix 4
SRSF12	Serine/arginine-rich splicing factor 12
SULT4A1	Sulfotransferase family 4A, member 1
SYP	Synaptophysin
SYT1	Synaptotagmin I
TMEM151B	Transmembrane protein 151B
UNC13C	Unc-13 homolog C (C. elegans)
ZNF365	Zinc finger protein 365
ACBD7	Acyl-CoA binding domain containing 7
ADARB2	Adenosine deaminase, RNA-specific, B2 (non-functional)
ADCY8	Adenylate cyclase 8 (brain)
AMH	Anti-Mullerian hormone
ANKRD34A	Ankyrin repeat domain 34A
APLP1	Amyloid beta (A4) precursor-like protein 1
ARNT2	Aryl-hydrocarbon receptor nuclear translocator 2
ASCL1	Achaete-scute family bHLH transcription factor 1
ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide
ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide
ATP8A2	ATPase, aminophospholipid transporter, class I, type 8A, member 2
BAI3	Brain-specific angiogenesis inhibitor 3
BRSK1	BR serine/threonine kinase 1
C2CD4C	C2 calcium-dependent domain containing 4C
CADM3	Cell adhesion molecule 3
CAMK2B	Calcium/calmodulin-dependent protein kinase II beta
CARNS1	Carnosine synthase 1
CDR1	Cerebellar degeneration-related protein 1, 34kDa
CECR6	Cat eye syndrome chromosome region, candidate 6
CELF3	CUGBP, Elav-like family member 3
CELF4	CUGBP, Elav-like family member 4
CELF5	CUGBP, Elav-like family member 5
CERS1	Ceramide synthase 1
CLVS1	Clavesin 1
CNTN2	Contactin 2 (axonal)
CPLX1	Complexin 1
CRB1	Crumbs homolog 1 (Drosophila)
CTNND2	Catenin (cadherin-associated protein), delta 2
CXXC11	CXXC finger protein 11
DCX	Doublecortin
DDN	Dendrin
DIRAS1	DIRAS family, GTP-binding RAS-like 1
DLGAP1	Discs, large (Drosophila) homolog-associated protein 1
DNER	Delta/notch-like EGF repeat containing
DPYSL5	Dihydropyrimidinase-like 5
ELAVL4	ELAV like neuron-specific RNA binding protein 4
ERBB4	V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4
FAIM2	Fas apoptotic inhibitory molecule 2
FAM69C	Family with sequence similarity 69, member C
FGFBP3	Fibroblast growth factor binding protein 3
FRMD5	FERM domain containing 5
FRMPD2	FERM and PDZ domain containing 2
GABRA3	Gamma-aminobutyric acid (GABA) A receptor, alpha 3
GABRA4	Gamma-aminobutyric acid (GABA) A receptor, alpha 4
GABRG2	Gamma-aminobutyric acid (GABA) A receptor, gamma 2
GAD2	Glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)
GLDC	Glycine dehydrogenase (decarboxylating)
GLRA3	Glycine receptor, alpha 3
GPR17	G protein-coupled receptor 17
GPR98	G protein-coupled receptor 98
GRIA2	Glutamate receptor, ionotropic, AMPA 2
GRIA4	Glutamate receptor, ionotropic, AMPA 4
HCN2	Hyperpolarization activated cyclic nucleotide-gated potassium channel 2
HS3ST4	Heparan sulfate (glucosamine) 3-O-sulfotransferase 4
IGLON5	IgLON family member 5
KCNA2	Potassium voltage-gated channel, shaker-related subfamily, member 2
KCNA6	Potassium voltage-gated channel, shaker-related subfamily, member 6
KIRREL3	Kin of IRRE like 3 (Drosophila)
KLHL32	Kelch-like family member 32
KLK6	Kallikrein-related peptidase 6
LGI1	Leucine-rich, glioma inactivated 1
LIX1	Lix1 homolog (chicken)
LMTK3	Lemur tyrosine kinase 3
LRRC3B	Leucine rich repeat containing 3B
LRRC4C	Leucine rich repeat containing 4C
MAPK8IP2	Mitogen-activated protein kinase 8 interacting protein 2
MAST1	Microtubule associated serine/threonine kinase 1
MGAT5B	Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B
MYT1L	Myelin transcription factor 1-like
NAPB	N-ethylmaleimide-sensitive factor attachment protein, beta
NAT16	N-acetyltransferase 16 (GCN5-related, putative)
NIM1K	NIM1 serine/threonine protein kinase
NKAIN3	Na+/K+ transporting ATPase interacting 3
NRCAM	Neuronal cell adhesion molecule
NRIP3	Nuclear receptor interacting protein 3
P2RY12	Purinergic receptor P2Y, G-protein coupled, 12
PAX6	Paired box 6
PPAPDC1A	Phosphatidic acid phosphatase type 2 domain containing 1A
PPP4R4	Protein phosphatase 4, regulatory subunit 4
PTPRN	Protein tyrosine phosphatase, receptor type, N
PTPRT	Protein tyrosine phosphatase, receptor type, T
PTPRZ1	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1
RAB3A	RAB3A, member RAS oncogene family
RAB6B	RAB6B, member RAS oncogene family
RBFOX3	RNA binding protein, fox-1 homolog (C. elegans) 3
RGR	Retinal G protein coupled receptor
RIMS3	Regulating synaptic membrane exocytosis 3
RTN4RL2	Reticulon 4 receptor-like 2
RUNDC3A	RUN domain containing 3A
SCG2	Secretogranin II
SCN8A	Sodium channel, voltage gated, type VIII, alpha subunit
SLC24A5	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 5
SLC30A3	Solute carrier family 30 (zinc transporter), member 3
SLC6A7	Solute carrier family 6 (neurotransmitter transporter), member 7
SLC8A3	Solute carrier family 8 (sodium/calcium exchanger), member 3
SLCO1C1	Solute carrier organic anion transporter family, member 1C1
SOX8	SRY (sex determining region Y)-box 8
SPRN	Shadow of prion protein homolog (zebrafish)
ST8SIA3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3
STMN2	Stathmin-like 2
STXBP1	Syntaxin binding protein 1
SYNGR3	Synaptogyrin 3
SYT5	Synaptotagmin V
TAGLN3	Transgelin 3
TMEM132B	Transmembrane protein 132B
TMEM132E	Transmembrane protein 132E
TMEM179	Transmembrane protein 179
TPPP	Tubulin polymerization promoting protein
TUBB2A	Tubulin, beta 2A class IIa
UCHL1	Ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
XKR4	XK, Kell blood group complex subunit-related family, member 4
XKR7	XK, Kell blood group complex subunit-related family, member 7
ADCY1	Adenylate cyclase 1 (brain)
AIFM3	Apoptosis-inducing factor, mitochondrion-associated, 3
ATP2B3	ATPase, Ca++ transporting, plasma membrane 3
BAI1	Brain-specific angiogenesis inhibitor 1
BEND6	BEN domain containing 6
BRINP2	Bone morphogenetic protein/retinoic acid inducible neural-specific 2
CABP1	Calcium binding protein 1
CLVS2	Clavesin 2
CNIH2	Cornichon family AMPA receptor auxiliary protein 2
CNTNAP2	Contactin associated protein-like 2
DLX1	Distal-less homeobox 1
DRP2	Dystrophin related protein 2
EFNA3	Ephrin-A3
EFR3B	EFR3 homolog B (S. cerevisiae)
EPHA5	EPH receptor A5
FAM181A	Family with sequence similarity 181, member A
FBXL16	F-box and leucine-rich repeat protein 16
FEZ1	Fasciculation and elongation protein zeta 1 (zygin I)
GNAO1	Guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O
GPR137C	G protein-coupled receptor 137C
GPR75	G protein-coupled receptor 75
GPR88	G protein-coupled receptor 88
GRIA1	Glutamate receptor, ionotropic, AMPA 1
GRIK1	Glutamate receptor, ionotropic, kainate 1
GRIK3	Glutamate receptor, ionotropic, kainate 3
GRM1	Glutamate receptor, metabotropic 1
IL17D	Interleukin 17D
ILDR2	Immunoglobulin-like domain containing receptor 2
KCNH7	Potassium voltage-gated channel, subfamily H (eag-related), member 7
KCNJ10	Potassium inwardly-rectifying channel, subfamily J, member 10
KCNJ3	Potassium inwardly-rectifying channel, subfamily J, member 3
KCNK9	Potassium channel, subfamily K, member 9
KCTD4	Potassium channel tetramerization domain containing 4
KHDRBS3	KH domain containing, RNA binding, signal transduction associated 3
KIAA1644	KIAA1644
LINC00632	Long intergenic non-protein coding RNA 632
LRRC4B	Leucine rich repeat containing 4B
LUZP2	Leucine zipper protein 2
MAP6D1	MAP6 domain containing 1
MEGF10	Multiple EGF-like-domains 10
NECAB2	N-terminal EF-hand calcium binding protein 2
NRXN2	Neurexin 2
NSF	N-ethylmaleimide-sensitive factor
NTNG2	Netrin G2
PCDH8	Protocadherin 8
PCDHGA10	Protocadherin gamma subfamily A, 10
PNMA3	Paraneoplastic Ma antigen 3
PRKAR1B	Protein kinase, cAMP-dependent, regulatory, type I, beta
RIPPLY2	Ripply transcriptional repressor 2
RIT2	Ras-like without CAAX 2
RNF103-CHMP3	RNF103-CHMP3 readthrough
SATB2	SATB homeobox 2
SBK1	SH3 domain binding kinase 1
SCN2B	Sodium channel, voltage-gated, type II, beta subunit
SCRT1	Scratch family zinc finger 1
SH2D5	SH2 domain containing 5
SHANK1	SH3 and multiple ankyrin repeat domains 1
SHC3	SHC (Src homology 2 domain containing) transforming protein 3
SHD	Src homology 2 domain containing transforming protein D
SLC12A5	Solute carrier family 12 (potassium/chloride transporter), member 5
SNAP91	Synaptosomal-associated protein, 91kDa
SOGA3	SOGA family member 3
SST	Somatostatin
ST18	Suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)
ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5
TMEFF1	Transmembrane protein with EGF-like and two follistatin-like domains 1
ZIM2	Zinc finger, imprinted 2
AATK	Apoptosis-associated tyrosine kinase
ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4
AC008060.7	HCG2000720; Hypothetical gene supported by AK054822; Uncharacterized protein 
AC012215.1	Uncharacterized protein 
AC069368.3	Uncharacterized protein 
ACSBG1	Acyl-CoA synthetase bubblegum family member 1
ACSL6	Acyl-CoA synthetase long-chain family member 6
ADAM11	ADAM metallopeptidase domain 11
ADAM22	ADAM metallopeptidase domain 22
ADAM23	ADAM metallopeptidase domain 23
ADCY2	Adenylate cyclase 2 (brain)
ADCYAP1	Adenylate cyclase activating polypeptide 1 (pituitary)
ADCYAP1R1	Adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
ADORA1	Adenosine A1 receptor
ADRA1B	Adrenoceptor alpha 1B
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2
AGBL4	ATP/GTP binding protein-like 4
AJAP1	Adherens junctions associated protein 1
AKAP5	A kinase (PRKA) anchor protein 5
AL450307.1	Uncharacterized protein; cDNA FLJ46300 fis, clone TESTI4035989 
AL583828.1	
AL626787.1	
ALK	Anaplastic lymphoma receptor tyrosine kinase
AMZ1	Archaelysin family metallopeptidase 1
ANKRD24	Ankyrin repeat domain 24
ANKRD34C	Ankyrin repeat domain 34C
ANKS1B	Ankyrin repeat and sterile alpha motif domain containing 1B
ANLN	Anillin, actin binding protein
ANO3	Anoctamin 3
