dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
NAP1L5_GENE_cis_elements_distal	f=15%	0.027896	0.482920	0.000000	0	2.747691	3.204838	0.000000	0	0.404183	0.352932	0.000000	0	23.639612	397.216094	-63.545	1.3062	0	1.3068	main-converged-rho0-converged-eta0-converged-gam0-converged
NECAB1_GENE_cis_elements_distal	f=15%	0.006235	0.039496	0.607135	1.097046	0.655510	0.987576	0.139525	0.218322	0.154961	0.196403	25.846091	157.159517	29.229807	198.383524	-349.131	0.82	0.316	0.47	main-converged-rho0-converged-eta0-converged-gam0-converged
NKAIN2_upregulated_GENE_cis_elements_distal	f=15%	0.219114	0.544148	0.445217	2.572529	0.067422	2.348779	0.123428	0.690216	0.017297	0.602415	0.501817	1.958510	0.062729	2.053487	-143.771	0.514	0.036	-0.002	main-converged-rho0-converged-eta0-converged-gam0-converged
NMNAT2_GENE_cis_elements_distal	f=15%	0.161853	0.232808	0.000000	0.812741	1.721235	1.036361	0.000000	0.334513	0.312111	0.179075	0.000000	1.732263	2.349591	2.494214	-677.634	4.558	0	4.562	main-converged-rho0-converged-eta0-converged-gam0-converged
NPTXR_GENE_cis_elements_distal	f=15%	0.082147	0.482460	0.000000	1.989509	0.725549	1.771056	0.000000	0.667070	0.176540	0.410359	0.000000	7.453377	2.395429	10.808737	-131.601	0.222	0	0.23	main-converged-rho0-converged-eta0-converged-gam0-converged
OPCML_GENE_cis_elements_distal	f=15%	0.343174	0.126457	0.000000	0.682808	0.966498	0.655510	0.000000	0.225543	0.222558	0.143963	0.000000	0.431684	0.547911	0.260781	-1329.09	13.8	0	3.26	main-converged-rho0-converged-eta0-converged-gam0-converged
OR14I1_upregulated_GENE_cis_elements_distal	f=15%	0.021810	0.240596	0.721964	2.180025	1.772416	2.613194	0.186175	0.475622	0.244933	0.267371	10.260243	102.858489	14.548858	157.439628	-100.827	0.746	0.116	0.614	main-converged-rho0-converged-eta0-converged-gam0-converged
OSTN_upregulated_GENE_cis_elements_distal	f=15%	0.130178	0.559107	0.000000	3.296043	2.141451	3.677082	0.000000	0.852022	0.270656	0.443362	0.000000	5.693037	2.479585	7.733291	-145.484	0.626	0	0.63	main-converged-rho0-converged-eta0-converged-gam0-converged
PACSIN1_GENE_cis_elements_distal	f=15%	0.121119	0.138217	0.000000	0	0.036848	0.729074	0.000000	0	0.008800	0.173555	0.000000	0	0.064425	1.224190	-864.403	1.208	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
PALM2_upregulated_GENE_cis_elements_distal	f=15%	0.231208	0.274596	0.000000	1.198698	0.789189	1.546394	0.000000	0.444616	0.145839	0.280799	0.000000	1.478401	0.567731	0.717423	-364.461	1.252	0	0.362	main-converged-rho0-converged-eta0-converged-gam0-converged
PMP2_GENE_cis_elements_distal	f=15%	0.191663	0.566904	0.000000	0	1.880774	3.889573	0.000000	0	0.284198	0.509314	0.000000	0	1.674486	4.335063	-47.716	0.237	0	0.2414	main-converged-rho0-converged-eta0-converged-gam0-converged
PRR18_upregulated_GENE_cis_elements_distal	f=15%	0.240813	0.258810	0.219748	1.412798	0.000000	1.228712	0.071415	0.442145	0.000000	0.292292	0.242457	1.393251	0.000000	0.921483	-244.902	1.42	0.022	0	main-converged-rho0-converged-eta0-converged-gam0-converged
PURG_upregulated_GENE_cis_elements_distal	f=15%	0.006868	0.016976	2.566113	3.489575	3.533398	4.296521	0.525532	0.340470	0.543817	0.439440	160.154043	385.833988	172.369391	659.306098	-46.8431	1.8554	0.8022	1.2202	main-converged-rho0-converged-eta0-converged-gam0-converged
RIMKLA_upregulated_GENE_cis_elements_distal	f=15%	0.006279	0.000923	0.000000	1.103189	0.000000	2.305235	0.000000	0.465828	0.000000	0.746668	0.000000	73.717252	0.000000	118.160235	-46.3875	-0.004	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
RTN4RL2_upregulated_GENE_cis_elements_distal	f=15%	0.040678	0.165317	0.000000	0	0.492593	0.715694	0.000000	0	0.131270	0.179081	0.000000	0	3.563574	11.793521	-743.297	0.542	0	0.548	main-converged-rho0-converged-eta0-converged-gam0-converged
SBK1_upregulated_GENE_cis_elements_distal	f=15%	0.025602	0.498361	1.604886	3.397907	0.000000	0	0.302399	0.515491	0.000000	0	16.497918	302.699339	0.000000	0	-97.0169	0.3362	0.3378	0	main-converged-rho0-converged-eta0-converged-gam0-converged
SERP2_upregulated_GENE_cis_elements_distal	f=15%	0.738007	0.261955	3.985027	1.491317	2.411746	1.303297	0.798171	0.206556	0.669717	0.318641	1.403918	0.414121	0.719837	0.268680	-305.053	4.546	4.556	2.332	main-converged-rho0-converged-eta0-converged-gam0-converged
SH2D5_upregulated_GENE_cis_elements_distal	f=15%	0.049129	0.551778	0.000000	0	0.004022	1.513660	0.000000	0	0.001775	0.667523	0.000000	0	0.034422	12.717104	-93.9484	-0.0034	0	-0.0002	main-converged-rho0-converged-eta0-converged-gam0-converged
SHISA9_GENE_cis_elements_distal	f=15%	0.146413	0.348311	1.076771	2.006256	2.813926	2.250040	0.210584	0.367163	0.325463	0.251777	1.555208	2.144537	2.812978	5.082521	-465.337	3.156	0.238	3.046	main-converged-rho0-converged-eta0-converged-gam0-converged
SLC1A2_GENE_cis_elements_distal	f=15%	0.103764	0.095900	0.000000	0.432088	0.006151	0.558992	0.000000	0.140647	0.001236	0.112255	0.000000	1.214803	0.010687	0.964819	-1415.57	1.78	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
SPOCK1_GENE_cis_elements_distal	f=15%	0.006534	0.123560	0.000000	0	0.108288	0.647038	0.000000	0	0.024415	0.144267	0.000000	0	3.804964	59.682700	-1031.71	0.02	0	0.02	main-converged-rho0-converged-eta0-converged-gam0-converged
SPRN_GENE_cis_elements_distal	f=15%	0.004995	0.018280	0.630833	0.903114	1.202230	0.827269	0.135698	0.168558	0.231772	0.135978	31.272637	109.810860	60.093678	243.132299	-1059.27	3.04	0.54	2.48	main-converged-rho0-converged-eta0-converged-gam0-converged
SYT7_GENE_cis_elements_distal	f=15%	0.219787	0.450430	0.558456	1.334166	0.710998	1.306172	0.220908	0.498487	0.226662	0.411772	1.006545	1.261878	1.040449	1.114922	-438.803	0.184	0.1	0.198	main-converged-rho0-converged-eta0-converged-gam0-converged
TNR_GENE_cis_elements_distal	f=15%	0.551752	0.258228	1.475439	1.009244	0.720709	1.192993	0.532808	0.292015	0.244571	0.399878	0.926508	0.433227	0.263017	0.337796	-349.752	6.142	2.176	0.272	main-converged-rho0-converged-eta0-converged-gam0-converged
TUBB3_GENE_cis_elements_distal	f=15%	0.240962	0.133795	0.000000	0.913041	1.287149	0.942022	0.000000	0.232838	0.243831	0.156477	0.000000	0.733446	1.015743	0.606220	-754.275	2.95	0	1.948	main-converged-rho0-converged-eta0-converged-gam0-converged
XKR4_upregulated_GENE_cis_elements_distal	f=15%	0.002652	0.049434	0.000000	0	1.090938	1.474590	0.000000	0	0.175452	0.196879	0.000000	0	80.036166	1477.718726	-219.846	0.642	0	0.644	main-converged-rho0-converged-eta0-converged-gam0-converged
XKR7_upregulated_GENE_cis_elements_distal	f=15%	0.604108	0.305669	0.000000	1.081609	2.394747	1.514023	0.000000	1.083427	0.682966	0.260537	0.000000	0.710007	1.411743	0.847367	-92.5963	3.2714	0	3.0676	main-converged-rho0-converged-eta0-converged-gam0-converged
YPEL4_upregulated_GENE_cis_elements_distal	f=15%	0.152732	0.217346	0.000000	0.794102	1.994573	1.085860	0.000000	0.310046	0.401866	0.173112	0.000000	1.719959	3.727127	4.499221	-392.7	4.432	0	4.434	main-converged-rho0-converged-eta0-converged-gam0-converged
