Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Gene ID	Associated Gene Name
11	1146569	1180015	ENSPTRG00000023446	MUC5B
21	944248	1041804	ENSPTRG00000013791	SAMSN1
5	34946100	35000601	ENSPTRG00000017039	FAM151B
5	34917221	34931404	ENSPTRG00000017041	ANKRD34B
21	817391	829521	ENSPTRG00000013790	HSPA13
11	1652030	1652695	ENSPTRG00000028760	
GL393546.1	6655	46249	ENSPTRG00000006072	CDC16
21	3765455	3765997	ENSPTRG00000042077	
21	658133	670320	ENSPTRG00000013786	RBM11
11	1841579	1844902	ENSPTRG00000003160	SYT8
5	35168112	35169401	ENSPTRG00000028755	
13	20893623	20973958	ENSPTRG00000005695	ZDHHC20
11	591646	594556	ENSPTRG00000003123	RASSF7
11	1610187	1610843	ENSPTRG00000040750	
5	35232653	35352150	ENSPTRG00000017032	SERINC5
Y	18234020	18237182	ENSPTRG00000022501	TXLNGY
7	15156533	15157107	ENSPTRG00000000567	
7	15182560	15228792	ENSPTRG00000018950	ANKMY2
11	612527	645779	ENSPTRG00000003125	PHRF1
Y	19845207	19878398	ENSPTRG00000021627	ARSD
Y	19893476	19911383	ENSPTRG00000028794	
Y	20216950	20361686	ENSPTRG00000022487	USP9Y
7	15229109	15289479	ENSPTRG00000018951	BZW2
1	6550869	6573153	ENSPTRG00000000090	TAS1R1
13	19664793	19688160	ENSPTRG00000005681	GJA3
13	19716223	19721731	ENSPTRG00000031248	GJB2
5	32051832	32334930	ENSPTRG00000017054	XRCC4
13	19750674	19761036	ENSPTRG00000005683	GJB6
1	6573400	6582706	ENSPTRG00000030844	ZBTB48
GL393519.1	7560	35035	ENSPTRG00000022971	
GL393519.1	218931	271810	ENSPTRG00000012454	
GL393519.1	355452	362848	ENSPTRG00000041099	
GL393519.1	402506	403554	ENSPTRG00000041331	
AACZ03174334.1	5768	6277	ENSPTRG00000039980	
GL391088.1	17333	18065	ENSPTRG00000029565	
AACZ03159312.1	1776	1846	ENSPTRG00000041599	
GL389030.1	3945	7788	ENSPTRG00000038789	
GL390752.1	14396	16603	ENSPTRG00000040763	FAM20C
AACZ03186699.1	721	1664	ENSPTRG00000039697	
GL392942.1	149	7382	ENSPTRG00000011501	FAM71E2
AACZ03174364.1	6680	9316	ENSPTRG00000033890	EVPLL
GL389834.1	10357	11208	ENSPTRG00000039372	
GL392686.1	3978	5356	ENSPTRG00000009039	CCL3L3
AACZ03174687.1	1921	2466	ENSPTRG00000042384	KRTAP1-3
GL390751.1	3830	21677	ENSPTRG00000034504	PDGFA
GL397061.1	10711	54976	ENSPTRG00000033856	DHRSX
GL389125.1	13682	14749	ENSPTRG00000040078	
GL391127.1	43740	45326	ENSPTRG00000039453	
GL392457.1	11271	23917	ENSPTRG00000007945	NFATC2IP
GL392457.1	34817	44573	ENSPTRG00000007946	SPNS1
GL392457.1	44888	51160	ENSPTRG00000034140	LAT
GL392457.1	96835	111594	ENSPTRG00000024202	
AACZ03172836.1	4	16180	ENSPTRG00000024184	
GL392457.1	124738	165039	ENSPTRG00000007951	
GL392474.1	1295	14198	ENSPTRG00000032584	
GL389986.1	5	954	ENSPTRG00000031372	
GL392457.1	382095	391220	ENSPTRG00000031090	
GL393082.1	18581	19968	ENSPTRG00000031319	
GL389176.1	13711	36122	ENSPTRG00000000359	TMEM50A
GL393483.1	8145	13160	ENSPTRG00000039726	
GL395264.1	4134	5521	ENSPTRG00000042368	
GL392934.1	2264	4731	ENSPTRG00000031468	KLK7
GL389082.1	104	4608	ENSPTRG00000001196	HFE2
GL392258.1	14766	32682	ENSPTRG00000033775	
GL392258.1	151731	191017	ENSPTRG00000006854	FAN1
GL392258.1	186851	239528	ENSPTRG00000006858	MTMR10
GL392524.1	19065	21411	ENSPTRG00000031083	
GL392258.1	250914	411881	ENSPTRG00000006859	TRPM1
GL391085.1	7792	8216	ENSPTRG00000041547	
GL392151.1	154972	166133	ENSPTRG00000041000	IGHV3-73
AACZ03151432.1	1297	2889	ENSPTRG00000001643	
GL392258.1	582341	633901	ENSPTRG00000006860	KLF13
GL393353.1	28834	35561	ENSPTRG00000021867	SUV39H1
GL391084.1	5119	6154	ENSPTRG00000029576	
GL389075.1	13531	26968	ENSPTRG00000001228	
AACZ03164764.1	102	628	ENSPTRG00000041248	
GL390603.1	5776	7160	ENSPTRG00000029251	
7	191357	198890	ENSPTRG00000022861	CYP2W1
7	206793	283901	ENSPTRG00000041621	COX19
7	285369	305841	ENSPTRG00000040196	GET4
5	273441	311947	ENSPTRG00000016672	PLEKHG4B
7	307405	350878	ENSPTRG00000018833	SUN1
5	320995	324744	ENSPTRG00000016673	LRRC14B
5	332894	343548	ENSPTRG00000016674	CCDC127
5	343608	383971	ENSPTRG00000016677	SDHA
7	372250	373765	ENSPTRG00000028688	
5	400167	441134	ENSPTRG00000028788	PDCD6
7	495129	939642	ENSPTRG00000018855	MAD1L1
5	564740	590833	ENSPTRG00000016680	EXOC3
GL389156.1	1545	10766	ENSPTRG00000038657	
7	521259	532511	ENSPTRG00000018856	
7	941073	948876	ENSPTRG00000018857	FTSJ2
7	949719	957859	ENSPTRG00000018858	NUDT1
GL392651.1	13443	44968	ENSPTRG00000008801	
5	596368	645957	ENSPTRG00000016682	SLC9A3
7	961719	1017408	ENSPTRG00000018859	SNX8
GL392651.1	52428	107708	ENSPTRG00000041886	TRIM16
GL393474.1	10462	11724	ENSPTRG00000041759	
GL392651.1	123050	144423	ENSPTRG00000008803	ZNF286A
5	734951	774222	ENSPTRG00000016685	CEP72
7	1058390	1084314	ENSPTRG00000018860	EIF3B
5	784054	799743	ENSPTRG00000016686	TPPP
5	827705	828478	ENSPTRG00000016687	
5	924193	948114	ENSPTRG00000016689	TRIP13
GL392651.1	127867	128536	ENSPTRG00000041192	
GL392651.1	158945	173553	ENSPTRG00000032632	TBC1D28
GL392651.1	182246	204103	ENSPTRG00000013780	
5	1010993	1012674	ENSPTRG00000039053	
5	1061366	1067428	ENSPTRG00000016691	NKD2
7	1103986	1135378	ENSPTRG00000018861	CHST12
5	1081693	1112895	ENSPTRG00000016692	SLC12A7
7	1220861	1229167	ENSPTRG00000018864	LFNG
5	1232706	1254723	ENSPTRG00000016694	SLC6A19
7	1236510	1254466	ENSPTRG00000018865	BRAT1
5	1258066	1280141	ENSPTRG00000016695	SLC6A18
7	1257695	1309496	ENSPTRG00000018866	IQCE
5	1288555	1327987	ENSPTRG00000016696	TERT
GL392067.1	93312	136339	ENSPTRG00000006066	GAS6
GL392907.1	290	3849	ENSPTRG00000010964	PAF1
5	1351349	1376274	ENSPTRG00000016698	CLPTM1L
7	1330891	1363946	ENSPTRG00000018868	TTYH3
5	1435101	1468716	ENSPTRG00000016699	SLC6A3
5	1490922	1556940	ENSPTRG00000016701	LPCAT1
7	1379142	1415049	ENSPTRG00000018869	AMZ1
7	1427737	1541972	ENSPTRG00000018870	GNA12
5	1831570	1833023	ENSPTRG00000016705	MRPL36
5	1834565	1849943	ENSPTRG00000016706	NDUFS6
7	1603542	1740832	ENSPTRG00000018871	CARD11
5	1915552	1918244	ENSPTRG00000042236	IRX4
5	2774927	2780408	ENSPTRG00000016708	IRX2
5	2780685	2783926	ENSPTRG00000028783	C5orf38
5	3614034	3619296	ENSPTRG00000016709	IRX1
5	5211498	5392516	ENSPTRG00000016710	ADAMTS16
GL389174.1	60378	76618	ENSPTRG00000002224	SH3BP5L
7	1995060	2951616	ENSPTRG00000018872	SDK1
7	3346938	3427411	ENSPTRG00000018875	FOXK1
GL389174.1	100009	108954	ENSPTRG00000002226	ZNF692
7	3440281	3455999	ENSPTRG00000018876	AP5Z1
GL389174.1	158537	176223	ENSPTRG00000002227	PGBD2
5	5500083	5567274	ENSPTRG00000016711	ICE1
7	3464093	3548898	ENSPTRG00000018877	RADIL
5	6456838	6463435	ENSPTRG00000016713	MED10
5	6534790	6578864	ENSPTRG00000033811	UBE2QL1
5	6682712	6718754	ENSPTRG00000016715	NSUN2
GL393073.1	798	13679	ENSPTRG00000031326	
7	3571987	3625075	ENSPTRG00000018878	MMD2
5	6718781	6754006	ENSPTRG00000016716	SRD5A1
5	6798582	6841224	ENSPTRG00000016717	PAPD7
7	3713144	3734492	ENSPTRG00000018880	RBAK
7	3857456	3901281	ENSPTRG00000018882	WIPI2
5	7903517	7924610	ENSPTRG00000034032	C5orf49
5	7932251	7942122	ENSPTRG00000016720	FASTKD3
5	7942219	7974422	ENSPTRG00000016721	MTRR
GL389919.1	47311	70073	ENSPTRG00000016671	FRG1
5	9126679	9464793	ENSPTRG00000016722	SEMA5A
GL393552.1	16862	17785	ENSPTRG00000041140	
GL393475.1	61383	62380	ENSPTRG00000039628	
5	10331708	10355297	ENSPTRG00000016724	FAM173B
8	137027	143565	ENSPTRG00000019931	ZNF596
GL392409.1	49065	61257	ENSPTRG00000007811	FOPNL
8	213940	234005	ENSPTRG00000040862	
7	3949351	3970415	ENSPTRG00000018884	SLC29A4
8	309457	374412	ENSPTRG00000019933	FBXO25
5	10355659	10370687	ENSPTRG00000016725	CCT5
7	3974488	4086884	ENSPTRG00000018886	TNRC18
8	395953	451057	ENSPTRG00000019935	TDRP
7	4149197	4171577	ENSPTRG00000018889	FBXL18
7	4196864	4200361	ENSPTRG00000018890	ACTB
8	575410	620418	ENSPTRG00000019937	ERICH1
8	1473691	1618709	ENSPTRG00000023452	DLGAP2
8	1679821	1698748	ENSPTRG00000019941	CLN8
8	1747656	1874310	ENSPTRG00000019942	ARHGEF10
5	10385838	10396196	ENSPTRG00000016726	CMBL
5	10458117	10543175	ENSPTRG00000016727	MARCH6
8	1918717	1921059	ENSPTRG00000031045	KBTBD11
8	1962936	2070590	ENSPTRG00000019944	MYOM2
GL393527.1	208762	209724	ENSPTRG00000040021	
GL392458.1	980	10719	ENSPTRG00000007930	
GL393533.1	209555	236050	ENSPTRG00000013348	
5	10549606	10573577	ENSPTRG00000016728	ROPN1L
8	2826849	3237108	ENSPTRG00000019945	
5	10612039	10616147	ENSPTRG00000040452	
5	10672340	10759207	ENSPTRG00000016729	ANKRD33B
5	10789903	10881597	ENSPTRG00000040212	
5	11092829	12038840	ENSPTRG00000016731	CTNND2
8	6393233	6633140	ENSPTRG00000019946	MCPH1
8	6488754	6551999	ENSPTRG00000019947	ANGPT2
GL392458.1	13546	18017	ENSPTRG00000007929	APOBR
GL389095.1	713	2102	ENSPTRG00000039918	
5	13831535	14100868	ENSPTRG00000016734	DNAH5
8	6699857	6752652	ENSPTRG00000019949	AGPAT5
AACZ03159622.1	182	2262	ENSPTRG00000017908	
8	6803878	6829926	ENSPTRG00000019950	XKR5
GL392655.1	14549	15058	ENSPTRG00000040181	
8	6865350	6873308	ENSPTRG00000019951	DEFB1
8	6919082	7015029	ENSPTRG00000034369	DEFA4
8	6976131	6980413	ENSPTRG00000019953	
8	7036781	7037649	ENSPTRG00000031042	DEFA7
8	7051599	7060632	ENSPTRG00000032577	
8	7053576	7054996	ENSPTRG00000019956	DEFA5
8	7373423	7378417	ENSPTRG00000034312	ZNF705G
8	7433679	7435687	ENSPTRG00000019965	DEFB4A
8	7447796	7449164	ENSPTRG00000019964	DEFB103A
8	7469415	7482540	ENSPTRG00000019963	SPAG11B
7	4262754	4276609	ENSPTRG00000018892	FSCN1
8	7489169	7493934	ENSPTRG00000019962	DEFB104
1	904115	905037	ENSPTRG00000039445	
8	7501326	7505069	ENSPTRG00000019961	DEFB106A
5	14431883	14669661	ENSPTRG00000016735	TRIO
1	921857	922761	ENSPTRG00000039924	
1	1030778	1034619	ENSPTRG00000041322	
8	7506351	7508278	ENSPTRG00000019960	DEFB105A
1	1099891	1117284	ENSPTRG00000000008	TTLL10
8	7514547	7518584	ENSPTRG00000031040	DEFB107A
8	7520723	7525083	ENSPTRG00000032576	
7	4289696	4450644	ENSPTRG00000018894	RNF216
8	7529558	7530572	ENSPTRG00000040625	
8	7641552	7728134	ENSPTRG00000031024	
8	7775401	7787657	ENSPTRG00000042326	
1	1123092	1132430	ENSPTRG00000000009	TNFRSF18
8	7795372	7798382	ENSPTRG00000004634	FAM90A26
1	1198009	1202485	ENSPTRG00000000017	SCNN1D
8	7849592	7852841	ENSPTRG00000034337	
8	7867300	7875267	ENSPTRG00000034221	
8	7898322	7907624	ENSPTRG00000034363	DEFB130
8	7925313	7931426	ENSPTRG00000039292	
8	8147041	8153238	ENSPTRG00000022785	MEIG1
8	8240093	8242434	ENSPTRG00000031031	DEFB134
8	8251822	8254087	ENSPTRG00000031030	DEFB135
8	8263572	8264234	ENSPTRG00000031029	DEFB136
1	1203263	1216123	ENSPTRG00000024081	ACAP3
8	8624277	8657867	ENSPTRG00000020006	LONRF1
1	1235676	1236528	ENSPTRG00000000023	GLTPD1
1	1240150	1244110	ENSPTRG00000000024	TAS1R3
1	1244082	1251805	ENSPTRG00000000025	DVL1
8	8857793	8897142	ENSPTRG00000020008	
8	8913021	8929554	ENSPTRG00000041473	KIAA1456
8	8993240	9421062	ENSPTRG00000020009	DLC1
7	4532494	4538033	ENSPTRG00000019432	OCM
8	10062425	11255380	ENSPTRG00000020011	SGCZ
1	1281976	1283684	ENSPTRG00000000027	AURKAIP1
8	11562781	11776945	ENSPTRG00000020012	TUSC3
7	4550410	4577459	ENSPTRG00000041444	
1	1295661	1308257	ENSPTRG00000000028	CCNL2
7	4624785	4646571	ENSPTRG00000018920	
7	4688608	4695217	ENSPTRG00000018919	ZNF12
7	4709606	4712172	ENSPTRG00000023396	
7	4729593	4731137	ENSPTRG00000040153	ZNF316
7	4775780	4793629	ENSPTRG00000018917	C7ORF26
7	4794934	4806575	ENSPTRG00000018915	ZDHHC4
1	1310882	1317973	ENSPTRG00000000029	MRPL20
1	1343747	1346010	ENSPTRG00000041491	
1	1361608	1382667	ENSPTRG00000000033	ATAD3C
1	1388292	1412908	ENSPTRG00000000031	ATAD3B
5	14744584	14778649	ENSPTRG00000016736	FAM105A
1	1435392	1438183	ENSPTRG00000039081	
1	1456942	1491733	ENSPTRG00000000034	SSU72
5	14826092	14854752	ENSPTRG00000016738	FAM105B
7	4832430	4887085	ENSPTRG00000033718	GRID2IP
8	12140063	12209273	ENSPTRG00000020013	MSR1
5	14870342	15033425	ENSPTRG00000016739	ANKH
8	13066319	13075380	ENSPTRG00000020014	FGF20
1	1513449	1611784	ENSPTRG00000041651	C1orf233
1	1550242	1551706	ENSPTRG00000000035	MMP23B
8	13101396	13199087	ENSPTRG00000020015	EFHA2
1	1580673	1611022	ENSPTRG00000000037	SLC35E2B
7	4980453	5009957	ENSPTRG00000018910	RAC1
GL392511.1	25521	40682	ENSPTRG00000042570	
8	13233456	13301092	ENSPTRG00000020016	ZDHHC2
AACZ03181658.1	5053	8269	ENSPTRG00000034137	
5	15676195	16106619	ENSPTRG00000016741	FBXL7
5	16237111	16349529	ENSPTRG00000016742	MARCH11
5	16624243	16638483	ENSPTRG00000016743	ZNF622
1	1616872	1638578	ENSPTRG00000000038	NADK
8	13325579	13376610	ENSPTRG00000020019	VPS37A
7	5035271	5054744	ENSPTRG00000028666	FAM220A
7	5111232	5222523	ENSPTRG00000018907	CYTH3
5	16645726	16791177	ENSPTRG00000016744	FAM134B
5	16839266	17118632	ENSPTRG00000016745	
7	5222738	5279379	ENSPTRG00000018906	USP42
1	1783634	1786114	ENSPTRG00000000040	CALML6
8	13378438	13491543	ENSPTRG00000020020	MTMR7
1	1786539	1788395	ENSPTRG00000000041	TMEM52
1	1892600	1898423	ENSPTRG00000023374	GABRD
1	2055137	2076582	ENSPTRG00000000044	
1	2100700	2181087	ENSPTRG00000000047	SKI
1	2197731	2270832	ENSPTRG00000000048	MORN1
8	13632897	13667472	ENSPTRG00000020021	SLC7A2
7	5322198	5357617	ENSPTRG00000018904	EIF2AK1
GL391885.1	1450	3667	ENSPTRG00000032649	KLRC4
GL389312.1	32204	51477	ENSPTRG00000041499	
1	2270900	2285110	ENSPTRG00000000049	RER1
1	2284476	2292227	ENSPTRG00000000050	PEX10
7	5344997	5350005	ENSPTRG00000018905	ANKRD61
7	5357699	5372385	ENSPTRG00000018903	AIMP2
8	13673355	13744037	ENSPTRG00000020022	PDGFRL
1	2357893	2387005	ENSPTRG00000000051	PLCH2
7	5372530	5408491	ENSPTRG00000018902	
8	13744707	13857079	ENSPTRG00000020023	MTUS1
5	17403479	17465851	ENSPTRG00000016748	BASP1
5	18899530	18942163	ENSPTRG00000017091	PCSK1
Y	181150	182593	ENSPTRG00000031338	
1	2390269	2408541	ENSPTRG00000000052	PANK4
Y	634048	635045	ENSPTRG00000042298	
Y	767991	770799	ENSPTRG00000041927	CDY1
Y	1966072	1967972	ENSPTRG00000040333	
8	13967202	13998064	ENSPTRG00000020025	FGL1
Y	2070391	2073098	ENSPTRG00000042168	TSPY
7	5414567	5455275	ENSPTRG00000018921	
5	19375493	19453119	ENSPTRG00000017090	ELL2
1	2410695	2412190	ENSPTRG00000024233	HES5
Y	2081153	2094654	ENSPTRG00000028844	TSPY
GL392731.1	2482	3483	ENSPTRG00000030031	
1	2439621	2447459	ENSPTRG00000000053	TNFRSF14
5	19479175	19481306	ENSPTRG00000038829	
5	19515746	19524728	ENSPTRG00000017088	GLRX
GL392542.1	1723	11045	ENSPTRG00000008211	CES4A
7	5455630	5483295	ENSPTRG00000018897	
GL392954.1	9928	12341	ENSPTRG00000010384	
5	19542418	19608014	ENSPTRG00000017087	RHOBTB3
8	14027719	14133449	ENSPTRG00000020026	PCM1
5	19658757	19683798	ENSPTRG00000017086	SPATA9
Y	2112715	2131692	ENSPTRG00000040367	
1	2472156	2476871	ENSPTRG00000000054	FAM213B
5	19684973	19695233	ENSPTRG00000017085	RFESD
Y	2124065	2126646	ENSPTRG00000042084	
Y	3442329	3454921	ENSPTRG00000028810	
5	19720542	19723083	ENSPTRG00000028773	GPR150
1	2476330	2516470	ENSPTRG00000000055	MMEL1
5	19739684	19788653	ENSPTRG00000017084	ARSK
Y	3677232	3724650	ENSPTRG00000022523	DAZ
5	19807633	19886754	ENSPTRG00000017083	TTC37
7	5851300	5861386	ENSPTRG00000018925	C1GALT1
7	5981333	6147484	ENSPTRG00000034434	COL28A1
5	19900189	19959876	ENSPTRG00000017082	FAM81B
5	20290118	20664304	ENSPTRG00000017081	MCTP1
1	2520532	2553529	ENSPTRG00000033888	TTC34
Y	3745291	3836416	ENSPTRG00000028811	DAZ
8	14159887	14187751	ENSPTRG00000020027	ASAH1
1	2849813	3226387	ENSPTRG00000000059	PRDM16
5	20675184	20754127	ENSPTRG00000017079	ANKRD32
GL392652.1	82922	113991	ENSPTRG00000008806	ADORA2B
GL392652.1	115795	137135	ENSPTRG00000034447	ZSWIM7
GL392652.1	136831	167507	ENSPTRG00000008807	TTC19
7	6178626	6219079	ENSPTRG00000018926	MIOS
8	14315816	14329327	ENSPTRG00000020028	NAT1
Y	3959516	3965432	ENSPTRG00000028812	BPY2
Y	4064032	4067537	ENSPTRG00000041367	
Y	4278355	4283867	ENSPTRG00000028815	
5	20834551	21216062	ENSPTRG00000023210	KIAA0825
Y	4425837	4438370	ENSPTRG00000028845	
8	14497515	14508179	ENSPTRG00000020029	NAT2
Y	4971745	4973947	ENSPTRG00000041855	
8	14639703	15131647	ENSPTRG00000020031	PSD3
7	6248361	6251935	ENSPTRG00000018927	RPA3
Y	5135890	5137997	ENSPTRG00000041789	CDY1
5	21258059	21757461	ENSPTRG00000017074	FAM172A
Y	5275703	5291089	ENSPTRG00000040033	PRY2
1	3258837	3279499	ENSPTRG00000000060	ARHGEF16
Y	8139830	8143711	ENSPTRG00000022495	
GL392652.1	170044	259930	ENSPTRG00000008808	NCOR1
7	6285318	6490639	ENSPTRG00000033798	
7	6580138	6700294	ENSPTRG00000018929	GLCCI1
Y	8163169	8187377	ENSPTRG00000034101	
Y	8336702	8339644	ENSPTRG00000041690	
1	3429520	3433424	ENSPTRG00000000063	TPRG1L
Y	8375696	8377116	ENSPTRG00000039984	
7	6724415	6878592	ENSPTRG00000018931	ICA1
Y	8622850	8633209	ENSPTRG00000040529	
1	3435543	3454617	ENSPTRG00000000064	WRAP73
5	21781113	21790509	ENSPTRG00000017073	NR2F1
Y	8939532	8942631	ENSPTRG00000039933	
5	24018657	24033223	ENSPTRG00000017072	ARRDC3
Y	9257494	9257583	ENSPTRG00000041259	
Y	9675415	9678514	ENSPTRG00000042391	
AACZ03157802.1	1146	1866	ENSPTRG00000039578	
GL392652.1	178398	178878	ENSPTRG00000041663	
8	15441291	15516899	ENSPTRG00000020034	SH2D4A
GL392652.1	354268	464555	ENSPTRG00000008809	PIGL
AACZ03157802.1	1216	1618	ENSPTRG00000029931	
Y	9757421	9797606	ENSPTRG00000033978	
5	24236921	24859446	ENSPTRG00000017070	GPR98
Y	9759214	9759362	ENSPTRG00000041129	
Y	9795514	9797740	ENSPTRG00000038816	
GL392652.1	481061	492334	ENSPTRG00000008810	CENPV
Y	9800581	9812771	ENSPTRG00000042310	
8	15526066	15723995	ENSPTRG00000020035	CSGALNACT1
7	9534895	9543023	ENSPTRG00000018934	NDUFA4
GL392652.1	563262	586294	ENSPTRG00000008812	TRPV2
1	3486161	3536969	ENSPTRG00000000062	TP73
7	9576181	9715082	ENSPTRG00000018935	PHF14
Y	9819596	10529264	ENSPTRG00000042377	
8	16067819	16096066	ENSPTRG00000020038	LPL
GL393505.1	892245	892694	ENSPTRG00000039077	
GL392652.1	591271	642871	ENSPTRG00000008814	FAM211A
Y	9911671	9911760	ENSPTRG00000039962	
Y	10081028	10105480	ENSPTRG00000042104	
Y	10089765	10104259	ENSPTRG00000039119	
GL392652.1	704528	718336	ENSPTRG00000008815	ZNF287
7	9983051	10422500	ENSPTRG00000018936	THSD7A
GL392652.1	775910	809028	ENSPTRG00000024349	ZNF624
GL392652.1	846239	876016	ENSPTRG00000008881	CCDC144NL
8	16271327	16314651	ENSPTRG00000020039	SLC18A1
1	3558116	3579312	ENSPTRG00000000067	CCDC27
1	3588806	3606135	ENSPTRG00000000068	LRRC47
GL392517.1	60658	61128	ENSPTRG00000042561	
GL392517.1	75569	76221	ENSPTRG00000040420	
1	3625057	3671260	ENSPTRG00000000069	CEP104
GL392358.1	3619	5040	ENSPTRG00000007577	C1QTNF8
5	24888645	24902619	ENSPTRG00000017069	LYSMD3
7	10816029	10837821	ENSPTRG00000018937	TMEM106B
11	232227	233720	ENSPTRG00000028774	
5	24903717	24944000	ENSPTRG00000017068	POLR3G
11	235980	239864	ENSPTRG00000003102	ODF3
1	3671662	3699085	ENSPTRG00000000070	DFFB
5	24944096	24960665	ENSPTRG00000017067	MBLAC2
Y	10142524	10142672	ENSPTRG00000039690	
Y	10225817	10226195	ENSPTRG00000041633	
Y	10407978	10411077	ENSPTRG00000039028	
Y	10430638	10493326	ENSPTRG00000039977	
5	25013435	25029157	ENSPTRG00000017066	CETN3
7	10939036	11016877	ENSPTRG00000018938	VWDE
Y	10490005	10851280	ENSPTRG00000041008	
11	243070	247580	ENSPTRG00000003103	BET1L
1	3704510	3717492	ENSPTRG00000024207	C1H1ORF174
Y	10501696	10529385	ENSPTRG00000039973	
1	4540075	4674734	ENSPTRG00000000072	AJAP1
5	26558087	26722869	ENSPTRG00000024214	MEF2C
Y	10532227	10544423	ENSPTRG00000039663	
11	249040	255444	ENSPTRG00000003104	RIC8A
1	5397789	5399522	ENSPTRG00000032489	
Y	10551240	10859374	ENSPTRG00000032588	
