Associated Gene Name	Ensembl Gene ID
Y_RNA	ENSG00000199715
OR5V1	ENSG00000243729
Y_RNA	ENSG00000199487
Metazoa_SRP	ENSG00000278242
TTC27	ENSG00000018699
Metazoa_SRP	ENSG00000278825
MAOA	ENSG00000189221
Y_RNA	ENSG00000280481
Y_RNA	ENSG00000202224
U6	ENSG00000277419
BRPF1	ENSG00000156983
Y_RNA	ENSG00000206850
Y_RNA	ENSG00000223080
Metazoa_SRP	ENSG00000275132
Y_RNA	ENSG00000199245
Y_RNA	ENSG00000202533
SNORA84	ENSG00000239183
Y_RNA	ENSG00000251811
Metazoa_SRP	ENSG00000277958
SNORD45	ENSG00000200706
SNORA3	ENSG00000251778
U6	ENSG00000277551
Metazoa_SRP	ENSG00000274424
CDK3	ENSG00000250506
U1	ENSG00000265983
U3	ENSG00000273788
SNORA31	ENSG00000253041
SNORA44	ENSG00000273544
Y_RNA	ENSG00000200390
Metazoa_SRP	ENSG00000277265
U6	ENSG00000276847
U6	ENSG00000265920
Y_RNA	ENSG00000201959
Y_RNA	ENSG00000207164
Y_RNA	ENSG00000200860
Metazoa_SRP	ENSG00000275840
Y_RNA	ENSG00000200448
SNORA12	ENSG00000212342
Metazoa_SRP	ENSG00000277762
Y_RNA	ENSG00000201663
ZNF16	ENSG00000170631
U7	ENSG00000280654
Metazoa_SRP	ENSG00000280533
ADA	ENSG00000196839
7SK	ENSG00000260682
SNORA31	ENSG00000251838
Y_RNA	ENSG00000199584
Metazoa_SRP	ENSG00000276757
Y_RNA	ENSG00000281330
Y_RNA	ENSG00000199780
Metazoa_SRP	ENSG00000276568
Y_RNA	ENSG00000263876
Metazoa_SRP	ENSG00000276359
U3	ENSG00000221455
Y_RNA	ENSG00000206781
FAM132B	ENSG00000178752
U1	ENSG00000272020
SNORD113	ENSG00000222095
SNORA71	ENSG00000277034
Y_RNA	ENSG00000200688
SNORA25	ENSG00000252290
SNORA77	ENSG00000221083
CHP2	ENSG00000166869
Y_RNA	ENSG00000199224
Y_RNA	ENSG00000252761
Y_RNA	ENSG00000201596
SNORA70	ENSG00000206958
SNORA68	ENSG00000212565
FBXL7	ENSG00000183580
snoU13	ENSG00000238901
TC2N	ENSG00000276776
Y_RNA	ENSG00000200334
SNORA51	ENSG00000206878
CPSF6	ENSG00000111605
Y_RNA	ENSG00000202146
SNORA64	ENSG00000199470
RNF39	ENSG00000235022
NTNG2	ENSG00000196358
Y_RNA	ENSG00000200090
MADCAM1	ENSG00000099866
Y_RNA	ENSG00000222852
SNORD82	ENSG00000202400
Y_RNA	ENSG00000200616
U3	ENSG00000222666
SNORA4	ENSG00000202183
Metazoa_SRP	ENSG00000276281
SNORA17	ENSG00000276161
SNORD65	ENSG00000277512
Metazoa_SRP	ENSG00000277168
Y_RNA	ENSG00000207370
U6	ENSG00000275299
SNORA1	ENSG00000201541
Y_RNA	ENSG00000238516
Y_RNA	ENSG00000273845
Y_RNA	ENSG00000207131
UBE2Z	ENSG00000159202
SCARNA15	ENSG00000252193
Y_RNA	ENSG00000207329
Y_RNA	ENSG00000222698
SNORA72	ENSG00000201944
ARRDC4	ENSG00000140450
5S_rRNA	ENSG00000212595
Metazoa_SRP	ENSG00000273839
Y_RNA	ENSG00000275006
Y_RNA	ENSG00000206639
SNORA63	ENSG00000199473
Y_RNA	ENSG00000201297
Y_RNA	ENSG00000207417
U6	ENSG00000263474
SNORA3	ENSG00000221639
Y_RNA	ENSG00000201351
Metazoa_SRP	ENSG00000274475
Y_RNA	ENSG00000238943
Y_RNA	ENSG00000280581
Metazoa_SRP	ENSG00000277578
Y_RNA	ENSG00000272113
SNORA64	ENSG00000207405
Y_RNA	ENSG00000207282
Y_RNA	ENSG00000201830
CACNA1A	ENSG00000141837
5S_rRNA	ENSG00000274164
U8	ENSG00000212249
Y_RNA	ENSG00000238749
Y_RNA	ENSG00000202514
5S_rRNA	ENSG00000277584
Y_RNA	ENSG00000239106
SCARNA20	ENSG00000252778
CD79B	ENSG00000007312
Metazoa_SRP	ENSG00000280896
SNORD121A	ENSG00000238886
Metazoa_SRP	ENSG00000281350
Metazoa_SRP	ENSG00000277794
Y_RNA	ENSG00000222305
LSM4	ENSG00000130520
SNORD89	ENSG00000212283
SNORD38	ENSG00000207109
Metazoa_SRP	ENSG00000280990
Y_RNA	ENSG00000252319
U6	ENSG00000277341
SNORA25	ENSG00000200991
SNORA25	ENSG00000251735
Y_RNA	ENSG00000273964
Y_RNA	ENSG00000200332
Metazoa_SRP	ENSG00000274742
Y_RNA	ENSG00000200287
Y_RNA	ENSG00000252534
Y_RNA	ENSG00000207209
SCARNA6	ENSG00000252798
Metazoa_SRP	ENSG00000278838
U3	ENSG00000212211
SNORA70	ENSG00000252526
SNORA55	ENSG00000201457
FAM46D	ENSG00000174016
Metazoa_SRP	ENSG00000278222
SNORA74	ENSG00000265733
Y_RNA	ENSG00000266781
Y_RNA	ENSG00000199349
SNORA50	ENSG00000281295
SNORD5	ENSG00000238854
Y_RNA	ENSG00000201683
Y_RNA	ENSG00000201048
Y_RNA	ENSG00000238585
snoU13	ENSG00000238804
RNF26	ENSG00000173456
APOBR	ENSG00000184730
U3	ENSG00000221496
U6	ENSG00000274980
SNORA12	ENSG00000212175
Y_RNA	ENSG00000252210
Y_RNA	ENSG00000206756
Y_RNA	ENSG00000207512
Y_RNA	ENSG00000275775
Metazoa_SRP	ENSG00000273829
Metazoa_SRP	ENSG00000274168
U6	ENSG00000278793
IL4	ENSG00000113520
Y_RNA	ENSG00000201933
snoU13	ENSG00000239079
SNORA2	ENSG00000202343
Y_RNA	ENSG00000264955
ALKBH1	ENSG00000100601
U3	ENSG00000277754
Metazoa_SRP	ENSG00000276735
Y_RNA	ENSG00000201412
Y_RNA	ENSG00000200164
SNORA63	ENSG00000202449
snoU13	ENSG00000238902
Metazoa_SRP	ENSG00000273566
PLA2G16	ENSG00000176485
SNORD74	ENSG00000200891
Metazoa_SRP	ENSG00000275319
Y_RNA	ENSG00000264393
KIAA0196	ENSG00000164961
SNORA43	ENSG00000280636
SNORD115	ENSG00000212411
SENP1	ENSG00000079387
Y_RNA	ENSG00000273905
Metazoa_SRP	ENSG00000273660
Y_RNA	ENSG00000206929
U3	ENSG00000207215
snoMe28S-Am2634	ENSG00000251844
RFC5	ENSG00000111445
Y_RNA	ENSG00000281749
Y_RNA	ENSG00000206957
snoU13	ENSG00000239093
GP6	ENSG00000276065
Metazoa_SRP	ENSG00000253602
SNORA48	ENSG00000212214
Y_RNA	ENSG00000206967
U1	ENSG00000264960
Y_RNA	ENSG00000207403
SNORA15	ENSG00000207168
SNORD77	ENSG00000212414
SNORD113	ENSG00000201710
SNORD36	ENSG00000253094
U1	ENSG00000270384
PATE4	ENSG00000237353
Metazoa_SRP	ENSG00000278554
Y_RNA	ENSG00000199913
U6	ENSG00000278190
Y_RNA	ENSG00000202318
SCARNA11	ENSG00000253085
snoU13	ENSG00000271922
SNORA7	ENSG00000206976
Y_RNA	ENSG00000251852
SNORA8	ENSG00000207304
SNORA29	ENSG00000206910
Y_RNA	ENSG00000201432
Metazoa_SRP	ENSG00000276353
SNORA70	ENSG00000252969
SNORA31	ENSG00000252888
Y_RNA	ENSG00000202476
SNORD62	ENSG00000199411
SNORA51	ENSG00000201516
ACA64	ENSG00000239008
Y_RNA	ENSG00000206713
U6	ENSG00000276186
SNORA40	ENSG00000212149
Metazoa_SRP	ENSG00000274772
Metazoa_SRP	ENSG00000275788
Metazoa_SRP	ENSG00000263912
TRIM26	ENSG00000228881
RING1	ENSG00000228520
Y_RNA	ENSG00000202542
U3	ENSG00000212539
Metazoa_SRP	ENSG00000276955
Metazoa_SRP	ENSG00000272096
Y_RNA	ENSG00000201800
U1	ENSG00000277374
ZNF224	ENSG00000267680
Y_RNA	ENSG00000274984
SNORA18	ENSG00000200288
SNORD45	ENSG00000252438
SNORA75	ENSG00000212580
DHDH	ENSG00000104808
SNORA31	ENSG00000252537
SNORD48	ENSG00000264086
Y_RNA	ENSG00000202177
Y_RNA	ENSG00000266178
7SK	ENSG00000266263
U1	ENSG00000275205
WFIKKN2	ENSG00000173714
Y_RNA	ENSG00000207480
HIPK3	ENSG00000110422
SNORA67	ENSG00000252473
Y_RNA	ENSG00000274046
SNORD2	ENSG00000238707
Y_RNA	ENSG00000201843
Y_RNA	ENSG00000206978
Y_RNA	ENSG00000201565
Y_RNA	ENSG00000238845
Y_RNA	ENSG00000252655
Metazoa_SRP	ENSG00000275776
Metazoa_SRP	ENSG00000281083
U3	ENSG00000221345
SNORD20	ENSG00000207280
Metazoa_SRP	ENSG00000274906
SCARB1	ENSG00000073060
Metazoa_SRP	ENSG00000281346
SNORA17	ENSG00000212589
Y_RNA	ENSG00000265896
Y_RNA	ENSG00000199444
SNORA27	ENSG00000201807
Y_RNA	ENSG00000201282
Metazoa_SRP	ENSG00000274660
PDZRN3	ENSG00000121440
SNORA15	ENSG00000206785
Y_RNA	ENSG00000265852
Y_RNA	ENSG00000206964
Y_RNA	ENSG00000200547
ALOX15	ENSG00000161905
SULT1C3	ENSG00000196228
ZNF142	ENSG00000115568
Metazoa_SRP	ENSG00000203411
SNORA25	ENSG00000252204
Metazoa_SRP	ENSG00000280914
Metazoa_SRP	ENSG00000277046
SNORA40	ENSG00000212134
SNORD34	ENSG00000202503
SNORA4	ENSG00000201133
LENG8	ENSG00000167615
snoU13	ENSG00000238761
Metazoa_SRP	ENSG00000277635
PRKAB2	ENSG00000131791
snoU2-30	ENSG00000201882
Metazoa_SRP	ENSG00000280459
Y_RNA	ENSG00000200361
SNORD48	ENSG00000264202
NRON	ENSG00000253079
SNORA70	ENSG00000253042
Y_RNA	ENSG00000206692
5S_rRNA	ENSG00000274228
Y_RNA	ENSG00000207283
Metazoa_SRP	ENSG00000277051
Y_RNA	ENSG00000206951
Metazoa_SRP	ENSG00000274040
Y_RNA	ENSG00000207021
Y_RNA	ENSG00000252874
Metazoa_SRP	ENSG00000280981
Y_RNA	ENSG00000202251
Y_RNA	ENSG00000206912
SCARNA23	ENSG00000251869
Y_RNA	ENSG00000222529
SNORA81	ENSG00000253092
Metazoa_SRP	ENSG00000274883
Y_RNA	ENSG00000207196
Y_RNA	ENSG00000201309
DNAH10	ENSG00000197653
SNORA31	ENSG00000252291
Y_RNA	ENSG00000201370
Y_RNA	ENSG00000207127
Y_RNA	ENSG00000265509
Y_RNA	ENSG00000252266
Y_RNA	ENSG00000200256
SNORA57	ENSG00000206597
POU3F2	ENSG00000184486
Y_RNA	ENSG00000200241
Y_RNA	ENSG00000252171
U6	ENSG00000278411
Y_RNA	ENSG00000206792
SNORA31	ENSG00000252580
Y_RNA	ENSG00000202071
ERN2	ENSG00000134398
SNORA67	ENSG00000277985
Metazoa_SRP	ENSG00000275978
Y_RNA	ENSG00000202041
SNORA70	ENSG00000202389
SNORD60	ENSG00000252692
SNORA75	ENSG00000212440
U6	ENSG00000273519
Y_RNA	ENSG00000200397
SNORA4	ENSG00000263776
Y_RNA	ENSG00000252317
GCN1L1	ENSG00000089154
Y_RNA	ENSG00000202035
Y_RNA	ENSG00000222335
Metazoa_SRP	ENSG00000275222
SNORA38	ENSG00000201042
U8	ENSG00000275648
Y_RNA	ENSG00000251803
Y_RNA	ENSG00000222881
Y_RNA	ENSG00000199466
Y_RNA	ENSG00000274118
snoMe28S-Am2634	ENSG00000281551
7SK	ENSG00000274662
SNORA25	ENSG00000201957
U1	ENSG00000274574
U8	ENSG00000275394
U7	ENSG00000281414
SNORD110	ENSG00000221116
7SK	ENSG00000271394
SNORA70	ENSG00000200237
Y_RNA	ENSG00000207450
SNORA40	ENSG00000212455
SNORD48	ENSG00000263864
SCARNA15	ENSG00000280466
SNORA40	ENSG00000273499
Metazoa_SRP	ENSG00000275230
SNORA26	ENSG00000212624
SNORA42	ENSG00000200385
Y_RNA	ENSG00000281554
U6	ENSG00000264556
Y_RNA	ENSG00000277428
Y_RNA	ENSG00000199595
U6	ENSG00000280785
Y_RNA	ENSG00000206751
U3	ENSG00000275900
GJD3	ENSG00000183153
SNORD19	ENSG00000252787
Metazoa_SRP	ENSG00000275355
CCDC92	ENSG00000275035
U8	ENSG00000238963
Y_RNA	ENSG00000206813
SNORD123	ENSG00000239112
KRT24	ENSG00000167916
E2F7	ENSG00000165891
Y_RNA	ENSG00000252621
Y_RNA	ENSG00000281485
SNORA76	ENSG00000252122
SNORD19B	ENSG00000238862
Metazoa_SRP	ENSG00000277371
Y_RNA	ENSG00000201208
SNORA70	ENSG00000278010
METRNL	ENSG00000275031
VSTM1	ENSG00000276066
SNORD56	ENSG00000200112
SNORA1	ENSG00000202059
Y_RNA	ENSG00000202100
Metazoa_SRP	ENSG00000277308
Y_RNA	ENSG00000266523
Y_RNA	ENSG00000206741
Metazoa_SRP	ENSG00000281662
Y_RNA	ENSG00000199756
Y_RNA	ENSG00000199580
Y_RNA	ENSG00000200953
Y_RNA	ENSG00000207363
PPP1R11	ENSG00000227720
Y_RNA	ENSG00000207281
ARF3	ENSG00000134287
SNORD33	ENSG00000199631
SNORA38	ENSG00000200816
Y_RNA	ENSG00000206679
Y_RNA	ENSG00000265159
Metazoa_SRP	ENSG00000280642
7SK	ENSG00000265255
TAB1	ENSG00000100324
Metazoa_SRP	ENSG00000281669
SNORA57	ENSG00000212567
SCARNA24	ENSG00000252274
Y_RNA	ENSG00000206914
SNORD113	ENSG00000222185
SNORD67	ENSG00000212135
Metazoa_SRP	ENSG00000278172
BLACE	ENSG00000204960
EBPL	ENSG00000123179
Y_RNA	ENSG00000201354
Y_RNA	ENSG00000200922
U1	ENSG00000274210
SCARNA13	ENSG00000252481
Y_RNA	ENSG00000222160
7SK	ENSG00000271765
Y_RNA	ENSG00000206995
Y_RNA	ENSG00000267828
Y_RNA	ENSG00000199440
Y_RNA	ENSG00000206808
SNORA41	ENSG00000207406
SNORA26	ENSG00000212608
SNORD74	ENSG00000200999
Y_RNA	ENSG00000199899
Metazoa_SRP	ENSG00000277605
Y_RNA	ENSG00000206706
Metazoa_SRP	ENSG00000278226
SNORA32	ENSG00000206799
Metazoa_SRP	ENSG00000274216
Y_RNA	ENSG00000200572
SNORA56	ENSG00000206693
CR1	ENSG00000203710
U6	ENSG00000278757
Metazoa_SRP	ENSG00000276895
Y_RNA	ENSG00000207351
SNORA31	ENSG00000252582
NLRP7	ENSG00000275483
5S_rRNA	ENSG00000278235
Metazoa_SRP	ENSG00000278746
ZNF133	ENSG00000125846
TOX	ENSG00000198846
Metazoa_SRP	ENSG00000268154
SNORD56	ENSG00000199783
5S_rRNA	ENSG00000277049
SNORD37	ENSG00000206775
SNORA40	ENSG00000212363
Y_RNA	ENSG00000264887
U1	ENSG00000275631
CDH26	ENSG00000124215
Y_RNA	ENSG00000238723
SNORA71	ENSG00000273718
U6	ENSG00000276274
Metazoa_SRP	ENSG00000273710
SNORA79	ENSG00000221303
Y_RNA	ENSG00000252919
SNORA75	ENSG00000206885
U3	ENSG00000221461
SNORA18	ENSG00000277995
U6	ENSG00000266784
SNORA70	ENSG00000252014
THAP11	ENSG00000168286
TAS2R10	ENSG00000277238
Y_RNA	ENSG00000206662
Y_RNA	ENSG00000251812
Y_RNA	ENSG00000206699
SNORA4	ENSG00000202434
Y_RNA	ENSG00000212325
SNORD64	ENSG00000212161
Y_RNA	ENSG00000200040
SNORD74	ENSG00000200206
Y_RNA	ENSG00000199220
Y_RNA	ENSG00000207439
U8	ENSG00000206987
Metazoa_SRP	ENSG00000278525
Metazoa_SRP	ENSG00000277582
Y_RNA	ENSG00000207408
U6	ENSG00000273929
DUOXA1	ENSG00000140254
Y_RNA	ENSG00000251779
SMIM14	ENSG00000163683
Metazoa_SRP	ENSG00000276800
SNORA73	ENSG00000201816
SNORA63	ENSG00000200320
Y_RNA	ENSG00000206714
7SK	ENSG00000271814
Y_RNA	ENSG00000199667
SNORA63	ENSG00000201791
RPS9	ENSG00000274626
PTPN11	ENSG00000179295
U6	ENSG00000263638
SCARNA6	ENSG00000251791
Y_RNA	ENSG00000201511
Metazoa_SRP	ENSG00000276746
Metazoa_SRP	ENSG00000276669
U6	ENSG00000276138
Y_RNA	ENSG00000206858
Metazoa_SRP	ENSG00000275460
Metazoa_SRP	ENSG00000275696
Y_RNA	ENSG00000222701
Metazoa_SRP	ENSG00000197334
Metazoa_SRP	ENSG00000280823
SNORA77	ENSG00000264346
Y_RNA	ENSG00000251986
Y_RNA	ENSG00000199630
SNORA70	ENSG00000206886
SNORA70	ENSG00000252258
SNORD19	ENSG00000212493
CCDC77	ENSG00000120647
Metazoa_SRP	ENSG00000276120
Y_RNA	ENSG00000199530
snoU2_19	ENSG00000199894
Y_RNA	ENSG00000200485
SNORA51	ENSG00000206898
Y_RNA	ENSG00000206705
Y_RNA	ENSG00000207218
SNORA36	ENSG00000200294
Metazoa_SRP	ENSG00000265326
SPINK1	ENSG00000164266
Metazoa_SRP	ENSG00000273968
Y_RNA	ENSG00000262710
AHNAK	ENSG00000124942
Y_RNA	ENSG00000201426
SNORD63	ENSG00000206989
5S_rRNA	ENSG00000275305
Y_RNA	ENSG00000199366
Y_RNA	ENSG00000201339
TSEN34	ENSG00000278605
SNORA30	ENSG00000202189
SNORA70	ENSG00000206909
MYT1	ENSG00000276876
U1	ENSG00000263971
CYP39A1	ENSG00000146233
U1	ENSG00000262656
SCARNA1	ENSG00000252947
U6	ENSG00000278515
U6	ENSG00000262579
PIK3R2	ENSG00000268173
SNORA25	ENSG00000199392
GAS1	ENSG00000180447
CRISPLD2	ENSG00000103196
KRCC1	ENSG00000172086
SNORA62	ENSG00000202374
U7	ENSG00000276376
LPP	ENSG00000145012
SCARNA16	ENSG00000252404
Y_RNA	ENSG00000199901
SCARNA21	ENSG00000251805
Y_RNA	ENSG00000201013
SNORA58	ENSG00000249020
SNORA3	ENSG00000221093
SNORA81	ENSG00000238390
U1	ENSG00000273636
Metazoa_SRP	ENSG00000274686
PLXDC1	ENSG00000161381
Y_RNA	ENSG00000207235
SNORA38	ENSG00000263879
SNORD53_SNORD92	ENSG00000265706
U6	ENSG00000276339
U3	ENSG00000212511
Y_RNA	ENSG00000264778
Y_RNA	ENSG00000266716
Metazoa_SRP	ENSG00000272197
Y_RNA	ENSG00000207525
Metazoa_SRP	ENSG00000274350
Y_RNA	ENSG00000199705
Metazoa_SRP	ENSG00000275878
SNORA68	ENSG00000252458
U1	ENSG00000278099
Y_RNA	ENSG00000207386
Y_RNA	ENSG00000281795
MRPL52	ENSG00000172590
PYCRL	ENSG00000276657
SNORA31	ENSG00000253028
SNORA31	ENSG00000252349
SNORD113	ENSG00000201500
TFPT	ENSG00000275086
Metazoa_SRP	ENSG00000281412
Y_RNA	ENSG00000207189
SNORD113	ENSG00000200150
SNORA40	ENSG00000212266
SNORA40	ENSG00000252693
Y_RNA	ENSG00000201026
OGN	ENSG00000106809
SNORA25	ENSG00000201245
SNORA31	ENSG00000252337
Y_RNA	ENSG00000251864
Y_RNA	ENSG00000280901
5S_rRNA	ENSG00000265816
HOMER3	ENSG00000051128
Y_RNA	ENSG00000252802
U6	ENSG00000278747
snoU13	ENSG00000238906
snoZ6	ENSG00000253067
5S_rRNA	ENSG00000277488
U6	ENSG00000277091
ABLIM1	ENSG00000099204
SNORD39	ENSG00000264997
5S_rRNA	ENSG00000274059
Metazoa_SRP	ENSG00000277510
Y_RNA	ENSG00000200615
SNORD28	ENSG00000252284
Metazoa_SRP	ENSG00000277198
Y_RNA	ENSG00000207371
Y_RNA	ENSG00000207039
Y_RNA	ENSG00000207151
Y_RNA	ENSG00000212335
Y_RNA	ENSG00000202222
Y_RNA	ENSG00000201464
Metazoa_SRP	ENSG00000278118
APOBEC2	ENSG00000124701
U1	ENSG00000273990
Metazoa_SRP	ENSG00000277446
Metazoa_SRP	ENSG00000278702
SNORA43	ENSG00000281863
GDF6	ENSG00000156466
SNORA67	ENSG00000207027
Y_RNA	ENSG00000207466
Y_RNA	ENSG00000275745
Y_RNA	ENSG00000207294
Metazoa_SRP	ENSG00000281397
Y_RNA	ENSG00000201442
Y_RNA	ENSG00000207009
DCAF8	ENSG00000132716
Y_RNA	ENSG00000199840
U6	ENSG00000262922
SNORD65	ENSG00000212229
CDC45	ENSG00000093009
U1	ENSG00000277908
Metazoa_SRP	ENSG00000203436
Y_RNA	ENSG00000274018
SLMO2	ENSG00000101166
Y_RNA	ENSG00000201778
Y_RNA	ENSG00000199201
U1	ENSG00000273757
SNORA30	ENSG00000206755
SNORA26	ENSG00000212224
Y_RNA	ENSG00000200591
Y_RNA	ENSG00000252612
SNORA72	ENSG00000207084
Y_RNA	ENSG00000200344
Metazoa_SRP	ENSG00000274135
U6	ENSG00000276183
Metazoa_SRP	ENSG00000278100
U6	ENSG00000271819
SLC22A18	ENSG00000276130
ACA59	ENSG00000251775
SNORA63	ENSG00000200130
Y_RNA	ENSG00000222206
Y_RNA	ENSG00000201217
SNORD16	ENSG00000199673
Y_RNA	ENSG00000207411
Y_RNA	ENSG00000206717
SNORA26	ENSG00000252236
SNORD112	ENSG00000238966
5S_rRNA	ENSG00000262132
SNORA48	ENSG00000212181
