	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
CFLAR	0.892710353	1.834855282	0.272434365	0.946571256	1.09668865	0.956740094	1.720257106	0.665923425	0.613819469	1.061317111	1.052548268	0.886134621	1.25167045	0.860090895	0.888238655
TFPI	0.563486857	2.233942401	0.202570742	0.70383272	1.546535126	0.749632154	0.396644141	0.440593776	2.162762082	0.87290335	0.654236698	1.472859951	0.759654924	0.847013454	1.393331622
NDUFAF7	1.160422165	0.814159292	1.025418543	1.034767151	0.939447364	1.025785485	1.088059511	0.673046108	1.23889438	1.369635305	0.637260378	0.993104317	1.151411821	0.668315926	1.180272253
RBM5	1.004705432	1.014182568	0.981112001	1.189185881	0.998905236	0.811908883	1.060551735	1.074685844	0.864762421	0.985365048	1.110342071	0.904292881	0.98650641	1.042408735	0.971084855
MTMR7	0.971256346	0.663450935	1.365292718	1.271049514	0.55813788	1.170812606	0.947798278	0.952049431	1.100152291	0.938917568	0.945686305	1.115396127	0.638778493	0.862321422	1.498900084
SLC7A2	0.909062867	1.250226764	0.840710369	1.072096398	1.250238184	0.677665418	0.215351455	0.832776716	1.951871829	0.330507491	1.568822709	1.100669799	0.319731742	1.28859266	1.391675598
ARF5	1.182931151	1.11036753	0.706701319	1.156235252	1.065025055	0.778739693	1.171132587	0.960731541	0.868135872	1.076870085	0.880384656	1.042745259	0.98281403	1.124238694	0.892947276
SARM1	1.273928241	0.528403385	1.197668374	1.614117474	1.128314258	0.257568269	0.652535358	0.881716232	1.46574841	0.747467851	0.849971039	1.40256111	0.609025035	0.869311803	1.521663162
PLXND1	1.102009678	0.950203318	0.947787004	1.342224982	1.072807234	0.584967784	0.564712183	0.90945077	1.525837047	1.221883283	0.975996581	0.802120136	0.928249076	1.08067583	0.991075094
AK2	0.277837951	2.225320385	0.496841664	0.44525591	1.262594006	1.292150084	0.5054107	1.307272625	1.187316675	0.503904512	1.425496302	1.070599187	0.668082682	1.366256291	0.965661027
CD38	1.0390669	0.823460064	1.137473037	0.128582402	1.635180428	1.236237169	0.080802137	0.975950415	1.943247448	0.496055414	1.188573623	1.315370963	0.524697317	0.958043327	1.517259356
FKBP4	0.848992034	1.270691283	0.880316683	0.810145762	1.149585355	1.040268883	0.917549114	0.751761272	1.330689613	0.88782193	1.113294858	0.998883212	0.728671142	1.103483671	1.167845187
KDM1A	1.03106818	1.03366066	0.935271161	1.072204578	1.161833269	0.765962153	0.98817155	1.022291253	0.989537197	0.904396018	1.116639602	0.97896438	0.818448421	1.08868942	1.092862159
RBM6	1.21830204	1.378485341	0.403212618	1.416127032	1.335228609	0.24864436	1.435294965	1.148088511	0.416616525	1.290540402	1.265478847	0.44398075	1.323126484	1.249898923	0.426974594
CAMKK1	1.014904887	1.488900252	0.49619486	1.368736673	0.954426382	0.676836945	0.776451616	0.831936533	1.391611851	0.70521142	0.956068384	1.338720196	0.413946948	1.190894727	1.395158325
RECQL	0.722419533	1.691084034	0.586496432	0.955413762	1.38921836	0.655367878	0.882909206	1.158561966	0.958528827	0.9330904	1.363480424	0.703429176	0.856797128	1.209315454	0.933887419
CCDC132	0.635355661	1.103819755	1.260824584	0.883523596	0.978197865	1.13827854	0.87562105	0.890470129	1.23390882	1.034691218	1.049769742	0.91553904	0.785253654	1.162488414	1.052257931
HSPB6	1.178054242	0.917627841	0.904317916	0.655519704	1.462987239	0.881493057	0.211883883	0.707409426	2.080706691	0.642068226	0.64075508	1.717176694	0.713427911	0.414775092	1.871796997
ARHGAP33	1.442619952	1.100160723	0.457219325	0.882306377	0.620665686	1.497027937	1.007183552	1.009883157	0.982933292	0.914688116	0.928884789	1.156427095	0.939119355	1.182142737	0.878737909
NDUFAB1	0.794902463	0.873024652	1.332072884	0.60024234	0.730463242	1.669294418	0.711302897	0.762514839	1.526182264	0.745482709	0.766600897	1.487916395	0.717307566	0.903177536	1.379514898
PDK4	1.133632875	1.592450018	0.273917107	0.508167238	2.31612638	0.175706382	0.726836101	1.848389361	0.424774538	0.987439096	1.711283087	0.301277817	1.597451715	1.097620194	0.304928091
ZMYND10	1.149833717	1.012198877	0.837967406	1.685086432	0.349694058	0.96521951	1.045812191	1.013106249	0.94108156	1.016261701	0.923299035	1.060439264	0.880380862	0.73825826	1.381360878
ARX	0.266073611	0.955538808	1.778387581	3	0	0	0	0	3	1.039704405	0.535755007	1.424540588	0.742723091	0.781356682	1.475920227
SLC25A13	1.379117638	1.296065263	0.324817098	0.556455309	1.285249893	1.158294798	0.667459308	0.959480841	1.37305985	0.82113739	1.172225911	1.006636698	0.991239043	1.167507377	0.84125358
ST7	1.070802684	0.775225502	1.153971814	1.003861165	1.018378009	0.977760826	1.062479872	1.220448769	0.717071358	1.003497841	1.188276464	0.808225696	0.944303276	1.117675375	0.938021349
CDC27	0.728362705	1.481473132	0.790164163	0.931842069	1.063779898	1.004378032	0.915125547	1.148256055	0.936618399	1.069867693	1.136780692	0.793351615	0.885192844	1.035544515	1.079262641
SLC4A1	2.885629541	0.016331811	0.098038648	0.982232652	0.619322563	1.398444785	2.488454928	0.184162003	0.327383069	1.637033189	0	1.362966811	1.8196965	0	1.1803035
CALCR	1.164204831	0.725084352	1.110710817	0.331154365	0.824524194	1.844321441	0	0	3	0.736302892	0.660578916	1.603118192	0	0	3
HCCS	1.132437699	0.853479907	1.014082394	1.375643205	0.774170042	0.850186753	0.798202768	0.863641554	1.338155678	1.019487845	1.021277953	0.959234202	0.774798141	1.005696814	1.219505045
DVL2	0.927223413	0.954417343	1.118359244	1.238381703	0.834456737	0.92716156	1.156308222	1.040700388	0.802991389	1.044685464	1.028045679	0.927268857	1.191176366	0.973328488	0.835495146
UPF1	0.747179292	1.188583799	1.064236909	0.731050962	0.909911064	1.359037974	0.845567716	0.950769646	1.203662639	0.803704815	1.026204992	1.170090193	0.707510035	1.002222457	1.290267508
SKAP2	0.644104559	1.40875642	0.947139021	0.761592513	1.144493767	1.093913721	0.905319866	1.282744622	0.811935512	1.211207224	1.061862781	0.726929996	0.898350725	1.367218721	0.734430554
SLC25A5	1.949923715	0.657835674	0.392240611	1.094884111	0.797166703	1.107949186	1.180699035	0.835371989	0.983928976	1.104495314	0.941044849	0.954459836	1.012630925	0.966481136	1.020887939
CCDC109B	1.272598726	0.733342161	0.994059113	1.160461891	1.364549433	0.474988676	0.075890017	1.364006018	1.560103965	0.661070785	1.319565608	1.019363607	0.529190733	1.376481551	1.094327716
POLR2J	0.793535228	0.78787764	1.418587133	0.573093559	0.863498302	1.563408139	0.362596052	0.931014853	1.706389095	0.31048331	0.891258964	1.798257726	0.531121403	0.925154001	1.543724595
DHX33	0.611619446	1.757975348	0.630405206	1.065263927	1.134141924	0.800594149	0.750070681	1.185750123	1.064179196	0.89884963	1.153796221	0.947354149	0.697967443	0.964749656	1.337282901
MEOX1	1.729409054	0.684296711	0.586294235	2.678383257	0.321616743	0	0	1.547375277	1.452624723	0	0	3	0.887063319	0.800115689	1.312820992
THSD7A	0.96606568	1.020347725	1.013586595	1.376870315	0.905378264	0.717751421	0.296959664	1.101578708	1.601461628	0.715392324	1.115422948	1.169184729	0.446492616	1.061032543	1.492474841
LIG3	0.919806678	1.38482765	0.695365672	1.109398268	1.090193138	0.800408595	1.03770075	0.955789576	1.006509674	1.295644243	0.959199145	0.745156612	0.959196806	1.03617723	1.004625964
RPAP3	0.702166438	1.178270162	1.119563401	0.96258067	1.082177379	0.955241951	0.981057623	1.147783513	0.871158864	1.04320608	1.049303615	0.907490305	0.884055198	0.914808941	1.201135861
ACSM3	0.668947991	0.769081089	1.56197092	0.858167104	1.082758061	1.059074836	0.488915242	0.610209135	1.900875623	0.512077525	1.183988126	1.303934349	1.267785633	0.85841085	0.873803517
AC004381.6	0.403816023	1.010945849	1.585238128	0.849133443	1.079754349	1.071112208	0.866852052	0.891160607	1.241987341	1.153640759	1.279145297	0.567213945	0.88739847	1.397180341	0.715421189
CIAPIN1	1.122692457	0.973900787	0.903406755	0.931134966	0.963730181	1.105134853	1.047374875	0.888857037	1.063768088	1.236128212	0.96018168	0.803690108	0.993915348	1.006321538	0.999763114
SPPL2B	0.804115269	0.898530986	1.297353745	1.120189468	0.693995192	1.185815339	0.978904232	0.601882003	1.419213764	0.7371453	0.746562611	1.516292088	0.689433666	0.755016773	1.555549561
FAM214B	0.598468022	1.245101812	1.156430166	1.049215378	1.123801249	0.826983372	0.809233081	1.42525133	0.765515589	0.891578379	1.033076856	1.075344765	1.077282266	0.986230804	0.93648693
COPZ2	1.165838488	0.662448909	1.171712604	0.877139016	0.755150313	1.367710671	0.603600582	0.399272709	1.997126709	0.632694834	0.702492726	1.66481244	1.177425268	0.607558035	1.215016697
PRKAR2B	2.147847431	0.585633435	0.266519134	0.862749782	1.628634623	0.508615595	0.954025291	1.16317696	0.882797749	1.025251639	1.165361578	0.809386782	0.726936317	1.264081219	1.008982464
MSL3	0.714225823	1.747885499	0.537888678	0.890748198	1.176915328	0.932336474	1.053526483	1.149476913	0.796996604	1.121400148	1.17694169	0.701658162	0.89973071	1.290132964	0.810136326
CREBBP	0.859744299	1.27652098	0.863734721	1.039759887	0.986277524	0.973962589	0.869289475	1.199551449	0.931159075	0.954081659	1.040707751	1.00521059	0.779832845	1.003610171	1.216556984
BZRAP1	1.884148094	0.622560332	0.493291575	1.067650318	1.00546837	0.926881312	0.786787747	1.201468561	1.011743692	1.164307911	0.943782503	0.891909587	0.780614376	1.116759411	1.102626213
MPO	0.251270396	2.650450663	0.098278942	0.435003504	2.564996496	0	0.609878029	2.174472161	0.21564981	1.085223412	1.853624202	0.061152386	0.99423125	1.861122239	0.144646511
PON1	3	0	0	2.393735559	0	0.606264441	1.826969798	1.173030202	0	2.36367616	0.375829173	0.260494667	1.687468514	0	1.312531486
GCFC2	0.814311561	1.759636771	0.426051668	1.44216765	1.053938081	0.503894269	1.37212732	1.154828113	0.473044567	1.404702988	1.245531172	0.349765841	1.69770097	0.887450727	0.414848303
WDR54	0.678395929	0.635001688	1.686602383	0.808554099	0.660298624	1.531147276	0.716588404	1.004594789	1.278816807	0.915711348	0.880504982	1.20378367	0.799719887	1.133070325	1.067209788
CROT	0.797692318	1.150268324	1.052039358	0.511278936	0.702934059	1.785787005	1.324985072	1.078703938	0.59631099	1.401705585	1.201413821	0.396880594	0.95425442	1.251874004	0.793871576
ABCB4	1.623645342	0.635481046	0.740873612	1.690541479	0.313365482	0.996093039	0.446793179	0.813184181	1.740022641	0.960372853	1.044746626	0.994880522	1.318143515	0.960577783	0.721278702
KMT2E	0.791313034	1.237201703	0.971485263	0.999704735	0.973372396	1.026922869	0.853829346	1.116373575	1.029797079	0.913908956	1.153207809	0.932883236	0.784454938	1.045432931	1.170112131
RHBDD2	1.455989746	0.600633533	0.943376721	1.437451089	1.085892153	0.476656758	1.006336659	0.933835402	1.059827939	1.296064735	0.89409277	0.809842495	1.177324788	1.050279515	0.772395697
SOX8	1.181466701	0.991249352	0.827283947	1.570413698	0.591161376	0.838424926	0.629682564	1.097326031	1.272991406	0.827121393	0.974961163	1.197917445	1.171506965	1.036392724	0.792100311
IBTK	0.791558738	1.004165113	1.204276149	0.735924145	1.16926355	1.094812305	1.052322155	1.074740221	0.872937625	1.16699165	1.126696469	0.706311882	0.985482118	1.13556996	0.878947922
MYCBP2	0.776032921	1.072563026	1.151404053	0.840579584	0.95430712	1.205113296	0.84342873	1.074825037	1.081746234	0.983405764	1.06167336	0.954920876	0.632999774	1.030518601	1.336481625
FBXL3	0.759581786	1.295462805	0.944955409	0.916817261	1.072368119	1.010814619	0.831229694	1.140725494	1.028044812	0.915788367	1.048308475	1.035903158	0.756212153	0.945236526	1.298551321
ITGAL	1.051051075	1.421201441	0.527747484	0.839765598	1.817002687	0.343231716	0.926298761	1.565502237	0.508199003	0.456510992	1.908105007	0.635384001	0.291268137	2.208395477	0.500336387
PDK2	1.208498619	1.051391011	0.740110369	1.012730739	0.873577437	1.113691825	1.045723871	1.029453817	0.924822312	0.995434742	0.943029716	1.061535542	0.898099539	0.944452891	1.15744757
ITGA3	1.319892175	0.943661045	0.73644678	1.177341069	0.862196782	0.960462149	1.329134931	0.869749752	0.801115317	1.159617616	1.12733211	0.713050275	0.980902135	1.140687909	0.878409956
ZFX	0.657177021	1.529007437	0.813815542	0.812197139	1.120841062	1.066961798	0.773169038	1.323490439	0.903340523	0.909766482	1.193614726	0.896618792	0.811141031	0.952569554	1.236289415
LAMP2	0.838009301	1.437120307	0.724870392	1.1074854	0.891228898	1.001285702	0.782188715	1.145588074	1.07222321	1.070832923	1.211045254	0.718121823	1.287116433	1.046849386	0.666034182
ITGA2B	0.867784788	1.692103753	0.440111458	2.331727048	0.457686807	0.210586145	0.612550879	1.47896093	0.908488191	0.734774561	1.81555929	0.449666149	1.052186928	1.528071011	0.419742061
ASB4	0.867898849	0.99114541	1.140955741	1.194391616	1.805608384	0	1.538538822	1.461461178	0	1.496698057	1.503301943	0	2.182725618	0.817274382	0
GDE1	0.825606193	1.170972678	1.003421129	0.850688489	0.978333622	1.170977889	0.866754165	1.045738082	1.087507753	1.055374658	1.047971818	0.896653524	0.903699402	1.093181238	1.00311936
C19orf60	1.229531083	0.812145082	0.958323835	1.139824493	1.005272112	0.854903395	1.254848239	0.698569069	1.046582692	0.939850339	0.711888079	1.348261582	1.194113681	1.056730524	0.749155794
CRLF1	1.163524398	1.533646265	0.302829337	1.698843997	1.263612814	0.037543188	0.329806128	1.827270508	0.842923364	1.385449239	1.540137777	0.074412984	1.543485508	1.261721617	0.194792875
OSBPL7	1.212104664	1.315371362	0.472523974	1.250670548	0.961137217	0.788192235	0.94581132	0.864675293	1.189513387	0.938263763	1.021207891	1.040528346	0.920651156	1.015943289	1.063405555
TMEM98	1.658504374	1.044036455	0.297459172	1.225746945	1.023608211	0.750644843	0.688206559	1.929041797	0.382751644	1.056728826	1.422784108	0.520487067	1.385931698	1.168445657	0.445622645
YBX2	2.014345418	0.535650629	0.450003954	1.80237079	0.12239314	1.07523607	1.792588155	0.96907951	0.238332335	2.384475759	0.466324085	0.149200156	2.414685543	0.585314457	0
MAP3K14	0.507787398	1.140800755	1.351411848	0.927875339	1.27679468	0.795329982	0.717715265	1.093760646	1.188524088	0.766403372	0.784288681	1.449307947	0.620650917	0.901215211	1.478133872
ABCC8	1.05312583	1.709035019	0.237839151	1.405504295	0.501797873	1.092697833	1.302112835	0.921385375	0.77650179	1.113546468	0.771859095	1.114594437	0.901632728	0.623655098	1.474712175
CACNG3	0.955505592	1.529828693	0.514665715	0	3	0	0.29472332	1.204480417	1.500796264	1.211424591	0.927673086	0.860902323	0.963448235	1.04774459	0.988807176
TMEM132A	0.614538396	1.166304057	1.219157546	2.056862988	0.636767563	0.306369449	0.62133028	0.595414434	1.783255286	1.065509288	0.670659251	1.263831461	1.218877084	0.900760283	0.880362633
AP2B1	0.844501996	1.349167869	0.806330135	0.909813477	1.220021418	0.870165105	0.8086787	1.191368498	0.999952802	1.08303806	1.179992568	0.736969372	0.76776348	1.158369807	1.073866713
TAC1	0	3	0	0	2.735542497	0.264457503	1.018432727	0	1.981567273	1.269273272	0.696532212	1.034194516	0.620666309	0.63418299	1.745150701
ZNF263	0.919033757	0.906241189	1.174725054	1.091040084	0.746378588	1.162581328	1.001987827	0.996844906	1.001167268	1.113727461	0.821809346	1.064463193	0.988831374	0.919116248	1.092052378
CX3CL1	1.612729572	1.387270428	0	1.975494365	1.024505635	0	0.302596109	2.697403891	0	1.690446169	1.309553831	0	1.381292899	1.618707101	0
SPATA20	1.518951906	0.91578248	0.565265614	1.375183111	1.074016901	0.550799988	1.134289456	1.04923133	0.816479214	1.419852312	1.174856077	0.405291611	1.321087774	1.200182442	0.478729785
CACNA1G	0.830540688	0.822792925	1.346666387	2.500436443	0.182321009	0.317242548	0.47374969	0.867334191	1.658916119	0.996625358	0.782005741	1.221368902	0.568618648	0.949641346	1.481740005
TNFRSF12A	0.734249682	1.743470433	0.522279886	0.983984687	1.716922898	0.299092415	1.202876733	0.877474016	0.919649251	1.091402457	1.50495072	0.403646824	0.88537738	1.591399618	0.523223002
DLX6	0	3	0	3	0	0	0	1.562716176	1.437283824	0.804086719	1.019067848	1.176845432	0.712937198	0.943726282	1.343336521
MAP3K9	0.425571561	1.74223091	0.832197529	0.683080196	0.881616493	1.435303312	0.63078278	1.198721209	1.170496011	0.991185159	0.951699851	1.057114991	0.522419898	0.826389744	1.651190358
RALA	0.810752414	0.99798984	1.191257746	1.394236777	0.984689182	0.621074041	0.776928798	1.279143393	0.943927809	1.078980999	1.131451569	0.789567432	0.973179797	1.029626026	0.997194177
BAIAP2L1	1.541632931	1.400364455	0.058002613	1.287656707	0.98341093	0.728932363	1.306525598	1.152397618	0.541076784	1.243394913	1.468930547	0.28767454	1.534937981	0.651796491	0.813265528
KDM7A	0.408716257	1.720693603	0.87059014	1.089387817	1.020424444	0.890187739	0.642153361	1.038580235	1.319266403	0.77991595	0.866593516	1.353490534	0.610352071	0.822412541	1.567235387
ETV1	0.718196051	0.84470985	1.437094099	0.503967528	0.968931226	1.527101245	1.056202046	1.143525035	0.800272919	0.943189612	1.098049412	0.958760976	1.081398715	0.687554084	1.231047202
AGK	1.047029844	1.13016441	0.822805745	0.795036226	1.389257668	0.815706107	0.97917811	1.103231609	0.917590281	0.956094768	1.299198654	0.744706578	0.672469874	1.316308362	1.011221764
TTC22	2.110803839	0	0.889196161	0.333695021	1.140221958	1.526083021	0	0.768571742	2.231428258	0.410308898	0.029559054	2.560132048	0.092181418	0.246195485	2.661623098
PHTF2	0.476245989	0.830674304	1.693079707	1.227598285	0.759294875	1.01310684	0.86748644	1.300526787	0.831986773	0.957193227	1.366473648	0.676333126	0.825408728	1.260695545	0.913895727
CCL26	2.148093194	0.851906806	0	0.608954779	0	2.391045221	0	0	3	0.594285397	0	2.405714603	0	1.644852449	1.355147551
FARP2	0.816989488	1.484660558	0.698349955	0.896768299	1.15053119	0.952700511	1.184943915	1.087196109	0.727859976	0.954440729	0.878539808	1.167019464	1.038419933	0.914491836	1.047088231
USH1C	0.789492278	0.837382848	1.373124874	0.811181297	0.957712175	1.231106527	0.402500834	1.743974876	0.85352429	0.531658423	2.061019923	0.407321654	1.398435434	1.03657161	0.564992956
GGCT	1.112614311	0.615216636	1.272169053	0.964103586	1.114106238	0.921790176	1.355070335	0.707288152	0.937641513	1.605664469	0.641500431	0.752835101	1.152002904	0.790405088	1.057592007
DBF4	0.795136887	1.769907064	0.434956049	1.707912556	0.9263533	0.365734144	0.943073685	1.196502353	0.860423961	0.945339635	0.798766143	1.255894222	0.564502012	0.948254552	1.487243436
TBXA2R	1.482331833	1.216784877	0.30088329	1.018126866	1.16012196	0.821751174	1.107794712	0.859012718	1.03319257	2.407598251	0.305535109	0.28686664	3	0	0
IFRD1	1.643272214	0.853344519	0.503383266	1.335572937	1.365323734	0.299103329	1.212757048	1.06647562	0.720767332	1.325055562	0.95514353	0.719800908	1.02738739	1.10003525	0.87257736
