dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
HHATL_GENE_cis_elements_distal	f=15%	0.210202	0.211270	1.962377	0.951638	0.437985	0.964153	0.420836	0.172829	0.097621	0.213783	2.730175	1.947036	0.406474	0.588720	-1158.95	6.06	6.08	0.16	main-converged-rho0-converged-eta0-converged-gam0-converged
HSPB6_GENE_cis_elements_distal	f=15%	0.250936	-1.000000	0.000000	-1.000000	0.000000	0	0.000000	0.000000	0.000000	0	0.000000	-1.000000	0.000000	0	-21.7178	0.0688	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
IDI2_GENE_cis_elements_distal	f=15%	0.000295	0.001389	0.000000	1.377385	0.000000	-nan	0.000000	0.443548	0.000000	-1.000000	0.000000	1504.829704	0.000000	1418.013006	-9.51009	-0.0003	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
IL17D_GENE_cis_elements_distal	f=15%	0.000526	0.019286	0.110247	0.963074	0.000000	0	0.031658	0.267907	0.000000	0	62.155544	2244.000420	0.000000	0	-527.202	0.01	0.012	0	main-converged-rho0-converged-eta0-converged-gam0-converged
KLHL30_GENE_cis_elements_distal	f=15%	0.255538	0.375164	0.000000	3.338748	0.000000	1.696593	0.000000	0.772540	0.000000	0.623299	0.000000	2.250648	0.000000	1.815864	-46.6647	0.4486	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
LDB3_GENE_cis_elements_distal	f=15%	0.453668	0.244293	2.722320	1.003904	1.414918	1.178799	0.673232	0.160063	0.335040	0.270200	2.481099	1.089949	0.606765	0.323267	-480.606	7.778	7.782	1.152	main-converged-rho0-converged-eta0-converged-gam0-converged
LRRC2_GENE_cis_elements_distal	f=15%	0.276420	0.265650	1.350894	1.189113	0.000000	1.000685	0.362302	0.271608	0.000000	0.314038	1.487209	1.010634	0.000000	0.822051	-384.62	2.46	1.964	0	main-converged-rho0-converged-eta0-converged-gam0-converged
MAFA_GENE_cis_elements_distal	f=15%	0.002101	0.029502	0.000000	0	0.824865	0.687814	0.000000	0	0.157830	0.111575	0.000000	0	89.017512	1239.490360	-1176.6	1.68	0	1.68	main-converged-rho0-converged-eta0-converged-gam0-converged
MYL3_GENE_cis_elements_distal	f=15%	0.005904	0.171051	0.797232	1.715569	0.000000	0	0.201634	0.356841	0.000000	0	42.521778	1203.325656	0.000000	0	-160.144	0.262	0.264	0	main-converged-rho0-converged-eta0-converged-gam0-converged
NANOS1_GENE_cis_elements_distal	f=15%	0.027093	0.168010	0.788901	1.328100	2.703813	1.644489	0.228116	0.311365	0.401492	0.147391	10.612390	59.885148	24.088813	148.584275	-232.913	4.608	0.406	4.172	main-converged-rho0-converged-eta0-converged-gam0-converged
PAX7_GENE_cis_elements_distal	f=15%	0.217176	0.185753	0.792502	0.879877	1.099107	0.879232	0.204561	0.213391	0.211269	0.167159	0.926976	0.594304	0.965515	0.487455	-1385.63	1.3	0.62	1.3	main-converged-rho0-converged-eta0-converged-gam0-converged
PITX2_GENE_cis_elements_distal	f=15%	0.033522	0.217611	0.000000	0	0.381852	1.033012	0.000000	0	0.088746	0.231190	0.000000	0	2.807815	14.397176	-394.487	0.13	0	0.138	main-converged-rho0-converged-eta0-converged-gam0-converged
PPAPDC3_GENE_cis_elements_distal	f=15%	0.417715	0.413265	0.000000	2.228221	1.335974	1.911103	0.000000	1.267335	0.375542	0.464007	0.000000	1.766632	0.838322	0.882593	-247.867	0.974	0	0.55	main-converged-rho0-converged-eta0-converged-gam0-converged
PRPH2_GENE_cis_elements_distal	f=15%	0.365065	0.316301	0.637934	1.005919	2.058693	1.290124	0.286839	0.406799	0.438395	0.261409	0.699536	0.738709	1.357665	0.742213	-429.223	2.472	0.302	2.478	main-converged-rho0-converged-eta0-converged-gam0-converged
SBK1_GENE_cis_elements_distal	f=15%	0.025602	0.498361	1.604886	3.397907	0.000000	0	0.302399	0.515491	0.000000	0	16.497918	302.699339	0.000000	0	-97.0169	0.3362	0.3378	0	main-converged-rho0-converged-eta0-converged-gam0-converged
SLCO5A1_GENE_cis_elements_distal	f=15%	0.318124	0.680171	0.000000	0	2.685205	5.102622	0.000000	0	0.463315	0.614739	0.000000	0	1.850399	4.118624	-18.9859	0.3342	0	0.334	main-converged-rho0-converged-eta0-converged-gam0-converged
SMTNL1_GENE_cis_elements_distal	f=15%	0.284616	0.296184	0.000000	1.903573	2.396494	1.881639	0.000000	0.621453	0.414383	0.257890	0.000000	1.562024	1.778558	1.622609	-179.913	1.878	0	1.884	main-converged-rho0-converged-eta0-converged-gam0-converged
SMYD1_GENE_cis_elements_distal	f=15%	0.010687	0.111057	1.185705	1.022992	0.091395	1.219067	0.277347	0.182255	0.024376	0.296642	35.528389	359.281194	2.312926	21.143354	-380.036	1.774	1.76	-0.014	main-converged-rho0-converged-eta0-converged-gam0-converged
SYPL2_GENE_cis_elements_distal	f=15%	0.705769	0.207102	0.000000	0.585321	2.045444	0.993950	0.000000	0.893294	0.606825	0.262429	0.000000	0.372409	0.643434	0.226092	-380.182	13.304	0	6.288	main-converged-rho0-converged-eta0-converged-gam0-converged
TBX1_GENE_cis_elements_distal	f=15%	0.012360	0.156824	0.386655	0.716767	0.000000	0	0.140088	0.234032	0.000000	0	13.017846	153.733983	0.000000	0	-595.161	0.362	0.368	0	main-converged-rho0-converged-eta0-converged-gam0-converged
