	Relative_Expression_Difference_Hum_Chimp(RPKM)	Relative_Expression_Difference_Hum_Rhesus_Monkey(RPKM)	Relative_Expression_Difference_Chimp_Rhesus_Monkey(RPKM)
PRSS22	-0.37680492697402257	0.7922044147146099	1.1690093416886325
UPF1	-0.10520192988150945	-0.35809492318810077	-0.2528929933065913
SKAP2	-0.37742475617192073	0.09338435408352663	0.47080911025544736
SLC25A5	0.34532704664279956	0.19677005880747467	-0.1485569878353249
CCDC109B	-1.2881160015028814	-1.484213948087125	-0.19609794658424362
POLR2J	-0.5684188012335154	-1.343793043624856	-0.7753742423913406
DHX33	-0.43567944217758536	-0.31410851550845664	0.12157092666912872
MEOX1	-1.5473752774293157	-1.4526247225706843	0.09475055485863138
THSD7A	-0.8046190445864964	-1.3045019647801457	-0.49988292019364944
LIG3	0.08191117481231447	0.03119107632370044	-0.05072009848861403
RPAP3	-0.16672589082180544	0.10989875860471154	0.276624649426517
ACSM3	-0.12129389306530092	-1.4119603806895482	-1.2906664876242473
AC004381.6	-0.02430855536740728	-0.375135288905984	-0.35082673353857674
CIAPIN1	0.1585178387272167	-0.016393212958157433	-0.17491105168537413
SPPL2B	0.3770222287973666	-0.44030953192944866	-0.8173317607268152
FAM214B	-0.616018248412731	0.04371749279590087	0.6597357412086319
COPZ2	0.20432787340444264	-1.3935261264054128	-1.5978539998098555
PRKAR2B	-0.20915166850256206	0.07122754278361709	0.28037921128617915
MSL3	-0.0959504291568758	0.25652987925214743	0.3524803084090232
CREBBP	-0.3302619741957935	-0.061869600015567516	0.268392374180226
BZRAP1	-0.4146808130492625	-0.2249559445310727	0.18972486851818982
MPO	-1.5645941317130196	0.39422821983668743	1.958822351549707
PON1	0.6539395963838199	1.8269697981919104	1.1730302018080905
GCFC2	0.21729920696743976	0.8990827526114653	0.6817835456440255
WDR54	-0.2880063849708572	-0.5622284023754709	-0.2742220174046137
CROT	0.24628113394808238	0.7286740826895332	0.4823929487414508
ABCB4	-0.36639100197101776	-1.293229462333111	-0.9268384603620933
KMT2E	-0.2625442283847945	-0.17596773218011919	0.08657649620467534
RHBDD2	0.07250125722906753	-0.05349128021839844	-0.12599253744746597
SOX8	-0.4676434669129428	-0.6433088421294975	-0.17566537521655468
IBTK	-0.022418066150975413	0.1793845299721213	0.2018025961230967
MYCBP2	-0.2313963069866748	-0.23831750425052378	-0.006921197263848988
FBXL3	-0.30949580002896127	-0.19681511761104786	0.1126806824179134
ITGAL	-0.6392034760523142	0.418099757844447	1.0573032338967612
PDK2	0.01627005400536352	0.12090155916326883	0.10463150515790531
ITGA3	0.45938517823437663	0.5280196138315827	0.06863443559720606
ZFX	-0.5503214006177869	-0.13017148528644207	0.4201499153313448
LAMP2	-0.36339935918089306	-0.29003449518191826	0.0733648639989748
ITGA2B	-0.8664100515529495	-0.29593731280164903	0.5704727387513004
ASB4	0.07707764418977137	1.5385388220948857	1.4614611779051143
GDE1	-0.17898391639388755	-0.22075358769881293	-0.04176967130492537
C19orf60	0.5562791703483898	0.20826554665895225	-0.34801362368943756
CRLF1	-1.497464379944786	-0.5131172360814373	0.9843471438633488
OSBPL7	0.08113602754508586	-0.24370206662156713	-0.324838094166653
TMEM98	-1.240835238046341	0.30545491424724025	1.5462901522935812
YBX2	0.8235086442998971	1.554255819924683	0.730747175624786
KRT33A	-3.0	0.0	3.0
MAP3K14	-0.37604538137321974	-0.47080882333216334	-0.0947634419589436
ABCC8	0.3807274600287748	0.52561104460847	0.1448835845796952
CACNG3	-0.9097570969473507	-1.2060729439789903	-0.2963158470316396
TMEM132A	0.02591584565422922	-1.161925005823593	-1.1878408514778223
AP2B1	-0.3826897986920449	-0.19127410274946033	0.19141569594258456
TAC1	1.018432727400784	-0.9631345451984317	-1.9815672725992157
ZNF263	0.005142920868359657	0.0008205588391887453	-0.004322362029170912
CX3CL1	-2.3948077819802966	0.3025961090098517	2.6974038909901483
SPATA20	0.085058125478918	0.3178102410286312	0.2327521155497132
CACNA1G	-0.3935845009516563	-1.1851664295191422	-0.791581928567486
TNFRSF12A	0.3254027173017703	0.28322748158885114	-0.042175235712919146
DLX6	-1.5627161763598585	-1.4372838236401415	0.12543235271971698
MAP3K9	-0.5679384286069037	-0.5397132310192173	0.02822519758768638
RALA	-0.5022145950193494	-0.16699901042342635	0.33521558459592304
BAIAP2L1	0.15412797985124693	0.7654488146096773	0.6113208347584304
KDM7A	-0.3964268739112693	-0.6771130420101374	-0.28068616809886815
ETV1	-0.08732298902433211	0.25592912699881265	0.34325211602314476
AGK	-0.1240534981899929	0.06158782956348918	0.18564132775348208
TTC22	-0.7685717419196276	-2.2314282580803724	-1.4628565161607447
PHTF2	-0.43304034641636724	0.03549966740627719	0.46854001382264443
CCL26	0.0	-3.0	-3.0
FARP2	0.09774780603494881	0.4570839384762757	0.3593361324413269
USH1C	-1.341474042437937	-0.4510234559758445	0.8904505864620924
GGCT	0.6477821825860234	0.4174288222599203	-0.2303533603261031
DBF4	-0.2534286677145908	0.08264972391835623	0.33607839163294706
TBXA2R	0.24878199318590155	0.07460214142180921	-0.17417985176409234
IFRD1	0.14628142824775137	0.4919897164460353	0.3457082881982839
COX10	-0.22955195513203497	-0.3074656096905247	-0.07791365455848975
GTF2IRD1	-0.6739932764664253	-0.6498522671603327	0.02414100930609253
PAF1	0.35653112931030406	0.33602335430873775	-0.02050777500156631
VPS41	-0.7366604063414701	-0.18762122733227804	0.5490391790091921
ARHGAP44	0.043848507401671344	-0.2663012846430304	-0.3101497920447017
ELAC2	0.6638331827542192	0.6237640473002616	-0.04006913545395763
SCIN	-0.2808288686082173	-1.4152886378576182	-1.1344597692494007
PNPLA4	0.7756208395888152	1.3371643827465072	0.5615435431576918
MYH13	-2.5077895015380545	-0.4922104984619455	2.015579003076109
ADIPOR2	-0.813281430148556	-0.22618020076776724	0.5871012293807888
CDKL3	0.5490347403399274	1.0985263329657593	0.5494915926258319
UPP2	1.9629640926596175	2.4814820463298086	0.5185179536701912
PRSS21	0.01951179434481179	-2.8719314069824162	-2.891443201327228
MARK4	-0.1822107203987392	-0.2309389939005314	-0.04872827350179221
PROM1	-0.20371422438977138	-0.46805452059960106	-0.2643402962098297
CCDC124	0.15094067201891093	-0.07884822660743596	-0.22978889862634688
PAFAH1B1	-0.5556179874466604	-0.18449612372345492	0.37112186372320544
NOS2	2.072396017121303	2.477805591359199	0.4054095742378959
DNAH9	-0.26226798800219947	-1.5336851848663982	-1.2714171968641987
KIAA0100	-0.08087181737191296	-0.17705782314264784	-0.09618600577073488
SLC13A2	0.0	-3.0	-3.0
GAS7	-0.2870796523473703	-0.07119646903501453	0.2158831833123558
TRAPPC6A	2.5582349399723765	2.116469879944753	-0.44176506002762334
MATK	0.4088859155516422	0.06020242208947346	-0.34868349346216876
CD79B	1.0349227926413556	0.9450535314783169	-0.0898692611630385
SCN4A	0.20046480021687008	-0.19488283971185716	-0.39534763992872723
ST7L	-0.1763237429508997	-0.2687236236818964	-0.0923998807309967
TKTL1	-0.7427548118985127	-0.8415915915915918	-0.09883677969307914
PAX6	0.03677840517617881	0.22972848179293015	0.19295007661675134
RPUSD1	-0.2841181107248437	-0.7375255317266775	-0.45340742100183373
RHBDF1	-0.07324432931306846	-0.17858619633813588	-0.10534186702506743
LUC7L	0.34416008789982877	0.31668887122977407	-0.0274712166700547
CACNA2D2	-0.30628721650129165	-0.4570855187602586	-0.15079830225896695
BAIAP3	0.45158618931279526	-0.571707666462863	-1.0232938557756581
TSR3	0.7799786966421934	0.6281605757472021	-0.15181812089499136
PIGQ	0.47461008227960555	0.8021898209903064	0.3275797387107009
CRAMP1L	-0.7899713012176912	0.20914991210816913	0.9991212133258603
TEAD3	-0.4139901165422073	0.4688620562731508	0.8828521728153581
SELE	0.5193467074360028	1.3755137718237442	0.8561670643877414
DNAJC11	-0.06227005647196182	0.1834627312793652	0.245732787751327
FMO3	0.8375907292784367	-1.1344684525573645	-1.972059181835801
MYLIP	0.044309260076481394	-0.6814531159627749	-0.7257623760392563
NOX1	-0.7480506429420452	-2.251949357057955	-1.50389871411591
PSMB1	0.024545166221767167	-0.05279396401948	-0.07733913024124717
SYN1	0.4802321330498891	0.29901348497131586	-0.18121864807857324
JARID2	-0.0471574170936242	0.05058038545024346	0.09773780254386766
CDKL5	-0.3590595035633529	-0.13177241627494252	0.2272870872884104
CAMK1G	-0.2202672414932476	0.2958306882186842	0.5160979297119318
CDK11A	0.1701621918181433	-0.5402442588796832	-0.7104064506978265
NADK	-0.05649461609169615	-1.172681270629277	-1.116186654537581
TFAP2B	-0.22421419728353287	-0.20095829030449408	0.023255906979038787
DLEC1	-2.1942638816134323	-0.34183847827582037	1.8524254033376117
CYTH3	-0.5989552820057188	-0.42460173506166987	0.17435354694404892
ADAM22	-0.3751393698329225	0.15201799959029993	0.5271573694232224
SYPL1	-0.5397548537229079	-0.37277328111355856	0.16698157260934932
CYB561	-0.24893239496612318	-0.3918198141141208	-0.14288741914799763
SPAG9	-0.3684456010711028	-0.19813896500936945	0.17030663606173335
CELSR3	-0.10637021298656957	0.1559326713222161	0.2623028843087857
AASS	-0.6529990814172004	-0.12951960186756684	0.5234794795496336
PLEKHG6	0.0	-3.0	-3.0
SS18L2	0.46845922279711394	-0.5162985208271516	-0.9847577436242655
MPND	-0.06227169861968562	-0.27741705139835593	-0.2151453527786703
MGST1	1.4124652366283423	0.7749953996792407	-0.6374698369491016
CRY1	-0.13091551002120394	-0.12936886216082077	0.0015466478603831657
NFIX	0.17400794586043722	-0.08281258105570566	-0.2568205269161429
ST3GAL1	0.5345667276807315	-0.9688682568550347	-1.5034349845357662
MMP25	0.17139971244064856	1.491337999220951	1.3199382867803024
PKD1	0.3748482495709291	0.9878117361715374	0.6129634866006083
MAPK8IP2	-0.012093118739930797	-0.17467603467332737	-0.16258291593339658
MED24	-0.2694022176462062	-0.5827675095088392	-0.31336529186263296
RHOBTB2	0.009923477854604457	0.07924384509614113	0.06932036724153667
HEATR5B	-0.004865810125301628	-0.12672004393507996	-0.12185423380977833
SEC62	-0.0770536465828845	-0.04028798549082435	0.03676566109206014
RPS20	0.36045125899415864	1.2854337799653925	0.9249825209712339
CSDE1	-0.3098810581500496	-0.11929478748867206	0.19058627066137757
UBE3C	-0.28196338300006285	-0.06310053060932241	0.21886285239074044
REV3L	-0.09572720691950742	0.5109045869545759	0.6066317938740833
TENM1	-0.18259610090750766	0.1908047301408462	0.37340083104835387
MASP2	-0.3703334269829974	0.009637985944347505	0.37997141292734493
FAM76A	-0.15718906305331914	0.12197132497942342	0.27916038803274257
TRAF3IP3	-0.6189727562837878	-0.5401631109186936	0.07880964536509416
POMT2	-0.01825052670853311	-0.05299504011906975	-0.03474451341053664
VTA1	-0.18941173085494845	-0.028355155324463976	0.16105657553048447
MLXIPL	0.5316507350636164	1.7358096663693363	1.20415893130572
BAZ1B	-0.4284550919430705	-0.2049205409364122	0.2235345510066583
RANBP9	-0.08568116230408584	0.049880262727196034	0.13556142503128188
SPRTN	-0.34717756754853246	-0.34008621277875983	0.007091354769772629
METTL13	0.2744380038367865	0.2769932416710189	0.0025552378342323934
DYRK4	0.17980372698610303	1.5495221462727564	1.3697184192866534
ZNF207	-0.08371404243567848	0.02856192755557596	0.11227596999125444
UQCRC1	-0.0387526315608715	-0.2782568678157957	-0.23950423625492423
STARD3NL	-0.15122905512551077	-0.36149365112693477	-0.210264596001424
CD9	-0.3484512144060059	-0.12866065539271487	0.21979055901329103
NCAPD2	-1.2043955192425784	-0.09706585764754383	1.1073296615950345
IFFO1	-0.02242657559049066	-0.40643895212408365	-0.384012376533593
PHF7	0.06881425741265745	-1.3296126763471858	-1.3984269337598434
SEMA3G	-0.6946659036264555	0.8010479895692828	1.4957138931957383
NISCH	-0.16736651269340896	0.3521181809747559	0.5194846936681649
STAB1	-0.3892678106297595	-1.2414271750360732	-0.8521593644063138
FUZ	-0.23228646700742483	0.12086708016486214	0.353153547172287
SLC6A13	-0.03525410899450154	-0.9013277065681573	-0.8660735975736558
IDS	-0.14060739352081164	-0.29649496966740463	-0.155887576146593
CD4	-0.3084121103476909	-1.281891492209346	-0.9734793818616552
LRRC23	-0.996548925072041	0.7968902787996006	1.7934392038716416
BTK	-0.9569710572640833	-1.0484405640511942	-0.09146950678711097
HFE	-0.06996150760902806	-2.214442035405374	-2.1444805277963463
SCMH1	-0.2641897673493161	0.47059269825653915	0.7347824656058553
FYN	0.09134635580272898	0.15619350962180012	0.06484715381907113
HIVEP2	-0.1426180678315978	-0.050277043941659216	0.09234102388993859
FMO1	0.21829683096324387	-2.5634063380735124	-2.7817031690367564
TCEB3	-0.4561255400388934	-0.2152321989635423	0.2408933410753511
LYPLA2	-0.19520491624387748	-0.855774483449166	-0.6605695672052885
CLCN6	-0.10559222755549669	-0.1569805771502687	-0.05138834959477201
MRC2	-0.4456988029181645	-1.105760462353781	-0.6600616594356165
NME2	0.9075588921991509	0.16886371035403291	-0.738695181845118
SLC6A7	2.3563963030868824	1.930146614302918	-0.4262496887839646
TSPAN9	0.32117709377286585	-0.3856873359295624	-0.7068644297024282
BTBD7	-0.4613630482106199	-0.1870519430020674	0.2743111052085525
APBA3	-0.07439410377603672	0.0901765042473256	0.16457060802336232
MKS1	-0.6712975793796109	-0.8550764514044941	-0.1837788720248832
ABHD5	-0.48075722961397216	-0.05657620025324428	0.4241810293607279
AKAP8L	-0.13763765241638637	-0.018325183861842453	0.11931246855454392
MBTD1	-0.49190078384401936	-0.49076064708825473	0.0011401367557646314
UTP18	1.209080764006338	0.33795649572747966	-0.8711242682788584
RNF216	-0.5597669861971414	-0.2818051186819742	0.27796186751516716
PTBP1	-0.11151405739054598	0.3336508506122614	0.4451649080028074
DPF1	0.172740719202644	0.13449153387555268	-0.03824918532709132
SYT7	-0.18392539007640807	-1.0091420216465088	-0.8252166315701007
LARS2	-0.1162932248641686	0.1926908922782533	0.3089841171424219
PIK3C2A	-0.3988835277277335	0.1452117551608596	0.5440952828885931
PLAUR	-0.5616028291160687	-0.281784625851485	0.27981820326458373
ANLN	-0.5526807156378457	-0.5424712004623142	0.01020951517553148
WIZ	0.02606219912172858	-0.024215481679204176	-0.050277680800932756
RABGAP1	-0.3804692063220906	-0.2778417372393528	0.10262746908273779
DCN	-0.8245140068765257	-0.45071255893415973	0.3738014479423659
QPCTL	0.8320842245534131	0.7226258780573894	-0.1094583464960237
PPP5C	-0.15988691554474987	-0.04290047484638271	0.11698644069836717
CEP68	-0.09118312455591537	0.32074793791337897	0.41193106246929434
MAP4K3	-0.26301757554853455	-0.30941274011327635	-0.0463951645647418
ZBTB32	-0.07502848088446024	-2.1550331708849773	-2.0800046900005174
TYROBP	-1.116195724187902	-0.11285605913518981	1.0033396650527122
TMEM159	2.0088453747094404	2.315658660850887	0.3068132861414465
GABRA3	-0.8353773439738587	-0.8979446800184051	-0.06256733604454645
BRCA1	-0.12094102234405452	-2.4049345415094794	-2.283993519165425
ERCC1	-0.5381874877360109	0.3626125346776218	0.9008000224136327
CD22	0.19257506169004435	-0.07951463443172768	-0.27208969612177203
SEMA3B	0.026530123868251154	0.12401822491214942	0.09748810104389827
MBTPS2	-0.33082634523235854	0.07827443231535525	0.4091007775477138
PRICKLE3	-0.8142271411005304	0.15040719728649377	0.9646343383870242
LTF	1.9606612020777145	2.184837650778896	0.22417644870118153
EXTL3	-0.2976234309723307	-0.6708609577268997	-0.373237526754569
NR1H4	1.0657931254575133	-0.868413749084973	-1.9342068745424863
ELOVL5	-0.4106125404733556	-0.0823864644541874	0.3282260760191682
ALOX5	-0.5218520553597348	1.1616062850971502	1.683458340456885
CALCOCO1	-0.3249998764281703	0.4369237398187469	0.7619236162469172
UBR7	-0.35001190083676537	-0.44138252605990613	-0.09137062522314077
MAP4K5	0.03261935174186825	0.4197304619490051	0.38711111020713684
EHD3	0.008093735401810909	-0.002757038750079932	-0.01085077415189084
PSMC4	0.0005466698638776357	-0.26573801427984034	-0.266284684143718
MAN2B2	-0.2846903526230261	-0.2800560539300584	0.00463429869296772
SLC7A14	-0.7075276156752542	-0.32794038234018097	0.37958723333507327
CLDN11	-0.5448689244410617	-1.102414559375895	-0.5575456349348333
SLC25A39	0.23066328806161618	0.5744801471519442	0.343816859090328
MVP	0.13863638241628484	-0.34276323252021235	-0.4813996149364972
NUB1	-0.2878790036074599	-0.20946357223489254	0.07841543137256735
PGM3	-0.4165875087258408	0.33836620024759734	0.7549537089734382
RWDD2A	0.7506283894021128	0.9737744039206815	0.22314601451856864
CLK1	0.3603782700045086	0.13162150997416155	-0.22875676003034706
POLR3B	-0.37979374337968974	-0.9649093433297903	-0.5851155999501005
ANGEL1	-0.5236939607797303	-0.14373680105601183	0.37995715972371846
RNF14	-0.4935631152546248	0.04534819006025137	0.5389113053148762
DNASE1L1	0.012346837593655291	0.1329161563530179	0.12056931875936261
HEBP1	-0.23313465141709644	0.21090556001895555	0.444040211436052
GPRC5A	1.6332622956152558	0.2665245912305112	-1.3667377043847446
MAMLD1	0.0008920265225627055	-0.39494514710622286	-0.39583717362878557
CD6	0.05478921221614341	-0.342598575214884	-0.39738778743102743
TACC3	1.1846245182081618	1.2782702611342602	0.0936457429260984
UFL1	-0.5225405848909161	-0.2722049303220029	0.25033565456891327
POLA2	-0.3377003782182326	0.3383621233891454	0.676062501607378
ZC3H3	-0.08697717145073047	-0.22520749249695593	-0.13823032104622546
CAPN1	-0.07639190130254447	-0.3372511415641455	-0.260859240261601
ACPP	-1.870903858413644	-1.1290961415863563	0.7418077168272876
MDH1	-0.0269659510372654	-0.22462670795550388	-0.19766075691823848
SLC30A9	-0.2536887120437262	0.019218966244485824	0.27290767828821205
MTMR11	0.2754759584911597	0.7420530777943051	0.4665771193031454
COX15	-0.6304890715337511	0.001020869470145791	0.6315099410038969
CCDC88C	-0.6147426342357286	-0.3166638447959539	0.2980787894397747
YAF2	-0.42100842647188286	-0.21599819589897062	0.20501023057291223
ZMYND11	-0.369745107217325	-0.2757572806635662	0.09398782655375881
DPEP1	0.0	-3.0	-3.0
BID	0.7089288954018184	0.47894336962467865	-0.2299855257771397
MATR3	-0.12697685594137642	0.8373934707690008	0.9643703267103773
NPC1L1	0.5643722776133981	-1.6336161789188064	-2.1979884565322045
XYLT2	-0.024814215117367255	-0.4627245963666051	-0.43791038124923787
STMN4	0.05866842207048362	-0.0626953230046019	-0.12136374507508552
NUDCD3	-0.163260284034344	-0.36247532632085966	-0.19921504228651565
CHDH	0.3681270165944305	0.4533625175586695	0.08523550096423904
IL20RA	-0.6675769350198701	-1.0268048558962948	-0.35922792087642463
CLCA1	0.0	-3.0	-3.0
CLCA4	0.13157096735399976	1.3995824198188695	1.2680114524648698
GLT8D1	-0.048692809171125395	0.23968794238668667	0.28838075155781207
ATP2C1	-0.33972730863743317	0.10085522840405348	0.44058253704148664
IGF1	-0.10110219151103583	-2.2654336468798237	-2.164331455368788
SLC38A5	-0.2547894164907144	-0.21376338619561353	0.04102603029510088
RALBP1	-0.3096664104669493	0.016697998871165742	0.32636440933811506
RUFY3	-0.3126672605929922	-0.028847036647073332	0.2838202239459189
CNTN1	-0.37918510126521954	0.12277552952645387	0.5019606307916734
SLC11A1	-0.43190972403661004	-1.1283089831298758	-0.6963992590932657
WWTR1	-0.6299260712914123	-0.045275828915542604	0.5846502423758697
AGPS	-0.3776222391547659	-0.26749614267398925	0.11012609648077665
CXorf56	1.5634790247482282	0.7827217556815552	-0.780757269066673
ATP1A2	-0.6726534197948844	-0.846579125585555	-0.17392570579067068
TTC27	-0.13981776343673913	-0.14956422044420747	-0.009746457007468345
ZNF582	-0.03693048455088066	0.7253726207177321	0.7623031052686128
VSIG2	-0.38191105692348226	0.5178717714824755	0.8997828284059578
PHLDB1	0.12475755896373875	-0.2501164036764374	-0.37487396264017614
MARCO	0.7789956308359537	1.3394947838637312	0.5604991530277776
CYP24A1	1.1285718365365394	0.047085701230831	-1.0814861353057084
PRDM11	-0.2255625844106115	-0.3362475229067734	-0.1106849384961619
SYT13	-0.057864486661336034	0.35179610185574495	0.409660588517081
SNAI2	-0.8935729040049732	-0.3749553651174282	0.518617538887545
CD74	-0.6510462332032259	-0.3002960472747742	0.35075018592845164
HGF	-0.2977319794866343	-0.035970966364701984	0.26176101312193234
ZRANB1	-0.12174072376279987	0.22799021769531314	0.349730941458113
NCDN	-0.09127799768084632	0.006101946868706354	0.09737994454955268
GPR124	-0.27169021953059447	-0.6104156633421698	-0.3387254438115753
ZFP64	-0.1950850763604305	0.003946281098691995	0.19903135745912248
MNAT1	-0.2445438804343254	0.17218348106121306	0.41672736149553846
SAMD4A	-0.0019659398988656207	0.09255658236074882	0.09452252225961444
RUNX3	2.0324554390984404	2.5162277195492204	0.4837722804507799
MRE11A	-0.10425907559899938	0.3379979051057005	0.4422569807046999
PLEKHB1	-0.01301249953852901	-0.16611581649208473	-0.15310331695355572
SERPINB1	-0.8402671226164315	-0.9253886025242601	-0.08512147990782859
CYP3A43	-0.6987645968744705	1.1506177015627648	1.8493822984372352
SLC7A9	-0.07127500773701656	-1.3285032036330153	-1.257228195895999
SPAST	-0.18153893200140025	-0.23531557324374996	-0.05377664124234971
NRXN3	-0.09716001472863545	0.021403750904140595	0.11856376563277604
OSBPL5	0.2911231743686732	0.020123941578550353	-0.27099923279012283
AQR	-0.5498274638682452	-0.6393464540463831	-0.08951899017813791
CPS1	1.2168514319248795	1.9750409651204308	0.7581895331955512
C8B	-0.6666126566992766	-2.333387343300723	-1.6667746866014466
FHL1	-0.043049235669859964	-0.08110259780755724	-0.03805336213769728
RTFDC1	0.13049725271258494	0.3236710439163937	0.19317379120380873
GABRA1	-0.2492182863863469	-0.4004440126162899	-0.151225726229943
NLRP2	0.9890692652727744	-1.0218614694544514	-2.010930734727226
SLC45A4	-0.1920828587062131	-0.13977353609115117	0.05230932261506194
RNF10	-0.0001361334772140843	0.272979164937329	0.2731152984145431
ZNF839	0.16883015563232817	0.9909477388749148	0.8221175832425867
ZDHHC6	0.06756022693055008	-0.39287418897196624	-0.4604344159025163
GRAMD1B	-0.038484117116073024	0.06443717206952737	0.1029212891856004
RNH1	0.1816828862252552	0.06324149145576863	-0.11844139476948656
NDUFS1	-0.5256051246962179	-0.1646359241165426	0.3609692005796753
RB1CC1	-0.34056581120690976	-0.15611111740237027	0.1844546938045395
ERP44	-0.5386496653364282	0.1699067341060566	0.7085563994424848
ALAS1	0.4143832082443235	0.5922580863768754	0.17787487813255187
BIRC3	-2.40133243954196	-0.021119920910336015	2.380212518631624
GLRX2	-0.33544108424951835	-0.7247186835092216	-0.3892775992597033
SNAPC1	-0.37188897487492023	-0.3999084754573349	-0.028019500582414647
DERA	0.376978193626877	0.9050028698055397	0.5280246761786627
STRAP	0.18446353998962794	0.9292255243423141	0.7447619843526861
DEF6	-0.2797212769957669	-0.40370114321349093	-0.12397986621772406
PLEKHO1	0.3739278355864375	0.01624528773329259	-0.3576825478531449
GCLM	-0.4804595640417828	-0.4973056942611127	-0.016846130219329902
UBR2	-0.1987782592462659	0.035226554043652825	0.23400481328991873
EHD2	0.07510254332118865	-1.939371081815282	-2.0144736251364708
CCDC28A	-0.21046363730388618	0.2665614446960587	0.47702508199994487
