	log2_hum-chimp_difference	log2_hum-rhe_monkey_difference	log2_chimp-rhe_monkey_difference
CCDC109B			
POLR2J			
DHX33			-2.1741595036716426
MEOX1			-2.3603006562504536
THSD7A			
LIG3	-2.4586939243492223	-2.930258504362665	-4.342856817045016
RPAP3		-2.2522344607019	-1.408800669970673
ACSM3			
AC004381.6	-3.7237259474719706		
CIAPIN1	-1.9516642593942137	-3.580236127442673	
SPPL2B	-1.0678715988274092		
FAM214B		-2.79869242255649	-0.39643040152101644
COPZ2	-1.7163016184756728		
PRKAR2B		-2.5460133099630577	-1.3944896935729163
MSL3	-7.948015259455539	-1.4879051070188842	-1.144073086291096
CREBBP		-4.712914524891381	-1.4406848973186979
BZRAP1			-1.7872445713144516
MPO		-1.0167507057178307	1.0418193503221695
PON1	-0.4074791516166232	0.9463339601441626	0.34826664664060275
GCFC2	-1.656084179385268	-0.0013239155306037534	-0.35515887463414103
WDR54			
CROT	-1.5299843059689469	-0.27112329321466244	-0.7799352065164878
ABCB4			
KMT2E			-2.422160839376587
RHBDD2	-2.535321218263041	-4.426354961590433	
SOX8			
IBTK	-3.688135452064394	-1.839675956568048	-1.7283228788245955
MYCBP2			-3.425403536162173
FBXL3			-2.2332390942428177
ITGAL		-0.9486981856029725	0.2107669255699633
PDK2	-3.1044485243105955	-2.178524493354982	-2.2888998147309927
ITGA3	-0.8380860669778895	-0.6711184779110957	-2.5680289263856966
ZFX			-0.943000604452577
LAMP2			-2.528116558904518
ITGA2B			-0.576749421173517
ASB4	-2.497546009575573	0.7124098552305391	0.6428967005528363
GDE1			-4.102085427340379
C19orf60	-0.6076184507729738	-1.6977544394411337	
CRLF1			0.11682669631784898
OSBPL7	-2.464854571286978		
TMEM98		-1.302386596248074	0.7192186276091465
YBX2	-0.11480262958627922	0.7261823551851727	-0.2675186118379962
KRT33A		-3.321928094887362	1.632268215499513
MAP3K14			-7.577165436392345
ABCC8	-1.0567088796873336	-0.6766621125150879	-2.0298320267396956
CACNG3			
TMEM132A	-2.9894682470305933		
AP2B1			-1.7788495103857906
TAC1	0.16147848235674273		
ZNF263	-3.2495763762672025	-3.310138238677876	-3.3856744161441665
CX3CL1		-1.312594865845491	1.4840885660993501
SPATA20	-2.4339496124198314	-1.2590802398683014	-1.5874802564485342
CACNA1G			
TNFRSF12A	-1.2330988462026273	-1.3837270731391136	-4.112168709804787
DLX6			-2.1492335174479167
MAP3K9			-2.96324830045998
RALA			-1.2001978760365017
BAIAP2L1	-1.9763728679795318	-0.20847959833698818	-0.49142767384248204
KDM7A			
ETV1	-6.301641567240533	-1.4903380961298196	-1.1738005765241188
AGK		-2.6296095532927435	-1.8077233654099956
TTC22			
PHTF2		-2.8836387845030744	-0.8146662053793197
CCL26	-3.321928094887362		
FARP2	-2.3382664064601317	-0.8440333732469599	-1.1223778211399453
USH1C			-0.013843093971850278
GGCT	-0.4193099983917632	-0.9505676764013875	
DBF4		-2.452848521871359	-1.197340590494772
TBXA2R	-1.5196025358848844	-2.5178568417637703	
IFRD1	-2.021620254647202	-0.7563559801161888	-1.1658283059552277
COX10			-5.500701469569115
GTF2IRD1			-3.009948314236063
PAF1	-1.1312148588390183	-1.1975226840983577	-3.6530424300662925
VPS41			-0.6236225262835524
ARHGAP44	-2.797377843399169		
ELAC2	-0.3886704994162132	-0.466408650716395	-4.060557003797443
SCIN			
PNPLA4	-0.191621804126312	0.5232250865759307	-0.5960919762818012
MYH13			1.0810525619494917
ADIPOR2			-0.5414054305354088
CDKL3	-0.6236323926648746	0.26126160696098305	-0.6226172441264813
UPP2	1.044718710321472	1.36819956449051	-0.6931126220866486
PRSS21	-3.064775093391585		
MARK4			-4.2856927106378215
PROM1			
CCDC124	-1.994581775736248	-5.5630775639045735	
PAFAH1B1			-1.0858278090434483
NOS2	1.119287123334882	1.3661434650347766	-0.9844751006191159
DNAH9			
KIAA0100	-5.708156380282887		-8.034481623868489
SLC13A2	-3.321928094887362		
GAS7		-5.117610510279935	-1.6625369605808555
TRAPPC6A	1.4104686184418629	1.1482637575631425	
MATK	-0.9745858325268381	-2.642032134968102	
CD79B	0.1825941561398929	0.06357684433512814	-6.625116795739259
SCN4A	-1.7347321073687447		
ST7L			-7.039762225651988
TKTL1			-9.747659924220493
PAX6	-2.8700876220063165	-1.6006495831697085	-1.7712732676259435
RPUSD1			
RHBDF1	-5.224011496208926		
LUC7L	-1.1708483363473958	-1.2629575252909016	-3.7853025418679715
CACNA2D2			
BAIAP3	-0.8583417599705249		
TSR3	-0.18445949684274646	-0.4576714627477574	
PIGQ	-0.7993447878380604	-0.14849708602988476	-1.2257346037423114
CRAMP1L		-1.6936214994495626	0.1363504984081913
TEAD3		-0.8138492399966601	-0.02495365246589291
SELE	-0.691180845270873	0.5612173863403013	-0.06466538263704111
DNAJC11	-4.728146248966226	-1.8187690279133786	-1.5322706660536665
FMO3	-0.09296979015509031		
MYLIP	-2.792764216833845		
NOX1			
PSMB1	-3.0052590653055025	-4.4048848487805765	-5.463652954716973
SYN1	-0.7852979011990049	-1.3254905906139347	
JARID2	-4.24215520359976	-2.731394237604047	-2.3383393900866625
CDKL5			-1.6113714111495507
CAMK1G		-1.3370446279677701	-0.6987684071480089
CDK11A	-1.8881023058382087		
NADK	-4.522662240372525		
TFAP2B			-3.020271306173368
DLEC1			0.9652674281158844
CYTH3			-1.865891867264336
ADAM22		-1.9884013175419195	-0.6731005982722014
SYPL1			-1.9051879260927174
CYB561			
SPAG9			-1.887331164236236
CELSR3		-1.9661637671821521	-1.464731803693408
AASS			-0.6815860171726938
PLEKHG6	-3.321928094887362		
SS18L2	-0.8148712306921314		
MPND	-4.728209041796374		
MGST1	0.5969019830349924	-0.19265266294513042	
CRY1			-3.2997854790349095
NFIX	-1.8677103648868363	-5.8625032799702295	
ST3GAL1	-0.6561562166643173		
MMP25	-1.8815089027255478	0.670240295763296	0.505828228820967
PKD1	-1.074461559486185	0.12142889593254	-0.4880999018775422
MAPK8IP2	-3.507880087304712		
MED24			
RHOBTB2	-3.185428539656046	-2.4800045146030163	-2.562172572031637
HEATR5B	-3.3938922714211555		
SEC62	-5.445591287771688	-4.065834947917867	-2.8702220488079853
RPS20	-1.1188796467771724	0.47033775549730467	0.03559930765937398
CSDE1			-1.7829615533641467
UBE3C		-4.760256119097238	-1.6489920618732905
REV3L	-7.870604831667258	-0.7109810220059936	-0.5009694322246708
TENM1		-1.7818773590024775	-1.078865856182206
MASP2		-3.189180363752503	-1.0589796133371667
FAM76A		-2.1715547785911844	-1.3991198452446105
TRAF3IP3			-2.4835035342885505
POMT2	-3.6126467543595595	-4.411043194301785	-3.937756983224159
VTA1		-3.802993293083856	-1.9375655969341528
MLXIPL	-0.6628010397673809	0.8764164903316398	0.38311969428897663
BAZ1B			-1.6280083056857972
RANBP9	-6.125941800412523	-2.7381176831852896	-2.085824788624485
SPRTN			-3.2230860754359596
METTL13	-1.417201225232143	-1.4073894342451492	-3.285526917994038
DYRK4	-1.8375129155563972	0.7220481474714394	0.5555397781832746
ZNF207	-5.940227641506429	-2.959464629974356	-2.2359870299870446
UQCRC1	-4.029208331314687		
STARD3NL			
CD9			-1.6448007472691129
NCAPD2		-8.412845418354054	0.2718196580406766
IFFO1	-3.688293700240151		
PHF7	-2.5664913411389567		
SEMA3G		-0.15032414925933021	0.6742020037725241
NISCH		-1.1452281611394985	-0.6908594584324427
STAB1			
FUZ		-2.1787496912331874	-1.1419281170012936
SLC6A13	-3.9490675524055376		
IDS			
CD4			
LRRC23		-0.15699659125205162	0.9210090987079357
BTK			-6.873155127500879
HFE	-5.057043782869569		
SCMH1		-0.8094668096860652	-0.26052779751509597
FYN	-2.3857416697910394	-1.9646941678223624	-2.6007991166237336
HIVEP2		-4.329944121784625	-2.3782615909176936
FMO1	-1.6515553016470252		
TCEB3			-1.5526076763757584
LYPLA2			
CLCN6			-4.362554074141988
MRC2			
NME2	0.010864167289758324	-1.8950530530473144	
SLC6A7	1.296543336919171	1.021583920558103	
TSPAN9	-1.2475011191099579		
BTBD7			-1.4176902435727061
APBA3	-5.287380134486413	-2.3945890784456134	-1.918275297874807
MKS1			
ABHD5		-4.5253702170240695	-0.9318629528624808
AKAP8L		-3.613964887823255	-2.1889402591163774
MBTD1			-3.3055724605805374
UTP18	0.38855410739549634	-1.191140527607513	
RNF216			-1.4036874062659446
PTBP1		-1.2053941554817922	-0.8752353953262445
DPF1	-1.874397989404014	-2.092392258527273	-4.017398019606765
SYT7			
LARS2		-1.77255024107589	-1.2898832775511233
PIK3C2A		-2.027899953110827	-0.6346539686862627
PLAUR			-1.3966190447706235
ANLN			-3.181679307421677
WIZ	-2.9877923593895965	-3.7219530329753305	-4.329962600163077
RABGAP1			-2.3030983293211356
DCN			-1.0776454874107824
QPCTL	-0.10146776999124602	-0.2816916382231118	
PPP5C		-4.130377441758761	-2.204323202210306
CEP68	-6.825516805746816	-1.248971893966558	-0.9659785474156566
MAP4K3			-4.221493044617429
ZBTB32	-5.323572601035953		
TYROBP			0.1418769955082591
TMEM159	1.0764533173611228	1.2724166123251646	-1.2975612978518019
GABRA3			-4.73955846618119
BRCA1			
ERCC1		-1.1121237379658984	0.0011537269265588673
CD22	-1.7731212916085277	-5.609262551346175	
SEMA3B	-2.9824471970699507	-2.158311987957957	-2.3401623635323308
MBTPS2		-2.4878282848958193	-0.9739768258612062
PRICKLE3		-1.9976520656028212	0.09035800436658928
LTF	1.0431073276520253	1.1920916581773267	-1.6251488114847228
EXTL3			
NR1H4	0.22131179938220483		
ELOVL5		-5.82717166093235	-1.223555446295829
ALOX5		0.3352617525079473	0.8346775164953842
CALCOCO1		-0.897210900527917	-0.2143680716803346
UBR7			-6.856528248896364
MAP4K5	-2.9146367868200516	-0.9441644755297258	-1.037677205821207
EHD3	-3.209645181126848	-3.362262362681988	-3.4876339199103557
PSMC4	-3.314062794949015		
MAN2B2			-3.256572256273079
SLC7A14			-1.0601348403248132
CLDN11			
SLC25A39	-1.596565215888465	-0.5681521158012269	-1.17196362324239
MVP	-2.06711408232304		
NUB1			-2.486687693744155
PGM3		-1.1897915297436337	-0.22608178675129925
RWDD2A	-0.2333990897165755	0.10269092020216396	-1.6297418964627648
CLK1	-1.1191083554584471	-2.1101588567067178	
POLR3B			
ANGEL1			-1.0590224561627182
RNF14		-2.7824149883761113	-0.6463124270386185
DNASE1L1	-3.1539685796455776	-2.1021173785590674	-2.180695969198849
HEBP1		-1.6854516778222506	-0.8782148061040526
GPRC5A	0.793489994918874	-1.4480180985579327	
MAMLD1	-3.3091159318494063		
CD6	-2.6916231661995824		
TACC3	0.3613467369454839	0.4628588097896758	-2.3685083091261356
UFL1			-1.513190272456367
POLA2		-1.1898049470436398	-0.36575524772253515
ZC3H3	-6.262813354880571		
CAPN1	-5.404574332460788		
ACPP			-0.24843736000355798
MDH1	-3.7752869748596147		
SLC30A9		-3.068314326115539	-1.4231095919182557
MTMR11	-1.4132075591211097	-0.24801692019763139	-0.8196557539098117
COX15		-3.3072747309112773	-0.4510506245911704
CCDC88C			-1.3288740915446768
YAF2			-1.71307046090275
ZMYND11			-2.365961974029439
DPEP1	-3.321928094887362		
BID	-0.3059151991042022	-0.7885058595525442	
MATR3		-0.09327334884574914	0.09000019553241237
NPC1L1	-0.5899362199376135		
XYLT2	-3.733396267471615		
STMN4	-2.655913060951104	-4.744499673099198	
NUDCD3			
CHDH	-1.0950280664705416	-0.8537031697028079	-2.432567472764454
IL20RA			
CLCA1	-3.321928094887362		
CLCA4	-2.1104737045996322	0.5845608175692604	0.45208030796146714
GLT8D1	-4.284695152516657	-1.5577180858773851	-1.3644563934099168
ATP2C1		-2.3157720786400335	-0.887413187029869
IGF1			
SLC38A5			-2.8259666179963285
RALBP1		-3.0991482728600825	-1.229841080370036
RUFY3		-3.812932346929584	-1.3814973640268526
CNTN1		-2.166337324371405	-0.7322589594288123
SLC11A1			
WWTR1		-4.191677992929483	-0.5465609279166991
AGPS			-2.25067274712966
CXorf56	0.7342036750079775	-0.1799693398654428	
ATP1A2			
TTC27			-3.469872622235566
ZNF582	-3.9869133404698696	-0.2768825128664886	-0.2137330195358799
VSIG2		-0.6946206319053058	-0.00031334640794778964
PHLDB1	-2.153558458141558		
MARCO	-0.18607210060738413	0.5255625611781368	-0.5983713834128498
CYP24A1	0.2969822168250399	-2.7652710914356073	
PRDM11			
SYT13	-4.568819488070129	-1.1462562718271196	-0.9723912993237205
SNAI2			-0.6928803579564916
CD74			-1.1496000081371225
HGF		-3.9651299536686846	-1.4668911573714258
ZRANB1		-1.6082753077663092	-1.1528659501453673
NCDN	-6.841124910634328	-3.236476966324987	-2.3409526875085342
GPR124			
ZFP64		-3.266089951279343	-1.7416313165552328
MNAT1		-1.8773485832042907	-0.9525248162169163
SAMD4A	-3.350573116037578	-2.376645653773257	-2.3619908914952243
RUNX3	1.092515594550183	1.3874881201808522	-0.7765223866262042
MRE11A		-1.1910041252911527	-0.8829513744435193
PLEKHB1	-3.523048079822568		
SERPINB1			-6.070625155389569
CYP3A43		0.32264084278074806	0.9630170490227012
SLC7A9	-5.121549685490174		
SPAST			-4.435234094682517
NRXN3	-8.459900836968886	-3.042115098934576	-2.193873849755195
OSBPL5	-1.3543050754202923	-3.0574043755312394	
AQR			-6.576078465761239
CPS1	0.39709258893864946	1.0531398181909928	-0.22063178934867167
C8B			
FHL1	-4.134140985454981	-5.725668267586284	-4.012830207183039
RTFDC1	-2.117178539554007	-1.2389835647830416	-1.7701719579584303
GABRA1			
NLRP2	0.12309571299670888		
SLC45A4			-2.714923845255904
RNF10	-3.3238934238511724	-1.4228330528281157	-1.4223065803657067
ZNF839	-1.8952331154721513	0.12558199197143674	-0.11697736815362836
ZDHHC6	-2.5772483516949154		
GRAMD1B	-4.022897239493573	-2.6043916286023223	-2.301007863645489
RNH1	-1.8278561801200814	-2.614920297936298	
NDUFS1			-1.117257733940677
RB1CC1			-1.8137292076579532
ERP44		-1.889467122750197	-0.3065796850002964
ALAS1	-0.9590845474354409	-0.5306180938463602	-1.8474926843570103
BIRC3		-3.664195191529884	1.3104637441766558
GLRX2			
SNAPC1			-3.796250077720834
DERA	-1.0680047839301445	0.007199621054262548	-0.6711068486666723
STRAP	-1.8136843423447997	0.041559140833269254	-0.24338318232628675
DEF6			
PLEKHO1	-1.077260696455007	-3.1047558604009025	
GCLM			-3.588072785150065
UBR2		-2.8865496176348984	-1.582059201590847
EHD2	-2.513728056174608		
CCDC28A		-1.4478730451551283	-0.7932940639014066
RRAGD		-1.7160904717094108	-0.5311228910261548
HSF2	-2.006454468389196	-2.492446308317733	-5.116752342005337
PHF20	-2.7756319810648473	-2.690925238060733	-3.1998393187266965
HSD17B6	-0.17824837629238846		
NR1H3	-0.32363505504013074	0.666813298827992	-0.17054271195742124
TYMP	0.050401361519769323	0.8177041977359061	-0.2739606818024865
NCAPH2			
TOMM34			-3.2027962831384
SEC63			-1.9141831207752174
KPNA6			-5.060765761223012
VIM	-1.9229767652064527		
RTEL1-TNFRSF6B		-0.9859443800921831	0.22382083505925035
FAS		-2.141970677433853	0.7721752483415684
RNASET2	-4.337168205404801	-4.135123271418642	-3.2184317503430577
CD44			-0.7011538704455015
AGPAT4	-2.921332876292193		
SLAMF7	1.0435860737710687	0.03236926106119835	
MIPEP	-4.63815228174127		
PRKCH		-2.3155337334769754	-0.5958410297050121
INSRR		0.4303838855423538	0.7539692523237519
IFNGR1			-0.9252132559664955
B4GALT7			
SH2D2A		-0.02845363321611964	0.16437699869975905
VRK2			0.016122994279934633
TNFRSF1B			-1.5574479253551743
VEZT		-0.9378636651554044	-0.5559555291173393
POU2F2			-3.0777802243362773
BRD9			
SNX1			-2.9597173882946892
TBPL1	-3.0731578891608198	0.12852117058535167	0.10346835352253361
ARNTL2		-3.9111454105242087	-1.3857194597024014
BCLAF1			-1.1855668202333975
SLC39A9			-4.471434711219159
ANK1	-6.100149090266847		
IBSP	1.632268215499513	1.632268215499513	-3.321928094887362
TFB1M	-3.1830587926397587		
RABEP1			-3.747113898587636
HMGB3		-0.7138281659176082	0.3639137272456383
NUP160		-2.846524261205763	-0.778291569879651
MUSK	-3.126715640599122		
IKZF2		-3.6857978403956806	-0.37671519113173263
GRN	-4.131166037567191		
FAM13B		-3.5832982842709105	-1.056012432316921
ARHGAP31			-0.8801110822279953
SARS	-4.3747202888315915		
RANBP3	-3.3115270491140283	-5.1537153343353745	-5.1913614656011315
ARID4A			-3.720612736076918
TSSC1			-2.89636706382144
PNPLA6			-1.5804324202292503
IFT88			-1.9536020338482378
ALG1	-2.7545362794691006	-2.7689231222018384	-3.3432986812793786
ZCCHC8	-2.834749100702657	-2.7861358391590527	-3.254238839167102
ABCF2	-1.6994351922914535	-2.1532965185491615	-5.8875376756717195
CHPF2	-4.1666140303315045		
LRRC7		-0.6978551788922914	-0.43731533395330907
FUT8		-3.0891387147302747	-1.2022922161299947
UBA6	-1.8905123632433214	-0.8886887920030772	-1.432869240052192
GAB2		-5.142767488605668	-0.7002947448415066
ATP6V0A1	-2.9257776035564556	-6.005583309304786	
PIAS1		-4.1257326849863505	-1.0015076131412697
SLC4A7		-1.86037699251586	0.05802434684672557
APBA2	-1.5315765205487073		
MAP2K3	-2.15180847620598		
EFCAB1		-1.1191636422282847	1.258978301000886
TMSB10	-2.6797903881376004		
ASTE1	-2.1704079627672974	-0.8560953227593667	-1.2165923062257964
RNF19A			-1.8065734111423981
PEX3			
GABARAPL2	-6.314625178715711	-4.059708653963182	-2.7621653323647117
MYOC			
SH3YL1	-1.196583654467241	0.7135548131740409	0.38242652474245326
FAM136A	-0.732597490099294	0.41557016900299154	-0.26533360895929237
VCL	-1.6392705113567836	-3.5587324980411874	
DEPDC1B	-1.0934501903514802	0.7189811094376763	0.35318759822824203
DAPK2			-0.19996208551212905
NSMAF	-1.480090099588545		
ADSS	-1.090512798461086	-0.41694310333496554	-1.3981491890127624
STAP1		-3.321928094887362	1.632268215499513
TIMP2			-1.8499133771492768
RFC1			
TBC1D23			-3.7579518057892964
CUL3			-3.1383967142851628
MYOM2			
OTC	1.632268215499513	1.632268215499513	-3.321928094887362
CYP46A1			-3.566861102583472
ZZZ3			-3.667187773300418
SLC18A1	-3.321928094887362		
USP2	-2.333103512991134	-3.0392586367041026	-5.4305014900025075
CASR	-3.321928094887362		
TUBG2	-0.8786311955961947	-0.5895091100327644	-2.1799344196629225
RPL26L1			
FLT4		-2.7284346068882277	-0.4996297235333299
NSUN2		-4.298668429545313	-1.661930701392314
FBXO42	-0.736179849827383	-0.735155585272906	-3.3157900521480186
MFAP3			-1.5951539797426768
MRI1	-0.7126651741081764	-0.8836794632663493	-4.975213594995665
METTL1	-1.8378826617839064		
AGA			-1.290799370069035
PI4K2B	-2.519963896585379	-0.7727349903406195	-0.9687191368811964
BOD1L1		-6.533247123408469	-1.8230227962477914
MAT2B	-6.085252026560272	-2.6470475916261518	-2.029629180598931
TLL1	-2.1809396871706435	-2.2279071797004644	-3.427617058954506
EDC4	-2.2278353889187503	-3.9341448128404535	
TRIO			-1.2765807213237765
VCAN	-2.3476240085826996		
CLEC16A		-5.080932412191035	-1.0526313155217766
MSR1	-0.05312313518505957	0.16488995876690685	-1.958852216128279
CDH1	-0.5492062902873958		
SKIV2L2	-7.779621209832993	-4.752359688580049	-2.915379964213038
DNAH5	0.22057796386301806	-0.1269333904769838	
ZFYVE16	-6.628297025976945	-4.6805852560764425	-2.955831681596317
FAM65A		-5.0320912128605375	-0.607623828755126
C6		-2.3515618886594813	0.1625513244869065
RAI14	-3.3463341762271575	0.28540583969183075	0.2873901762170541
SOX30	-0.8469336319104152	0.8702523198028427	0.4562988020682134
PNKP			-3.0712206049235546
BEST2		-0.2153872752725445	1.225697606986983
PHLPP2		-2.512106135893341	-1.5874612978417604
SPDL1			
STAU2			
PQLC2		-0.7473527338520024	0.4124677187222497
CTNS			
RTN4R	-4.6186999616972875		
PHF23	-4.061545153231233		-5.178447003744996
CDH10	0.04274877618825694	0.46763959077261713	-1.1431479332790144
INPP4A			
RAB27B			
PSMA4	-2.034013729895399	-3.3225544918285164	
MYO16			
LSG1	-4.270911968952062		
PARP3		-1.3151439411923087	-0.6427813882783079
TNC			
THAP3	-5.17161162754705		
FAM65C		-0.7199380898782621	-0.48040772316960123
TDP1			-2.9533022676336733
AIFM2		-1.133322377310035	0.8170751687660022
SPATA7	-1.2984371282254181	-0.5964333673885562	-1.494838223302136
MED17		-4.128478854935572	-1.7516279462239686
RETSAT	-3.3794737951883964		
CAPG		-1.5024199382425747	0.6196965233447462
AP2S1	-2.1963111380667337		
USH2A			0.43025066938432044
ZPBP	-0.5274946355521195		
TG			-1.6089789837830593
ADAM28		-1.9423914122879986	0.5716843141370793
BARX2		-1.4308578088866082	0.4913513716950259
DCUN1D1			
JADE2			
ZIC2	-3.628555852243608	-1.753732642977911	-1.6634623686187209
LCP2			-1.2849101843180417
TRIT1	-2.7134680460596505	-0.2966011526475773	-0.3926954526524206
CUL7	-1.6474522814366808		
CTNNA1		-3.1396930615324816	-1.4938165129967211
PHKA2			-3.132623657075842
CNTLN	-5.1242106561284855	-1.1234519318032847	-0.9150589062531406
EPHA3			-2.9284128072052247
HSPA5			
DSG2			
GEMIN8		-5.070933962430333	-0.9768510692610506
OFD1	-2.935977772545642	-0.7685617501878359	-0.8459862799848327
GPM6B			-1.6601268008046104
PREX2			-2.1395798404422344
WDR37			-1.932650255777355
YTHDC2		-1.566479610764641	-0.33059250796017453
CTPS2		-4.695876166597813	-0.6446064431890548
ATP6V1H			
POLR2B		-2.6293286818600152	-1.8856213822236156
FAM214A		-1.477268283278876	-0.36474547016807285
ARAP2			-0.44386508776613326
TPR		-4.381842542381993	-1.8313826297113014
CP		-5.314285825433573	1.0213627051316234
KIAA0556	-3.2161971516861874	-3.075713744379548	-3.1713017668135155
DTNBP1	-2.11441832093569		
XK			
ANO2	0.683368701082279	0.6721161833720247	-3.514187794679499
C12orf4			-1.3862713180880273
SCML1		-1.2725930847212725	-0.3088119376206803
ARHGAP6			
FAM184B	-1.569595435401014		
MAP4	-2.948224347441852	-2.1789275145505775	-2.3862996034825836
GOPC		-4.160417327738483	-0.9697099533878905
ROS1			-1.2336921260059421
USP28	-3.271245387309093	-1.669152771001986	-1.6856517349766071
HDAC9		-1.54250783003254	-0.5898010380763822
TSPAN17	-3.6272996726848583	-2.439706588400536	-2.297624313739905
NOP16			
CC2D2A			
RRM2B			-1.8992686835543768
ZNF800		-2.2450311549607123	-0.9133443899400091
TNFRSF17	-2.2260616586405577		
SNX29			
LMO3			-0.6718066660248059
MRPS10		0.5724934003131023	0.7764481034476023
GUCA1A	1.632268215499513	1.632268215499513	-3.321928094887362
RSF1			-3.377807342727549
VPS13D		-5.20240734901938	-2.413067836430878
CELF2			
FAM120A			-3.1126882953071497
R3HDM1	-1.7264305553502233	-1.4823956868127162	-2.6832027499449467
COL9A2	-2.192663053731653		
KITLG			
ERCC8			
ADAMTS6		-2.5603783603197696	1.3590729745159216
H6PD			
VAMP3			-2.6810428530242207
PER3		-1.7802658925556718	-0.8478585186907748
UTS2	-3.321928094887362		
TNFRSF9			-0.9922351378418149
EPN3			
LTBP1			
RCN1	-2.6838545975490393		
ELN	1.632268215499513	1.632268215499513	-3.321928094887362
RFC2		-6.924514366554006	-1.1736986080153868
ARID1B	-4.118676460440541		
CLPTM1L	-2.7416791558080758		
NEDD4L			-0.958892012810432
FOXP3	-1.0178216901654469		
PPP1R3F		-1.4075739630744115	0.7088657048319021
HEXB	-2.066045420423103		
PTCD2			
KIAA2022		-2.7808966174204994	-0.9566907796000307
JKAMP	-4.437485569231546	-2.1607811509026806	-1.8495241922909655
DKK3	-0.28327881926154547		
ARHGEF5			
NFE2L3	-3.2788089939099696		
MCUR1	-0.47785592971357493	-0.7169240726697677	
LIMA1		-1.6247414502671458	-0.16963609156667978
LETMD1	-0.6271347649985458	-2.8215345456241425	
SLC4A8	-5.730949822558322		-9.588773019174255
LAMC3	-7.148773678245518		
TNIP3	0.0158224656911071	-1.9213308891701097	
MAPK9	-5.105037317201612	-1.8795108368787623	-1.5448968846154683
COL23A1	-3.008647186165709		
BCAR1	-1.7783976211322339	-1.8847578215502014	-3.656858746852773
FAM160A2			-3.4192942087089073
HERPUD1		-2.31174244041581	-0.8961931527414617
HOMER3			
RAD51	-0.5753901400073664		
POLQ	-0.44083750710595043	-0.12717619663981294	-1.8421023642541576
PIK3CB	-8.6227769497866		-4.54437270841014
CYBA			
THOC3			-0.269110039136885
HEBP2	0.24202773590711088	0.5347569716796194	-1.4499096077879698
MPHOSPH9	-3.4067219619641853		
PLEKHA5		-1.9669754169356861	-1.300694956710038
PRSS8	-0.7215935666093042		
SIKE1			-2.7619313323993193
RRP12		-4.922724472086753	-0.589157077303546
FNIP2			-2.2912750747502826
MSMO1	-0.4598072840662205		
TTC17		-1.764302793396048	-1.1373019155902775
