	Human_Kidney_Average_RPKM	Chimp_Kidney_Average_RPKM	Rhesus_Monkey_Kidney_Average_RPKM	Mouse_Kidney_Average_RPKM
SLC7A2	14.171041666666666	16.525731666666665	8.957426666666665	5.409691666666667
ARF5	545.6621666666666	502.61733333333336	367.51066666666674	294.0408333333334
SARM1	21.389816666666665	14.952093333333332	3.4132199999999995	0.8078965000000001
PLXND1	97.47063333333334	77.90586666666667	42.4796	49.672716666666666
AK2	239.053	677.8728333333333	693.7411666666667	667.6313333333334
CD38	1.4250283333333333	18.122063333333337	13.700731666666668	20.936218333333333
FKBP4	285.5796666666667	405.23350000000005	366.69900000000007	732.1313333333334
KDM1A	106.7162	115.63691666666666	76.23598333333332	67.36385
RBM6	390.5220000000001	368.2128333333333	68.56806666666667	130.58866666666668
CAMKK1	13.64425	9.514198333333335	6.747048333333333	3.6831333333333336
RECQL	52.26338333333333	75.99351666666666	35.850166666666674	24.369333333333334
CCDC132	29.951533333333334	33.160999999999994	38.58775	55.55383333333333
HSPB6	48.856321666666666	109.03741666666666	65.69826666666667	39.167683333333336
ARHGAP33	27.586333333333332	19.40583333333333	46.80631666666667	5.78764
NDUFAB1	407.36100000000005	495.7368333333334	1132.8848333333333	120.89049999999999
PDK4	112.52005666666668	512.8443000000001	38.905483333333336	551.7238333333333
SLC22A16	0.3839983333333334	2.1599741666666668	0.46380116666666665	0.0
ZMYND10	5.9589	1.2366083333333335	3.4132650000000004	35.40051666666667
ABCB5	1.91015	0.0	0.0	0.0
ARX	105.1458	0.0	0.0	0.0
SLC25A13	52.12068333333334	120.38361666666668	108.4923	312.1465
ST7	87.61491666666666	88.88191666666667	85.33693333333332	40.672999999999995
CDC27	47.358000000000004	54.06333333333333	51.04441666666667	56.6259
SLC4A1	303.38350499999996	191.29098333333334	431.9395	118.5468
CALCR	3.3350924999999996	8.303875	18.574366666666666	3.876184
HCCS	155.71149999999997	87.62968333333333	96.23415	82.37306666666667
DVL2	75.76088333333334	51.04983333333333	56.72126666666666	28.68461666666667
PRSS22	39.62616666666667	50.52301666666667	51.11243333333332	0.0
UPF1	109.41180000000001	136.18066666666667	203.39866666666668	127.12516666666669
SKAP2	54.361664999999995	81.69275	78.0824	116.80173333333333
SLC25A5	3974.703833333333	2893.9149999999995	4022.133333333333	8600.085
CCDC109B	33.27856499999999	39.13118333333333	13.621250000000002	3.0364283333333333
HOXA11	5.437515	14.480328333333338	19.822566666666663	15.498925
POLR2J	348.5683333333333	525.199	950.8998333333333	753.68
DHX33	28.232583333333334	30.058049999999998	21.21806666666667	51.8665
MEOX1	2.07067	0.24864333333333333	0.0	10.188878333333333
THSD7A	21.844476666666665	14.364108333333332	11.38735	8.075661666666667
LIG3	31.3148	30.7727	22.593	54.35445000000001
RPAP3	42.17818333333333	47.41864999999999	41.85661666666666	49.177600000000005
ACSM3	149.26136666666665	188.32456666666667	184.20533333333333	2020.54403
AC004381.6	4.480754999999999	5.697708333333334	5.652104999999999	8.760466666666666
CIAPIN1	110.69801666666667	114.5731	131.384	134.31553333333332
SPPL2B	151.0521666666667	93.58191666666666	159.90149999999997	80.62098333333334
FAM214B	64.28036666666667	68.84988333333334	50.66528333333333	74.8465
COPZ2	37.75910666666667	32.507733333333334	58.877250000000004	11.544168333333333
PRKAR2B	13.949466666666666	26.332761666666666	8.223608333333333	13.495015
MSL3	51.25923333333333	67.72708333333333	53.65248333333333	148.77833333333334
CREBBP	89.06746666666668	84.48608333333333	83.43116666666667	70.91265
BZRAP1	24.977078333333335	23.52236666666667	21.683866666666663	3.9357783333333334
MPO	0.27893816666666665	1.6447578333333333	0.0	0.0
PON1	0.9783666666666667	0.0	0.24779216666666667	0.4815783333333334
GCFC2	38.92485	28.44633333333334	13.600366666666668	12.11135
WDR54	61.317296666666664	50.07423333333333	116.11568333333334	5.134326666666667
CROT	30.6343	42.1177	106.99899999999998	1106.3213333333335
ABCB4	7.031203666666667	1.3033318333333332	4.142893333333333	1.5643084999999999
KMT2E	118.12653333333333	115.01506666666667	121.34266666666667	168.75266666666667
RHBDD2	290.9945	219.8256666666667	96.49336666666666	192.14316666666664
SOX8	13.278398333333334	4.998476666666666	7.089176666666667	4.3522766666666675
IBTK	47.44745	75.38626666666667	70.58615	82.11406666666666
MYCBP2	26.326116666666664	29.88795	37.74295	57.36213333333333
FBXL3	131.45513333333332	153.75833333333335	144.93266666666668	351.20216666666664
ITGAL	8.388015000000001	18.149166666666666	3.428376666666667	56.83187266666667
PDK2	222.38743333333332	191.83050000000003	244.55766666666668	944.3278333333333
ITGA3	192.16912499999998	140.73033333333333	156.7695	70.63665
ZFX	54.65748333333334	75.42793333333333	71.80208333333333	59.90078333333333
LAMP2	378.96199999999993	304.9628333333333	342.6223333333333	2334.3416666666667
ITGA2B	6.547483333333332	1.2851833333333333	0.5913253333333334	5.988336666666666
ASB4	0.3311753333333333	0.5006506666666667	0.0	0.619662
GDE1	146.96689999999998	169.01916666666668	202.30083333333334	657.9925000000001
C19orf60	264.4111666666666	233.1983333333333	198.3165	195.48833333333334
CRLF1	26.308004999999998	19.56809	0.5813873333333334	3.3382833333333335
OSBPL7	22.06831666666667	16.959446666666665	13.9078	18.209878333333332
TMEM98	288.95211666666665	241.30083333333332	176.9536666666667	56.198800000000006
YBX2	83.61024666666667	5.677699999999999	49.87916666666667	74.76413333333333
KRT33A	0.36645833333333333	0.0	0.0	0.0
MAP3K14	25.50761833333333	35.09953333333333	21.8639	16.447016666666666
ABCC8	3.908798333333333	1.3955323333333334	3.038863333333334	0.23794016666666665
CACNG3	0.0	0.9638	0.0	0.0
TMEM132A	129.92996666666667	40.22396666666667	19.35305	30.87
AP2B1	217.72933333333333	291.96583333333336	208.24099999999999	189.7686666666667
TAC1	0.0	13.903030000000001	1.34407	0.5742916666666666
ZNF263	40.67335	27.82456666666667	43.34036666666666	37.15611666666666
CX3CL1	8306.006666666666	4307.554999999999	0.0	4387.9783333333335
SPATA20	221.0783333333333	172.66200000000003	88.54816666666666	1.1877038333333334
CACNA1G	2.7425013333333332	0.1999713333333333	0.3479545	9.7629
TNFRSF12A	299.63450000000006	522.8224999999999	91.07703333333332	272.0498333333333
DLX6	0.24696666666666667	0.0	0.0	0.0
MAP3K9	7.7677249999999995	10.025403333333333	16.321716666666667	28.239716666666666
RALA	224.02616666666668	158.22	99.79426666666666	225.6336666666667
BAIAP2L1	66.21398333333333	50.569033333333344	37.48321666666667	76.59681666666667
KDM7A	20.142	18.86691666666667	16.45893333333333	36.384683333333335
ETV1	5.29732	10.184661666666665	16.051716666666668	40.78795
AGK	40.8303	71.34745000000001	41.89183333333333	37.28811666666667
TTC22	15.281095833333334	52.21486666666666	69.88483333333333	13.346906666666667
PHTF2	21.89323333333333	13.541416666666668	18.06795	21.829300000000003
CCL26	2.4406166666666667	0.0	9.583018333333333	0.0
FARP2	22.02997166666667	28.263900000000003	23.403999999999996	53.715083333333325
USH1C	74.65593566666666	88.1417	113.30316666666668	120.14335
GGCT	114.17323333333333	131.93718333333337	109.16230000000002	166.36216666666664
DBF4	12.064378333333332	6.543588333333333	2.5834783333333333	6.968693333333334
TBXA2R	16.464935	18.76125	13.289188333333334	72.07855
IFRD1	100.15256666666666	102.38353333333333	22.4293	72.75605
COX10	27.317783333333335	48.93283333333334	50.87470000000001	65.90671666666667
GTF2IRD1	50.048849999999995	41.87708333333333	37.48241666666667	47.51243333333334
PAF1	180.98833333333332	158.36283333333333	106.90875000000001	165.30066666666667
VPS41	38.91356666666667	68.49096666666667	36.46756666666666	125.25216666666665
ARHGAP44	15.032319833333334	12.243798333333336	19.9601	19.410866666666667
ELAC2	67.16008333333333	55.0435	34.730583333333335	55.998650000000005
SCIN	454.53961666666663	204.84714999999997	200.79899999999998	106.03491666666666
PNPLA4	10755.529999999999	3066.5066666666667	321.71	0.0
MYH13	0.09730933333333334	0.0	0.1977875	0.02922683333333333
ADIPOR2	88.93161666666667	96.69191666666666	99.17425000000001	239.54816666666667
CDKL3	7.207735	6.933013333333332	4.029941666666667	6.2051066666666665
UPP2	29.143558333333335	49.13666666666668	0.10196983333333333	49.7449
PRSS21	11.269733333333333	0.2840416666666667	8.291058333333334	0.9059050000000001
MARK4	69.76361666666666	53.41188333333334	50.09071666666667	77.513
PROM1	20.36821	71.83083333333333	17.696266666666666	128.9297
CCDC124	428.1899999999999	429.2355	324.95166666666665	211.6645
PAFAH1B1	223.5225	361.8541666666667	294.5645	509.9501666666667
NOS2	3.235704333333333	1.6715745	0.6069198333333333	0.8231
DNAH9	0.7418073333333334	0.37243566666666666	0.2911348833333333	0.5733673333333333
KIAA0100	167.48866666666666	204.977	170.95483333333334	646.9106666666667
SLC13A2	157.82926883333326	488.6385	694.1291666666666	396.2043333333333
GAS7	4.432735	7.37278	3.162165	5.475095
TRAPPC6A	4844.058333333333	0.0	2031.6046666666668	7479.080000000001
MATK	15.76007	2.6177733333333335	2.399583333333333	2.9879816666666663
CD79B	10.378706666666668	5.755558333333333	6.843561666666666	16.701241666666665
SCN4A	1.802738	0.5311075000000001	0.41527050000000004	0.24336850000000002
ST7L	20.662121666666668	26.097466666666666	32.06588333333334	56.2366
TKTL1	0.2595028333333333	0.23167333333333331	0.14933583333333333	0.0
PAX6	1.1030361666666666	0.0	0.0	0.0
RPUSD1	34.393166666666666	20.541183333333333	40.28691666666667	21.874915
RHBDF1	61.64168333333333	65.11968333333333	44.72271666666666	129.37316666666666
LUC7L	237.1145	177.11783333333335	105.65930000000002	84.82508333333334
CACNA2D2	3.6730075000000006	7.354916666666668	0.255913	8.995196666666667
BAIAP3	27.31025666666667	5.715978333333333	2.9208233333333333	4.505858
TSR3	206.771	92.1281	113.29836666666667	106.00305000000002
PIGQ	171.60903333333331	78.32216666666666	172.77183333333335	488.2081666666666
CRAMP1L	30.681466666666665	30.388566666666662	28.38515	38.14266666666666
TEAD3	48.864983333333335	66.9522	39.50673333333333	56.87518333333335
SELE	4.036863833333332	23.478155	5.275023666666667	1.2437066666666665
DNAJC11	111.43785000000001	140.1191	110.9748	133.578
FMO3	21.341026666666664	24.948964999999998	64.4057	4.118263333333333
MYLIP	74.9024	76.68691666666668	107.47731666666668	177.56563333333335
NOX1	0.0	0.0	0.672787	0.0
E2F2	1.964551666666667	0.17504833333333333	0.14260216666666667	4.891126666666666
PSMB1	590.3746666666667	694.2078333333334	504.05649999999997	983.9675000000001
SYN1	18.307509999999997	2.1664600000000003	3.4240766666666675	1.0234499999999997
JARID2	30.5197	17.30115	27.72621666666667	72.17416666666666
CDKL5	6.307041166666667	8.365616666666666	23.316433333333336	11.12047
CAMK1G	18.466206666666668	9.661426666666667	0.0	6.447038333333334
CDK11A	646.7869999999999	615.9223333333333	624.2683333333333	777.0335
NADK	73.29696666666668	108.10611666666665	225.38566666666665	485.00333333333333
TFAP2B	20.95271666666667	63.64756666666667	63.31946666666666	94.14313333333335
TFAP2D	0.0	0.0	0.0	0.0
DLEC1	1.5660638333333334	5.149621666666667	0.4459241666666667	76.20893333333335
CYTH3	24.24337	32.40258333333333	17.113516666666666	32.94521666666667
ADAM22	7.428638333333335	9.6691	0.9699421666666668	4.192769999999999
SYPL1	317.7047	500.1578333333334	922.1091666666666	1441.8466666666666
CYB561	70.69833333333334	62.8126	97.59575	97.88176666666665
SPAG9	102.49905000000001	107.18593333333332	54.52519999999999	187.40666666666667
CELSR3	2.6726813333333332	1.4259403333333331	0.306186	0.062385833333333335
AASS	60.07351666666667	34.251733333333334	49.0901	1167.1978333333332
PLEKHG6	6.868541666666666	7.055053333333333	3.7547433333333333	16.288108333333334
SS18L2	123.26391666666666	112.06906666666667	206.81750000000002	79.49666666666667
MPND	87.20471666666667	96.36113333333333	88.83908333333333	147.28900000000002
MGST1	777.2236666666666	342.971	1652.131666666667	576.6999999999999
CRY1	48.8829	71.44805	47.1752	56.25136666666666
NFIX	74.91055	39.21771666666666	52.95638333333334	72.64293333333333
ST3GAL1	97.06872333333335	56.556533333333334	52.57971666666666	30.672349999999998
MMP25	7.6895750000000005	2.4705225	1.6877773333333332	0.4799733333333333
PKD1	68.10421666666666	40.778533333333336	44.27478333333334	60.60685
MAPK8IP2	23.031635000000005	2.869346166666667	17.563083333333335	1.1708843333333332
MED24	102.41505000000001	130.70499999999998	62.996916666666664	73.47076666666668
RHOBTB2	82.76426666666667	33.291666666666664	24.880799999999997	42.98198333333334
HEATR5B	41.245283333333326	26.715666666666664	44.282849999999996	62.10094999999999
SEC62	421.0183333333334	497.99550000000005	435.03966666666673	1185.9398333333334
RPS20	9310.85	4739.948333333334	980.9991666666666	1433.0765
CSDE1	769.5043333333333	971.6743333333333	1050.9781666666668	739.1186666666666
UBE3C	84.84556666666667	94.77538333333332	79.7205	135.0265
REV3L	16.36283333333333	27.36645	15.121699999999999	39.68403333333333
TENM1	8.77233	9.812458333333334	0.6271245	0.0
PAX7	34.574999999999996	0.0	0.0	0.0
MASP2	18.226821666666666	8.80602	28.649866666666664	55.21733333333333
IYD	52.12359166666667	57.33471666666666	306.56083333333333	334.46166666666664
FAM76A	22.904433333333333	23.843216666666667	23.79801666666667	103.96418333333334
TRAF3IP3	10.581660333333334	13.51368	9.172726666666668	5.374200000000001
POMT2	25.5228	23.61518333333333	46.77853333333332	44.13613333333333
VTA1	68.74275	87.88033333333334	83.36521666666667	117.2198
MLXIPL	88.53936333333331	177.47391666666667	529.9925000000001	412.936
BAZ1B	74.6892	109.4907	75.23903333333334	129.211
RANBP9	101.57808333333334	119.85766666666667	71.39505	158.39166666666668
SPRTN	16.759576666666668	20.447133333333333	21.212483333333335	35.82566666666666
METTL13	51.60645	43.84025	38.572950000000006	30.232033333333334
DYRK4	40.1187	50.37243333333334	0.0803465	0.12802933333333333
ZNF207	337.8175	367.02799999999996	251.31383333333335	265.89000000000004
UQCRC1	689.877	680.0486666666667	875.1730000000001	1653.1683333333333
STARD3NL	84.25865	88.67821666666667	161.04733333333334	89.58581666666667
CD9	873.9370500000001	892.2646666666665	327.566	470.33816666666667
NCAPD2	42.40486666666667	59.81205	18.062183333333333	12.839526666666666
IFFO1	60.163716666666666	28.34906666666667	37.9305	47.21106666666666
PHF7	11.659365000000001	3.0588200000000003	15.524453333333332	40.078966666666666
SEMA3G	37.75069	50.63726666666667	49.70088333333333	92.68531666666667
NISCH	172.20100000000002	126.1825	159.67849999999999	524.6835
STAB1	66.6233	67.783	67.51145	29.136283333333335
FUZ	71.16066666666667	62.5948	75.75633333333333	70.76095
SLC6A13	210.94816233333333	114.3517	187.65733333333333	318.6263333333333
IDS	201.81215	218.90116666666665	275.8715	250.87416666666664
CD4	22.245551666666668	43.085816666666666	17.801733333333335	5.7880883333333335
LRRC23	42.99164999999999	63.08591666666666	1.1561231666666667	0.5030233333333333
BTK	5.583136666666667	3.93759	1.2971631666666668	2.50351
HFE	23.444550000000003	23.007716666666667	42.84358333333333	37.16983333333334
SCMH1	89.27623333333334	87.66756666666667	106.67068333333332	56.718016666666664
FYN	112.04205	63.81255000000001	34.264100000000006	27.5651
HIVEP2	62.053594999999994	82.54351666666666	45.376583333333336	49.339166666666664
FMO1	301.3973683333333	291.76846666666665	719.3545	2767.4483333333333
TCEB3	64.4629	106.73913333333333	105.65830000000001	120.748
LYPLA2	57.31966666666667	107.24358333333333	105.41606666666667	86.85063333333335
CLCN6	29.57511666666667	23.33328333333333	33.200916666666664	81.54805
MRC2	28.498738333333336	35.048755	24.776416666666666	37.57408333333333
NME2	2020.3883333333333	532.6106666666667	1350.6516666666669	2395.736666666666
SLC6A7	0.21672433333333332	0.1063755	0.9389636666666666	3.1118433333333333
TSPAN9	241.01185	162.02385	232.37766666666664	148.195
BTBD7	38.689099999999996	59.60483333333334	63.69716666666667	76.54546666666667
APBA3	57.487166666666674	98.41923333333334	110.63593333333334	193.34399999999997
MKS1	23.314783333333327	32.91498333333333	30.750283333333332	10.149655000000001
ABHD5	49.593983333333334	109.5569	43.81111666666666	199.4221666666667
AKAP8L	252.80066666666667	193.3416666666667	196.2035	146.50316666666663
MBTD1	18.488599999999998	18.342233333333333	23.989933333333337	19.774433333333334
UTP18	87.12651666666666	26.87278333333333	74.23073333333333	87.27555000000001
RNF216	45.22331666666667	70.70606666666667	56.44261666666666	59.259049999999995
PTBP1	423.1689999999999	505.52549999999997	353.63899999999995	499.155
DPF1	0.0	0.9974849999999998	0.12673583333333333	0.855195
SYT7	53.75964783333333	7.383471666666669	7.666923333333333	8.913023333333333
LARS2	41.27186666666666	50.57798333333333	39.56718333333333	75.67601666666665
PIK3C2A	50.81306666666668	58.494949999999996	42.45105	88.54676666666667
PLAUR	56.80196666666666	72.88785	6.5261233333333335	17.116033333333334
ANLN	6.788345333333333	2.2847795	0.5640348333333333	3.132975
WIZ	140.17683333333332	102.36538333333334	116.78656666666667	117.82283333333334
RABGAP1	56.66480000000001	65.63283333333334	62.91616666666666	62.60963333333333
DCN	732.5784016666667	1785.9641666666666	629.622	234.38666666666666
QPCTL	41.46316666666667	34.78821666666666	29.094099999999997	34.54983333333333
PPP5C	147.72886666666668	120.29408333333335	153.48849999999996	245.76166666666666
CEP68	38.90815	41.19485	29.8425	42.3833
MAP4K3	23.0404	46.3924	58.89945	65.32440000000001
ZBTB32	0.8158500000000001	1.6684950000000003	1.3870616666666666	8.06025
TYROBP	93.392185	83.82748499999998	23.01099166666667	34.42253333333334
TMEM159	217.40339999999995	156.60483333333335	61.82791666666666	73.34428333333334
GABRA3	0.54562	0.0	0.0	15.872138333333332
BRCA1	3.6578183333333336	1.6827808333333332	3.2989800000000002	1.2352314999999998
ERCC1	210.737	240.86783333333332	119.64021666666667	51.92138333333333
CD22	38.274185	1.3203628333333335	0.4455503333333333	3.347205
SEMA3B	304.66695	271.4201666666667	643.7998333333334	130.65741666666668
MBTPS2	28.475066666666667	24.287966666666666	25.91255	52.08283333333333
PRICKLE3	28.901486666666667	21.502799999999997	17.722533333333335	23.519750000000002
LTF	18.381355	1520.9166333333333	4.370740666666666	0.8030051666666668
EXTL3	36.85626666666666	50.509416666666674	62.8384	98.18513333333334
NR1H4	93.23358	93.57338333333333	58.292816666666674	461.0165
ELOVL5	107.42026666666665	95.19811666666668	48.8285	233.26666666666665
ALOX5	30.288321666666665	12.636296666666667	3.413703333333333	3.4351533333333335
CALCOCO1	221.0923333333333	189.69083333333333	125.94049999999999	154.72283333333334
UBR7	55.71523333333334	61.23931666666667	66.14331666666668	66.198
MAP4K5	26.746916666666667	33.85096666666667	20.715216666666667	19.2638
EHD3	78.30548	100.37276666666666	98.30516666666666	105.72008333333332
PSMC4	276.55316666666664	321.7438333333333	290.4593333333333	339.96133333333336
MAN2B2	70.3664	54.98621666666666	53.30566666666667	185.37116666666665
SLC7A14	0.520396	0.6680093333333333	0.06084883333333333	0.0
CLDN11	8.10358	38.787600000000005	5.324865	2.5429500000000003
SLC25A39	358.41283333333337	383.60983333333337	191.1291666666667	1057.0938333333336
MVP	454.08483333333334	610.9003333333334	400.4940000000001	192.52383333333333
NUB1	104.8408	130.4428333333333	100.90355	163.28483333333332
PGM3	39.426183333333334	87.18239999999999	60.6629	111.47916666666667
RWDD2A	54.822799999999994	23.937166666666666	14.7519	14.60436666666667
CLK1	406.38283333333334	381.4841666666666	404.48766666666666	329.5466666666667
POLR3B	16.735718333333335	13.47303166666667	23.9002	30.682133333333336
ANGEL1	46.1778	46.90598333333333	60.500499999999995	15.794516666666667
RNF14	168.20766666666668	250.13166666666666	140.26016666666666	322.5731666666666
DNASE1L1	83.24833333333332	42.401	37.54028333333333	52.659349999999996
HEBP1	374.7935	276.58250000000004	332.1356666666667	366.1633333333334
GPRC5A	53.572585000000004	12.061121666666665	32.631683333333335	18.972133333333336
MAMLD1	12.41801833333333	23.816149999999997	10.22432	3.271288333333334
CD6	4.6749963333333335	6.442254999999999	10.709196666666665	3.3523979999999995
TACC3	33.951345	9.597186666666666	1.9650350000000003	7.555
UFL1	61.25398333333334	63.733133333333335	52.3811	90.1651
POLA2	19.175008333333334	11.283151666666669	3.05766	13.359771666666667
ZC3H3	60.3123	40.43136666666667	51.355266666666665	3.272553333333333
CAPN1	160.15341666666666	168.8895	145.03461666666666	65.16591666666667
ACPP	12.621815833333335	17.665745	12.745668333333333	6.003571666666667
MDH1	863.121	1388.465	2004.7366666666667	5992.353333333333
SLC30A9	155.08763333333334	227.90700000000004	140.52766666666668	414.3735000000001
MTMR11	51.470040000000004	85.11448333333333	5.266136666666666	197.63083333333336
COX15	57.48491666666666	94.39673333333333	95.04796666666668	139.767
CCDC88C	18.176066666666667	24.00616666666667	44.15136666666667	24.069899999999993
YAF2	52.67481666666666	46.03183333333333	31.171649999999996	73.11556666666667
ZMYND11	133.14343333333332	157.22913333333335	201.9095	176.36716666666666
DPEP1	784.52268	700.6606666666667	2809.535	794.006
BID	49.027750000000005	62.411316666666664	79.15295	486.8021666666666
MATR3	413.5330000000001	435.9416666666668	148.88716666666667	277.50183333333337
NPC1L1	8.891408999999998	0.2256695	3.3388750000000003	0.4348653333333334
XYLT2	73.18816666666666	56.986783333333335	56.780183333333326	54.68328333333333
STMN4	18.916706666666666	0.8669949999999997	0.0	0.6714866666666666
NUDCD3	94.74421666666667	94.09105000000001	114.42888333333333	158.387
ISL1	0.0	0.227155	0.0	0.22861666666666666
CHDH	119.24628	208.63483333333332	703.6261666666668	680.1105000000001
IL20RA	0.542405	2.4225066666666666	20.6417	0.0
CLCA1	7.8739833333333324	0.127109	0.0	0.0
CLCA4	0.08217616666666666	0.0	0.0	0.0
GLT8D1	195.22549999999998	157.45516666666666	172.2985	97.15751666666667
ATP2C1	113.21078333333332	175.10916666666665	102.41326666666664	154.83866666666665
IGF1	4.002081666666666	9.357921666666668	15.299041666666668	12.064196666666668
SLC38A5	14.449149999999998	9.461581666666667	4.718254999999999	0.0
RALBP1	191.36883333333336	237.43983333333335	192.29599999999996	166.184
RUFY3	82.70649999999999	89.60761666666667	119.51533333333333	159.42216666666667
CNTN1	10.518209833333332	22.134908333333332	3.91638	4.4845820000000005
SLC11A1	8.911116666666667	14.569443333333334	24.14448333333333	9.975436666666665
WWTR1	162.742	212.72583333333333	175.38933333333333	249.33516666666665
AGPS	32.9354	53.36468333333334	38.18378333333333	283.9273666666666
CXorf56	182.20966666666666	41.655683333333336	163.79616666666666	66.72035
ATP1A2	8.612969999999999	4.449602333333334	5.135778333333334	16.810141666666667
TTC27	32.2721	33.79568333333333	27.766666666666666	31.483950000000004
ZNF582	462.4051666666667	171.65883333333332	65.1425	54.100500000000004
VSIG2	244.55888500000003	6.140523333333332	1.3001866666666666	13.079078333333333
PHLDB1	77.85723333333334	87.1279	143.63233333333332	64.77891666666666
MARCO	0.8631821666666667	3.425315	0.2711586666666667	0.13273933333333332
CYP24A1	20.895978333333332	242.65616666666668	190.8988333333333	254.91013333333333
PRDM11	11.215215	9.259251666666666	7.075518333333334	5.819369999999999
SYT13	137.45378333333332	20.99461666666667	2.426288	3.801345
SNAI2	42.84428333333333	63.83398333333333	29.528366666666667	14.099278333333332
CD74	2238.5441666666666	3793.78	1002.0001666666668	1353.9063333333334
HGF	8.748918333333334	20.588708333333333	7.415069999999999	9.908493333333332
ZRANB1	72.60193333333333	74.64523333333334	78.73244999999999	81.18828333333333
NCDN	64.2559	64.08585000000001	65.74655	77.56226666666667
GPR124	56.41980000000001	49.28324999999999	41.81336666666667	55.87288333333333
ZFP64	27.214983333333333	23.415966666666666	23.136516666666665	33.8954
MNAT1	62.033899999999996	74.03645	50.40351666666667	41.39355
SAMD4A	29.796966666666666	66.304	10.635953333333333	6.556075000000001
RUNX3	10.275775000000001	2.685686666666667	2.3497949999999994	4.061141666666666
MRE11A	34.326766666666664	24.075033333333334	13.834088333333334	19.023666666666667
PLEKHB1	24.581695	16.403041666666667	37.42315	81.45713333333333
SERPINB1	152.80519999999999	177.8516666666667	45.71658333333334	18.45805
CYP3A43	1.3307818333333334	0.6889223333333335	1.9055848333333334	0.0
SLC7A9	112.85288166666668	209.80313333333334	400.7771666666667	704.8436666666668
SPAST	10.765566666666665	14.225801666666667	15.36495	56.14558333333333
NRXN3	12.5218215	1.3793958333333334	1.3344928333333332	0.4547826666666666
OSBPL5	35.22593333333334	17.12559	39.45316666666666	109.48288333333333
AQR	36.05098333333333	41.27271666666667	42.95868333333334	61.65263333333332
CPS1	10.409664000000001	6.960508333333333	0.1695565	0.10954633333333334
C8B	0.0	0.6791821666666666	0.12730783333333334	0.1459375
FHL1	210.43595000000002	160.54021666666668	166.55208333333334	858.5268333333335
RTFDC1	247.8036666666667	247.85	162.16416666666666	199.87250000000003
GABRA1	0.5319133333333333	1.0453603333333332	1.2387371666666667	0.626977
NLRP2	24.670613333333336	0.22518333333333332	0.0	0.0
SLC45A4	48.754616666666664	39.05828333333334	16.900866666666666	113.04213333333333
