	Human_Muscle_Average_RPKM	Chimp_Muscle_Average_RPKM	Rhesus_Monkey_Muscle_Average_RPKM	Mouse_Muscle_Average_RPKM
RBM6	117.09595	132.49181666666667	38.754400000000004	84.4067
CAMKK1	5.642976666666667	8.278440166666666	2.7588950000000003	1.9635719999999999
RECQL	29.631883333333334	69.36413333333333	24.05665	14.782350000000001
CCDC132	22.33368333333333	38.80088333333333	44.31983333333333	47.17155
HSPB6	10170.031666666668	7921.794999999999	7806.891666666666	4926.858333333334
ARHGAP33	6.309504333333334	4.811710000000001	1.999714	1.6965133333333335
NDUFAB1	839.2318333333333	921.7106666666667	1406.3586666666667	125.66513333333334
PDK4	3762.1630000000005	5284.829566666667	909.0428	7524.490000000001
SLC22A16	0.0	0.11416233333333332	0.1989991666666667	0.0
ZMYND10	1.8182921666666667	1.6006429999999998	1.3251216666666665	0.626845
ABCB5	0.2745655	0.050536500000000005	0.0	0.0
ARX	8.632	30.999733333333324	57.694716666666665	0.0
SLC25A13	15.075818333333336	14.167931666666668	3.550736666666667	3.2144401666666664
ST7	31.39826666666666	22.7313	33.83696666666666	24.64565
CDC27	45.98476666666667	93.53196666666668	49.88656666666666	43.364916666666666
SLC4A1	16.326322833333332	0.09240216666666667	0.5546833333333333	0.8437533333333334
CALCR	1.5068599999999999	0.9384951666666668	1.4376213333333334	0.10380383333333332
HCCS	163.7797333333333	123.43523333333333	146.6625	135.20299999999997
DVL2	31.291683333333335	32.20941666666666	37.74208333333333	15.49615
PRSS22	17.0885	0.0	0.0	0.0
UPF1	64.12783333333333	102.01206666666667	91.33980000000001	86.65088333333334
SKAP2	18.55402833333333	40.580533333333335	27.28321666666667	17.167015
SLC25A5	522.7041666666667	176.342	105.14555	415.4896666666668
CCDC109B	19.16884	11.046151666666667	14.973266666666666	1.8412316666666666
HOXA11	4.952101666666667	4.126951666666667	8.80165	2.45589
POLR2J	654.9456666666666	650.2761666666668	1170.8333333333333	609.7283333333332
DHX33	13.324201666666667	38.2977	13.733451666666666	24.729266666666664
MEOX1	18.842376666666667	7.4555966666666675	6.387833333333333	5.3012033333333335
THSD7A	0.7207608333333333	0.7612595000000001	0.7562151666666667	4.865871666666666
LIG3	25.13863333333333	37.84781666666667	19.004583333333333	45.046483333333335
RPAP3	50.67495	85.03508333333333	80.79825000000001	58.0037
ACSM3	4.349047333333334	5.000045	10.154878333333334	11.579498333333333
AC004381.6	2.3908906666666665	5.985550000000001	9.385786666666666	1.6921039999999998
CIAPIN1	82.12248333333332	71.23870000000001	66.08221666666667	66.14371666666666
SPPL2B	52.547083333333326	58.71693333333334	84.77908333333333	36.287083333333335
FAM214B	27.816401666666668	57.87151666666667	53.75011666666666	137.38111666666668
COPZ2	126.03205000000001	71.61351666666667	126.66706666666668	16.87501
PRKAR2B	29.674666666666667	8.091113333333332	3.682229166666667	23.514546666666664
MSL3	57.37438333333333	140.40916666666666	43.20906666666667	122.6025
CREBBP	88.20243333333333	130.96016666666668	88.61181666666668	58.09348333333333
BZRAP1	8.44778	2.7913160000000006	2.2117256666666667	0.8975973333333335
MPO	2.0303133333333334	21.416153333333337	0.7941128333333335	0.090281
PON1	0.27126833333333333	0.0	0.0	4.79969
GCFC2	33.49351666666667	72.37576666666666	17.523966666666666	3.9684903333333335
WDR54	5.044793333333334	4.722098333333333	12.542175	2.3296283333333334
CROT	12.643619999999999	18.232036666666666	16.675083333333337	99.46528333333333
ABCB4	9.367913333333332	3.666521999999999	4.274603333333333	320.8018333333333
KMT2E	54.77635000000001	85.64170000000001	67.24825	96.44181666666667
RHBDD2	94.31843333333335	38.9088	61.11156666666667	34.37008333333333
SOX8	8.548309999999999	7.172023333333333	5.985678333333333	4.420081666666667
IBTK	66.17998333333334	83.9554	100.68611666666668	158.9344
MYCBP2	17.460185	24.1319	25.905766666666665	27.773016666666667
FBXL3	118.12446666666666	201.4606666666667	146.9523833333333	345.41883333333334
ITGAL	3.14227	4.248888333333333	1.5777778333333332	22.402242166666667
PDK2	584.5011666666667	508.5146666666667	357.961	1715.2916666666667
ITGA3	19.050299999999996	13.620071666666666	10.629301666666667	10.204715
ZFX	49.44593333333333	115.04236666666667	61.23140000000001	42.883833333333335
LAMP2	227.3230166666667	389.84116666666677	196.63233333333335	226.63616666666667
ITGA2B	0.5731683333333333	1.1176276666666667	0.2906918333333333	1.760489
ASB4	72.16108333333334	82.40836666666668	94.86428333333333	76.55331666666666
GDE1	172.71541666666667	244.96550000000002	209.91400000000002	273.92600000000004
C19orf60	434.7778333333333	287.1848333333333	338.8755	452.4686666666667
CRLF1	28.44928333333333	37.49911666666667	7.404466666666667	12.771798333333335
OSBPL7	39.22344833333333	42.56513666666667	15.290775000000002	9.613995000000001
TMEM98	33.760558333333336	21.252433333333332	6.055086666666667	7.910838333333333
YBX2	13.883686666666664	3.691921666666667	3.1016099999999995	44.735549999999996
KRT33A	0.0	0.0	0.0	0.0
MAP3K14	20.781338333333334	46.68758333333333	55.30689999999999	17.21325
ABCC8	4.472976500000001	7.2588415	1.0101821666666668	12.264995
CACNG3	0.8967133333333334	1.4356983333333335	0.48299833333333336	0.0
TMEM132A	12.250811666666669	23.250249999999998	24.303883333333335	8.669883333333333
AP2B1	144.67521666666667	231.13166666666666	138.13583333333332	95.68248333333332
TAC1	0.0	0.416935	0.0	0.4239816666666667
ZNF263	14.794263333333333	14.588333333333333	18.910286666666668	27.485466666666667
CX3CL1	2169.8016666666667	1866.464	0.0	0.0
SPATA20	86.27166666666666	52.01355	32.1053	0.0
CACNA1G	0.5971793333333334	0.5916085000000001	0.9682865	3.278196666666666
TNFRSF12A	157.71015	374.4815833333333	112.18096666666669	428.2633333333334
DLX6	0.0	0.1615555	0.0	0.0
MAP3K9	1.1421898333333333	4.675966666666667	2.2335316666666665	1.5985563333333335
RALA	65.77148333333334	80.96093333333333	96.63959999999999	192.75483333333332
BAIAP2L1	9.78095	8.884666666666666	0.36799983333333336	3.5881866666666666
KDM7A	13.101391666666666	55.156800000000004	27.906750000000002	35.336216666666665
ETV1	1.1027033333333334	1.29695	2.2064844999999997	4.629918333333333
AGK	12.627416666666667	13.630038333333333	9.923223333333333	11.533631666666667
TTC22	0.2121483333333333	0.0	0.0893695	0.27453083333333334
PHTF2	131.80235000000002	229.89133333333328	468.5643333333334	330.38800000000003
CCL26	1.62469	0.6443316666666666	0.0	0.0
FARP2	14.869545	27.021433333333334	12.710256666666666	28.3373
USH1C	0.16313616666666667	0.173032	0.2837346666666667	3.0118069999999997
GGCT	46.2712	25.585516666666667	52.90673333333333	30.0808
DBF4	3.4308416666666663	7.636761666666668	1.8767401666666668	0.8633966666666666
TBXA2R	14.054598333333333	11.536838333333334	2.8527983333333338	3.0746316666666673
IFRD1	297.55418333333336	154.5186666666667	91.14971666666666	229.4375166666667
COX10	145.86931666666666	170.74813333333336	125.83633333333334	137.122
GTF2IRD1	211.20408333333333	210.43044999999998	103.37304999999998	24.16988333333333
PAF1	150.33283333333333	120.74683333333333	102.1352	154.20399999999998
VPS41	10.649503333333334	31.684849999999997	13.741788333333334	80.35334999999999
ARHGAP44	4.950783333333334	3.5249783333333333	3.1405	24.054083333333335
ELAC2	96.04825	62.025816666666664	46.58696666666666	66.6537
SCIN	22.934768833333333	1.8069283333333332	0.8294138333333332	4.345413333333333
PNPLA4	13357.095000000001	883.8170000000001	400.47633333333334	0.0
MYH13	1.109482	2.1929233333333333	147.59958333333333	3.9790783333333337
ADIPOR2	102.4458	108.03394999999999	111.07651666666668	412.86366666666663
CDKL3	8.926118333333335	6.184004999999999	6.134306666666667	5.390650000000001
UPP2	0.0	0.0	0.0	0.0
PRSS21	0.782225	0.31174	1.648305	2.1763083333333335
MARK4	48.7437	55.09493333333333	47.00858333333333	63.315133333333335
PROM1	0.46696083333333344	3.3317433333333337	1.4542003333333333	19.375716666666666
CCDC124	555.148	1297.1741666666667	461.79333333333324	486.56233333333336
PAFAH1B1	243.43500000000003	600.7696666666667	433.9565	476.3326666666667
NOS2	0.8403903333333332	0.9581316666666666	0.24830783333333337	1.559061
DNAH9	0.16445066666666666	0.0301625	0.06750588333333334	0.019302666666666666
KIAA0100	126.32018333333333	256.1305	283.19416666666666	685.069
SLC13A2	0.0	0.41144116666666664	1.6387026666666669	1.6611621666666665
GAS7	8.369836666666666	10.720550000000001	10.7393	8.586125000000001
TRAPPC6A	1025.2283333333332	0.0	1315.4796666666666	1555.1028333333334
MATK	1.5657633333333332	0.6286433333333333	0.7485216666666666	0.0
CD79B	8.640495000000001	2.5764150000000003	0.6951883333333333	0.19671833333333333
SCN4A	237.75649999999996	286.0755	431.0969999999999	891.9421666666666
ST7L	17.159416666666665	20.08005	27.677916666666672	44.96619999999999
TKTL1	0.47068400000000005	0.07945533333333334	0.18921333333333332	0.12279883333333334
PAX6	0.14372183333333333	0.45009883333333334	1.0652766666666666	0.9317006666666666
RPUSD1	17.51306333333333	6.940461666666667	6.410386666666668	21.440349999999995
RHBDF1	71.65001666666667	41.400999999999996	26.597033333333332	52.92041666666666
LUC7L	85.7052	75.02114999999999	56.28133333333333	44.51126666666667
CACNA2D2	1.94888	2.1594246666666668	0.5230199999999999	0.9431078333333334
BAIAP3	3.742142166666666	2.794711166666666	0.533554	0.23593249999999996
TSR3	268.5891666666667	110.62036666666667	82.70306666666666	99.0922
PIGQ	44.095916666666675	45.22585	19.6875	63.48705
CRAMP1L	11.054396666666667	19.581216666666666	13.535576666666666	21.384816666666666
TEAD3	90.03484999999999	73.56368333333334	51.409633333333325	28.99706666666667
SELE	28.515923333333333	1.1756023333333332	0.0727385	1.2860706666666666
DNAJC11	85.12563333333333	122.54166666666667	87.5073	97.12965000000001
FMO3	5.144073333333333	14.643189999999999	10.702188333333334	0.22507616666666666
MYLIP	98.27286666666667	79.08926666666667	96.52385	55.40198333333334
NOX1	0.0	0.13920783333333334	0.3205885	0.0
E2F2	0.0	0.0	0.30542166666666665	1.9656398333333331
PSMB1	643.3858333333333	736.2676666666666	587.5783333333334	1011.2488333333334
SYN1	3.682188333333334	2.736239166666667	27.2513	1.3834633333333333
JARID2	21.610333333333333	23.329516666666667	16.21595	26.604583333333334
CDKL5	1.5352384999999995	2.71825	0.7611203333333334	1.6212078333333333
CAMK1G	1.3917183333333334	1.2039183333333334	0.5291426666666667	0.12818116666666665
CDK11A	510.9295	999.9461666666666	655.6568333333333	1009.9933333333333
NADK	43.64163333333334	34.95596666666666	48.5134	73.12698333333333
TFAP2B	0.0	0.0	0.281692	0.6242151666666667
TFAP2D	0.0	0.0	0.0	0.0
DLEC1	0.6289301666666667	0.31626916666666666	0.07369733333333334	0.393064
CYTH3	27.828433333333336	30.294566666666668	20.63951666666667	22.126483333333336
ADAM22	0.9411453333333332	5.689376666666667	0.9724254999999999	2.307562166666667
SYPL1	362.7153166666667	472.69233333333335	511.31649999999996	1355.8516666666667
CYB561	6.508795	5.205025	9.567576666666668	21.186983333333334
SPAG9	64.77226666666667	197.70183333333333	81.70978333333333	288.7418333333333
CELSR3	0.6690933333333334	1.0512421666666667	0.42518016666666664	0.6910789999999999
AASS	31.46105	33.73263333333333	27.279833333333332	5.0358135
PLEKHG6	1.0085966666666668	0.405452	0.09503066666666667	0.158106
SS18L2	54.13271666666666	37.4204	164.58383333333333	179.89491666666666
MPND	50.85325	42.99108333333333	44.03368333333333	144.83166666666668
MGST1	276.3792116666667	29.76386666666667	32.786625	325.94849999999997
CRY1	33.13336666666667	55.11378333333334	47.95425	50.54856666666668
NFIX	773.6341666666667	627.8601666666667	1348.483	449.75766666666664
ST3GAL1	83.73693333333333	99.3703	24.4445	38.39341666666666
MMP25	10.541141333333334	0.9338403333333333	1.2926938333333333	0.2503516666666667
PKD1	167.48595	176.41533333333334	109.02468333333333	54.43976666666666
MAPK8IP2	2.0380033333333336	2.646332333333333	4.436728333333334	3.15071
MED24	151.4565	332.6225	102.44563333333333	95.75263333333334
RHOBTB2	44.3629	42.246116666666666	23.337141666666668	49.42586666666667
HEATR5B	10.39306	9.83723	22.388283333333334	18.036916666666666
SEC62	166.53346666666667	189.83399999999997	173.81933333333333	331.5806666666667
RPS20	5944.821666666666	3398.6150000000002	879.0061666666667	1776.788166666667
CSDE1	3437.2850000000003	6433.835	4915.588333333334	3287.9483333333337
UBE3C	128.89113333333333	222.49450000000002	142.92533333333333	141.63183333333333
REV3L	19.626343333333335	43.51716666666666	21.967833333333335	33.90476666666667
TENM1	0.7095971666666667	0.35885035000000004	0.12310608333333334	0.11216016666666667
PAX7	7.024571666666667	5.527106833333332	3.873605	1.2235526666666667
MASP2	7.992513333333334	9.74212	6.542686666666667	35.562016666666665
IYD	0.0	0.0	0.44409000000000004	0.35882833333333336
FAM76A	21.688370000000003	33.27778333333334	26.95953333333333	98.00606666666668
TRAF3IP3	2.8081061666666667	2.643901666666667	10.368576666666664	1.3219618333333332
POMT2	18.208833333333335	97.06558333333334	18.348183333333335	16.155433333333335
VTA1	119.68565000000001	188.73933333333335	107.97721666666668	104.60489999999999
MLXIPL	108.54165	100.00806666666666	81.0292	170.16966666666667
BAZ1B	65.5098	162.89866666666668	122.31166666666667	124.91699999999999
RANBP9	162.01678333333334	300.4505	218.11166666666668	183.5565
SPRTN	20.15825	36.41036666666667	20.523766666666663	21.28243333333333
METTL13	52.14875000000001	41.44983333333334	48.66113333333334	33.95151666666667
DYRK4	24.226433333333333	17.367766666666668	0.0	0.11208233333333333
ZNF207	195.6245	320.61650000000003	197.83616666666668	215.52533333333335
UQCRC1	1489.959	1526.2133333333334	1263.9331666666665	2319.455
STARD3NL	31.7752	41.485949999999995	47.33998333333333	15.865733333333333
CD9	190.97106666666664	60.553083333333326	86.93041666666669	191.0873333333333
NCAPD2	18.079616666666666	59.068250000000006	12.293910000000002	17.7306
IFFO1	40.52551666666667	56.1433	64.73096666666666	32.00073333333333
PHF7	3.542861666666667	0.8355856666666667	7.055575	28.158883333333335
SEMA3G	25.984405	32.1669	19.040633333333336	22.902416666666664
NISCH	60.558216666666674	50.83235	54.95883333333333	135.92533333333333
STAB1	19.019491666666667	25.054783333333337	35.685633333333335	22.907983333333334
FUZ	72.72753333333334	38.131816666666666	42.64368333333333	64.83829999999999
SLC6A13	0.7766366666666666	1.140136	3.2441183333333328	2.192796166666667
IDS	139.00469999999999	292.99899999999997	147.59283333333332	84.26713333333335
CD4	5.969161666666667	5.853701666666666	21.211416666666665	0.674305
LRRC23	24.371816666666664	75.08803333333333	0.6357016666666666	2.0587016666666664
BTK	1.8543985000000003	1.83735	1.3810903333333335	1.2410488333333334
HFE	7.003731666666666	1.9239133333333331	14.2779	37.25596666666667
SCMH1	106.70916666666666	97.85901666666666	55.62030000000001	90.97976666666666
FYN	36.75516666666667	29.05875	28.409266666666667	22.552716666666665
HIVEP2	132.27796666666669	166.0640666666667	172.774	169.062
FMO1	0.7333875	0.5872348333333334	0.3962835	147.7099166666667
TCEB3	64.70876666666668	196.1315	167.6001666666667	195.70783333333335
LYPLA2	24.3827	31.921766666666667	37.939433333333334	52.731683333333336
CLCN6	19.055643333333332	14.06395	16.044566666666665	18.14675
MRC2	39.21571000000001	20.504749999999998	28.412050000000004	11.893373333333335
NME2	1388.6726666666666	421.4113333333333	814.6256666666667	1267.1716666666666
SLC6A7	0.25865366666666667	0.33167833333333335	0.08899416666666665	0.3642881666666667
TSPAN9	45.157016666666664	24.753016666666667	38.60131666666667	35.830333333333336
BTBD7	18.68551666666667	38.31065	29.984866666666665	41.8339
APBA3	57.30311666666666	114.66158333333334	47.027633333333334	283.3935
MKS1	8.700013333333333	16.154003333333332	9.903966666666667	5.299533333333334
ABHD5	48.3907	122.37365	76.60595	168.53013333333334
AKAP8L	148.45165	155.56799999999998	115.25381666666665	153.19083333333333
MBTD1	11.313148333333332	19.246966666666665	10.330373333333332	10.66952
UTP18	65.57918333333335	15.8427	112.43435000000001	56.785783333333335
RNF216	54.93131666666667	109.62711666666667	86.31169999999999	50.47731666666667
PTBP1	101.92706666666668	101.50455000000001	68.65653333333333	63.78131666666667
DPF1	0.6954866666666666	0.32924833333333337	0.39203499999999997	2.4857946666666666
SYT7	7.726898333333334	5.017599999999999	5.791684999999998	4.531396666666667
LARS2	16.228691666666666	53.28006666666667	27.63116666666667	51.375183333333325
PIK3C2A	11.083781666666667	13.170328333333332	6.6143	8.468415
PLAUR	64.18328333333334	13.812248333333335	5.1905616666666665	7.634588333333332
ANLN	0.35685999999999996	1.3286136666666668	1.1595324999999999	3.3539383333333337
WIZ	83.74886666666667	84.14343333333333	67.68803333333334	75.14331666666668
RABGAP1	58.47541666666667	97.31131666666666	77.26228333333334	56.01588333333333
DCN	1501.9761666666666	1603.0	1922.4366666666667	1760.1103333333333
QPCTL	7.3117116666666675	6.577556666666667	15.818493333333334	15.663046666666668
PPP5C	130.09083333333334	177.64033333333336	156.84966666666665	207.2005
CEP68	65.17291666666667	103.85384999999998	33.01606666666666	88.77410000000002
MAP4K3	23.516016666666662	48.864066666666666	25.397949999999998	22.353350000000002
ZBTB32	0.0	0.9649	4.53929	0.7871983333333334
TYROBP	44.80721666666667	21.250778333333333	13.337508333333332	18.221218333333336
TMEM159	380.31350000000003	380.72599999999994	443.3388333333334	71.87453333333333
GABRA3	0.0	0.4357003333333333	0.60203	2.9142449999999998
BRCA1	1.732446666666667	3.825114333333334	5.813941666666666	0.17946933333333334
ERCC1	242.28650000000002	349.358	101.22806666666668	80.88148333333334
CD22	2.044158	0.5895589999999999	0.4530693333333333	0.13817783333333333
SEMA3B	35.8643	19.02085	34.67561666666666	27.170166666666663
MBTPS2	24.362515000000002	35.3845	28.295033333333333	59.11366666666667
PRICKLE3	43.786833333333334	48.839283333333334	25.8531	219.90166666666667
LTF	6.844893333333334	4.026796666666667	1.9808091666666663	105.43309750000003
EXTL3	45.245216666666664	65.6359	85.3945	124.49418333333331
NR1H4	0.0	0.11571350000000001	0.09560466666666667	1.3693829999999998
ELOVL5	51.82839666666666	19.40665166666667	22.580474999999996	48.27056666666666
ALOX5	13.334741999999999	4.819048333333334	2.4331316666666667	3.2351325
CALCOCO1	280.2753333333333	695.5009999999999	240.87299999999996	263.4683333333333
UBR7	35.65358333333334	47.41278333333333	50.65058333333334	49.27011666666667
MAP4K5	11.487753333333336	23.758283333333328	12.210216666666668	24.75436666666667
EHD3	6.442628333333334	14.826054999999998	8.030806666666669	33.85066666666666
PSMC4	225.76249999999996	361.1446666666666	348.7196666666666	379.317
MAN2B2	17.21973	8.379231666666668	12.80474	28.455099999999998
SLC7A14	0.07707950000000001	0.27363166666666666	0.07341916666666666	0.38085966666666665
CLDN11	8.3385	3.8821	3.732455	3.590386666666667
SLC25A39	77.02141666666667	89.25178333333332	123.15911666666669	98.32788333333332
MVP	103.07305000000001	81.87268333333333	88.56541666666668	106.44883333333335
NUB1	102.04798333333333	155.04364999999999	105.86123333333332	173.3456666666667
PGM3	15.527666666666669	33.31281666666666	19.725216666666668	11.989178333333333
RWDD2A	25.798799999999996	14.42868	6.59993	3.3373705
CLK1	372.51785	261.38016666666664	366.6748333333334	222.1926666666667
POLR3B	14.086273333333331	12.566906666666666	29.557850000000002	29.107916666666664
ANGEL1	20.665325	42.16453333333333	62.90098333333333	27.64238333333333
RNF14	106.49265000000001	297.7446666666667	178.50566666666666	248.41916666666668
DNASE1L1	372.42916666666673	499.4928333333334	418.91266666666667	385.97416666666663
HEBP1	171.29783333333333	102.71563333333332	84.48306666666666	50.86621666666667
GPRC5A	20.484714999999998	1.5083099999999998	5.547484666666667	16.80328
MAMLD1	13.165903333333334	11.009358333333333	11.28081	10.29087
CD6	1.20413	1.204182833333333	1.7045126666666668	0.0
TACC3	10.059753333333335	3.295146666666667	1.5597511666666666	6.607176666666667
UFL1	49.90846666666666	82.80756666666666	54.00578333333334	92.55763333333333
POLA2	7.694749999999999	7.663071666666666	7.128335	15.483883333333333
ZC3H3	54.65936666666666	50.52496666666667	32.33728333333334	2.7442049999999996
CAPN1	119.18963333333333	135.799	116.81869999999999	204.39116666666666
ACPP	0.4340866666666667	0.39059266666666675	0.9760455	0.2034285
MDH1	1939.4700000000003	2087.5036666666665	1732.206666666667	2508.6516666666666
SLC30A9	55.777416666666674	78.63203333333334	90.54046666666666	182.82299999999998
MTMR11	5.137823333333333	8.358666666666666	2.1672266666666666	6.577795000000001
COX15	42.74963666666667	100.77093333333333	48.26721666666666	58.471366666666675
CCDC88C	3.3673033333333335	3.491421666666666	3.7433183333333333	40.6059
YAF2	45.17118333333334	87.33438333333334	43.58301666666667	70.02024999999999
ZMYND11	92.24221666666666	157.56733333333332	169.31966666666668	171.37433333333334
DPEP1	0.3129766666666666	0.741965	3.7777700000000003	164.58691666666667
BID	41.81315	23.546081666666666	15.79065	6.126613333333332
MATR3	345.68816666666675	474.2563333333333	132.55016666666666	198.85716666666667
NPC1L1	0.6907091666666667	0.0	0.9705475	4.372716666666667
XYLT2	26.588933333333333	24.444033333333334	22.58683333333333	14.82096
STMN4	1.2408216666666667	7.272123333333334	4.290048333333333	6.027123333333333
NUDCD3	145.06791666666666	261.04766666666666	425.69816666666674	290.2726666666667
ISL1	0.0	0.0	0.0	0.25651666666666667
CHDH	15.768778333333332	47.28431666666666	35.02518333333333	6.7842445
IL20RA	3.5939149999999995	8.675064999999998	28.592793333333333	0.23896000000000003
CLCA1	0.0	0.0	0.10422883333333333	0.42141116666666667
CLCA4	0.0	0.0	0.0	0.36491199999999996
GLT8D1	57.76221666666666	70.25818333333333	101.0269	51.534416666666665
ATP2C1	39.92375	75.23495000000001	61.576150000000005	56.29568333333333
IGF1	10.526071666666667	14.134296666666666	21.507266666666666	51.83521666666667
SLC38A5	1.1891150000000001	3.653541666666667	17.22021666666667	0.0
RALBP1	131.4548	313.13550000000004	234.58266666666668	105.15091666666666
RUFY3	31.38203333333333	63.120416666666664	38.10701666666667	23.38768333333333
CNTN1	2.141873166666666	5.7429533333333325	2.682497666666667	4.253893333333333
SLC11A1	11.569896666666665	3.692664666666667	14.960168333333336	6.474741666666667
WWTR1	57.706799999999994	80.50586666666668	25.996983333333333	84.86813333333333
AGPS	23.8182	52.425999999999995	28.671300000000002	31.43105
CXorf56	114.54445	18.430605000000003	140.86116666666666	27.704683333333335
ATP1A2	1193.692	1188.9750000000001	1317.7306666666666	2992.65
TTC27	25.407566666666668	29.336300000000005	29.508766666666663	24.793833333333335
ZNF582	0.0	217.89516666666668	45.00233333333333	101.14999999999999
VSIG2	18.796948333333333	2.828063333333333	0.5772583333333333	20.4482
PHLDB1	70.61218333333333	62.364133333333335	86.95864999999999	63.25013333333333
MARCO	5.786726666666667	1.5806316666666669	0.8439900000000001	0.0
CYP24A1	0.0	0.20726666666666668	0.0	0.468785
PRDM11	7.039819999999999	10.643970000000001	6.178636666666667	1.4307746666666665
SYT13	9.33867	3.9930600000000003	1.6968625000000002	1.0274956666666666
SNAI2	20.17560333333333	12.413238333333332	12.956105	6.68429
CD74	592.2621666666666	366.5316666666667	822.9196666666667	163.14398333333335
HGF	1.3963893333333335	1.8504635	0.8035104999999999	0.4720668333333333
ZRANB1	191.38	494.15850000000006	100.31733333333334	312.48449999999997
NCDN	33.29558333333333	83.24116666666667	104.67006666666667	70.2653
GPR124	29.46185166666667	15.326285000000004	26.33217	10.62208
ZFP64	11.397781666666667	10.173810000000001	14.588383333333333	22.01686666666667
MNAT1	128.60625	202.85816666666665	143.10483333333335	61.97771666666667
SAMD4A	136.90041666666667	274.9018333333334	169.43249999999998	128.69808333333333
RUNX3	1.8363583333333333	1.1899600000000001	0.6096516666666667	0.0
MRE11A	10.7291	18.7176	13.183629999999999	18.01235
PLEKHB1	15.59201	25.13631666666667	7.105339000000001	215.1485
SERPINB1	140.76636666666667	102.54603333333331	37.00725	8.880598333333333
CYP3A43	0.2634875	0.0	0.0	0.7061508333333334
SLC7A9	0.7096066666666667	0.7262506666666667	3.3895946666666656	2.1376690000000003
SPAST	10.305203333333333	29.91888333333333	23.041816666666666	119.36358333333332
NRXN3	1.3678096666666668	0.7421011666666667	0.6457728333333334	0.7060036666666667
OSBPL5	15.182753333333332	10.39382	18.812883333333335	45.2575
AQR	9.982301666666666	21.0399	23.63893333333333	30.632716666666667
CPS1	0.9725643333333335	0.8600875	0.0	1.4676350000000005
