	Human_Cerebellar_Cortex_Average_RPKM	Chimp_Cerebellar_Cortex_Average_RPKM	Rhesus_Monkey_Cerebellar_Cortex_Average_RPKM	Mouse_Cerebellar_Cortex_Average_RPKM
SPPL2B	145.60783333333333	89.52738333333333	211.102	141.82466666666667
FAM214B	45.58706666666668	80.28963333333334	43.1243	100.43153333333333
COPZ2	7.7773650000000005	5.14461	25.732883333333334	3.0621699999999996
PRKAR2B	38.72845	47.218916666666665	35.836983333333336	43.01186666666666
MSL3	68.76036666666668	75.02275	52.01746666666667	70.01318333333333
CREBBP	125.82766666666664	173.63233333333335	134.78315	125.145
BZRAP1	77.89511666666667	118.95016666666665	100.16665	222.303
MPO	2.6259766666666664	9.362713333333334	0.9285321666666667	0.42445433333333343
PON1	1.2810606666666666	0.8225220000000001	0.0	0.40395566666666666
GCFC2	17.959	15.114893333333335	6.191413333333334	17.523063333333333
WDR54	50.90775	71.36825	90.84948333333335	40.933883333333334
CROT	19.977083333333333	16.26385	8.990708333333334	67.12536666666666
ABCB4	0.31455833333333333	0.5725106666666667	1.225038	5.327196666666667
KMT2E	188.22383333333335	246.10083333333333	227.0153333333333	267.5698333333334
RHBDD2	249.02583333333334	231.08483333333334	262.2626666666667	164.10033333333334
SOX8	87.70443333333333	152.83948333333333	177.30678333333333	195.56633333333335
IBTK	55.68431666666667	56.870583333333336	46.19206666666667	56.974333333333334
MYCBP2	88.87981666666667	113.26416666666665	113.99351666666668	212.995
FBXL3	169.78533333333334	233.00233333333333	209.9864	361.98199999999997
ITGAL	2.146183333333333	3.6271826666666667	1.1774691666666666	45.991543666666665
PDK2	491.45216666666664	483.80583333333334	434.63283333333334	595.5145
ITGA3	50.7245	33.19273333333334	30.573399999999996	85.81813333333332
ZFX	58.57226666666667	100.26246666666667	68.43354999999998	61.819583333333334
LAMP2	115.01921666666665	168.45633333333333	157.66818333333333	204.94299999999998
ITGA2B	9.349068333333333	22.572666666666667	13.865816666666667	1.9085633333333336
ASB4	0.5232150000000001	0.49700300000000003	0.0	5.483720000000001
GDE1	119.71483333333333	144.43583333333336	150.205	571.274
C19orf60	389.4318333333333	216.7951666666667	324.79833333333335	179.188
CRLF1	8.508803333333335	47.142500000000005	21.746925	8.193671666666665
OSBPL7	35.49666666666667	32.4516	44.6429	38.69263333333333
TMEM98	78.48958333333333	220.0061666666667	43.65261666666667	48.76361666666666
YBX2	1.3963066666666666	0.7548483333333333	0.18564500000000003	11.401828333333333
KRT33A	0.0	0.25410099999999997	0.0	0.35476183333333333
MAP3K14	16.3501	24.916700000000002	27.075483333333334	12.047611666666667
ABCC8	174.68383333333335	123.60766666666666	104.17093333333334	97.83813333333335
CACNG3	6.279303333333334	25.662366666666667	31.9756	48.85738333333333
TMEM132A	282.1408333333333	270.3726666666667	809.7611666666667	826.3765
AP2B1	279.85283333333336	412.2871666666667	346.0455	396.72016666666667
TAC1	2.265396666666667	0.0	4.407788333333333	35.73900166666667
ZNF263	38.48513333333333	38.287600000000005	38.45361666666667	50.5377
CX3CL1	296.13	2639.7636666666663	0.0	8341.775
SPATA20	198.66949999999997	183.77166666666668	143.0054	2.451283333333333
CACNA1G	55.22161666666667	101.09895	193.36800000000002	258.97383333333335
TNFRSF12A	8.05198	5.873755	6.156073333333333	90.40626666666667
DLX6	0.0	0.16257483333333334	0.1495256666666667	0.18914666666666666
MAP3K9	40.61378333333334	77.18125	75.36393333333334	92.3464
RALA	78.45453333333333	129.16833333333332	95.31815	200.2218333333333
BAIAP2L1	2.3304066666666663	2.0554936666666666	0.9651008333333332	2.861241666666667
KDM7A	17.495900000000002	28.29681666666667	35.9443	62.05231666666666
ETV1	508.0046666666667	550.0046666666666	384.9096666666667	298.32933333333335
AGK	61.47941666666667	69.26833333333333	57.612516666666664	61.8499
TTC22	0.0	0.1615715	0.46909766666666664	1.2064571666666668
PHTF2	17.42381166666667	26.1216	16.710786666666667	28.149383333333336
CCL26	0.0	0.0	3.2634749999999997	0.0
FARP2	54.53733333333333	50.03846666666667	33.49993333333334	15.4458
USH1C	1.0699733333333332	4.636031666666667	2.2689350000000004	0.4656468333333334
GGCT	79.20825	41.34328333333333	54.808183333333325	59.42906666666667
DBF4	5.557991666666666	7.051569999999999	5.070896666666666	2.557586666666667
TBXA2R	1.0410150000000002	0.8072300000000002	0.9709099999999999	4.039043333333334
IFRD1	91.23196666666666	80.22766666666668	54.2211	97.76498333333332
COX10	24.429866666666666	31.26051666666667	33.578950000000006	57.90105
GTF2IRD1	14.574898333333332	32.1569	31.527150000000002	49.33186666666666
PAF1	203.0135	144.20816666666667	147.5906666666667	201.05700000000002
VPS41	30.481666666666666	62.93496666666666	38.74725	171.07333333333335
ARHGAP44	110.03128333333332	104.82016666666668	141.6795	254.31550000000001
ELAC2	71.55423333333333	38.318783333333336	40.32488333333333	53.63473333333334
SCIN	1.4249885000000002	2.3457261666666667	6.065214999999999	1.0358596666666668
PNPLA4	1438.3976666666665	783.7733333333334	309.83033333333333	0.0
MYH13	0.0	0.30327200000000004	0.059524	0.05520283333333333
ADIPOR2	47.75438333333333	107.1836	64.28213333333333	233.23816666666667
CDKL3	13.98788333333333	9.030551666666666	4.069095	25.8719
UPP2	3.389801666666667	0.7083158333333334	0.0	19.330825
PRSS21	0.524245	0.3163116666666667	31.129850000000005	13.150361666666663
MARK4	75.11551666666666	90.98831666666666	95.23315000000001	132.361
PROM1	2.77612	3.5048300000000006	4.450406666666668	34.64846666666667
CCDC124	304.97583333333336	260.0228333333333	328.4583333333333	403.60666666666674
PAFAH1B1	421.9331666666667	733.1439999999999	525.2724999999999	1063.1461666666667
NOS2	3.0402666666666662	0.5367693333333333	0.04702616666666667	0.5079286666666667
DNAH9	0.4763948666666667	0.7877028333333334	2.2968550000000003	2.0721266666666662
KIAA0100	128.929	140.3365	153.90416666666667	315.0058333333333
SLC13A2	0.0	0.0	0.18727833333333335	0.0
GAS7	295.473	391.80133333333333	319.36266666666666	255.3226666666667
TRAPPC6A	1003.29	0.0	173.25166666666667	2399.563166666667
MATK	9.312731666666666	6.019781666666666	8.827893333333334	79.80395
CD79B	0.5305233333333333	0.19976833333333333	0.22849	0.0
SCN4A	0.26054783333333337	0.20841416666666665	0.31122983333333337	0.0
ST7L	23.65915	28.557483333333334	31.124383333333338	37.38966666666666
TKTL1	0.10643449999999999	0.2739643333333333	0.2962571666666667	0.0
PAX6	460.49066666666664	444.9363333333333	363.33383333333336	191.55916666666667
RPUSD1	27.74795	39.70286666666667	58.781016666666666	135.83599999999998
RHBDF1	18.78155	20.28325	22.443033333333336	35.737116666666665
LUC7L	242.11350000000002	173.82950000000002	179.28	115.23381666666667
CACNA2D2	40.671	57.37965	65.60603333333334	151.76966666666667
BAIAP3	0.9538181666666667	0.505121	1.5218683333333336	33.20398333333333
TSR3	148.73113333333333	69.78141666666666	85.1485	125.80685
PIGQ	77.8162	51.90966666666667	34.02876666666667	219.02916666666667
CRAMP1L	68.06706666666666	134.74800000000002	50.412866666666666	52.51111666666667
TEAD3	2.9183533333333336	4.1048215	1.5746258333333334	6.76802
SELE	1.1616695	0.7919086666666666	0.1823408333333333	0.17102966666666666
DNAJC11	87.29451666666667	92.51928333333335	71.90108333333333	108.45625
FMO3	1.4564428333333332	0.10256066666666667	3.290198333333334	0.0
MYLIP	24.89753333333333	23.496866666666666	46.43905	54.38055
NOX1	0.0	0.1153785	0.34733816666666667	0.29654283333333337
E2F2	0.0	0.0	0.0	0.18483333333333332
PSMB1	316.4976666666667	308.6553333333334	333.36566666666664	709.9861666666666
SYN1	541.2005	334.88800000000003	412.74133333333333	637.3023333333334
JARID2	79.3735	83.11228333333334	75.36333333333333	95.9185
CDKL5	10.3619	14.810233333333334	11.994408333333332	63.08721666666667
CAMK1G	8.015325	9.737461666666668	5.702403333333333	43.72278333333333
CDK11A	780.8176666666665	629.2551666666667	1262.0101666666667	939.7029999999999
NADK	41.66535	45.653099999999995	124.44066666666664	104.0039
TFAP2B	21.456366666666668	27.06158333333333	26.4802	97.96581666666668
TFAP2D	0.0	0.0	0.0	9.065971666666666
DLEC1	0.1535175	2.331958666666667	0.49289099999999997	3.6013800000000002
CYTH3	30.187516666666667	57.63223333333334	49.64318333333333	79.44575
ADAM22	81.63523333333333	114.7205	68.22806666666666	104.41701666666665
SYPL1	48.2046	85.5972	74.02921666666667	193.46616666666668
CYB561	16.807245	22.127416666666665	25.181200000000004	66.49298333333333
SPAG9	129.18404999999998	187.86366666666666	160.7401833333333	354.44666666666666
CELSR3	98.47245	108.77674999999999	83.36693333333334	192.68183333333332
AASS	8.601526666666667	16.200403333333334	10.108731666666666	16.713483333333333
PLEKHG6	0.0	0.0	0.14608116666666668	1.1198165
SS18L2	203.6788333333333	106.71741666666667	310.542	62.58795
MPND	46.76291666666666	50.04675	61.39221666666668	295.47166666666675
MGST1	150.92495	27.641366666666666	83.28136666666667	100.06251666666667
CRY1	107.71031666666666	123.15091666666667	122.96849999999999	107.87473333333332
NFIX	676.4405	562.207	730.8056666666665	444.1741666666666
ST3GAL1	10.109096666666666	3.790365	21.561396666666663	15.377823333333334
MMP25	7.023921666666666	6.2493349999999985	0.28429233333333337	0.2863173333333333
PKD1	1124.0026666666665	834.2731666666667	360.4985	261.636
MAPK8IP2	525.306	532.0803333333333	623.1561666666668	768.8813333333334
MED24	127.32783333333334	175.24	230.97083333333333	156.47116666666668
RHOBTB2	29.68061666666667	29.394583333333333	27.396500000000003	109.79504999999999
HEATR5B	55.13171666666668	55.412283333333335	62.438500000000005	93.25646666666667
SEC62	378.8721666666667	409.25399999999996	394.75749999999994	650.1183333333332
RPS20	2150.5	1649.96	365.48466666666667	648.8608333333333
CSDE1	626.5654999999999	853.1396666666666	713.7896666666666	565.439
UBE3C	80.34421666666667	105.94271666666667	86.0729	133.27816666666666
REV3L	90.00595	97.57453333333335	49.61175	68.5616
TENM1	71.88351666666667	84.97335	58.20522833333333	81.82981666666667
PAX7	0.0	0.0	0.0	2.0201633333333335
MASP2	71.50066666666666	101.59846666666668	70.71736666666666	143.6145
IYD	0.0	0.0	0.0	1.6527616666666667
FAM76A	20.84975	24.16603333333333	18.27647	75.34033333333333
TRAF3IP3	1.6246648333333333	3.263498333333333	3.0548366666666666	0.46435766666666667
POMT2	21.397566666666666	21.797583333333336	22.559116666666668	36.33063333333334
VTA1	91.86023333333334	110.62149999999998	94.66881666666666	156.66549999999998
MLXIPL	158.26633333333334	110.34433333333334	1.803706	4.424235
BAZ1B	125.60933333333332	193.8305	158.238	267.30283333333335
RANBP9	114.31934999999999	124.23266666666667	108.5482	211.05516666666665
SPRTN	10.921523333333333	15.839993333333334	15.739530000000002	31.528716666666668
METTL13	63.59396666666666	48.85123333333333	48.713966666666664	30.593483333333335
DYRK4	29.19016666666667	25.860833333333332	0.49846033333333334	0.0
ZNF207	236.97299999999996	257.18249999999995	230.0778333333333	311.4338333333333
UQCRC1	347.2111666666667	362.2563333333333	455.24049999999994	793.1236666666667
STARD3NL	78.79735000000001	93.17023333333333	113.15388333333334	85.20708333333333
CD9	62.139916666666664	87.88746666666667	71.64683333333333	265.1265
NCAPD2	24.111633333333334	75.40268333333334	28.24533333333333	50.04635
IFFO1	106.67818333333332	109.46966666666668	157.2685	174.7005
PHF7	2.222526666666667	1.958713333333333	7.319865000000001	9.632563333333334
SEMA3G	28.21395	47.14201666666667	6.3872133333333325	13.271075000000002
NISCH	606.4438333333334	702.0541666666668	405.2916666666667	530.637
STAB1	3.8505483333333337	7.134465	14.323398333333332	7.448555
FUZ	46.47656666666666	57.68886666666668	40.6424	33.91495
SLC6A13	5.878121666666666	6.179410000000001	13.581040000000002	34.78678333333333
IDS	583.6523333333333	679.7145	786.216	684.5521666666667
CD4	4.937326666666666	8.177878333333334	18.406433333333332	0.17516666666666666
LRRC23	57.304516666666665	118.48286666666668	8.383253333333332	18.498848333333335
BTK	0.5535373333333333	2.1513416666666667	2.3040635	1.389602166666667
HFE	2.0436916666666667	2.6431066666666663	21.01655	16.802483333333335
SCMH1	47.27038333333332	58.95483333333334	26.45725	93.3329
FYN	259.1301666666667	237.2638333333333	221.74083333333337	225.43883333333338
HIVEP2	251.573	289.9173333333333	265.0905	315.26033333333334
FMO1	0.09568333333333334	0.0	1.2192693333333333	18.756233333333338
TCEB3	54.630516666666665	86.73296666666666	69.77871666666667	73.91113333333332
LYPLA2	24.558449999999997	31.93743333333333	56.90776666666667	104.19073333333334
CLCN6	55.2244	61.615	64.7251	175.83683333333332
MRC2	3.00366	5.776231666666668	9.882296666666667	11.651773333333333
NME2	681.0223333333333	226.16183333333333	596.3893333333332	519.4263333333333
SLC6A7	199.94383333333334	5.964226666666666	41.053293333333336	61.298833333333334
TSPAN9	376.22149999999993	252.73233333333334	524.5141666666667	461.15416666666664
BTBD7	22.769516666666664	36.17113333333333	28.202978333333334	46.503366666666665
APBA3	44.59396666666667	47.894133333333336	40.59368333333333	78.75019999999999
MKS1	15.016016666666665	35.53726666666667	41.1553	5.774261666666667
ABHD5	34.77041666666666	55.133866666666655	37.16681666666667	41.86078333333333
AKAP8L	365.6471666666667	418.7338333333334	372.7151666666667	333.41450000000003
MBTD1	22.176266666666663	38.39841666666666	38.36081666666667	20.774150000000002
UTP18	139.7195	28.26308333333333	108.56573333333334	62.23499999999999
RNF216	49.21308333333334	87.50186666666667	68.48891666666667	80.05858333333333
PTBP1	114.79666666666667	126.71556666666667	79.13523333333333	112.64666666666666
DPF1	38.504016666666665	32.470683333333334	33.80661666666666	48.26188333333334
SYT7	138.0836	180.24966666666668	369.4358333333333	427.7743333333333
LARS2	25.58038333333333	28.481333333333335	20.773683333333334	34.80180000000001
PIK3C2A	52.26038333333333	75.03166666666668	43.9706	43.405833333333334
PLAUR	6.358531666666667	11.326001666666668	8.850963333333333	3.79129
ANLN	32.908854999999996	61.553799999999995	61.02465	88.38589999999999
WIZ	88.77058333333333	86.45845000000001	90.91888333333333	145.4946666666667
RABGAP1	66.91498333333334	99.5313	90.7334	90.86558333333335
DCN	63.056266666666666	153.4868833333333	112.48928333333333	105.83411666666667
QPCTL	39.142183333333335	17.689933333333332	20.511916666666668	42.582166666666666
PPP5C	172.14149999999998	201.66	180.06183333333334	344.7715
CEP68	71.36050000000002	77.40485	50.09875	33.3536
MAP4K3	30.60271666666667	40.54976666666667	42.304383333333334	75.15935
ZBTB32	2.1645583333333334	2.7973500000000002	20.340149999999998	1.8779899999999998
TYROBP	19.6615	56.83833333333334	23.420366666666666	19.192899999999998
TMEM159	198.60383333333334	35.19438333333333	10.236668333333334	17.112993333333332
GABRA3	5.9375316666666675	17.684983333333335	18.564833333333336	99.83645
BRCA1	1.2650631666666667	2.233151	20.515668333333334	1.8962988333333335
ERCC1	150.09633333333335	235.8978333333333	92.28618333333333	74.44005
CD22	9.17888	7.475453333333333	9.882228333333332	0.3491283333333333
SEMA3B	48.20011666666667	46.982466666666674	42.508066666666664	15.479214999999998
MBTPS2	41.62045	56.65528333333333	38.06316666666667	84.7832
PRICKLE3	1.3255366666666666	2.711501666666667	1.0695158333333332	4.0582085
LTF	5.138191666666667	0.9085696666666667	0.4249666666666667	0.7190078333333334
EXTL3	69.34553333333334	99.82355	138.0448	182.91533333333334
NR1H4	0.09536533333333334	0.0	0.1730695	1.8348930000000003
ELOVL5	98.63978333333334	147.10733333333334	108.36444999999998	316.3985
ALOX5	95.09046666666666	135.99143333333333	4.047767	2.2469398333333332
CALCOCO1	338.10666666666674	444.03916666666663	195.693	134.1823333333333
UBR7	41.92825	61.86216666666667	67.06591666666667	47.220933333333335
MAP4K5	37.7193	36.650133333333336	23.961766666666666	29.269833333333334
EHD3	142.13166666666666	140.98333333333332	142.52283333333335	210.84400000000002
PSMC4	228.73316666666668	228.596	295.4103333333333	283.4936666666667
MAN2B2	11.785456666666668	15.918750000000001	15.851466666666667	82.93509999999999
SLC7A14	41.46605	86.26813333333332	62.231899999999996	121.00049999999999
CLDN11	48.58712333333333	107.29923333333335	167.37731666666667	654.977
SLC25A39	92.14089999999999	75.38448333333334	50.40808333333333	112.50554999999999
MVP	68.92391666666667	58.67091666666668	94.27333333333331	44.06893333333333
NUB1	94.07054999999998	126.53316666666666	117.69066666666667	224.21916666666667
PGM3	42.971399999999996	61.352	28.04206666666667	43.10698333333334
RWDD2A	97.00659999999999	50.76843333333334	37.0228	104.28320000000001
CLK1	465.5548333333333	321.4175	412.9113333333333	382.10850000000005
POLR3B	11.634933333333334	19.643541666666668	31.981716666666667	29.466549999999998
ANGEL1	40.3581	67.54095000000001	47.818900000000006	38.41205000000001
RNF14	133.83166666666668	211.48833333333334	126.69663333333335	685.243
DNASE1L1	19.184508333333333	18.958579999999998	16.752345000000002	7.4634833333333335
HEBP1	117.47248333333334	145.06383333333335	92.51193333333333	49.982183333333346
GPRC5A	0.3598166666666667	0.0	0.3010998333333333	0.6887249999999999
MAMLD1	26.860449999999997	26.832866666666664	39.07298333333333	138.08066666666667
CD6	0.8487	0.797266	1.1703183333333331	0.6177865
TACC3	14.269443333333333	4.98649	4.2526633333333335	10.370358333333334
UFL1	32.42726666666667	55.47843333333333	44.43521666666666	73.31416666666667
POLA2	19.100183333333334	25.5489	12.63883	14.724533333333333
ZC3H3	52.05446666666668	57.10788333333333	65.13913333333333	8.481875
CAPN1	109.03218333333332	118.69346666666667	151.68433333333334	45.491150000000005
ACPP	0.0	0.6524833333333334	0.3937756666666666	0.26995783333333334
MDH1	1136.7066666666667	1170.165	1415.415	2920.08
SLC30A9	119.74056666666667	152.6928333333333	117.24416666666666	278.6538333333333
MTMR11	9.308071666666665	7.393350000000001	4.150361666666666	16.592299999999998
COX15	30.354633333333336	54.57485	30.315416666666668	48.889916666666664
CCDC88C	1.8543640000000003	3.5075983333333336	2.7059716666666667	46.623533333333334
YAF2	47.734566666666666	73.2488	60.82463333333334	172.1795
ZMYND11	213.12633333333335	313.533	288.01000000000005	279.16966666666667
DPEP1	0.0	0.0	2.5437116666666664	1.5160900000000002
BID	134.52383333333333	66.20668333333334	88.36963333333331	21.525296666666666
MATR3	883.6508333333333	974.371	285.36483333333337	741.3723333333336
NPC1L1	0.7592781666666667	0.09345266666666667	2.686558	5.702579999999998
XYLT2	61.6421	63.468516666666666	95.70031666666667	76.31171666666667
STMN4	581.7999999999998	547.6208333333333	618.3251666666666	427.11583333333334
NUDCD3	245.03483333333335	293.53950000000003	352.72633333333334	276.3368333333333
ISL1	0.0	0.0	0.0	2.0070316666666668
CHDH	41.01931666666667	29.165050000000004	26.420333333333332	8.500008333333332
IL20RA	11.830680000000001	29.97815	39.743433333333336	0.8928716666666666
CLCA1	0.0	0.0	2.2133805	0.0
CLCA4	2.7211841666666667	2.4841393333333333	0.19962650000000004	0.0
GLT8D1	114.09110000000003	119.31400000000001	88.38163333333334	125.27366666666667
ATP2C1	107.06333333333333	146.58233333333334	95.33128333333333	160.96933333333334
IGF1	0.4766333333333333	0.7048483333333334	5.590330000000001	10.34722
SLC38A5	37.5486	48.88636666666667	47.060766666666666	4.181561333333334
RALBP1	171.86216666666667	230.8418333333333	168.68183333333332	199.36766666666665
RUFY3	163.11866666666666	220.6723333333333	168.42863333333332	291.432
CNTN1	449.04583333333335	635.2305	388.7615	607.823
SLC11A1	1.698100666666667	3.2263040000000003	5.690336666666666	3.4540823333333326
WWTR1	14.04732	25.46608333333334	14.868041666666665	38.616216666666666
AGPS	21.274933333333333	31.5097	28.524931666666664	40.082433333333334
CXorf56	207.05499999999998	25.397316666666665	116.11203333333333	75.1445
ATP1A2	342.9195	810.2433333333333	931.0776666666667	2014.4066666666668
TTC27	15.455366666666668	17.847	18.013716666666667	22.556316666666664
ZNF582	302.5	311.58633333333336	124.03016666666666	200.93483333333333
VSIG2	1.2029333333333334	1.6424288333333334	0.606977	10.699286666666666
PHLDB1	133.17249999999999	115.83370000000001	167.93366666666668	142.90833333333333
MARCO	1.6790246666666668	0.9124199999999999	0.3608363333333333	0.0
CYP24A1	1.2184916666666668	0.23051166666666667	1.1772716666666667	0.0
PRDM11	13.132588333333333	16.77736666666667	18.565881666666666	19.926516666666668
SYT13	87.05971666666666	91.64784999999999	59.16545	323.5586666666666
SNAI2	35.28985	89.9267	58.21621666666667	0.6395683333333333
CD74	122.65763333333332	239.59633333333332	176.59578333333334	16.993408333333335
HGF	0.7653713333333333	1.0217668333333334	0.7963481666666667	1.8901083333333333
ZRANB1	178.31500000000003	199.28066666666666	139.0515	203.99433333333334
NCDN	891.5241666666666	975.2786666666667	885.9251666666665	1762.17
GPR124	19.439283333333332	26.920483333333333	36.24755	32.87898333333333
ZFP64	19.091366666666662	23.06925	19.0109	34.456466666666664
MNAT1	55.567483333333335	69.49203333333332	45.763200000000005	43.1351
SAMD4A	57.26693333333333	57.376216666666664	52.12186666666667	48.95336666666666
RUNX3	1.2625116666666667	0.24273166666666668	0.0	0.31006833333333333
MRE11A	22.799966666666666	25.00525	15.65065	19.987016666666666
PLEKHB1	241.96450000000004	245.31300000000002	284.711	667.7438333333333
SERPINB1	31.83793333333334	96.85796666666666	103.44468333333333	19.933683333333335
CYP3A43	0.21807516666666668	0.35051116666666665	0.0	0.0
SLC7A9	5.0729999999999995	5.750865000000001	17.707804999999997	0.12890916666666666
SPAST	32.38073333333333	39.20771666666666	41.23005	58.81428333333334
NRXN3	185.74649999999997	204.26116666666667	181.66783333333333	205.4308333333333
OSBPL5	15.732473333333331	11.5829	15.445633333333333	73.67773333333334
AQR	26.93805	51.47593333333333	55.471016666666664	58.01593333333333
CPS1	1.7901519999999997	0.734732	0.07712633333333334	0.0620995
C8B	0.0	0.07016883333333333	0.24561650000000002	0.4864408333333334
FHL1	456.35833333333335	476.85233333333326	494.968	398.1623333333334
RTFDC1	217.96716666666669	193.263	156.69366666666667	245.6255
GABRA1	364.5978333333333	480.5783333333334	550.9553333333332	1150.8456666666668
